gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
BRAF|673	250.9025	BRAF|673	265.8854
BRAP|8315	913.8087	BRAP|8315	777.0482
BRCA1|672	740.0722	BRCA1|672	240.4283
BRCA2|675	203.9711	BRCA2|675	80.8162
BRCC3|79184	893.0505	BRCC3|79184	601.2729
BRD1|23774	1125.4513	BRD1|23774	1322.5578
BRD2|6046	4921.9314	BRD2|6046	6226.0834
BRD3|8019	793.8944	BRD3|8019	1319.6848
BRD4|23476	2605.5957	BRD4|23476	1963.0266
BRD7|29117	2044.6751	BRD7|29117	1194.8682
BRD8|10902	791.5162	BRD8|10902	1776.7451
BRD9|65980	918.3213	BRD9|65980	768.1584
BREA2|286076	7.2202	BREA2|286076	6.0612
BRE|9577	549.1877	BRE|9577	478.4322
BRF1|2972	613.7184	BRF1|2972	737.0441
BRF2|55290	567.2383	BRF2|55290	378.22
BRI3BP|140707	162.0036	BRI3BP|140707	50.1061
BRI3|25798	926.8953	BRI3|25798	827.9624
BRIP1|83990	194.0433	BRIP1|83990	58.1877
BRIX1|55299	726.9856	BRIX1|55299	551.1668
BRMS1L|84312	103.3394	BRMS1L|84312	180.2202
BRMS1|25855	1086.1913	BRMS1|25855	729.7707
BRP44L|51660	182.7617	BRP44L|51660	391.1506
BRP44|25874	1202.6173	BRP44|25874	488.5342
BRPF1|7862	717.9603	BRPF1|7862	799.2727
BRPF3|27154	1337.5451	BRPF3|27154	1980.8061
BRSK1|84446	129.9639	BRSK1|84446	84.0489
BRSK2|9024	23.916999999999998	lowly_expressed	lowly_expressed
BRWD1|54014	1360.1083	BRWD1|54014	2291.1405
BRWD3|254065	305.0542	BRWD3|254065	383.069
BSCL2|26580	3015.4287	BSCL2|26580	1612.3972
BSDC1|55108	3185.4693	BSDC1|55108	2866.9563
BSG|682	11506.3177	BSG|682	4924.5378
BSN|8927	101.083	BSN|8927	145.8733
BSPRY|54836	685.9206	BSPRY|54836	1139.105
BST1|683	58.213	BST1|683	59.803999999999995
BST2|684	10256.3177	BST2|684	1379.9374
BTAF1|9044	1362.3646	BTAF1|9044	2024.851
BTBD10|84280	1052.3466	BTBD10|84280	495.4036
BTBD11|121551	53.7004	BTBD11|121551	328.51800000000003
BTBD12|84464	511.2816	BTBD12|84464	300.6364
BTBD19|149478	7.2202	BTBD19|149478	14.5469
BTBD1|53339	2152.0758	BTBD1|53339	1151.6315
BTBD2|55643	1206.2274	BTBD2|55643	2002.2224
BTBD3|22903	1001.8051	BTBD3|22903	1370.2394
BTBD6|90135	749.5487	BTBD6|90135	1007.3745
BTBD7|55727	600.1805	BTBD7|55727	1377.9170000000001
BTBD8|284697	11.2816	BTBD8|284697	27.4775
BTBD9|114781	634.9278	BTBD9|114781	699.4646
BTC|685	37.0036	BTC|685	23.4367
BTD|686	374.5487	BTD|686	606.93
BTF3L4|91408	693.1408	BTF3L4|91408	818.6686
BTF3|689	4359.657	BTF3|689	12482.473
BTG1|694	2912.4549	BTG1|694	6383.6751
BTG2|7832	9012.6354	BTG2|7832	3808.8696
BTG3|10950	219.3141	BTG3|10950	326.9017
BTK|695	132.2202	BTK|695	84.8571
BTLA|151888	22.5632	BTLA|151888	8.8898
lowly_expressed	lowly_expressed	BTN1A1|696	14.950999999999999
BTN2A1|11120	336.1913	BTN2A1|11120	760.4809
BTN2A2|10385	173.2852	BTN2A2|10385	335.7915
BTN2A3|54718	20.3069	BTN2A3|54718	54.551
BTN3A1|11119	607.4007	BTN3A1|11119	1332.2558
BTN3A2|11118	885.8303	BTN3A2|11118	1331.0435
BTN3A3|10384	488.2671	BTN3A3|10384	679.2605
BTNL9|153579	70.8484	BTNL9|153579	1249.0151
BTRC|8945	1106.4982	BTRC|8945	1099.9091
BUB1B|701	337.148	BUB1B|701	42.1699
BUB1|699	682.3105	BUB1|699	31.5183
BUB3|9184	7371.8412	BUB3|9184	1918.9817
BUD13|84811	302.7978	BUD13|84811	562.8851
BUD31|8896	1057.9829	BUD31|8896	736.8866
BVES|11149	91.1552	BVES|11149	147.0856
BYSL|705	347.4729	BYSL|705	280.8364
BZRAP1|9256	302.7978	BZRAP1|9256	1184.3621
BZW1|9689	4110.5596	BZW1|9689	3121.5274
BZW2|28969	2049.1877	BZW2|28969	1347.6109
C10orf105|414152	17.2428	C10orf105|414152	14.1428
C10orf107|219621	6.3177	C10orf107|219621	13.7388
lowly_expressed	lowly_expressed	C10orf108|414235	14.950999999999999
C10orf10|11067	996.3899	C10orf10|11067	4416.6077
C10orf110|55853	5.5054	C10orf110|55853	17.5977
lowly_expressed	lowly_expressed	C10orf111|221060	7.6775
C10orf114|399726	41.065	C10orf114|399726	16.1632
C10orf116|10974	5792.2608	C10orf116|10974	1471.882
C10orf118|55088	809.1155	C10orf118|55088	1223.962
C10orf119|79892	2142.5993	C10orf119|79892	1438.1251
C10orf11|83938	12.6354	C10orf11|83938	42.0244
C10orf125|282969	47.8339	C10orf125|282969	38.3877
C10orf128|170371	6.769	C10orf128|170371	58.1877
C10orf12|26148	163.1679	C10orf12|26148	156.7674
C10orf137|26098	541.065	C10orf137|26098	635.6198
C10orf140|387640	109.2058	C10orf140|387640	52.5306
C10orf18|54906	5615.5235	C10orf18|54906	1750.4798
C10orf25|220979	23.4657	C10orf25|220979	71.5224
C10orf26|54838	2763.5379	C10orf26|54838	2217.1856
C10orf28|27291	423.2852	C10orf28|27291	448.5302
C10orf2|56652	596.5704	C10orf2|56652	541.0648
C10orf32|119032	837.5451	C10orf32|119032	641.2769
C10orf35|219738	183.213	C10orf35|219738	176.5835
C10orf41|100131213	7.2202	C10orf41|100131213	38.3877
C10orf46|143384	3087.9964	C10orf46|143384	1581.5739
C10orf47|254427	121.8412	C10orf47|254427	306.6976
C10orf4|118924	318.5921	C10orf4|118924	576.6239
C10orf54|64115	328.9711	C10orf54|64115	1033.2357
C10orf55|414236	6.6877	C10orf55|414236	14.950999999999999
C10orf57|80195	3397.8836	C10orf57|80195	1176.9876
C10orf58|84293	3824.0072	C10orf58|84293	1731.8921
lowly_expressed	lowly_expressed	C10orf68|79741	8.1099
C10orf72|196740	559.1155	C10orf72|196740	314.3752
C10orf75|90271	67.6895	C10orf75|90271	122.0325
C10orf76|79591	1281.5884	C10orf76|79591	764.5217
C10orf78|119392	91.1552	C10orf78|119392	124.0529
C10orf79|80217	134.9278	C10orf79|80217	124.0529
C10orf81|79949	813.6282	C10orf81|79949	1984.0388
C10orf82|143379	402.0758	C10orf82|143379	6.0612
C10orf84|63877	874.0975	C10orf84|63877	619.8606
C10orf88|80007	274.8195	C10orf88|80007	190.3223
lowly_expressed	lowly_expressed	C10orf90|118611	246.0855
C10orf93|255352	17.148	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C10orf95|79946	7.4755
C11orf10|746	725.1805	C11orf10|746	758.4605
C11orf17|56672	391.6968	C11orf17|56672	178.6039
C11orf1|64776	182.7076	C11orf1|64776	402.869
C11orf21|29125	5.8664	C11orf21|29125	14.950999999999999
C11orf24|53838	981.9495	C11orf24|53838	439.6404
C11orf2|738	1213.8989	C11orf2|738	3238.3069
C11orf30|56946	409.7473	C11orf30|56946	700.6768
C11orf31|280636	1176.444	C11orf31|280636	638.0442
C11orf35|256329	29.9278	C11orf35|256329	30.5647
C11orf41|25758	195.8484	C11orf41|25758	324.8813
C11orf45|219833	38.8087	C11orf45|219833	41.2163
C11orf46|120534	730.1444	C11orf46|120534	805.3339
C11orf48|79081	718.3529	C11orf48|79081	319.5838
C11orf49|79096	817.6895	C11orf49|79096	451.7628
C11orf51|25906	329.1471	C11orf51|25906	357.3331
C11orf52|91894	288.8087	C11orf52|91894	539.8525
C11orf54|28970	295.5776	C11orf54|28970	789.5747
C11orf57|55216	635.3791	C11orf57|55216	1120.1131
C11orf58|10944	3744.1336	C11orf58|10944	3196.2825
C11orf59|55004	1986.4621	C11orf59|55004	1367.4108
C11orf61|79684	119.5848	C11orf61|79684	420.2445
C11orf63|79864	204.8736	C11orf63|79864	223.861
lowly_expressed	lowly_expressed	C11orf65|160140	5.6571
C11orf66|220004	17.148	C11orf66|220004	38.3877
C11orf67|28971	102.4368	C11orf67|28971	232.4073
C11orf68|83638	723.3755	C11orf68|83638	1052.2275
C11orf70|85016	28.8809	C11orf70|85016	30.7102
C11orf71|54494	99.27799999999999	C11orf71|54494	263.0569
C11orf73|51501	273.4657	C11orf73|51501	363.6731
C11orf74|119710	212.9964	C11orf74|119710	168.0978
C11orf75|56935	130.4152	C11orf75|56935	247.2977
C11orf80|79703	292.4188	C11orf80|79703	285.2813
C11orf82|220042	129.9639	C11orf82|220042	72.7346
C11orf83|790955	413.8087	C11orf83|790955	214.16299999999998
C11orf84|144097	376.8051	C11orf84|144097	266.6936
C11orf85|283129	6.3177	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C11orf90|387804	8.4857
C11orf92|399948	5.8664	C11orf92|399948	213.3549
C11orf93|120376	9.0253	C11orf93|120376	35.1551
C11orf95|65998	292.4188	C11orf95|65998	519.6484
C11orf9|745	109.65700000000001	C11orf9|745	143.8529
C12orf10|60314	776.1733	C12orf10|60314	831.1951
C12orf11|55726	756.7689999999999	C12orf11|55726	473.1791
C12orf23|90488	1884.4765	C12orf23|90488	950.3989999999999
C12orf24|29902	86.6426	C12orf24|29902	95.7672
C12orf26|84190	82.13	C12orf26|84190	211.3345
C12orf29|91298	510.0993	C12orf29|91298	416.9997
C12orf32|83695	881.3177	C12orf32|83695	481.2607
C12orf34|84915	124.0975	C12orf34|84915	91.7264
C12orf35|55196	1491.8773	C12orf35|55196	2882.7154
C12orf41|54934	624.0975	C12orf41|54934	630.7708
C12orf43|64897	394.8556	C12orf43|64897	290.5344
C12orf44|60673	1065.4332	C12orf44|60673	620.2647
C12orf45|121053	64.9819	C12orf45|121053	137.3876
C12orf47|51275	245.4874	C12orf47|51275	388.3625
C12orf48|55010	149.2103	C12orf48|55010	56.1673
C12orf49|79794	417.4188	C12orf49|79794	524.9015
C12orf4|57102	394.4043	C12orf4|57102	377.8159
C12orf51|283450	2239.1697	C12orf51|283450	2491.5648
C12orf52|84934	736.4621	C12orf52|84934	385.0894
C12orf53|196500	17.5993	C12orf53|196500	109.9101
C12orf57|113246	912.0036	C12orf57|113246	1838.9736
C12orf59|120939	13.9892	C12orf59|120939	14.950999999999999
C12orf5|57103	457.5812	C12orf5|57103	115.1631
C12orf60|144608	27.0758	C12orf60|144608	21.4163
C12orf61|283416	7.2202	C12orf61|283416	8.0816
C12orf62|84987	569.4946	C12orf62|84987	413.7792
C12orf63|374467	6.3177	lowly_expressed	lowly_expressed
C12orf65|91574	258.574	C12orf65|91574	300.6364
C12orf66|144577	239.1697	C12orf66|144577	154.7631
C12orf68|387856	18.5018	C12orf68|387856	27.0734
lowly_expressed	lowly_expressed	C12orf69|440087	44.4489
C12orf72|254013	128.6101	C12orf72|254013	77.9877
C12orf73|728568	162.0036	C12orf73|728568	113.1427
C12orf75|387882	336.1913	C12orf75|387882	159.6121
C12orf76|400073	117.7798	C12orf76|400073	227.4977
C13orf15|28984	281.5884	C13orf15|28984	903.5256
C13orf18|80183	42.4188	C13orf18|80183	265.4814
C13orf1|57213	258.1227	C13orf1|57213	235.1753
C13orf23|80209	1309.5668	C13orf23|80209	1080.5132
C13orf27|93081	93.4116	C13orf27|93081	120.0121
C13orf29|283487	44.2238	C13orf29|283487	98.9999
C13orf31|144811	212.9964	C13orf31|144811	251.7426
C13orf33|84935	117.7798	C13orf33|84935	89.3019
C13orf34|79866	145.0226	C13orf34|79866	107.9301
C13orf37|440145	407.0397	C13orf37|440145	246.0855
lowly_expressed	lowly_expressed	C13orf38|728591	10.7041
C14orf101|54916	173.2852	C14orf101|54916	456.6118
C14orf102|55051	254.9639	C14orf102|55051	431.9628
C14orf104|55172	117.7798	C14orf104|55172	285.2813
C14orf106|55320	365.9747	C14orf106|55320	701.485
C14orf109|26175	200.8123	C14orf109|26175	328.9221
C14orf118|55668	167.4188	C14orf118|55668	362.8649
C14orf119|55017	543.3213	C14orf119|55017	776.6441
C14orf126|112487	273.1859	C14orf126|112487	327.3098
C14orf128|84837	16.2455	C14orf128|84837	116.7795
C14orf129|51527	574.9097	C14orf129|51527	308.7181
C14orf132|56967	347.4729	C14orf132|56967	1097.4846
C14orf135|64430	749.0975	C14orf135|64430	1048.5908
C14orf138|79609	58.213	C14orf138|79609	157.9958
C14orf139|79686	35.1986	C14orf139|79686	167.6937
C14orf142|84520	130.8664	C14orf142|84520	170.1182
C14orf143|90141	83.4838	C14orf143|90141	67.4816
C14orf145|145508	88.8989	C14orf145|145508	163.2488
C14orf147|171546	690.8845	C14orf147|171546	847.7624
C14orf148|122945	9.4765	C14orf148|122945	13.3347
C14orf149|112849	41.5162	C14orf149|112849	114.7591
C14orf153|84334	320.8484	C14orf153|84334	386.7057
C14orf156|81892	202.6173	C14orf156|81892	343.065
C14orf159|80017	369.5848	C14orf159|80017	1051.0153
C14orf166|51637	1568.1408	C14orf166|51637	1815.5369
C14orf167|55449	585.4603	C14orf167|55449	957.6927
C14orf169|79697	280.6859	C14orf169|79697	291.7466
C14orf174|161394	49.638999999999996	C14orf174|161394	45.2571
C14orf176|643382	7.2202	C14orf176|643382	15.7592
C14orf179|112752	132.6715	C14orf179|112752	185.4733
C14orf180|400258	6.3177	C14orf180|400258	65.0571
lowly_expressed	lowly_expressed	C14orf181|400223	62.6326
lowly_expressed	lowly_expressed	C14orf182|283551	24.649
C14orf184|650662	5.8664	lowly_expressed	lowly_expressed
C14orf1|11161	535.1986	C14orf1|11161	688.5544
C14orf21|161424	264.4404	C14orf21|161424	383.4731
C14orf28|122525	51.8953	C14orf28|122525	179.4121
C14orf2|9556	514.4404	C14orf2|9556	645.3177
C14orf33|100129075	46.9314	C14orf33|100129075	124.45700000000001
C14orf37|145407	203.9711	C14orf37|145407	83.2407
C14orf43|91748	910.1986	C14orf43|91748	1489.4434
C14orf45|80127	159.8105	C14orf45|80127	346.9078
C14orf49|161176	14.8917	C14orf49|161176	97.3836
C14orf4|64207	1013.0866	C14orf4|64207	1625.2147
C14orf50|145376	5.8664	C14orf50|145376	19.3959
C14orf53|440184	12.6354	lowly_expressed	lowly_expressed
C14orf64|388011	12.1841	C14orf64|388011	37.1755
C14orf79|122616	228.7906	C14orf79|122616	302.6568
C14orf80|283643	67.6895	C14orf80|283643	82.0285
C14orf93|60686	149.3682	C14orf93|60686	346.7017
C15orf17|57184	1197.2022	C15orf17|57184	1537.9331
C15orf21|283651	19.8556	C15orf21|283651	54.551
C15orf23|90417	201.7148	C15orf23|90417	132.9427
C15orf24|56851	591.6065	C15orf24|56851	707.5462
C15orf26|161502	9.0253	lowly_expressed	lowly_expressed
C15orf27|123591	14.8917	C15orf27|123591	21.8204
C15orf28|80035	7.6715	C15orf28|80035	20.6081
C15orf29|79768	223.3755	C15orf29|79768	433.1751
C15orf33|196951	17.1977	C15orf33|196951	47.6129
C15orf34|80072	13.0866	C15orf34|80072	42.0244
C15orf37|283687	32.2608	C15orf37|283687	57.7755
C15orf38|348110	253.7274	C15orf38|348110	362.9417
C15orf39|56905	436.8231	C15orf39|56905	957.6725
C15orf40|123207	221.593	C15orf40|123207	283.2609
C15orf41|84529	97.4729	C15orf41|84529	145.4692
C15orf42|90381	172.6625	C15orf42|90381	48.2271
C15orf44|81556	921.4801	C15orf44|81556	991.6153
C15orf48|84419	60.0181	C15orf48|84419	244.0651
C15orf52|388115	131.3177	C15orf52|388115	826.7502
C15orf56|644809	8.1227	lowly_expressed	lowly_expressed
C15orf57|90416	240.8529	C15orf57|90416	371.19300000000004
C15orf58|390637	61.3718	C15orf58|390637	55.7632
C15orf59|388135	24.3682	C15orf59|388135	6.4653
C15orf61|145853	54.1516	C15orf61|145853	102.6366
C15orf62|643338	24.3682	C15orf62|643338	94.1509
C15orf63|25764	577.6173	C15orf63|25764	441.6608
C16orf13|84326	550.9928	C16orf13|84326	317.6078
lowly_expressed	lowly_expressed	C16orf3|750	9.6979
C16orf42|115939	891.0469	C16orf42|115939	528.8171
C16orf45|89927	581.6787	C16orf45|89927	273.1589
C16orf46|123775	23.916999999999998	C16orf46|123775	83.2407
C16orf48|84080	134.0253	C16orf48|84080	298.2119
C16orf52|730094	286.1011	C16orf52|730094	406.9098
C16orf53|79447	1728.7184	C16orf53|79447	873.5145
C16orf54|283897	77.6173	C16orf54|283897	61.8244
C16orf55|124045	63.1769	C16orf55|124045	120.0121
C16orf57|79650	603.7906	C16orf57|79650	601.6769
C16orf58|64755	2495.8619	C16orf58|64755	2289.9283
C16orf59|80178	122.7437	C16orf59|80178	17.7796
C16orf5|29965	465.2527	C16orf5|29965	1038.8928
C16orf61|56942	111.9134	C16orf61|56942	146.1643
C16orf62|57020	1919.6751	C16orf62|57020	1017.8806
C16orf63|123811	760.3791	C16orf63|123811	912.4154
C16orf68|79091	194.4946	C16orf68|79091	193.959
C16orf70|80262	699.3051	C16orf70|80262	648.6473
C16orf71|146562	44.2238	C16orf71|146562	22.6285
C16orf72|29035	1594.7653	C16orf72|29035	1080.5132
C16orf74|404550	25.721999999999998	C16orf74|404550	69.0979
C16orf75|116028	149.3682	C16orf75|116028	63.8448
lowly_expressed	lowly_expressed	C16orf79|283870	17.3957
C16orf7|9605	120.6814	C16orf7|9605	267.0532
C16orf80|29105	328.0686	C16orf80|29105	495.4036
C16orf86|388284	12.1841	C16orf86|388284	67.4816
C16orf87|388272	129.0614	C16orf87|388272	98.9999
C16orf88|400506	724.278	C16orf88|400506	419.8404
C16orf89|146556	39.2599	C16orf89|146556	608.5463
C16orf91|283951	199.9097	C16orf91|283951	153.1468
C16orf93|90835	71.7509	C16orf93|90835	46.4693
C17orf100|388327	24.3682	C17orf100|388327	96.5754
C17orf101|79701	358.3032	C17orf101|79701	428.7302
C17orf103|256302	416.5162	C17orf103|256302	937.8725
C17orf104|284071	38.8087	C17orf104|284071	19.3959
C17orf106|100134934	335.0406	C17orf106|100134934	316.3269
C17orf107|100130311	80.5686	C17orf107|100130311	206.5582
C17orf108|201229	220.2031	C17orf108|201229	332.9508
C17orf28|283987	6693.5921	C17orf28|283987	1776.3410000000001
C17orf37|84299	949.0072	C17orf37|84299	485.3015
C17orf39|79018	691.7869999999999	C17orf39|79018	555.2076
C17orf42|79736	169.6751	C17orf42|79736	151.9345
C17orf44|284029	32.9422	C17orf44|284029	93.3428
lowly_expressed	lowly_expressed	C17orf47|284083	10.5061
C17orf48|56985	97.9242	C17orf48|56985	222.6488
C17orf49|124944	455.5551	C17orf49|124944	802.0366
C17orf51|339263	296.0289	C17orf51|339263	217.7998
C17orf53|78995	77.6173	C17orf53|78995	48.4897
lowly_expressed	lowly_expressed	C17orf55|284185	10.102
C17orf56|146705	227.4774	C17orf56|146705	380.89099999999996
C17orf57|124989	44.6751	C17orf57|124989	101.0203
C17orf58|284018	400.722	C17orf58|284018	290.1303
C17orf59|54785	110.1083	C17orf59|54785	227.9018
C17orf60|284021	13.0866	C17orf60|284021	6.0612
C17orf61|254863	267.491	C17orf61|254863	362.4043
C17orf62|79415	1406.1372	C17orf62|79415	841.2971
C17orf63|55731	957.5812	C17orf63|55731	934.6399
C17orf65|339201	103.3168	C17orf65|339201	200.6587
C17orf67|339210	80.3249	C17orf67|339210	18.9918
C17orf68|80169	519.8556	C17orf68|80169	1204.9702
C17orf69|147081	125.4513	C17orf69|147081	138.1958
C17orf70|80233	1009.9278	C17orf70|80233	733.0033
C17orf71|55181	684.1155	C17orf71|55181	625.1136
C17orf72|92340	75.1805	C17orf72|92340	48.5665
C17orf75|64149	351.5343	C17orf75|64149	223.861
C17orf76|388341	70.3971	C17orf76|388341	33.9428
C17orf79|55352	855.5957	C17orf79|55352	570.9668
C17orf80|55028	737.8159	C17orf80|55028	700.6768
C17orf81|23587	367.7798	C17orf81|23587	610.5667
C17orf85|55421	546.4801	C17orf85|55421	787.5543
C17orf86|654434	115.5235	C17orf86|654434	245.2773
C17orf87|388325	14.4404	C17orf87|388325	12.1224
C17orf89|284184	351.083	C17orf89|284184	151.5305
C17orf90|339229	190.8845	C17orf90|339229	254.1671
C17orf91|84981	82.5812	C17orf91|84981	69.9061
C17orf95|124512	325.8123	C17orf95|124512	338.216
C17orf96|100170841	118.23100000000001	C17orf96|100170841	90.5142
C17orf97|400566	123.1949	C17orf97|400566	120.4162
C18orf10|25941	639.4404	C18orf10|25941	867.1583
lowly_expressed	lowly_expressed	C18orf16|147429	14.1428
C18orf18|147525	12.6354	C18orf18|147525	67.0775
C18orf19|125228	366.8773	C18orf19|125228	293.767
C18orf1|753	1787.0036	C18orf1|753	1678.9575
C18orf21|83608	141.2455	C18orf21|83608	240.0242
C18orf22|79863	387.1841	C18orf22|79863	366.0976
C18orf25|147339	1012.6354	C18orf25|147339	710.3748
C18orf32|497661	1424.3276	C18orf32|497661	787.425
C18orf34|374864	7.2202	C18orf34|374864	49.2979
C18orf45|85019	655.6859	C18orf45|85019	469.1383
C18orf54|162681	184.1155	C18orf54|162681	108.2938
C18orf55|29090	315.4332	C18orf55|29090	299.4242
C18orf56|494514	6.769	C18orf56|494514	5.6571
C18orf8|29919	513.0912	C18orf8|29919	317.1997
C19orf10|56005	1262.1841	C19orf10|56005	904.3338
C19orf12|83636	620.0361	C19orf12|83636	489.3424
lowly_expressed	lowly_expressed	C19orf18|147685	12.9306
C19orf20|91978	9.0253	C19orf20|91978	18.1837
C19orf21|126353	711.6426	C19orf21|126353	44.853
C19orf22|91300	2296.9314	C19orf22|91300	927.7705
C19orf23|148046	9.9278	C19orf23|148046	14.950999999999999
C19orf24|55009	472.0217	C19orf24|55009	272.3507
C19orf25|148223	194.0433	C19orf25|148223	497.8281
C19orf26|255057	9.9278	C19orf26|255057	7.2735
C19orf28|126321	562.2744	C19orf28|126321	667.5422
C19orf29|58509	239.6209	C19orf29|58509	483.6852
C19orf2|8725	2181.4079	C19orf2|8725	1542.7821
C19orf33|64073	589.1652	C19orf33|64073	125.4834
lowly_expressed	lowly_expressed	C19orf35|374872	7.6775
lowly_expressed	lowly_expressed	C19orf36|113177	27.4775
C19orf38|255809	73.1047	C19orf38|255809	9.6979
C19orf39|126074	159.296	C19orf39|126074	75.1591
C19orf40|91442	116.426	C19orf40|91442	41.6204
C19orf42|79086	1789.2599	C19orf42|79086	1160.9253
C19orf43|79002	1083.0325	C19orf43|79002	1303.1619
C19orf44|84167	235.4964	C19orf44|84167	265.6187
lowly_expressed	lowly_expressed	C19orf45|374877	5.2531
C19orf46|163183	339.8014	C19orf46|163183	247.7018
C19orf47|126526	380.8664	C19orf47|126526	295.7875
C19orf48|84798	1091.6065	C19orf48|84798	739.4686
C19orf50|79036	1054.6029	C19orf50|79036	1103.5458
C19orf51|352909	120.9386	C19orf51|352909	20.6081
C19orf52|90580	523.0144	C19orf52|90580	169.31
C19orf53|28974	1341.6065	C19orf53|28974	734.2156
C19orf54|284325	448.1047	C19orf54|284325	358.01599999999996
C19orf55|148137	166.9675	C19orf55|148137	123.2448
C19orf56|51398	1601.9856	C19orf56|51398	1746.8431
C19orf57|79173	138.0866	C19orf57|79173	82.8367
C19orf60|55049	93.4116	C19orf60|55049	245.2773
C19orf61|56006	1176.8953	C19orf61|56006	796.04
C19orf62|29086	1352.4368	C19orf62|29086	963.7337
C19orf63|284361	1626.5072	C19orf63|284361	1772.1426
C19orf66|55337	871.9630000000001	C19orf66|55337	553.9105
C19orf6|91304	1592.509	C19orf6|91304	1518.1331
C19orf70|125988	451.2635	C19orf70|125988	454.9955
C19orf71|100128569	6.769	C19orf71|100128569	12.5265
C19orf73|55150	7.2202	C19orf73|55150	21.4163
C19orf76|199800	13.0866	C19orf76|199800	44.0449
C1D|10438	118.23100000000001	C1D|10438	119.60799999999999
C1GALT1C1|29071	558.6643	C1GALT1C1|29071	431.5587
C1GALT1|56913	181.4079	C1GALT1|56913	248.1059
C1QA|712	1291.9675	C1QA|712	763.3094
C1QBP|708	1152.4504	C1QBP|708	1284.2509
C1QB|713	1488.7184	C1QB|713	732.5993
C1QC|714	1360.5596	C1QC|714	756.0360000000001
C1QL1|10882	10.8303	C1QL1|10882	16.9714
lowly_expressed	lowly_expressed	C1QL2|165257	29.901999999999997
lowly_expressed	lowly_expressed	C1QL4|338761	25.053
C1QTNF1|114897	419.6751	C1QTNF1|114897	408.12199999999996
C1QTNF2|114898	13.0866	C1QTNF2|114898	10.5061
C1QTNF3|114899	612.8159	C1QTNF3|114899	180.6243
lowly_expressed	lowly_expressed	C1QTNF4|114900	16.5673
C1QTNF6|114904	1025.722	C1QTNF6|114904	259.0161
C1QTNF7|114905	53.2491	C1QTNF7|114905	57.3795
lowly_expressed	lowly_expressed	C1QTNF9B|387911	32.4598
lowly_expressed	lowly_expressed	C1QTNF9|338872	18.1837
C1RL|51279	1107.2653	C1RL|51279	1266.8512
C1R|715	4883.1227	C1R|715	3321.5476
C1S|716	8837.5857	C1S|716	4072.3305
C1orf101|257044	11.7329	C1orf101|257044	18.5877
C1orf103|55791	822.2022	C1orf103|55791	540.6607
C1orf104|284618	50.8529	C1orf104|284618	96.434
C1orf106|55765	75.8123	C1orf106|55765	272.7548
C1orf107|27042	1062.2744	C1orf107|27042	1244.9742
C1orf109|54955	523.0144	C1orf109|54955	538.2362
lowly_expressed	lowly_expressed	C1orf111|284680	10.9102
C1orf112|55732	257.8655	C1orf112|55732	150.791
C1orf113|79729	692.6444	C1orf113|79729	497.2745
C1orf114|57821	21.6606	C1orf114|57821	5.6571
C1orf115|79762	581.2274	C1orf115|79762	3153.4498
C1orf116|79098	867.3285	C1orf116|79098	2121.4264
C1orf122|127687	599.4585	C1orf122|127687	223.4569
C1orf123|54987	320.8484	C1orf123|54987	560.4607
C1orf124|83932	294.6751	C1orf124|83932	242.8528
C1orf126|200197	13.5289	C1orf126|200197	70.5243
C1orf128|57095	782.9422	C1orf128|57095	1025.5581
C1orf130|400746	15.7942	C1orf130|400746	280.8364
C1orf131|128061	253.6101	C1orf131|128061	214.16299999999998
C1orf133|574036	9.0253	C1orf133|574036	36.3673
C1orf135|79000	87.5451	C1orf135|79000	12.5265
C1orf144|26099	4098.8267	C1orf144|26099	2653.9408
C1orf150|148823	7.2202	lowly_expressed	lowly_expressed
C1orf151|440574	945.5912	C1orf151|440574	681.2001
C1orf152|767846	20.3069	C1orf152|767846	20.6081
C1orf156|92342	134.9278	C1orf156|92342	162.4407
C1orf159|54991	120.4874	C1orf159|54991	176.1794
C1orf162|128346	155.6859	C1orf162|128346	109.506
C1orf163|65260	220.2166	C1orf163|65260	263.0569
C1orf168|199920	23.916999999999998	C1orf168|199920	73.1387
C1orf170|84808	13.0866	C1orf170|84808	27.8816
C1orf172|126695	401.1733	C1orf172|126695	453.7832
C1orf173|127254	18.5018	C1orf173|127254	527.7301
C1orf174|339448	462.0939	C1orf174|339448	510.3546
C1orf175|374977	9.0794	C1orf175|374977	107.2795
C1orf183|55924	23.916999999999998	C1orf183|55924	97.3836
C1orf186|440712	10.3791	C1orf186|440712	8.0816
C1orf190|541468	24.2599	C1orf190|541468	72.3669
C1orf192|257177	54.6029	C1orf192|257177	31.1143
C1orf198|84886	2240.9747	C1orf198|84886	2519.8505
C1orf201|90529	270.7581	C1orf201|90529	230.7304
C1orf203|84852	42.8971	C1orf203|84852	136.6037
C1orf204|284677	14.9413	C1orf204|284677	76.3107
C1orf210|149466	271.2094	C1orf210|149466	358.42
C1orf212|113444	459.8375	C1orf212|113444	422.66900000000004
C1orf213|148898	23.9576	C1orf213|148898	99.113
C1orf216|127703	591.6065	C1orf216|127703	297.8079
C1orf21|81563	3813.1769	C1orf21|81563	2203.4549
C1orf220|400798	16.2455	C1orf220|400798	17.3755
