gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
C6orf48|50854	992.8771	C6orf48|50854	1415.7442
lowly_expressed	lowly_expressed	C6orf52|347744	5.5351
C6orf57|135154	85.4754	C6orf57|135154	116.8512
C6orf59|79992	6.6068	C6orf59|79992	8.6101
C6orf62|81688	3095.6994	C6orf62|81688	3514.9631
C6orf64|55776	733.9734	C6orf64|55776	736.1624
C6orf70|55780	361.9284	C6orf70|55780	343.1734
C6orf72|116254	609.2702	C6orf72|116254	965.5597
C6orf89|221477	3270.3623	C6orf89|221477	3752.1525
C6orf97|80129	659.0276	C6orf97|80129	346.2485
C6|729	143.2848	C6|729	52.8905
C7orf10|79783	29.7306	C7orf10|79783	18.4502
C7orf11|136647	254.9809	C7orf11|136647	241.0824
C7orf13|129790	144.5236	C7orf13|129790	97.786
C7orf23|79161	395.2968	C7orf23|79161	388.3149
C7orf25|79020	384.82300000000004	C7orf25|79020	310.2522
C7orf26|79034	399.9174	C7orf26|79034	447.7245
C7orf27|221927	467.0177	C7orf27|221927	497.54
C7orf28A|51622	640.446	C7orf28A|51622	642.0664
C7orf28B|221960	643.13	C7orf28B|221960	454.4895
C7orf29|113763	135.2328	C7orf29|113763	118.6962
C7orf30|115416	248.5806	C7orf30|115416	222.0172
C7orf31|136895	121.1934	C7orf31|136895	164.8216
C7orf36|57002	169.0926	C7orf36|57002	169.1267
C7orf40|285958	246.7802	C7orf40|285958	273.0627
C7orf41|222166	1556.1061	C7orf41|222166	3315.4982
C7orf42|55069	3743.1609	C7orf42|55069	3635.3014
C7orf43|55262	261.5877	C7orf43|55262	233.0873
C7orf44|55744	832.8688	C7orf44|55744	600.861
C7orf46|340277	209.3527	C7orf46|340277	241.0824
C7orf47|221908	77.6298	C7orf47|221908	87.9459
C7orf49|78996	478.6601	C7orf49|78996	455.3198
C7orf50|84310	437.2871	C7orf50|84310	329.6433
C7orf51|222950	6.8133	C7orf51|222950	25.2153
C7orf53|286006	13.0071	C7orf53|286006	22.1402
C7orf55|154791	77.4234	C7orf55|154791	159.9016
C7orf58|79974	641.2718	C7orf58|79974	1103.3210000000001
C7orf59|389541	516.3621	C7orf59|389541	479.7048
C7orf60|154743	378.4453	C7orf60|154743	441.5744
lowly_expressed	lowly_expressed	C7orf61|402573	9.2251
C7orf63|79846	454.6299	C7orf63|79846	284.1328
C7orf64|84060	368.9481	C7orf64|84060	344.4034
C7orf68|29923	287.8084	C7orf68|29923	378.2288
C7orf70|84792	456.2816	C7orf70|84792	426.8143
C7|730	2172.396	C7|730	3283.5178
C8orf30A|51236	373.2838	C8orf30A|51236	268.1427
C8orf31|286122	9.9102	C8orf31|286122	10.4551
C8orf33|65265	1305.8739	C8orf33|65265	1292.7429
C8orf34|116328	7.6391	C8orf34|116328	19.6802
C8orf37|157657	112.5219	C8orf37|157657	129.1513
C8orf38|137682	442.2422	C8orf38|137682	175.2768
C8orf39|55472	18.9945	C8orf39|55472	11.0701
C8orf40|114926	634.0456	C8orf40|114926	560.8856
C8orf41|80185	397.5286	C8orf41|80185	272.4108
C8orf42|157695	474.2438	C8orf42|157695	554.1205
C8orf44|56260	44.4348	C8orf44|56260	55.6704
C8orf45|157777	67.9261	C8orf45|157777	41.8204
C8orf46|254778	32.621	C8orf46|254778	55.3506
lowly_expressed	lowly_expressed	C8orf47|203111	17.2202
C8orf48|157773	94.3533	C8orf48|157773	31.3653
C8orf4|56892	864.4575	C8orf4|56892	799.508
C8orf51|78998	55.7448	C8orf51|78998	33.2103
C8orf55|51337	347.2695	C8orf55|51337	351.7835
C8orf58|541565	164.1375	C8orf58|541565	212.1771
C8orf59|401466	521.1376	C8orf59|401466	459.9569
C8orf73|642475	58.8417	C8orf73|642475	31.9803
C8orf76|84933	324.8023	C8orf76|84933	233.0873
C8orf77|286103	12.3877	C8orf77|286103	11.6851
C8orf79|57604	320.223	C8orf79|57604	725.7073
C8orf80|389643	23.7432	C8orf80|389643	6.1501
C8orf83|286144	1046.7637	C8orf83|286144	786.5929
C8orf84|157869	122.4321	C8orf84|157869	541.8204
C8orf85|441376	1056.261	C8orf85|441376	300.738
C9orf100|84904	70.9714	C9orf100|84904	39.7048
C9orf102|375748	317.2066	C9orf102|375748	264.0898
C9orf103|414328	85.8883	C9orf103|414328	84.8708
C9orf106|414318	6.6068	lowly_expressed	lowly_expressed
C9orf109|286333	27.253	C9orf109|286333	32.5953
C9orf110|100128385	193.2487	C9orf110|100128385	212.7921
C9orf114|51490	346.6997	C9orf114|51490	276.353
C9orf116|138162	107.5668	C9orf116|138162	40.5904
C9orf117|286207	21.2656	C9orf117|286207	7.9951
C9orf119|375757	271.2914	C9orf119|375757	189.4219
C9orf122|158228	28.6983	C9orf122|158228	20.9102
C9orf123|90871	620.832	C9orf123|90871	660.5166
C9orf125|84302	39.2278	C9orf125|84302	147.6015
C9orf128|392307	26.8401	C9orf128|392307	7.9951
C9orf129|445577	149.138	C9orf129|445577	96.0148
C9orf130|100128782	213.5563	C9orf130|100128782	210.8364
C9orf131|138724	5.367999999999999	lowly_expressed	lowly_expressed
C9orf140|89958	71.2295	C9orf140|89958	38.1304
C9orf142|286257	144.9365	C9orf142|286257	130.3813
C9orf150|286343	917.1054	C9orf150|286343	331.4883
C9orf152|401546	755.4454	C9orf152|401546	557.1956
C9orf156|51531	418.9119	C9orf156|51531	337.6384
C9orf163|158055	27.253	C9orf163|158055	9.8401
C9orf167|54863	136.0586	C9orf167|54863	58.4256
C9orf169|375791	6.9578	lowly_expressed	lowly_expressed
C9orf16|79095	341.4886	C9orf16|79095	383.1488
C9orf172|389813	11.3554	C9orf172|389813	5.5351
C9orf21|195827	194.6939	C9orf21|195827	234.9323
C9orf23|138716	213.482	C9orf23|138716	207.2571
lowly_expressed	lowly_expressed	C9orf24|84688	6.1501
C9orf25|203259	373.2838	C9orf25|203259	366.5437
C9orf30|91283	235.8315	C9orf30|91283	188.3333
C9orf37|85026	119.1287	C9orf37|85026	118.6962
C9orf3|84909	506.5159	C9orf3|84909	524.9323
C9orf40|55071	87.9529	C9orf40|55071	130.9963
C9orf41|138199	291.5247	C9orf41|138199	234.9323
C9orf43|257169	7.0197	lowly_expressed	lowly_expressed
C9orf45|81571	302.2608	C9orf45|81571	233.7023
C9orf46|55848	635.0779	C9orf46|55848	368.3887
C9orf47|286223	52.1028	C9orf47|286223	26.4453
C9orf5|23731	3742.748	C9orf5|23731	4330.2583
C9orf64|84267	684.8353	C9orf64|84267	429.8893
C9orf66|157983	37.5761	C9orf66|157983	53.5055
C9orf68|55064	84.85600000000001	C9orf68|55064	94.7109
C9orf69|90120	420.3572	C9orf69|90120	382.5338
C9orf6|54942	696.1908	C9orf6|54942	466.1747
C9orf72|203228	499.6387	C9orf72|203228	404.67400000000004
C9orf78|51759	1155.7758	C9orf78|51759	998.155
C9orf7|11094	519.872	C9orf7|11094	308.7331
C9orf80|58493	543.8216	C9orf80|58493	332.1033
C9orf82|79886	580.159	C9orf82|79886	469.2497
C9orf85|138241	163.5181	C9orf85|138241	186.9619
C9orf86|55684	888.4071	C9orf86|55684	699.877
C9orf89|84270	228.3473	C9orf89|84270	169.1267
C9orf91|203197	1447.3005	C9orf91|203197	653.7515
C9orf93|203238	98.4825	C9orf93|203238	146.9865
C9orf95|54981	445.9585	C9orf95|54981	482.7798
C9orf96|169436	7.4326	C9orf96|169436	11.0701
C9orf98|158067	116.2383	C9orf98|158067	39.3604
C9orf9|11092	148.0334	C9orf9|11092	178.9668
CA11|770	95.59200000000001	CA11|770	285.3629
CA12|771	14507.6907	CA12|771	3633.4563
CA13|377677	43.2311	CA13|377677	170.6027
CA14|23632	9.2908	CA14|23632	6.7651
CA1|759	28.2853	lowly_expressed	lowly_expressed
CA2|760	2215.1337	CA2|760	239.2374
CA3|761	29.0307	CA3|761	283.8868
CA4|762	49.5509	CA4|762	171.5867
CA5BP|340591	135.0263	CA5BP|340591	187.5769
CA5B|11238	375.4496	CA5B|11238	457.0295
CA8|767	480.2312	CA8|767	333.3333
CAB39L|81617	821.9263	CAB39L|81617	1950.7995
CAB39|51719	3172.9122	CAB39|51719	2738.0074
CABC1|56997	804.5917	CABC1|56997	1145.5843
CABIN1|23523	1271.1882	CABIN1|23523	1289.0529
CABLES1|91768	852.0698	CABLES1|91768	891.1439
CABLES2|81928	256.8391	CABLES2|81928	180.8118
lowly_expressed	lowly_expressed	CABP1|9478	9.8401
CABP4|57010	36.2176	CABP4|57010	11.6851
CABYR|26256	94.3533	CABYR|26256	115.6212
CACHD1|57685	591.3079	CACHD1|57685	1956.9496
CACNA1A|773	17.1364	CACNA1A|773	12.3001
CACNA1C|775	642.717	CACNA1C|775	509.1943
CACNA1D|776	1059.7708	CACNA1D|776	314.2681
CACNA1E|777	6.1939	lowly_expressed	lowly_expressed
CACNA1F|778	84.0301	CACNA1F|778	19.6802
CACNA1G|8913	28.9047	CACNA1G|8913	21.5252
CACNA1H|8912	55.5384	CACNA1H|8912	82.4108
CACNA1I|8911	24.3625	CACNA1I|8911	14.7601
CACNA2D1|781	331.9913	CACNA2D1|781	265.0677
CACNA2D2|9254	616.4963	CACNA2D2|9254	119.3112
CACNA2D3|55799	26.8401	CACNA2D3|55799	13.5301
CACNA2D4|93589	63.5904	CACNA2D4|93589	37.5154
CACNB1|782	67.5132	CACNB1|782	256.4576
CACNB2|783	56.7771	CACNB2|783	84.8708
CACNB3|784	245.8966	CACNB3|784	298.893
CACNB4|785	233.0959	CACNB4|785	126.6913
CACNG4|27092	201.0943	CACNG4|27092	529.5203
CACYBP|27101	1254.0518	CACYBP|27101	1079.3358
CADM1|23705	403.8402	CADM1|23705	674.6617
CADM2|253559	35.0986	CADM2|253559	52.8905
CADM3|57863	97.73299999999999	CADM3|57863	217.9213
CADM4|199731	348.0954	CADM4|199731	439.1144
CADPS2|93664	1035.2018	CADPS2|93664	1424.3542
CAD|790	1073.3973	lowly_expressed	lowly_expressed
CALB2|794	231.4442	CALB2|794	395.449
CALCOCO1|57658	2527.3046	CALCOCO1|57658	2658.6716
CALCOCO2|10241	2248.7870000000003	CALCOCO2|10241	2862.8536
CALCRL|10203	1182.4094	CALCRL|10203	811.1931
CALCR|799	20.2333	CALCR|799	10.4551
CALD1|800	7452.875	CALD1|800	17134.6863
CALHM2|51063	714.7724	CALHM2|51063	794.5879
CALM1|801	6616.9093	CALM1|801	7795.818
CALM2|805	10831.63	CALM2|805	10533.8253
CALM3|808	3309.7966	CALM3|808	3047.3555
CALML3|810	11.3554	CALML3|810	19.0652
CALML4|91860	304.3254	CALML4|91860	360.3936
lowly_expressed	lowly_expressed	CALML5|51806	14.1451
CALN1|83698	21.885	CALN1|83698	14.1451
CALR|811	8710.0237	CALR|811	6092.2509
CALU|813	4371.4256	CALU|813	3410.8241
CAMK1D|57118	158.9759	CAMK1D|57118	93.4809
CAMK1|8536	164.0714	CAMK1|8536	222.8659
CAMK2A|815	7.6391	CAMK2A|815	8.6101
CAMK2B|816	156.9113	CAMK2B|816	18.4502
CAMK2D|817	898.5238	CAMK2D|817	1274.9077
CAMK2G|818	622.8967	CAMK2G|818	782.2878
CAMK2N1|55450	1729.9474	CAMK2N1|55450	1488.9299
CAMK2N2|94032	14.6588	lowly_expressed	lowly_expressed
CAMK4|814	60.4934	lowly_expressed	lowly_expressed
CAMKK1|84254	154.6402	CAMKK1|84254	271.2177
CAMKK2|10645	1943.4293	CAMKK2|10645	1745.3875
CAMLG|819	939.6098	CAMLG|819	929.2743
CAMP|820	53.8867	lowly_expressed	lowly_expressed
CAMSAP1L1|23271	2024.3625	CAMSAP1L1|23271	2298.893
CAMSAP1|157922	1025.0852	CAMSAP1|157922	1019.6802
CAMTA1|23261	271.9108	CAMTA1|23261	655.5966
CAMTA2|23125	912.1503	CAMTA2|23125	1305.6581
CAND1|55832	4408.5888	CAND1|55832	3241.6974
CAND2|23066	90.22399999999999	CAND2|23066	108.8561
CANT1|124583	1809.2289	CANT1|124583	1496.925
CANX|821	20075.5652	CANX|821	16318.5732
CAP1|10487	6943.9455	CAP1|10487	6967.4047
CAP2|10486	656.9629	CAP2|10486	765.0677
CAPG|822	1622.174	CAPG|822	1261.9926
CAPN10|11132	85.5146	CAPN10|11132	129.754
CAPN11|11131	22.5044	CAPN11|11131	37.5154
CAPN12|147968	47.3335	CAPN12|147968	119.75399999999999
CAPN13|92291	432.1255	CAPN13|92291	304.428
CAPN1|823	2103.0247	CAPN1|823	2677.7368
CAPN2|824	7325.0748	CAPN2|824	5963.7146
CAPN3|825	123.8629	CAPN3|825	178.9791
CAPN5|726	294.8281	CAPN5|726	354.8585
CAPN6|827	258.9037	CAPN6|827	310.5781
CAPN7|23473	1459.4818	CAPN7|23473	1274.2927
CAPN8|388743	497.5741	CAPN8|388743	321.0332
CAPN9|10753	319.3971	CAPN9|10753	32.5953
CAPNS1|826	4366.4705	CAPNS1|826	5695.571999999999
CAPRIN1|4076	9072.9844	CAPRIN1|4076	7146.3715
CAPRIN2|65981	525.24	CAPRIN2|65981	449.5695
CAPS2|84698	154.4338	CAPS2|84698	108.8561
CAPSL|133690	38.402	lowly_expressed	lowly_expressed
CAPS|828	69.3713	CAPS|828	111.3161
CAPZA1|829	4669.7636	CAPZA1|829	2315.4982
CAPZA2|830	2972.0244	CAPZA2|830	2911.4391
lowly_expressed	lowly_expressed	CAPZA3|93661	24.6002
CAPZB|832	4299.1638	CAPZB|832	3256.4576
CARD10|29775	287.8084	CARD10|29775	427.4293
CARD11|84433	197.9973	CARD11|84433	38.7454
CARD14|79092	78.4557	CARD14|79092	143.9114
CARD16|114769	236.6058	CARD16|114769	143.9114
CARD6|84674	449.8813	CARD6|84674	404.67400000000004
CARD8|22900	1121.7095	CARD8|22900	953.2595
CARD9|64170	29.936999999999998	CARD9|64170	31.3653
CARHSP1|23589	663.8423	CARHSP1|23589	1232.9028
CARKD|55739	731.0829	CARKD|55739	933.5793
CARM1|10498	841.5402	CARM1|10498	739.8524
CARNS1|57571	25.6013	CARNS1|57571	28.2903
CARS2|79587	387.6288	CARS2|79587	398.9176
CARS|833	853.3065	CARS|833	685.7319
CASC1|55259	133.3746	CASC1|55259	41.2054
CASC2|255082	55.3319	CASC2|255082	64.5756
CASC3|22794	1750.1807	CASC3|22794	2621.7712
CASC4|113201	4286.3632	CASC4|113201	3937.8844
CASC5|57082	214.5143	CASC5|57082	19.0652
CASD1|64921	2594.8178	CASD1|64921	1308.7331
CASKIN1|57524	9.3445	CASKIN1|57524	5.2583
CASKIN2|57513	422.3764	CASKIN2|57513	857.1587
CASK|8573	1667.5957	CASK|8573	1531.9803
CASP10|843	405.4919	CASP10|843	375.1538
lowly_expressed	lowly_expressed	CASP12|120329	7.3801
CASP1|834	779.1886	CASP1|834	571.3407
CASP2|835	1374.2129	CASP2|835	1184.5018
CASP3|836	805.4093	CASP3|836	591.6359
CASP4|837	879.5293	CASP4|837	779.2128
CASP6|839	431.0932	CASP6|839	381.9188
CASP7|840	860.9477	CASP7|840	807.5031
CASP8AP2|9994	793.0216	CASP8AP2|9994	840.0984
CASP8|841	982.7604	CASP8|841	458.7946
CASP9|842	206.6687	CASP9|842	266.9127
CASQ1|844	109.0121	CASQ1|844	39.3604
CASQ2|845	54.2996	CASQ2|845	103.321
CASS4|57091	107.1539	CASS4|57091	29.5203
CAST|831	7642.5457	CAST|831	6930.0246
CASZ1|54897	846.0824	CASZ1|54897	915.7442
CATSPER2P1|440278	30.671999999999997	CATSPER2P1|440278	30.861
CATSPER2|117155	70.8021	CATSPER2|117155	71.2546
CATSPER3|347732	12.8709	lowly_expressed	lowly_expressed
CATSPERB|79820	55.9513	CATSPERB|79820	41.8204
CATSPERG|57828	30.1435	CATSPERG|57828	29.5203
CAT|847	2543.4087	CAT|847	4450.1845
CAV1|857	4763.9104	CAV1|857	13009.8401
CAV2|858	1326.1072	CAV2|858	4091.6359
CBARA1|10367	915.4537	CBARA1|10367	972.9397
CBFA2T2|9139	1325.0748	CBFA2T2|9139	971.0947
CBFA2T3|863	191.1841	CBFA2T3|863	143.2964
CBFB|865	1297.2024	CBFB|865	1071.3407
CBLB|868	764.1169	CBLB|868	755.8426
CBLC|23624	133.7876	CBLC|23624	158.6716
CBLL1|79872	1113.0381	CBLL1|79872	947.7245
CBLN1|869	5.367999999999999	CBLN1|869	6.1501
CBLN2|147381	13174.1509	lowly_expressed	lowly_expressed
CBLN3|643866	72.8812	CBLN3|643866	60.8856
CBLN4|140689	44.1829	CBLN4|140689	143.9114
CBL|867	1672.7573	CBL|867	1702.9520000000002
CBR1|873	472.5446	CBR1|873	453.1181
CBR3|874	181.6868	CBR3|874	228.7823
CBR4|84869	515.1234	CBR4|84869	783.5178
CBS|875	11.9748	CBS|875	20.9102
CBWD1|55871	848.9729	CBWD1|55871	1039.3604
CBWD2|150472	625.7871	CBWD2|150472	517.2202
CBWD3|445571	745.5951	CBWD3|445571	335.7565
lowly_expressed	lowly_expressed	CBWD5|220869	12.952
CBWD6|644019	214.5143	CBWD6|644019	208.4871
CBX1|10951	1487.1477	CBX1|10951	1578.7208
CBX2|84733	77.2169	CBX2|84733	43.6654
CBX3|11335	3795.1894	CBX3|11335	2916.9742
CBX4|8535	519.872	CBX4|8535	234.3173
CBX5|23468	7494.5804	CBX5|23468	5089.7909
CBX6|23466	694.1261	CBX6|23466	830.8733
CBX7|23492	1032.3113	CBX7|23492	2139.6064
CBX8|57332	76.5975	CBX8|57332	30.1353
CBY1|25776	370.0299	CBY1|25776	469.5264
CC2D1A|54862	388.3555	CC2D1A|54862	573.1857
CC2D1B|200014	493.8577	CC2D1B|200014	677.7368
CC2D2A|57545	360.0702	CC2D2A|57545	373.3087
lowly_expressed	lowly_expressed	CC2D2B|387707	8.6101
CCAR1|55749	1585.0108	CCAR1|55749	1495.695
CCBE1|147372	34.6857	CCBE1|147372	20.2952
CCBL1|883	78.6621	CCBL1|883	85.4859
CCBL2|56267	445.14300000000003	CCBL2|56267	683.7208
CCBP2|1238	52.0285	CCBP2|1238	214.6371
CCDC101|112869	161.247	CCDC101|112869	231.8573
CCDC102A|92922	58.8417	CCDC102A|92922	108.2411
CCDC102B|79839	122.2257	CCDC102B|79839	121.1562
CCDC103|388389	75.1523	CCDC103|388389	92.8659
CCDC104|112942	605.1409	CCDC104|112942	821.0332
CCDC106|29903	117.0641	CCDC106|29903	87.3309
CCDC107|203260	197.636	CCDC107|203260	279.4834
CCDC109A|90550	421.8024	CCDC109A|90550	476.6298
CCDC109B|55013	429.8544	CCDC109B|55013	235.5474
CCDC110|256309	32.2081	CCDC110|256309	61.5006
CCDC111|201973	188.9584	CCDC111|201973	216.3284
CCDC112|153733	388.9749	CCDC112|153733	226.3223
CCDC113|29070	362.5477	CCDC113|29070	313.6531
CCDC114|93233	9.0843	CCDC114|93233	22.1402
CCDC115|84317	665.015	CCDC115|84317	875.7688
CCDC117|150275	930.7319	CCDC117|150275	1093.4809
CCDC11|220136	37.1632	CCDC11|220136	19.0652
CCDC120|90060	346.4437	CCDC120|90060	386.8389
CCDC121|79635	163.93099999999998	CCDC121|79635	178.9668
CCDC122|160857	96.4179	CCDC122|160857	83.0258
CCDC123|84902	406.5242	CCDC123|84902	372.0787
CCDC124|115098	182.3062	CCDC124|115098	227.5523
CCDC125|202243	353.6699	CCDC125|202243	314.2681
CCDC126|90693	583.2559	CCDC126|90693	292.7429
CCDC127|133957	444.9262	CCDC127|133957	386.8389
lowly_expressed	lowly_expressed	CCDC129|223075	23.3702
CCDC12|151903	218.2306	CCDC12|151903	234.3173
CCDC130|81576	236.6058	CCDC130|81576	289.6679
CCDC132|55610	545.0604	CCDC132|55610	583.0258
CCDC134|79879	50.3768	CCDC134|79879	51.0455
CCDC136|64753	25.1884	CCDC136|64753	47.3555
CCDC137|339230	150.3045	CCDC137|339230	142.6814
CCDC138|165055	74.7393	CCDC138|165055	44.2804
CCDC13|152206	14.0394	CCDC13|152206	6.7651
CCDC141|285025	47.0734	CCDC141|285025	38.7454
CCDC142|84865	119.8328	CCDC142|84865	108.0812
CCDC144A|9720	77.6505	CCDC144A|9720	68.0689
CCDC144B|284047	93.5398	CCDC144B|284047	111.3223
CCDC146|57639	190.7711	CCDC146|57639	161.7466
CCDC147|159686	8.052	CCDC147|159686	19.6802
CCDC148|130940	73.9135	CCDC148|130940	36.2854
CCDC149|91050	608.0314	CCDC149|91050	618.6962
CCDC14|64770	1681.2223	CCDC14|64770	1664.8216
CCDC150|284992	19.4075	CCDC150|284992	8.6101
CCDC152|100129792	143.993	CCDC152|100129792	228.9668
CCDC153|283152	5.5745	lowly_expressed	lowly_expressed
CCDC154|645811	6.8133	lowly_expressed	lowly_expressed
CCDC157|550631	18.6064	CCDC157|550631	20.9287
CCDC158|339965	86.0948	CCDC158|339965	83.6408
CCDC159|126075	123.0515	CCDC159|126075	104.551
CCDC15|80071	114.1736	CCDC15|80071	78.7208
CCDC160|347475	180.2416	CCDC160|347475	39.9754
CCDC163P|126661	34.0663	CCDC163P|126661	47.9705
lowly_expressed	lowly_expressed	CCDC17|149483	10.4551
CCDC18|343099	82.3784	CCDC18|343099	55.3506
CCDC19|25790	24.7755	CCDC19|25790	11.0701
CCDC21|64793	408.7953	CCDC21|64793	282.9028
CCDC22|28952	360.2085	CCDC22|28952	266.5129
CCDC23|374969	187.0548	CCDC23|374969	254.6125
CCDC24|149473	123.3674	CCDC24|149473	131.5314
CCDC25|55246	1474.76	CCDC25|55246	1268.1427
CCDC28A|25901	427.7898	CCDC28A|25901	508.6101
CCDC28B|79140	41.2925	CCDC28B|79140	36.2854
CCDC30|728621	127.1808	CCDC30|728621	140.8364
CCDC34|91057	217.1983	CCDC34|91057	224.4772
CCDC36|339834	14.4524	CCDC36|339834	12.3001
CCDC39|339829	104.4782	CCDC39|339829	71.3407
CCDC3|83643	429.2351	CCDC3|83643	1503.075
CCDC40|55036	77.8363	CCDC40|55036	100.861
CCDC41|51134	274.1819	CCDC41|51134	246.0025
CCDC43|124808	409.6211	CCDC43|124808	424.3542
CCDC45|90799	441.6228	CCDC45|90799	654.3665
CCDC46|201134	233.5088	CCDC46|201134	321.6482
CCDC47|57003	2290.0795	CCDC47|57003	3372.6937
CCDC48|79825	92.7016	CCDC48|79825	47.3555
CCDC50|152137	2700.9394	CCDC50|152137	3410.8241
CCDC51|79714	184.3708	CCDC51|79714	128.5363
CCDC52|152185	812.6355	CCDC52|152185	446.4945
CCDC53|51019	417.0538	CCDC53|51019	466.7897
CCDC55|84081	764.1169	CCDC55|84081	842.5584
CCDC56|28958	454.0642	CCDC56|28958	584.1328
CCDC57|284001	321.6682	CCDC57|284001	448.9545
CCDC58|131076	146.5882	CCDC58|131076	129.7663
CCDC59|29080	399.9174	CCDC59|29080	413.8991
CCDC61|729440	67.3067	CCDC61|729440	102.706
CCDC62|84660	7.8456	CCDC62|84660	7.3801
CCDC64B|146439	226.6956	CCDC64B|146439	215.2522
CCDC64|92558	242.5932	CCDC64|92558	57.8106
CCDC65|85478	25.1884	CCDC65|85478	12.9151
CCDC66|285331	570.6431	CCDC66|285331	415.9164
CCDC68|80323	89.8111	CCDC68|80323	107.6261
CCDC69|26112	1124.1871	CCDC69|26112	1392.3739
CCDC6|8030	2278.5176	CCDC6|8030	4654.9815
CCDC71|64925	373.6967	CCDC71|64925	356.7036
CCDC72|51372	805.6158	CCDC72|51372	646.3715
CCDC73|493860	61.5609	CCDC73|493860	75.9287
CCDC74A|90557	1632.9101	CCDC74A|90557	165.4367
CCDC74B|91409	134.6134	CCDC74B|91409	36.2854
CCDC75|253635	155.4661	CCDC75|253635	138.3764
CCDC76|54482	386.7431	CCDC76|54482	472.46
CCDC77|84318	195.7262	CCDC77|84318	162.9766
CCDC78|124093	11.3554	CCDC78|124093	11.6851
CCDC7|221016	56.7668	CCDC7|221016	53.4994
CCDC80|151887	12031.7952	CCDC80|151887	9234.9323
CCDC81|60494	6.6068	lowly_expressed	lowly_expressed
CCDC82|79780	442.0357	CCDC82|79780	775.5228
CCDC84|338657	92.90799999999999	CCDC84|338657	132.2263
CCDC85A|114800	81.1252	CCDC85A|114800	160.3137
CCDC85B|11007	53.2673	CCDC85B|11007	49.8155
CCDC85C|317762	519.9504	CCDC85C|317762	552.5523
CCDC86|79080	270.6204	CCDC86|79080	362.8167
CCDC87|55231	21.0592	CCDC87|55231	9.8401
CCDC88A|55704	1685.9709	CCDC88A|55704	1171.5867
CCDC88B|283234	141.0137	CCDC88B|283234	80.5658
CCDC88C|440193	1179.7254	CCDC88C|440193	578.1058
CCDC89|220388	45.6282	CCDC89|220388	35.0554
CCDC8|83987	200.2684	CCDC8|83987	662.3616
CCDC90A|63933	237.6381	CCDC90A|63933	284.1328
CCDC90B|60492	584.059	CCDC90B|60492	597.6507
CCDC91|55297	853.1021	CCDC91|55297	587.9459
CCDC92|80212	619.1803	CCDC92|80212	845.0185
CCDC93|54520	1047.1766	CCDC93|54520	1480.3198
CCDC94|55702	175.4929	CCDC94|55702	188.8069
CCDC96|257236	65.0356	CCDC96|257236	37.5154
CCDC97|90324	854.3409	CCDC97|90324	858.5486
CCDC99|54908	311.5516	CCDC99|54908	204.18200000000002
CCDC9|26093	145.7624	CCDC9|26093	155.5966
CCHCR1|54535	125.3226	CCHCR1|54535	168.5117
CCIN|881	9.7037	CCIN|881	6.1501
CCL11|6356	17.3428	lowly_expressed	lowly_expressed
CCL13|6357	82.3784	CCL13|6357	102.09100000000001
CCL14|6358	794.0105	CCL14|6358	1693.0812
lowly_expressed	lowly_expressed	CCL16|6360	6.7651
CCL17|6361	48.1057	lowly_expressed	lowly_expressed
CCL18|6362	183.9579	CCL18|6362	54.1205
CCL19|6363	570.2488	CCL19|6363	40.5904
CCL20|6364	9.0843	lowly_expressed	lowly_expressed
CCL21|6366	166.6151	CCL21|6366	2374.5387
CCL22|6367	261.5877	CCL22|6367	121.7712
CCL23|6368	9.4973	lowly_expressed	lowly_expressed
CCL24|6369	13.833	CCL24|6369	15.9902
CCL28|56477	229.99900000000002	CCL28|56477	1586.7159
CCL2|6347	772.3753	CCL2|6347	453.2595
CCL3L1|6349	129.2702	CCL3L1|6349	9.8401
CCL3L3|414062	31.564	lowly_expressed	lowly_expressed
CCL3|6348	508.3101	CCL3|6348	37.5154
CCL4L2|388372	208.114	CCL4L2|388372	21.5252
CCL4|6351	340.2498	CCL4|6351	44.2804
CCL5|6352	1160.318	CCL5|6352	262.6076
CCL8|6355	181.4803	CCL8|6355	57.1956
CCM2|83605	515.7427	CCM2|83605	434.8093
CCNA1|8900	8.465	CCNA1|8900	6.7651
CCNA2|890	146.869	CCNA2|890	54.6863
CCNB1IP1|57820	420.9766	CCNB1IP1|57820	818.5732
CCNB1|891	280.3758	CCNB1|891	153.7515
CCNB2|9133	115.8253	CCNB2|9133	13.5301
CCNB3|85417	21.885	CCNB3|85417	10.4551
CCNC|892	1133.4779	CCNC|892	1261.9926
CCND1|595	8743.5986	CCND1|595	4726.2546
CCND2|894	1378.9615	CCND2|894	2135.3014
CCND3|896	978.8376	CCND3|896	1726.3223
CCNDBP1|23582	1063.0742	CCNDBP1|23582	1287.2079
CCNE1|898	22.9173	CCNE1|898	15.3752
CCNE2|9134	188.5909	CCNE2|9134	40.7626
CCNF|899	334.056	CCNF|899	122.3862
CCNG1|900	2252.7098	CCNG1|900	3233.7023
CCNG2|901	3289.1504	CCNG2|901	3472.9397
CCNH|902	891.7043	CCNH|902	623.9729
CCNI2|645121	35.528	CCNI2|645121	12.46
CCNI|10983	5395.4785	CCNI|10983	7990.1599
CCNJL|79616	27.6659	CCNJL|79616	49.8155
CCNJ|54619	186.4354	CCNJ|54619	280.4428
CCNK|8812	875.941	CCNK|8812	782.0111
