gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
CYTH2|9266	1333.7563	CYTH2|9266	1253.1338
CYTH3|9265	1378.1726	CYTH3|9265	1112.8184
CYTH4|27128	416.6667	CYTH4|27128	320.2588
CYTIP|9595	254.6531	CYTIP|9595	195.7137
CYTL1|54360	77.4112	CYTL1|54360	71.1686
CYTSA|23384	1306.6836	CYTSA|23384	2089.7695
CYTSB|92521	852.3689	CYTSB|92521	220.7845
CYYR1|116159	746.6159	CYYR1|116159	1104.7311
D2HGDH|728294	306.6836	D2HGDH|728294	715.7299
D4S234E|27065	19.0355	D4S234E|27065	381.7226
DAAM1|23002	746.1929	DAAM1|23002	788.1116
DAAM2|23500	1060.9433	DAAM2|23500	696.9956
DAB2IP|153090	754.6531	DAB2IP|153090	3206.6316
DAB2|1601	2806.6836	DAB2|1601	2499.7978
DACH1|1602	82.4873	DACH1|1602	198.9486
DACT1|51339	349.8308	DACT1|51339	190.0526
lowly_expressed	lowly_expressed	DACT2|168002	198.9486
DACT3|147906	132.4027	DACT3|147906	102.7093
DAD1|1603	2543.1472	DAD1|1603	1993.5301
DAG1|1605	4392.978	DAG1|1605	5584.3106
DAGLA|747	152.7073	DAGLA|747	322.2806
DAGLB|221955	502.9611	DAGLB|221955	433.4816
DAK|26007	384.5178	DAK|26007	756.9753
DALRD3|55152	706.4002	DALRD3|55152	867.5819
DAP3|7818	2733.5025	DAP3|7818	2088.5564
DAPK1|1612	650.5922	DAPK1|1612	477.1533
DAPK2|23604	334.6024	DAPK2|23604	352.6082
DAPK3|1613	709.3909	DAPK3|1613	381.3182
lowly_expressed	lowly_expressed	DAPL1|92196	14.5572
DAPP1|27071	319.3739	DAPP1|27071	313.3846
DAP|1611	3445.0085	DAP|1611	3642.9438
DARC|2532	1099.8308	DARC|2532	960.7764
DARS2|55157	1256.7682	DARS2|55157	392.2362
DARS|1615	1616.3283	DARS|1615	2500.2022
DAXX|1616	1771.5736	DAXX|1616	1427.8205
DAZAP1|26528	1050.7614	DAZAP1|26528	990.6996
DAZAP2|9802	5630.7107	DAZAP2|9802	7149.6159
lowly_expressed	lowly_expressed	DBC1|1620	247.4727
DBF4B|80174	151.0152	DBF4B|80174	161.7469
DBF4|10926	273.2657	DBF4|10926	160.1294
DBI|1622	2983.9255	DBI|1622	2797.8164
DBN1|1627	1401.8613	DBN1|1627	800.2426
DBNDD1|79007	519.4585	DBNDD1|79007	264.8605
DBNDD2|55861	486.4679	DBNDD2|55861	920.5742
DBNL|28988	1726.3113	DBNL|28988	1220.7845
DBP|1628	222.9103	DBP|1628	408.7303
DBR1|51163	318.1049	DBR1|51163	365.5479
DBT|1629	876.0575	DBT|1629	1007.683
DBX2|440097	15.2284	DBX2|440097	19.814
DCAF10|79269	872.6734	DCAF10|79269	1193.6919
DCAF11|80344	2084.5474	DCAF11|80344	2428.6211
DCAF12L2|340578	5.0761	DCAF12L2|340578	7.2786
DCAF12|25853	1133.2487	DCAF12|25853	1499.3934
DCAF13|25879	699.6997	DCAF13|25879	612.5839
DCAF15|90379	276.2267	DCAF15|90379	574.2014
DCAF16|54876	684.4332	DCAF16|54876	1760.2103
DCAF17|80067	359.9831	DCAF17|80067	494.9454
DCAF4L1|285429	15.6514	DCAF4L1|285429	9.3004
DCAF4|26094	240.2707	DCAF4|26094	460.5742
DCAF5|8816	1972.9272	DCAF5|8816	2059.442
DCAF6|55827	2349.8308	DCAF6|55827	1491.3061
DCAF7|10238	4217.0051	DCAF7|10238	2968.4594
DCAF8|50717	2804.797	DCAF8|50717	2819.0133
DCAKD|79877	450.9306	DCAKD|79877	1437.1209
DCBLD1|285761	175.9729	DCBLD1|285761	188.8516
DCBLD2|131566	1162.4365	DCBLD2|131566	1286.6963
lowly_expressed	lowly_expressed	DCDC1|341019	5.0303
DCDC2|51473	131.3917	DCDC2|51473	351.3951
DCHS1|8642	1683.5871	DCHS1|8642	1777.5981
DCHS2|54798	14.3824	DCHS2|54798	135.8674
DCI|1632	758.0372	DCI|1632	522.038
DCK|1633	624.7885	DCK|1633	353.8213
DCLK1|9201	1135.3638	DCLK1|9201	808.7343
DCLK2|166614	91.7936	DCLK2|166614	75.6167
DCLK3|85443	32.5719	DCLK3|85443	16.5791
DCLRE1A|9937	473.7733	DCLRE1A|9937	364.7392
DCLRE1B|64858	293.5702	DCLRE1B|64858	243.8334
DCLRE1C|64421	303.7225	DCLRE1C|64421	345.7339
DCN|1634	31611.2521	DCN|1634	32914.2742
DCP1A|55802	939.0863	DCP1A|55802	1133.4412
DCP1B|196513	311.3367	DCP1B|196513	479.5795
DCP2|167227	1128.5956	DCP2|167227	1488.4755
DCPS|28960	187.8173	DCPS|28960	335.6247
DCST2|127579	5.4992	DCST2|127579	112.0097
DCTD|1635	1377.3266	DCTD|1635	1676.9106
DCTN1|1639	3264.6277	DCTN1|1639	3777.5009999999997
DCTN2|10540	1772.8426	DCTN2|10540	2378.8920000000003
DCTN3|11258	533.4179	DCTN3|11258	845.9361
DCTN4|51164	1983.0795	DCTN4|51164	2393.0449
DCTN5|84516	2101.9459	DCTN5|84516	1203.3967
DCTN6|10671	483.0795	DCTN6|10671	598.059
DCTPP1|79077	2389.5939	DCTPP1|79077	493.3279
lowly_expressed	lowly_expressed	DCT|1638	21.8358
DCUN1D1|54165	620.1354	DCUN1D1|54165	514.355
DCUN1D2|55208	315.5668	DCUN1D2|55208	262.4343
DCUN1D3|123879	301.6074	DCUN1D3|123879	165.3862
DCUN1D4|23142	659.8985	DCUN1D4|23142	913.8698
DCUN1D5|84259	313.0288	DCUN1D5|84259	237.3635
DCXR|51181	2579.5262	DCXR|51181	855.6409
lowly_expressed	lowly_expressed	DCX|1641	340.8815
DDA1|79016	510.5753	DDA1|79016	646.9875
DDAH1|23576	898.4772	DDAH1|23576	1194.5006
DDAH2|23564	918.7817	DDAH2|23564	1013.7485
DDB1|1642	5142.978	DDB1|1642	6102.7093
DDB2|1643	285.11	DDB2|1643	854.0235
DDHD1|80821	535.11	DDHD1|80821	442.3777
DDHD2|23259	1193.3164	DDHD2|23259	1455.3174
DDI2|84301	209.7081	DDI2|84301	199.3732
DDIT3|1649	275.9941	DDIT3|1649	221.9046
DDIT4L|115265	41.4552	DDIT4L|115265	86.1302
DDIT4|54541	3855.3299	DDIT4|54541	2067.1249
DDOST|1650	5532.9949	DDOST|1650	4813.1824
DDO|8528	113.3672	DDO|8528	86.1302
DDR1|780	8178.5109999999995	DDR1|780	7023.0489
DDR2|4921	878.5956	DDR2|4921	575.4145
DDRGK1|65992	1395.5161	DDRGK1|65992	437.1209
DDTL|100037417	139.1032	DDTL|100037417	186.8015
DDT|1652	518.1684	DDT|1652	475.0708
DDX10|1662	448.3926	DDX10|1662	625.1516
lowly_expressed	lowly_expressed	DDX11L2|84771	6.4699
DDX11|1663	266.0745	DDX11|1663	509.5026
DDX12|440081	57.5296	DDX12|440081	107.1573
DDX17|10521	6186.9712	DDX17|10521	18045.6935
DDX18|8886	1758.8832	DDX18|8886	1989.8908
DDX19A|55308	807.9526	DDX19A|55308	943.3886
DDX19B|11269	603.198	DDX19B|11269	801.4072
DDX1|1653	2142.978	DDX1|1653	2102.3049
DDX20|11218	440.7783	DDX20|11218	549.9393
DDX21|9188	2280.8799	DDX21|9188	1861.7064
DDX23|9416	2881.5567	DDX23|9416	2253.1338
DDX24|57062	3037.6481	DDX24|57062	3132.6324
lowly_expressed	lowly_expressed	DDX25|29118	10.1092
DDX26B|203522	116.7513	DDX26B|203522	554.7918
DDX27|55661	1072.758	DDX27|55661	1006.0655
DDX28|55794	189.9323	DDX28|55794	262.8387
DDX31|64794	173.0118	DDX31|64794	475.9402
DDX39|10212	898.0541	DDX39|10212	437.1209
DDX3X|1654	8192.4704	DDX3X|1654	7893.2471
DDX41|51428	1202.1997	DDX41|51428	1035.1799
DDX42|11325	3442.8934	DDX42|11325	3627.9822
lowly_expressed	lowly_expressed	DDX43|55510	23.8698
DDX46|9879	1930.6261	DDX46|9879	1736.3526
DDX47|51202	957.2758	DDX47|51202	1048.1197
DDX49|54555	742.8088	DDX49|54555	627.1735
DDX50|79009	881.1337	DDX50|79009	1192.0744
DDX51|317781	326.1421	DDX51|317781	641.3263
DDX52|11056	816.4129	DDX52|11056	589.9717
DDX54|79039	1351.0195	DDX54|79039	1131.2212
DDX55|57696	476.3113	DDX55|57696	543.8738
DDX56|54606	1489.8477	DDX56|54606	1260.8168
DDX58|23586	1038.0711	DDX58|23586	615.4468
DDX59|83479	489.0017	DDX59|83479	530.1254
DDX5|1655	12016.0745	DDX5|1655	10807.5212
DDX60L|91351	664.1286	DDX60L|91351	389.8099
DDX60|55601	1625.6345	DDX60|55601	597.2503
DDX6|1656	3114.6362	DDX6|1656	4669.6320000000005
DEAF1|10522	307.1066	DEAF1|10522	790.9422
DECR1|1666	1201.3536	DECR1|1666	904.165
DECR2|26063	444.5854	DECR2|26063	236.1504
DEDD2|162989	461.9289	DEDD2|162989	491.3061
DEDD|9191	1056.1379	DEDD|9191	857.0279
DEF6|50619	289.3401	DEF6|50619	342.0946
DEF8|54849	572.335	DEF8|54849	887.5859
lowly_expressed	lowly_expressed	DEFA1B|728358	6.4699
DEFB132|400830	42.3012	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DEFB1|1672	86.5346
DEGS1|8560	2102.7919	DEGS1|8560	1553.1743
DEGS2|123099	1042.7242	DEGS2|123099	294.3793
DEK|7913	2020.7276	DEK|7913	2468.2572
DEM1|64789	167.9357	DEM1|64789	181.1565
DENND1A|57706	443.3164	DENND1A|57706	553.9830000000001
DENND1B|163486	867.1743	DENND1B|163486	207.4404
DENND1C|79958	159.0525	DENND1C|79958	173.0691
DENND2A|27147	294.4162	DENND2A|27147	301.6579
DENND2C|163259	88.3249	DENND2C|163259	142.6567
DENND2D|79961	943.3164	DENND2D|79961	675.6975
DENND3|22898	391.286	DENND3|22898	369.996
DENND4A|10260	597.2927	DENND4A|10260	685.8067
DENND4B|9909	961.2479	DENND4B|9909	908.5483
DENND4C|55667	1476.3113	DENND4C|55667	2275.374
DENND5A|23258	1617.5973	DENND5A|23258	1750.9098
DENND5B|160518	439.0863	DENND5B|160518	369.1872
DENR|8562	1606.599	DENR|8562	1366.761
DEPDC1B|55789	123.0964	DEPDC1B|55789	12.130999999999998
DEPDC1|55635	274.5347	DEPDC1|55635	31.5406
DEPDC4|120863	5.9222	DEPDC4|120863	13.3441
DEPDC5|9681	241.9628	DEPDC5|9681	412.0501
DEPDC6|64798	371.8274	DEPDC6|64798	988.2734
DEPDC7|91614	22.8426	DEPDC7|91614	12.130999999999998
DERA|51071	386.2098	DERA|51071	405.9846
DERL1|79139	2133.6717	DERL1|79139	1585.1193
DERL2|51009	420.8968	DERL2|51009	429.4379
DERL3|91319	265.6514	DERL3|91319	693.0853
DES|1674	207.2758	DES|1674	80.0647
DET1|55070	121.4044	DET1|55070	279.8221
DEXI|28955	709.3909	DEXI|28955	503.8415
DFFA|1676	574.8731	DFFA|1676	536.1909
DFFB|1677	150.5922	DFFB|1677	123.7364
DFNA5|1687	228.4264	DFNA5|1687	177.1128
DFNB31|25861	200.0846	DFNB31|25861	499.3934
DFNB59|494513	9.7293	DFNB59|494513	67.1249
DGAT1|8694	1197.2293	DGAT1|8694	622.9478
DGAT2|84649	2686.9712	DGAT2|84649	840.275
DGCR11|25786	20.3046	DGCR11|25786	23.0489
DGCR14|8220	269.4585	DGCR14|8220	295.9968
DGCR2|9993	1768.1895	DGCR2|9993	3181.9652
DGCR5|26220	26.2267	DGCR5|26220	17.7922
DGCR6L|85359	454.7377	DGCR6L|85359	407.6021
DGCR6|8214	229.6954	DGCR6|8214	365.1436
DGCR8|54487	594.7547	DGCR8|54487	984.6339999999999
DGCR9|25787	10.5753	lowly_expressed	lowly_expressed
DGKA|1606	541.8782	DGKA|1606	536.9996
DGKD|8527	1234.7716	DGKD|8527	949.8585
DGKE|8526	645.5161	DGKE|8526	313.7889
DGKG|1608	28.3418	DGKG|1608	29.1144
DGKH|160851	113.7902	DGKH|160851	59.8463
DGKI|9162	19.0355	lowly_expressed	lowly_expressed
DGKQ|1609	647.2081	DGKQ|1609	300.4448
DGKZ|8525	492.3858	DGKZ|8525	584.7149
DGUOK|1716	540.1861	DGUOK|1716	697.1289999999999
DHCR24|1718	17050.7614	DHCR24|1718	7579.0538
DHCR7|1717	2801.6074	DHCR7|1717	1691.4679
DHDDS|79947	834.1794	DHDDS|79947	672.0582
DHDH|27294	5.0761	DHDH|27294	7.2786
DHDPSL|112817	57.5719	DHDPSL|112817	13.7485
DHFRL1|200895	206.4298	DHFRL1|200895	347.7558
DHFR|1719	293.3418	DHFR|1719	217.0643
DHH|50846	9.7293	lowly_expressed	lowly_expressed
DHODH|1723	178.088	DHODH|1723	149.6159
DHPS|1725	836.2944	DHPS|1725	840.275
DHRS11|79154	203.4687	DHRS11|79154	199.35299999999998
DHRS12|79758	139.1709	DHRS12|79758	327.5374
DHRS13|147015	202.0516	DHRS13|147015	173.243
DHRS1|115817	269.4585	DHRS1|115817	762.2321
DHRS2|10202	1744.9239	DHRS2|10202	264.8605
DHRS3|9249	1578.6802	DHRS3|9249	872.6243
lowly_expressed	lowly_expressed	DHRS4L1|728635	13.3441
DHRS4L2|317749	250.8629	DHRS4L2|317749	279.0133
DHRS4|10901	430.9306	DHRS4|10901	541.3789
DHRS7B|25979	757.6142	DHRS7B|25979	488.4755
DHRS7|51635	1263.1134	DHRS7|51635	1017.7922
DHRS9|10170	51.1844	DHRS9|10170	31.5406
DHRSX|207063	497.8849	DHRSX|207063	338.4553
DHTKD1|55526	1071.489	DHTKD1|55526	942.1755
DHX15|1665	3419.2047	DHX15|1665	2893.6514
DHX16|8449	961.0829	DHX16|8449	915.8916
DHX29|54505	1197.5465	DHX29|54505	1072.7861
DHX30|22907	1556.2606	DHX30|22907	1575.8188
DHX32|55760	1024.1413	DHX32|55760	1114.6745
DHX33|56919	313.4518	DHX33|56919	587.1411
DHX34|9704	348.1387	DHX34|9704	523.6555
DHX35|60625	282.5719	DHX35|60625	374.0396
DHX36|170506	1157.3604	DHX36|170506	1048.9284
DHX37|57647	475.4653	DHX37|57647	394.25800000000004
DHX38|9785	1138.3249	DHX38|9785	1350.5863
DHX40|79665	1848.9848	DHX40|79665	1906.9956
DHX57|90957	549.4924	DHX57|90957	672.0582
DHX58|79132	523.2657	DHX58|79132	337.2422
DHX8|1659	1678.511	DHX8|1659	1234.5330000000001
DHX9|1660	4911.1675	DHX9|1660	4440.7602
DIABLO|56616	717.6904	DIABLO|56616	641.9895
DIAPH1|1729	3564.7208	DIAPH1|1729	2842.7012
DIAPH2|1730	360.4061	DIAPH2|1730	252.3251
DIAPH3|81624	210.6599	DIAPH3|81624	29.5188
DICER1|23405	2126.0575	DICER1|23405	2725.4347
DIDO1|11083	1777.4958	DIDO1|11083	2516.3769
DIMT1L|27292	417.0897	DIMT1L|27292	512.3332
DIO1|1733	425.9729	DIO1|1733	6.8742
DIO2|1734	530.4569	DIO2|1734	234.9373
DIO3|1735	30.4569	DIO3|1735	13.7485
DIP2A|23181	685.7022	DIP2A|23181	944.6017
DIP2B|57609	2498.308	DIP2B|57609	1945.0061
DIP2C|22982	1230.1184	DIP2C|22982	1109.1791
DIRAS1|148252	375.2115	DIRAS1|148252	210.2709
lowly_expressed	lowly_expressed	DIRAS2|54769	39.628
DIRAS3|9077	82.0643	DIRAS3|9077	154.4683
DIRC1|116093	5.9222	lowly_expressed	lowly_expressed
DIRC2|84925	564.9619	DIRC2|84925	306.1262
DIRC3|729582	18.1895	DIRC3|729582	15.366
DIS3L2|129563	376.0575	DIS3L2|129563	537.404
DIS3L|115752	941.2014	DIS3L|115752	1039.628
DIS3|22894	1105.4315	DIS3|22894	1232.7173
DISC1|27185	267.4958	DISC1|27185	215.5358
DISP1|84976	277.0728	DISP1|84976	266.0736
DISP2|85455	27.0728	DISP2|85455	15.366
DIXDC1|85458	791.4552	DIXDC1|85458	1594.8241
DKC1|1736	1227.5804	DKC1|1736	1479.1751
DKFZP586I1420|222161	220.3892	DKFZP586I1420|222161	269.3085
DKFZP686I15217|401232	43.1472	DKFZP686I15217|401232	104.3267
lowly_expressed	lowly_expressed	DKFZp434J0226|93429	15.366
DKFZp686O24166|374383	27.4958	DKFZp686O24166|374383	45.2891
DKFZp761E198|91056	372.2504	DKFZp761E198|91056	306.9147
DKK1|22943	6.7682	DKK1|22943	23.4533
DKK2|27123	245.7699	DKK2|27123	58.2289
DKK3|27122	431.8951	DKK3|27122	5402.7497
lowly_expressed	lowly_expressed	DKKL1|27120	6.8742
DLAT|1737	962.2589	DLAT|1737	846.3405
DLC1|10395	1840.9475	DLC1|10395	979.7816
DLD|1738	2156.0914	DLD|1738	1443.5908
lowly_expressed	lowly_expressed	DLEC1|9940	53.7808
DLEU1|10301	79.1032	DLEU1|10301	57.0158
DLEU2L|79469	6.7682	DLEU2L|79469	6.8742
DLEU2|8847	68.0499	DLEU2|8847	18.0914
DLG1|1739	1853.6379	DLG1|1739	1583.9062
DLG2|1740	39.7631	DLG2|1740	113.2228
DLG3|1741	1320.22	DLG3|1741	1099.07
DLG4|1742	194.1751	DLG4|1742	246.2636
DLG5|9231	3744.0778	DLG5|9231	3499.7978
DLGAP1|9229	5.4992	DLGAP1|9229	40.8411
DLGAP2|9228	9.3063	DLGAP2|9228	27.497
DLGAP4|22839	1579.1032	DLGAP4|22839	1733.1177
DLGAP5|9787	293.1472	DLGAP5|9787	30.7319
lowly_expressed	lowly_expressed	DLK1|8788	1669.2277
lowly_expressed	lowly_expressed	DLK2|65989	150.0202
DLL1|28514	114.2132	DLL1|28514	253.9426
DLL4|54567	413.2826	DLL4|54567	195.7137
DLST|1743	2333.3333	DLST|1743	2547.5131
DLX3|1747	5.0761	DLX3|1747	41.6498
DLX4|1748	8.0372	lowly_expressed	lowly_expressed
DLX5|1749	15.6514	DLX5|1749	8.0873
DMAP1|55929	403.1303	DMAP1|55929	659.5228
DMBT1|1755	5.9222	DMBT1|1755	25.4751
DMBX1|127343	8.0372	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DMC1|11144	18.6009
DMD|1756	541.0321	DMD|1756	2628.3866
DMGDH|29958	77.8342	DMGDH|29958	44.4804
DMKN|93099	21.9966	DMKN|93099	670.8451
DMPK|1760	567.2589	DMPK|1760	436.7165
DMRT2|10655	175.1269	DMRT2|10655	44.4804
DMRT3|58524	28.3418	DMRT3|58524	13.3441
DMRTA1|63951	15.2284	DMRTA1|63951	7.2786
lowly_expressed	lowly_expressed	DMRTC1B|728656	32.3494
DMTF1|9988	609.154	DMTF1|9988	1306.9147
DMWD|1762	495.3469	DMWD|1762	388.1925
DMXL1|1657	1178.511	DMXL1|1657	1484.0275
DMXL2|23312	954.7377	DMXL2|23312	473.514
DNA2|1763	198.8156	DNA2|1763	44.076
DNAH10|196385	26.6497	DNAH10|196385	29.1144
lowly_expressed	lowly_expressed	DNAH12|201625	9.3004
DNAH14|127602	129.0186	DNAH14|127602	62.6769
DNAH17|8632	29.6108	DNAH17|8632	35.1799
DNAH1|25981	197.1235	DNAH1|25981	511.5245
DNAH2|146754	26.2267	DNAH2|146754	69.9555
DNAH5|1767	58.7986	DNAH5|1767	410.0283
DNAH6|1768	18.6125	DNAH6|1768	77.2341
DNAH7|56171	29.1878	DNAH7|56171	83.704
DNAH9|1770	26.2267	DNAH9|1770	15.7703
lowly_expressed	lowly_expressed	DNAI1|27019	55.8027
DNAJA1|3301	2475.4653	DNAJA1|3301	1809.5431
DNAJA2|10294	1194.5854	DNAJA2|10294	1530.1254
DNAJA3|9093	2366.7513	DNAJA3|9093	955.924
DNAJA4|55466	1214.4669999999999	DNAJA4|55466	572.5839
DNAJB11|51726	1158.2064	DNAJB11|51726	686.6154
DNAJB12|54788	1168.7817	DNAJB12|54788	1423.3724
DNAJB14|79982	577.8342	DNAJB14|79982	397.8973
DNAJB1|3337	2387.0558	DNAJB1|3337	2578.245
DNAJB2|3300	1758.0372	DNAJB2|3300	1306.1059
DNAJB4|11080	434.8562	DNAJB4|11080	358.6737
DNAJB5|25822	151.4382	DNAJB5|25822	119.2883
DNAJB6|10049	1153.1303	DNAJB6|10049	1464.6179
DNAJB9|4189	876.0575	DNAJB9|4189	735.1395
DNAJC10|54431	3835.4484	DNAJC10|54431	2624.7473
DNAJC11|55735	1026.5439999999999	DNAJC11|55735	999.5875
DNAJC12|56521	175.1269	DNAJC12|56521	194.5006
DNAJC13|23317	1806.2606	DNAJC13|23317	1717.3474
DNAJC14|85406	1153.3799	DNAJC14|85406	1120.0081
DNAJC15|29103	696.2775	DNAJC15|29103	584.3106
DNAJC16|23341	821.9119999999999	DNAJC16|23341	884.3510000000001
DNAJC17|55192	244.0778	DNAJC17|55192	253.9426
DNAJC18|202052	167.5127	DNAJC18|202052	403.9628
DNAJC19|131118	373.5195	DNAJC19|131118	393.0449
DNAJC1|64215	1079.1032	DNAJC1|64215	494.9454
DNAJC21|134218	975.8883	DNAJC21|134218	918.3178
DNAJC22|79962	90.9475	DNAJC22|79962	70.7643
DNAJC24|120526	237.3393	DNAJC24|120526	361.9814
DNAJC25|548645	145.9349	DNAJC25|548645	198.9486
DNAJC27|51277	147.2081	DNAJC27|51277	259.1994
DNAJC28|54943	28.7648	DNAJC28|54943	32.7537
DNAJC2|27000	583.0753	DNAJC2|27000	493.4695
DNAJC30|84277	288.0711	DNAJC30|84277	319.4501
DNAJC3|5611	3346.4467	DNAJC3|5611	2207.4404
DNAJC4|3338	349.7335	DNAJC4|3338	853.0813
DNAJC5B|85479	11.8443	lowly_expressed	lowly_expressed
DNAJC5|80331	2122.2504	DNAJC5|80331	1832.1876
DNAJC6|9829	28.3418	DNAJC6|9829	93.4088
DNAJC7|7266	1661.7724	DNAJC7|7266	1322.2442
DNAJC8|22826	1717.4281	DNAJC8|22826	1481.1969
DNAJC9|23234	687.3942	DNAJC9|23234	511.1201
DNAL1|83544	501.69199999999995	DNAL1|83544	430.2467
DNAL4|10126	253.8071	DNAL4|10126	515.9725
DNALI1|7802	241.5398	DNALI1|7802	380.1051
DNASE1L1|1774	351.3452	DNASE1L1|1774	354.0598
DNASE1L2|1775	5.9222	DNASE1L2|1775	10.5135
DNASE1L3|1776	20.3046	DNASE1L3|1776	75.6167
DNASE1|1773	96.8697	DNASE1|1773	79.256
DNASE2|1777	1606.1760000000002	DNASE2|1777	931.6619
DND1|373863	56.4679	DND1|373863	66.8783
DNER|92737	8.8832	DNER|92737	145.9765
DNHD1|144132	109.5601	DNHD1|144132	410.837
DNLZ|728489	88.4095	DNLZ|728489	56.207
DNM1L|10059	1111.2521	DNM1L|10059	1600.4852
DNM1P35|100128285	13.5364	DNM1P35|100128285	41.6498
DNM1|1759	420.0508	DNM1|1759	467.4484
DNM2|1785	2161.5186	DNM2|1785	2010.4448
DNM3|26052	162.4365	DNM3|26052	101.9005
DNMBP|23268	811.7386	DNMBP|23268	1001.4436
DNMT1|1786	2008.0372	DNMT1|1786	1151.2333
DNMT3A|1788	846.0237	DNMT3A|1788	410.0283
DNMT3B|1789	83.7563	DNMT3B|1789	65.1031
DNPEP|23549	1864.6362	DNPEP|23549	1526.486
DNTTIP1|116092	467.8511	DNTTIP1|116092	363.5261
DNTTIP2|30836	1293.1472	DNTTIP2|30836	1330.368
DOC2A|8448	29.7758	DOC2A|8448	51.4679
DOC2B|8447	41.4552	DOC2B|8447	38.8192
DOCK10|55619	763.9594	DOCK10|55619	620.2992
DOCK11|139818	1177.242	DOCK11|139818	420.5419
DOCK1|1793	2324.8731	DOCK1|1793	3289.1225
DOCK2|1794	758.0372	DOCK2|1794	376.4658
DOCK3|1795	131.9797	DOCK3|1795	23.0489
DOCK4|9732	781.7259	DOCK4|9732	583.0975
DOCK5|80005	609.1371	DOCK5|80005	542.6607
DOCK6|57572	1002.5381	DOCK6|57572	831.7833
DOCK7|85440	936.5482	DOCK7|85440	1501.4153
DOCK8|81704	1026.2267	DOCK8|81704	1138.2936
DOCK9|23348	2214.89	DOCK9|23348	2279.4177
DOHH|83475	112.9442	DOHH|83475	64.6987
DOK1|1796	452.1997	DOK1|1796	122.9276
DOK2|9046	221.6582	DOK2|9046	80.0647
DOK3|79930	99.8308	DOK3|79930	83.2996
DOK4|55715	329.9492	DOK4|55715	460.1698
DOK5|55816	21.5736	DOK5|55816	91.7913
DOK6|220164	118.4433	DOK6|220164	57.0158
DOK7|285489	54.1455	DOK7|285489	92.1957
DOLK|22845	446.7005	DOLK|22845	306.5103
DOLPP1|57171	265.6514	DOLPP1|57171	360.2911
DOM3Z|1797	187.7073	DOM3Z|1797	323.1015
DONSON|29980	288.8156	DONSON|29980	127.1775
DOPEY1|23033	650.6303	DOPEY1|23033	1370.1698
DOPEY2|9980	1076.1421	DOPEY2|9980	763.8496
DOT1L|84444	338.786	DOT1L|84444	573.3805
DPAGT1|1798	1009.8266	DPAGT1|1798	826.1423
DPCD|25911	266.6667	DPCD|25911	221.4315
DPEP1|1800	8.8832	lowly_expressed	lowly_expressed
DPEP2|64174	48.6464	DPEP2|64174	31.5406
DPF2|5977	842.2166	DPF2|5977	1547.1088
DPF3|8110	8.4602	DPF3|8110	50.1415
DPH1|1801	358.5575	DPH1|1801	1025.0708
DPH2|1802	525.3807	DPH2|1802	551.1524
DPH3B|100132911	24.5347	DPH3B|100132911	24.6664
DPH3|285381	414.1286	DPH3|285381	404.3672
DPH5|51611	277.2293	DPH5|51611	599.4501
DPM1|8813	459.8139	DPM1|8813	414.07199999999995
DPM2|8818	495.3469	DPM2|8818	662.3534
DPM3|54344	429.78	DPM3|54344	184.3914
DPP3|10072	1044.5685	DPP3|10072	410.4327
DPP4|1803	791.4552	DPP4|1803	383.7444
DPP6|1804	5.9222	DPP6|1804	95.0263
DPP7|29952	1472.0812	DPP7|29952	1195.3093
DPP8|54878	695.4315	DPP8|54878	628.3866
DPP9|91039	1513.1134	DPP9|91039	711.2818
DPT|1805	2354.4839	DPT|1805	1479.1751
DPY19L1|23333	1523.2657	DPY19L1|23333	395.0667
DPY19L2P2|349152	12.6904	DPY19L2P2|349152	25.0708
lowly_expressed	lowly_expressed	DPY19L2P4|442523	22.6446
DPY19L2|283417	57.5296	DPY19L2|283417	171.4517
DPY19L3|147991	604.4839	DPY19L3|147991	497.3716
DPY19L4|286148	760.1523	DPY19L4|286148	999.1913
DPY30|84661	457.3985	DPY30|84661	404.0558
DPYD|1806	759.7293	DPYD|1806	987.4646
DPYSL2|1808	2515.6514	DPYSL2|1808	4184.3914
DPYSL3|1809	4668.7817	DPYSL3|1809	3045.2891
DPYSL4|10570	6.3452	DPYSL4|10570	5.6611
lowly_expressed	lowly_expressed	DPYS|1807	41.2455
DQX1|165545	129.4416	lowly_expressed	lowly_expressed
DR1|1810	1364.6362	DR1|1810	955.924
DRAM1|55332	653.1303	DRAM1|55332	600.0809
DRAM2|128338	947.9695	DRAM2|128338	951.4759
DRAP1|10589	837.9865	DRAP1|10589	375.6571
DRD1|1812	5.4992	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DRD2|1813	225.2325
DRG1|4733	846.8697	DRG1|4733	1002.8306
DRG2|1819	425.1269	DRG2|1819	695.1072
DRP2|1821	38.4941	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DSC1|1823	70.6066
DSC2|1824	278.7648	DSC2|1824	2768.702
DSC3|1825	17.3435	DSC3|1825	1326.7287
DSCAML1|57453	9.7293	DSCAML1|57453	33.1581
lowly_expressed	lowly_expressed	DSCAM|1826	35.9887
DSCC1|79075	72.335	DSCC1|79075	76.021
DSCR3|10311	1546.5313	DSCR3|10311	926.8095
