gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
?|100133144	14.6094	?|100133144	6.1331
?|10357	114.2361	?|10357	70.9352
?|10431	1910.3009	?|10431	746.988
?|155060	56.713	?|155060	154.3316
?|388795	9.5486	lowly_expressed	lowly_expressed
?|390284	13.3102	lowly_expressed	lowly_expressed
?|57714	3500.2894	?|57714	346.529
?|645851	26.331	?|645851	7.4584
?|652919	42.419	?|652919	24.3947
?|653553	836.8056	?|653553	181.2966
?|729884	40.7986	lowly_expressed	lowly_expressed
?|8225	165.7986	?|8225	339.0706
?|90288	12.1528	?|90288	9.7533
A1BG|1	101.5336	A1BG|1	62.9948
A2LD1|87769	100.5527	A2LD1|87769	61.5605
A2ML1|144568	128.1829	A2ML1|144568	24.0964
A2M|2	5933.1395	A2M|2	32892.5129
A4GALT|53947	114.294	A4GALT|53947	367.183
AAAS|8086	658.5648	AAAS|8086	508.8927
AACS|65985	1006.3657	AACS|65985	780.2639
lowly_expressed	lowly_expressed	AADACL3|126767	6.311
lowly_expressed	lowly_expressed	AADAC|13	61.9621
AADAT|51166	91.1458	AADAT|51166	118.187
AAGAB|79719	5026.6204	AAGAB|79719	1122.7768
AAK1|22848	1653.6458	AAK1|22848	1033.276
AAMP|14	1647.8588	AAMP|14	1578.887
AARS2|57505	194.4155	AARS2|57505	322.9317
AARSD1|80755	237.2685	AARSD1|80755	434.8824
AARS|16	4318.8657	AARS|16	2115.3184
AASDHPPT|60496	1483.5069	AASDHPPT|60496	983.362
AASDH|132949	329.5718	AASDH|132949	398.1641
AASS|10157	107.9282	AASS|10157	576.5921
AATF|26574	1412.037	AATF|26574	724.6127
AATK|9625	11.2847	AATK|9625	48.1928
ABAT|18	1649.5949	ABAT|18	472.7481
ABCA10|10349	8.1019	ABCA10|10349	483.0752
ABCA11P|79963	95.1591	ABCA11P|79963	106.747
ABCA12|26154	2186.9213	ABCA12|26154	30.4073
lowly_expressed	lowly_expressed	ABCA13|154664	10.9007
lowly_expressed	lowly_expressed	ABCA17P|650655	5.7372
ABCA1|19	517.3611	ABCA1|19	1601.7785
ABCA2|20	289.0625	ABCA2|20	962.1343
ABCA3|21	810.7639	ABCA3|21	772.2318
lowly_expressed	lowly_expressed	ABCA4|24	36.1446
ABCA5|23461	688.9468	ABCA5|23461	788.296
ABCA6|23460	54.9769	ABCA6|23460	569.7074
ABCA7|10347	125.2894	ABCA7|10347	187.0338
ABCA8|10351	14.4676	ABCA8|10351	2020.654
ABCA9|10350	28.6458	ABCA9|10350	807.8026
ABCB10|23456	925.3472	ABCB10|23456	486.5175
ABCB1|5243	46.875	ABCB1|5243	341.9392
ABCB4|5244	20.544	ABCB4|5244	10.9007
lowly_expressed	lowly_expressed	ABCB5|340273	236.9478
ABCB6|10058	701.794	ABCB6|10058	423.6431
ABCB7|22	785.8796	ABCB7|22	520.9409
ABCB8|11194	451.6782	ABCB8|11194	292.599
ABCB9|23457	335.3646	ABCB9|23457	155.9208
ABCC10|89845	323.7847	ABCC10|89845	329.3173
ABCC11|85320	2055.8449	ABCC11|85320	27.5387
ABCC12|94160	96.3542	lowly_expressed	lowly_expressed
ABCC13|150000	12.1528	lowly_expressed	lowly_expressed
ABCC1|4363	1899.5949	ABCC1|4363	1063.1096
ABCC2|1244	285.3009	ABCC2|1244	16.0643
ABCC3|8714	459.7801	ABCC3|8714	472.1744
