gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
CD300C|10871	34.5462	CD300C|10871	12.7324
CD300LB|124599	14.0631	CD300LB|124599	19.9667
CD300LF|146722	23.8461	CD300LF|146722	17.9411
CD300LG|146894	84.0727	CD300LG|146894	3026.55
CD302|9936	1492.2145	CD302|9936	3490.9007
CD320|51293	112.1989	CD320|51293	573.5369
CD33|945	55.3351	CD33|945	61.9258
CD34|947	2419.1545	CD34|947	6225.2767
CD36|948	7406.6544	CD36|948	49010.4898
CD37|951	147.968	CD37|951	130.2178
lowly_expressed	lowly_expressed	CD38|952	28.0692
CD3D|915	7.643	CD3D|915	29.8054
CD3EAP|10849	280.0386	CD3EAP|10849	364.9917
CD3E|916	37.6034	CD3E|916	83.3394
lowly_expressed	lowly_expressed	CD3G|917	13.6005
CD40LG|959	5.1972	CD40LG|959	17.6517
CD40|958	129.6249	CD40|958	553.5701
CD44|960	3505.3742	CD44|960	6061.7811
CD46|4179	10150.4825	CD46|4179	5051.5807
CD47|961	4026.6251	CD47|961	2558.0554
CD48|962	94.4672	CD48|962	118.0641
CD4|920	695.8165	CD4|920	919.3373
CD52|1043	118.0075	CD52|1043	85.365
CD53|963	639.8699	CD53|963	331.3318
CD55|1604	4624.6115	CD55|1604	1551.3275
CD58|965	295.6303	CD58|965	203.7184
CD59|966	9987.5343	CD59|966	14507.4152
CD5|921	6.4201	CD5|921	24.0179
CD63|967	5901.5998	CD63|967	8883.7445
CD68|968	2435.3576	CD68|968	1382.3338
CD69|969	310.9162	CD69|969	423.6418
CD6|923	24.7632	CD6|923	47.1678
CD70|970	40.6606	lowly_expressed	lowly_expressed
CD72|971	18.9546	CD72|971	15.3368
CD74|972	14134.0012	CD74|972	26080.3009
lowly_expressed	lowly_expressed	CD79A|973	80.735
lowly_expressed	lowly_expressed	CD79B|974	98.3867
lowly_expressed	lowly_expressed	CD7|924	31.831
CD80|941	31.7948	CD80|941	6.3662
CD81|975	7681.4958	CD81|975	16790.8558
CD82|3732	475.6988	CD82|3732	1026.984
CD83|9308	512.3851	CD83|9308	537.3653
CD84|8832	171.8141	CD84|8832	62.7939
CD86|942	216.1433	CD86|942	105.0423
CD8A|925	51.6665	CD8A|925	89.7056
CD8B|926	8.5601	CD8B|926	72.9219
CD93|22918	2937.3482	CD93|22918	6069.0154
CD96|10225	55.0294	CD96|10225	149.02700000000002
CD97|976	228.0664	CD97|976	740.7943
CD99L2|83692	614.4952	CD99L2|83692	2348.5495
CD99|4267	1836.1484	CD99|4267	3585.0394
CD9|928	11524.9952	CD9|928	2989.2209
CDADC1|81602	186.1829	CDADC1|81602	293.42400000000004
CDAN1|146059	139.7136	CDAN1|146059	346.3792
CDA|978	28.7376	CDA|978	29.516
CDC123|8872	1714.7688	CDC123|8872	690.047
CDC14A|8556	120.759	CDC14A|8556	434.6379
CDC14B|8555	577.8089	CDC14B|8555	1177.7472
CDC14C|168448	10.3944	CDC14C|168448	17.073
CDC16|8881	1755.4386	CDC16|8881	1547.2763
CDC20|991	352.1883	CDC20|991	30.9629
CDC23|8697	985.6381	CDC23|8697	776.6766
CDC25A|993	108.5302	CDC25A|993	24.8861
CDC25B|994	1021.4072	CDC25B|994	574.9837
CDC25C|995	61.7552	lowly_expressed	lowly_expressed
CDC26|246184	83.2565	CDC26|246184	106.1998
CDC27|996	2402.6457	CDC27|996	1696.0139
CDC34|997	213.0861	CDC34|997	579.9031
CDC37L1|55664	398.3519	CDC37L1|55664	479.2013
CDC37|11140	832.4729	CDC37|11140	2552.8467
CDC40|51362	674.1104	CDC40|51362	806.1926
CDC42BPA|8476	2087.1437	CDC42BPA|8476	2560.9491
CDC42BPB|9578	2036.0886	CDC42BPB|9578	4500.0362
CDC42BPG|55561	199.9402	CDC42BPG|55561	479.2013
CDC42EP1|11135	803.7353	CDC42EP1|11135	1392.4618
CDC42EP2|10435	180.9857	CDC42EP2|10435	813.1375
CDC42EP3|10602	538.9826	CDC42EP3|10602	1153.4399
CDC42EP4|23580	1277.2939999999999	CDC42EP4|23580	3037.8355
CDC42EP5|148170	18.3431	CDC42EP5|148170	72.9219
CDC42SE1|56882	3276.1185	CDC42SE1|56882	2326.5717
CDC42SE2|56990	1059.0106	CDC42SE2|56990	1304.7819
CDC42|998	5779.6179	CDC42|998	4702.5971
CDC45|8318	138.4907	CDC45|8318	9.2599
CDC5L|988	1654.8570000000002	CDC5L|988	1210.4464
CDC6|990	345.1568	CDC6|990	38.1972
CDC73|79577	2116.4927	CDC73|79577	1373.942
CDC7|8317	609.298	CDC7|8317	113.4341
CDCA2|157313	72.1497	CDCA2|157313	12.1537
CDCA3|83461	212.6337	CDCA3|83461	18.0424
CDCA4|55038	344.2396	CDCA4|55038	160.0231
CDCA5|113130	500.1563	CDCA5|113130	41.9591
CDCA7L|55536	101.4987	CDCA7L|55536	587.693
CDCA7|83879	180.6799	CDCA7|83879	86.2331
CDCA8|55143	332.3166	CDCA8|55143	40.5122
CDCP1|64866	1750.2413	CDCP1|64866	421.9055
CDH11|1009	5024.4919	CDH11|1009	772.9147
lowly_expressed	lowly_expressed	CDH12|1010	12.7324
CDH13|1012	531.3396	CDH13|1012	976.3438
CDH19|28513	7.9487	CDH19|28513	11.8643
CDH1|999	9350.7216	CDH1|999	5169.3554
lowly_expressed	lowly_expressed	CDH20|28316	226.2895
lowly_expressed	lowly_expressed	CDH22|64405	25.1754
CDH23|64072	46.4693	CDH23|64072	927.4137
CDH24|64403	50.7494	CDH24|64403	111.9873
CDH26|60437	184.6543	CDH26|60437	10.7068
CDH2|1000	93.8557	CDH2|1000	5.7875
CDH3|1001	260.4726	CDH3|1001	1897.128
lowly_expressed	lowly_expressed	CDH4|1002	9.2599
CDH5|1003	1123.2116	CDH5|1003	3992.1869
CDH6|1004	78.5698	CDH6|1004	123.5622
CDH7|1005	29.9605	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CDH8|1006	26.0436
lowly_expressed	lowly_expressed	CDHR1|92211	16.7836
CDHR3|222256	6.4843	CDHR3|222256	63.6157
CDIPT|10423	1524.6207	CDIPT|10423	1854.3008
CDK10|8558	83.4613	CDK10|8558	473.7032
CDK11A|728642	37.3803	CDK11A|728642	360.0839
CDK11B|984	176.3173	CDK11B|984	772.2318
CDK12|51755	11567.1844	CDK12|51755	1469.435
CDK13|8621	1298.3886	CDK13|8621	1274.3977
CDK14|5218	1606.2477	CDK14|5218	855.3860000000001
lowly_expressed	lowly_expressed	CDK15|65061	15.9155
CDK16|5127	1830.9511	CDK16|5127	1783.1151
CDK17|5128	1065.125	CDK17|5128	821.24
CDK18|5129	89.27	CDK18|5129	285.6109
CDK19|23097	746.2968	CDK19|23097	795.8446
CDK1|983	2043.4259	CDK1|983	75.8157
CDK20|23552	130.542	CDK20|23552	125.2984
CDK2AP1|8099	2738.3252	CDK2AP1|8099	1547.5657
CDK2AP2|10263	562.2173	CDK2AP2|10263	428.2717
CDK2|1017	1164.178	CDK2|1017	447.3703
CDK3|1018	37.047	CDK3|1018	103.2251
CDK4|1019	1712.3322	CDK4|1019	1475.8012
CDK5R1|8851	58.3923	CDK5R1|8851	32.9885
CDK5RAP1|51654	614.1895	CDK5RAP1|51654	395.2832
CDK5RAP2|55755	1413.0333	CDK5RAP2|55755	1523.2583
CDK5RAP3|80279	6562.5642	CDK5RAP3|80279	1592.4184
CDK5|1020	228.6778	CDK5|1020	124.4303
CDK6|1021	1938.87	CDK6|1021	849.8879
CDK7|1022	453.0756	CDK7|1022	297.7646
CDK8|1024	274.8414	CDK8|1024	169.8618
CDK9|1025	715.6882	CDK9|1025	1119.8727
CDKAL1|54901	417.0007	CDKAL1|54901	313.6801
CDKL1|8814	26.9033	CDKL1|8814	42.5378
lowly_expressed	lowly_expressed	CDKL2|8999	54.6915
CDKL3|51265	34.5493	CDKL3|51265	50.8168
CDKL5|6792	76.124	CDKL5|6792	131.954
CDKN1A|1026	2623.3748	CDKN1A|1026	5797.8731
CDKN1B|1027	1932.4499	CDKN1B|1027	1954.4238
CDKN1C|1028	277.2871	CDKN1C|1028	1302.4669
CDKN2AIPNL|91368	324.3679	CDKN2AIPNL|91368	282.4278
CDKN2AIP|55602	481.5074	CDKN2AIP|55602	556.1745
CDKN2A|1029	94.7729	CDKN2A|1029	25.7542
CDKN2BAS|100048912	9.4773	lowly_expressed	lowly_expressed
CDKN2B|1030	1179.1582	CDKN2B|1030	858.5691
CDKN2C|1031	386.4288	CDKN2C|1031	3085.5820000000003
CDKN2D|1032	53.1951	CDKN2D|1032	130.5071
CDKN3|1033	312.7505	CDKN3|1033	8.9706
CDNF|441549	44.0235	CDNF|441549	88.2587
CDO1|1036	576.2803	CDO1|1036	2498.734
CDON|50937	656.9902	CDON|50937	1217.6807
CDR1|1038	291.2065	CDR1|1038	210.429
CDR2L|30850	647.5129	CDR2L|30850	389.2064
CDR2|1039	936.7230000000001	CDR2|1039	537.0759
CDRT4|284040	145.2165	CDRT4|284040	257.6054
CDS1|1040	2328.6617	CDS1|1040	394.7045
CDS2|8760	1061.1507	CDS2|8760	982.1312
CDSN|1041	7.3373	CDSN|1041	26.9117
CDT1|81620	55.9466	CDT1|81620	25.1754
CDV3|55573	3711.1231	CDV3|55573	4918.4692
CDYL2|124359	89.27	CDYL2|124359	85.9437
CDYL|9425	804.9582	CDYL|9425	601.0273
CEACAM19|56971	11.6173	CEACAM19|56971	54.9808
CEACAM1|634	329.2594	CEACAM1|634	570.3538
CEACAM21|90273	6.7258	CEACAM21|90273	12.7324
CEACAM5|1048	1954.1559	lowly_expressed	lowly_expressed
CEACAM6|4680	5036.7207	CEACAM6|4680	97.2293
CEACAM7|1087	32.7119	CEACAM7|1087	6.6556
CEBPA|1050	455.5213	CEBPA|1050	4304.4202
CEBPB|1051	1434.4336	CEBPB|1051	1497.2148
CEBPD|1052	526.7539	CEBPD|1052	918.4692
CEBPG|1054	1074.2966	CEBPG|1054	1124.2133
CEBPZ|10153	2055.3489	CEBPZ|10153	1523.2583
CECR1|51816	693.3707	CECR1|51816	950.0109
lowly_expressed	lowly_expressed	CECR2|27443	111.1191
CECR5|27440	840.4216	CECR5|27440	456.9196
CECR6|27439	11.3116	CECR6|27439	19.387999999999998
CECR7|100130418	34.2405	CECR7|100130418	85.6543
CELF1|10658	2216.7685	CELF1|10658	2300.2243
CELF2|10659	933.9716	CELF2|10659	4005.2087
lowly_expressed	lowly_expressed	CELF4|56853	6.9449
lowly_expressed	lowly_expressed	CELF5|60680	21.9923
CELF6|60677	27.5422	CELF6|60677	76.597
lowly_expressed	lowly_expressed	CELP|1057	29.8054
CELSR1|9620	2739.548	CELSR1|9620	1019.4603
CELSR2|1952	291.0445	CELSR2|1952	1269.4784
CELSR3|1951	379.0702	CELSR3|1951	39.6441
lowly_expressed	lowly_expressed	CEL|1056	3060.4066
CEMP1|752014	43.1064	CEMP1|752014	119.6875
CENPA|1058	296.2417	lowly_expressed	lowly_expressed
CENPBD1|92806	178.2342	CENPBD1|92806	269.6954
CENPB|1059	1279.4341	CENPB|1059	1609.7808
CENPC1|1060	453.3813	CENPC1|1060	736.4537
CENPE|1062	718.1339999999999	CENPE|1062	35.0141
CENPF|1063	2573.5426	CENPF|1063	183.173
CENPH|64946	194.743	CENPH|64946	84.4969
CENPI|2491	112.5046	CENPI|2491	15.9155
CENPJ|55835	176.0941	CENPJ|55835	275.1935
CENPK|64105	75.8183	CENPK|64105	8.6812
CENPL|91687	174.8713	CENPL|91687	90.2843
CENPM|79019	52.278	lowly_expressed	lowly_expressed
CENPN|55839	363.3593	CENPN|55839	128.441
CENPO|79172	97.2034	CENPO|79172	52.3938
CENPP|401541	98.1725	CENPP|401541	28.8476
CENPQ|55166	306.0247	CENPQ|55166	142.3714
CENPT|80152	87.4356	CENPT|80152	489.3294
CENPV|201161	98.7472	CENPV|201161	109.0935
CENPW|387103	68.1753	CENPW|387103	55.2702
CEP110|11064	535.314	CEP110|11064	739.6368
CEP120|153241	513.9137	CEP120|153241	964.1901
CEP135|9662	240.6009	CEP135|9662	244.8094
CEP152|22995	68.7868	CEP152|22995	113.1448
CEP164|22897	117.0904	CEP164|22897	585.1118
CEP170|9859	1405.6960000000001	CEP170|9859	1184.4028
CEP192|55125	992.6696	CEP192|55125	721.4064
CEP250|11190	249.4667	CEP250|11190	827.0274
CEP290|80184	708.7942	CEP290|80184	607.2488
CEP350|9857	2010.4082	CEP350|9857	1913.0435
CEP55|55165	535.6197	CEP55|55165	28.3585
CEP57|9702	751.1516	CEP57|9702	1028.4309
CEP63|80254	481.8132	CEP63|80254	782.9965
CEP68|23177	708.9624	CEP68|23177	2445.5704
CEP70|80321	468.6672	CEP70|80321	331.6212
CEP72|55722	23.2346	CEP72|55722	68.292
CEP76|79959	296.8532	CEP76|79959	174.2024
CEP78|84131	465.9158	CEP78|84131	237.8644
CEP97|79598	261.6955	CEP97|79598	190.1179
CEPT1|10390	978.3008	CEPT1|10390	1134.9201
CERCAM|51148	1778.3675	CERCAM|51148	752.948
CERKL|375298	43.7851	CERKL|375298	37.06
CERK|64781	841.6444	CERK|64781	918.1798
CES1|1066	452.7699	CES1|1066	2995.8764
CES2|8824	471.7244	CES2|8824	1575.3454
CES3|23491	5.1972	CES3|23491	64.8195
lowly_expressed	lowly_expressed	CES4|51716	20.5455
CES8|283848	67.8696	CES8|283848	59.3214
CETN2|1069	2367.7937	CETN2|1069	706.9377
CETN3|1070	382.7602	CETN3|1070	324.6763
lowly_expressed	lowly_expressed	CETN4P|729338	8.6812
CETP|1071	21.4003	CETP|1071	238.7325
CFB|629	14782.578000000001	CFB|629	878.0554
CFDP1|10428	323.7564	CFDP1|10428	715.9083
CFD|1675	268.1156	CFD|1675	5307.965
lowly_expressed	lowly_expressed	CFHR1|3078	42.5378
CFH|3075	3032.4269	lowly_expressed	lowly_expressed
CFI|3426	376.3401	CFI|3426	784.779
CFL1|1072	16795.2852	CFL1|1072	7153.5846
CFL2|1073	503.8249	CFL2|1073	1594.7334
CFLAR|8837	645.6785	CFLAR|8837	2300.5136
lowly_expressed	lowly_expressed	CFP|5199	56.1383
lowly_expressed	lowly_expressed	CFTR|1080	8.3918
CG030|116828	33.3234	CG030|116828	40.2228
lowly_expressed	lowly_expressed	CGB7|94027	9.312000000000001
CGGBP1|8545	3977.0986	CGGBP1|8545	2750.2163
CGNL1|84952	115.8675	CGNL1|84952	908.0518
CGN|57530	797.6209	CGN|57530	821.5293
CGREF1|10669	57.358999999999995	CGREF1|10669	99.9031
CGRRF1|10668	417.0007	CGRRF1|10668	275.7723
CH25H|9023	215.2262	CH25H|9023	196.1947
CHAC1|79094	40.6606	CHAC1|79094	13.8899
CHAC2|494143	85.2956	CHAC2|494143	30.0948
CHADL|150356	12.8402	CHADL|150356	80.1765
CHAD|1101	2176.967	CHAD|1101	121.5366
CHAF1A|10036	197.4945	CHAF1A|10036	333.3574
CHAF1B|8208	438.7068	CHAF1B|8208	117.4854
CHCHD10|400916	163.8654	CHCHD10|400916	807.6394
CHCHD1|118487	492.819	CHCHD1|118487	289.9515
CHCHD2|51142	2838.6009999999997	CHCHD2|51142	2346.2345
CHCHD3|54927	900.0368	CHCHD3|54927	902.5537
CHCHD4|131474	213.0861	CHCHD4|131474	224.8427
CHCHD5|84269	228.3721	CHCHD5|84269	168.1256
CHCHD6|84303	40.6606	CHCHD6|84303	87.3906
CHCHD7|79145	306.6362	CHCHD7|79145	439.5573
CHCHD8|51287	401.7148	CHCHD8|51287	389.2064
CHD1L|9557	674.1104	CHD1L|9557	603.0529
CHD1|1105	1110.0657	CHD1|1105	1165.0148
CHD2|1106	1346.3865	CHD2|1106	3221.2978
CHD3|1107	1763.9987	CHD3|1107	3868.3354
CHD4|1108	4436.8786	CHD4|1108	5519.7106
CHD6|84181	1572.6186	CHD6|84181	2353.1795
CHD7|55636	750.2344	CHD7|55636	709.8314
CHD8|57680	1919.3039	CHD8|57680	2324.821
CHD9|80205	1019.2672	CHD9|80205	2502.4958
CHDH|55349	149.4966	CHDH|55349	453.7365
CHEK1|1111	216.4491	CHEK1|1111	89.1268
CHEK2|11200	199.9402	CHEK2|11200	106.4892
CHERP|10523	797.1409	CHERP|10523	1031.3333
CHFR|55743	383.6774	CHFR|55743	320.3357
lowly_expressed	lowly_expressed	CHGB|1114	33.5672
CHI3L1|1116	178.5399	CHI3L1|1116	653.9825
CHI3L2|1117	206.0546	CHI3L2|1117	497.1424
CHIA|27159	6.1144	CHIA|27159	11.5749
CHIC1|53344	255.8868	CHIC1|53344	399.3344
CHIC2|26511	255.5811	CHIC2|26511	244.2306
CHID1|66005	574.446	CHID1|66005	1132.6051
CHIT1|1118	191.9915	CHIT1|1118	19.0986
CHKA|1119	417.0007	CHKA|1119	570.0644
CHKB-CPT1B|386593	84.9746	CHKB-CPT1B|386593	301.3673
CHKB|1120	122.5628	CHKB|1120	244.6763
CHL1|10752	225.6206	CHL1|10752	1369.8908
CHML|1122	1444.5223	CHML|1122	476.3076
CHMP1A|5119	892.6995	CHMP1A|5119	1388.7
CHMP1B|57132	3186.2035	CHMP1B|57132	1562.6129999999998
CHMP2A|27243	545.4027	CHMP2A|27243	1409.8242
CHMP2B|25978	2538.3849	CHMP2B|25978	1059.3938
CHMP4A|29082	410.8619	CHMP4A|29082	855.2847
CHMP4B|128866	3553.9835	CHMP4B|128866	2212.5443
CHMP4C|92421	389.1803	CHMP4C|92421	252.0437
CHMP5|51510	1619.3936	CHMP5|51510	1270.9426
CHMP6|79643	173.9541	CHMP6|79643	391.5214
CHMP7|91782	431.6752	CHMP7|91782	934.0953
CHM|1121	1033.9417	CHM|1121	794.0389
CHN1|1123	280.3443	CHN1|1123	212.9784
CHN2|1124	80.4041	CHN2|1124	118.3535
lowly_expressed	lowly_expressed	CHODL|140578	33.5672
CHORDC1|26973	563.4401	CHORDC1|26973	315.9951
CHPF2|54480	564.0516	CHPF2|54480	754.6842
CHPF|79586	1402.3331	CHPF|79586	872.7483
CHPT1|56994	1422.2048	CHPT1|56994	1689.9371
CHP|11261	4429.2570000000005	CHP|11261	5566.6643
CHRAC1|54108	1351.5837	CHRAC1|54108	552.9914
CHRDL1|91851	1310.006	CHRDL1|91851	12253.7799
lowly_expressed	lowly_expressed	CHRDL2|25884	298.3433
CHRD|8646	50.1379	CHRD|8646	200.8247
CHRFAM7A|89832	32.7119	CHRFAM7A|89832	46.7916
lowly_expressed	lowly_expressed	CHRM1|1128	55.8489
lowly_expressed	lowly_expressed	CHRM3|1131	19.387999999999998
CHRM4|1132	5.8087	lowly_expressed	lowly_expressed
CHRNA10|57053	7.3373	CHRNA10|57053	9.5493
CHRNA1|1134	25.9861	lowly_expressed	lowly_expressed
CHRNA5|1138	31.7948	CHRNA5|1138	24.0179
CHRNA6|8973	28.1261	lowly_expressed	lowly_expressed
CHRNA7|1139	6.4201	CHRNA7|1139	19.5616
CHRNB1|1140	84.9899	CHRNB1|1140	184.261
lowly_expressed	lowly_expressed	CHRNB2|1141	37.6185
CHRNE|1145	24.378	CHRNE|1145	21.8795
CHST10|9486	267.8099	CHST10|9486	203.4291
CHST11|50515	166.9226	CHST11|50515	87.68
CHST12|55501	207.2775	CHST12|55501	264.1974
CHST13|166012	10.0887	lowly_expressed	lowly_expressed
CHST14|113189	350.35400000000004	CHST14|113189	520.5816
CHST15|51363	1701.632	CHST15|51363	957.8239
CHST1|8534	85.2956	CHST1|8534	53.534
CHST2|9435	67.8696	CHST2|9435	194.7479
CHST3|9469	398.6576	CHST3|9469	969.1095
CHST6|4166	250.3839	CHST6|4166	18.5199
CHST7|56548	74.2897	CHST7|56548	111.6979
CHST8|64377	14.0631	CHST8|64377	21.1242
lowly_expressed	lowly_expressed	CHST9|83539	195.0373
CHSY1|22856	2269.0465	CHSY1|22856	1485.9292
CHSY3|337876	202.0803	CHSY3|337876	84.4969
CHTF18|63922	36.0748	CHTF18|63922	91.1524
CHTF8|54921	2359.845	CHTF8|54921	2186.1217
CHUK|1147	655.7673	CHUK|1147	516.241
CHURC1|91612	2820.906	CHURC1|91612	1843.8371
CIAO1|9391	2099.9839	CIAO1|9391	1690.5158
CIAPIN1|57019	741.98	CIAPIN1|57019	578.4562
CIB1|10519	1962.7160000000001	CIB1|10519	957.2452
CIB2|10518	33.0177	CIB2|10518	100.9911
CIB3|117286	6.4201	lowly_expressed	lowly_expressed
CIC|23152	529.811	CIC|23152	1908.7029
CIDEA|1149	155.611	CIDEA|1149	2567.3153
CIDEB|27141	382.2099	CIDEB|27141	406.4414
CIDECP|152302	65.7296	CIDECP|152302	125.31
CIDEC|63924	1316.7318	CIDEC|63924	12368.36
CIITA|4261	60.8381	CIITA|4261	428.2717
CILP2|148113	239.0723	CILP2|148113	23.7286
CILP|8483	6670.1773	CILP|8483	2254.5034
CINP|51550	295.0188	CINP|51550	404.2538
CIR1|9541	682.0591	CIR1|9541	1140.1288
CIRBP|1153	2765.2284	CIRBP|1153	7330.9701
CIRH1A|84916	673.1933	CIRH1A|84916	962.7433
CISD1|55847	616.6352	CISD1|55847	250.8862
CISD2|493856	897.2853	CISD2|493856	324.6763
CISD3|284106	287.1435	CISD3|284106	514.1373
CISH|1154	1828.1997	CISH|1154	780.7278
CITED1|4435	5.8087	CITED1|4435	69.4495
CITED2|10370	1854.4915	CITED2|10370	4601.606
CITED4|163732	740.7572	CITED4|163732	358.8223
CIT|11113	504.4364	CIT|11113	59.032
CIZ1|25792	793.9523	CIZ1|25792	2260.2908
CKAP2L|150468	361.0541	CKAP2L|150468	13.3111
CKAP2|26586	1366.5639999999999	CKAP2|26586	246.835
CKAP4|10970	3009.1922	CKAP4|10970	1165.8829
CKAP5|9793	4943.1707	CKAP5|9793	2252.7671
CKB|1152	233.875	CKB|1152	2031.1076
CKLF|51192	423.4208	CKLF|51192	197.93099999999998
CKMT1A|548596	155.3053	CKMT1A|548596	11.2855
CKMT1B|1159	427.0895	CKMT1B|1159	123.5622
CKMT2|1160	66.9525	CKMT2|1160	355.6392
CKS1B|1163	988.6953	CKS1B|1163	511.0323
CKS2|1164	1144.0005	CKS2|1164	49.1934
CLASP1|23332	1493.4374	CLASP1|23332	2490.9209
CLASP2|23122	1408.1418	CLASP2|23122	1393.0406
CLCA2|9635	2957.8314	CLCA2|9635	523.4754
lowly_expressed	lowly_expressed	CLCA4|22802	72.0538
CLCC1|23155	637.0756	CLCC1|23155	941.1474
CLCF1|23529	85.2956	CLCF1|23529	92.8887
lowly_expressed	lowly_expressed	CLCN1|1180	8.6812
CLCN2|1181	26.2918	CLCN2|1181	61.6364
CLCN3|1182	2191.6996	CLCN3|1182	1652.8973
CLCN4|1183	107.3074	CLCN4|1183	288.79400000000004
CLCN5|1184	171.2026	CLCN5|1184	166.1
CLCN6|1185	238.1551	CLCN6|1185	981.8419
CLCN7|1186	992.0582	CLCN7|1186	1268.8997
lowly_expressed	lowly_expressed	CLCNKA|1187	26.0436
lowly_expressed	lowly_expressed	CLCNKB|1188	9.5493
lowly_expressed	lowly_expressed	CLDN10|9071	11.546
CLDN11|5010	64.8124	CLDN11|5010	982.9993
CLDN12|9069	1619.6993	CLDN12|9069	1019.9146
CLDN14|23562	22.9289	lowly_expressed	lowly_expressed
CLDN15|24146	59.0038	CLDN15|24146	138.6096
lowly_expressed	lowly_expressed	CLDN18|51208	5.2087
lowly_expressed	lowly_expressed	CLDN19|149461	162.6275
CLDN1|9076	482.4246	CLDN1|9076	782.7534
lowly_expressed	lowly_expressed	CLDN20|49861	5.4981
CLDN23|137075	95.9958	CLDN23|137075	185.7773
CLDN2|9075	11.1068	CLDN2|9075	58.6298
CLDN3|1365	830.6385	CLDN3|1365	324.6763
CLDN4|1364	3883.5486	CLDN4|1364	3041.8867
CLDN5|7122	82.8499	CLDN5|7122	1039.427
CLDN7|1366	1383.3785	CLDN7|1366	488.1719
lowly_expressed	lowly_expressed	CLDN8|9073	630.5433
CLDN9|9080	9.1716	CLDN9|9080	6.3662
CLDND1|56650	1430.1535	CLDND1|56650	1353.1071
lowly_expressed	lowly_expressed	CLDND2|125875	10.4174
CLEC10A|10462	28.1261	CLEC10A|10462	142.3714
CLEC11A|6320	235.4036	CLEC11A|6320	90.5737
CLEC12A|160364	17.1203	CLEC12A|160364	10.128
CLEC14A|161198	325.8965	CLEC14A|161198	1289.1558
CLEC16A|23274	486.3989	CLEC16A|23274	804.7457
CLEC1A|51267	55.6409	CLEC1A|51267	191.8542
CLEC2B|9976	298.6875	CLEC2B|9976	401.3601
CLEC2D|29121	658.2130000000001	CLEC2D|29121	349.5623
CLEC3A|10143	10.0887	lowly_expressed	lowly_expressed
CLEC3B|7123	271.7842	CLEC3B|7123	2056.283
CLEC4A|50856	59.6152	CLEC4A|50856	40.8016
CLEC4E|26253	9.1716	CLEC4E|26253	20.8348
lowly_expressed	lowly_expressed	CLEC4F|165530	37.6185
CLEC4G|339390	13.7574	CLEC4G|339390	60.4789
lowly_expressed	lowly_expressed	CLEC4M|10332	21.1242
CLEC5A|23601	227.7607	CLEC5A|23601	20.2561
CLEC7A|64581	180.3742	CLEC7A|64581	102.7273
CLECL1|160365	8.8659	CLECL1|160365	6.6556
CLGN|1047	1113.7344	CLGN|1047	31.831
CLIC1|1192	6356.2039	CLIC1|1192	3410.5476
CLIC2|1193	360.4427	CLIC2|1193	696.2309
CLIC3|9022	116.1732	CLIC3|9022	15.6261
CLIC4|25932	10398.4207	CLIC4|25932	7233.7409
CLIC5|53405	119.2304	CLIC5|53405	718.2233
CLIC6|54102	154.3881	CLIC6|54102	293.42400000000004
CLINT1|9685	2751.7768	CLINT1|9685	1770.0933
CLIP1|6249	1789.0676	CLIP1|6249	2646.6035
CLIP2|7461	147.968	CLIP2|7461	505.5343
CLIP3|25999	314.5849	CLIP3|25999	933.806
CLIP4|79745	264.1412	CLIP4|79745	1442.5233
CLK1|1195	1758.8015	CLK1|1195	2067.5685
CLK2P|1197	11.6173	CLK2P|1197	11.2855
CLK2|1196	519.4166	CLK2|1196	553.5701
CLK3|1198	427.0895	CLK3|1198	895.03
CLK4|57396	397.7404	CLK4|57396	606.5254
CLMN|79789	1162.6494	CLMN|79789	3049.1209999999996
CLN3|1201	1647.5197	CLN3|1201	711.4288
CLN5|1203	1446.9681	CLN5|1203	715.0402
CLN6|54982	510.245	CLN6|54982	607.6828
CLN8|2055	192.9087	CLN8|2055	484.6994
CLNS1A|1207	1235.1048	CLNS1A|1207	998.9149
CLOCK|9575	501.0735	CLOCK|9575	483.5419
CLP1|10978	270.5613	CLP1|10978	207.1909
CLPB|81570	132.9878	CLPB|81570	369.8184
CLPP|8192	259.8612	CLPP|8192	490.4869
CLPTM1L|81037	1767.6673	CLPTM1L|81037	1426.3185
CLPTM1|1209	2132.0844	CLPTM1|1209	2713.4486
CLPX|10845	708.6567	CLPX|10845	910.0774
CLSPN|63967	176.3999	CLSPN|63967	14.1793
CLSTN1|22883	2208.8198	CLSTN1|22883	4623.0196
CLSTN2|64084	126.8734	CLSTN2|64084	764.8123
CLSTN3|9746	559.7715	CLSTN3|9746	1153.1505
CLTA|1211	1786.0105	CLTA|1211	1602.8359
CLTB|1212	240.9066	CLTB|1212	762.7867
CLTCL1|8218	37.9092	CLTCL1|8218	179.9899
CLTC|1213	34271.7124	CLTC|1213	9076.4668
CLUAP1|23059	416.3893	CLUAP1|23059	485.1306
CLUL1|27098	158.6682	CLUL1|27098	36.1716
CLU|1191	3095.405	CLU|1191	19309.5565
CLVS1|157807	5.8912	CLVS1|157807	21.049
CLYBL|171425	65.7296	CLYBL|171425	174.7812
CMA1|1215	11.3116	CMA1|1215	116.9066
CMAH|8418	269.0327	CMAH|8418	268.2486
CMAS|55907	982.2752	CMAS|55907	580.4818
