gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
C4orf52|389203	273.3635	C4orf52|389203	494.3992
C5AR1|728	66.2824	C5AR1|728	864.5621
C5orf13|9315	975.2985	C5orf13|9315	638.4929
C5orf15|56951	2198.4356	C5orf15|56951	1175.6619
lowly_expressed	lowly_expressed	C5orf20|140947	12.7291
C5orf22|55322	1193.4953	C5orf22|55322	403.7678
C5orf23|79614	95.9242	C5orf23|79614	2167.5153
C5orf24|134553	1116.5089	C5orf24|134553	968.9409
C5orf25|375484	450.1112	C5orf25|375484	246.4358
C5orf27|202299	9.4689	C5orf27|202299	31.5682
C5orf28|64417	162.6184	C5orf28|64417	162.9328
C5orf30|90355	1471.7991	C5orf30|90355	387.4745
C5orf32|84418	560.7246	C5orf32|84418	2013.7475
C5orf33|133686	825.8543	C5orf33|133686	718.9409
C5orf34|375444	16.8794	C5orf34|375444	8.1466
C5orf35|133383	162.6184	C5orf35|133383	189.4094
C5orf36|285600	53.1083	C5orf36|285600	46.8432
C5orf38|153571	83.1618	C5orf38|153571	37.6782
C5orf39|389289	17.7028	C5orf39|389289	40.7332
C5orf41|153222	372.1696	C5orf41|153222	936.3544
C5orf42|65250	949.7736	C5orf42|65250	418.5336
C5orf43|643155	1081.515	C5orf43|643155	655.8045
C5orf44|80006	605.599	C5orf44|80006	463.3401
C5orf45|51149	207.0152	C5orf45|51149	128.3707
C5orf46|389336	10.704	lowly_expressed	lowly_expressed
C5orf49|134121	34.9938	C5orf49|134121	5.6008
C5orf4|10826	120.2141	C5orf4|10826	4014.2566
C5orf51|285636	1172.0873	C5orf51|285636	794.2974
C5orf53|492311	351.1733	C5orf53|492311	805.4989999999999
C5orf54|63920	125.1544	C5orf54|63920	120.6721
C5orf55|116349	78.6332	C5orf55|116349	74.3381
C5orf56|441108	28.8308	C5orf56|441108	148.7373
C5orf62|85027	459.86	C5orf62|85027	2729.1242
C5|727	68.3409	C5|727	101.833
C6orf105|84830	8.6455	C6orf105|84830	29.5316
C6orf106|64771	2574.3104	C6orf106|64771	5466.3951
C6orf108|10591	311.6509	C6orf108|10591	221.4868
C6orf114|85411	7.4105	C6orf114|85411	13.7475
C6orf115|58527	329.3536	C6orf115|58527	175.6619
C6orf120|387263	1042.9559	C6orf120|387263	1517.9633
C6orf122|401288	5.3149	C6orf122|401288	8.4369
C6orf123|26238	11.1157	C6orf123|26238	6.6191
C6orf124|653483	16.4677	lowly_expressed	lowly_expressed
C6orf125|84300	682.6636	C6orf125|84300	298.7118
C6orf129|154467	151.5027	C6orf129|154467	68.7373
C6orf130|221443	242.8077	C6orf130|221443	405.2546
C6orf132|647024	112.8036	C6orf132|647024	45.3157
C6orf134|79969	221.0786	C6orf134|79969	87.5764
C6orf136|221545	275.8337	C6orf136|221545	163.9511
lowly_expressed	lowly_expressed	C6orf138|442213	43.278999999999996
C6orf141|135398	2503.9111	C6orf141|135398	59.0631
lowly_expressed	lowly_expressed	C6orf142|90523	20.3666
C6orf145|221749	220.2552	C6orf145|221749	1894.0937
C6orf150|115004	93.4541	C6orf150|115004	50.4073
C6orf153|88745	670.6464	C6orf153|88745	654.7862
C6orf154|221424	48.9914	lowly_expressed	lowly_expressed
C6orf155|79940	12.3508	C6orf155|79940	28.0041
C6orf162|57150	55.5784	C6orf162|57150	118.1976
C6orf163|206412	9.4689	C6orf163|206412	12.22
C6orf164|63914	23.8781	C6orf164|63914	12.1487
C6orf165|154313	31.6632	lowly_expressed	lowly_expressed
C6orf167|253714	144.9156	C6orf167|253714	155.8045
C6orf168|84553	199.6706	lowly_expressed	lowly_expressed
C6orf170|221322	151.091	C6orf170|221322	42.2607
C6orf174|387104	25.8131	C6orf174|387104	231.6955
C6orf176|90632	5.352	lowly_expressed	lowly_expressed
C6orf182|285753	143.2688	C6orf182|285753	168.5336
lowly_expressed	lowly_expressed	C6orf186|728464	5.0916
C6orf192|116843	66.2824	C6orf192|116843	383.4012
C6orf1|221491	342.9395	C6orf1|221491	193.9919
C6orf201|404220	6.1754	C6orf201|404220	9.165
C6orf203|51250	279.9506	C6orf203|51250	326.3747
C6orf204|387119	93.0424	C6orf204|387119	60.0815
C6orf211|79624	884.3145	C6orf211|79624	589.613
C6orf217|100131814	14.4092	C6orf217|100131814	6.11
C6orf225|619208	74.5163	C6orf225|619208	199.5927
C6orf226|441150	46.5212	C6orf226|441150	79.4297
C6orf26|401251	12.7625	C6orf26|401251	19.9084
C6orf27|80737	91.3956	C6orf27|80737	15.2749
C6orf35|729515	547.5504	C6orf35|729515	426.1711
C6orf47|57827	557.431	C6orf47|57827	597.2505
C6orf48|50854	1254.8374	C6orf48|50854	1323.3198
C6orf52|347744	15.2326	C6orf52|347744	7.1283
C6orf57|135154	110.7452	C6orf57|135154	148.167
lowly_expressed	lowly_expressed	C6orf59|79992	5.0916
C6orf62|81688	3889.2013	C6orf62|81688	2660.7841
C6orf64|55776	877.7275	C6orf64|55776	512.22
C6orf70|55780	560.3129	C6orf70|55780	348.778
C6orf72|116254	622.0667	C6orf72|116254	1234.7251
C6orf89|221477	3638.9461	C6orf89|221477	4467.4134
C6orf97|80129	1111.9802	C6orf97|80129	582.4847
C6|729	80.28	C6|729	628.8187
C7orf10|79783	52.6966	C7orf10|79783	40.224000000000004
C7orf11|136647	204.1993	C7orf11|136647	253.5642
C7orf13|129790	365.5825	C7orf13|129790	115.5804
C7orf23|79161	127.6245	C7orf23|79161	287.16900000000004
C7orf25|79020	401.9844	C7orf25|79020	366.0896
C7orf26|79034	969.1231	C7orf26|79034	433.8086
C7orf27|221927	1445.4508	C7orf27|221927	606.9246
C7orf28A|51622	2135.8584	C7orf28A|51622	1454.1752
C7orf28B|221960	946.48	C7orf28B|221960	248.4725
C7orf29|113763	127.2128	C7orf29|113763	100.8147
C7orf30|115416	385.3438	C7orf30|115416	321.7923
C7orf31|136895	206.6694	C7orf31|136895	111.5071
C7orf36|57002	300.5352	C7orf36|57002	161.9145
C7orf40|285958	348.2915	C7orf40|285958	123.7271
C7orf41|222166	1127.6245	C7orf41|222166	19743.89
C7orf42|55069	4974.4751	C7orf42|55069	2956.2118
C7orf43|55262	630.7122	C7orf43|55262	115.0713
C7orf44|55744	1086.867	C7orf44|55744	662.4236
C7orf46|340277	148.2091	C7orf46|340277	37.6782
C7orf47|221908	305.4755	C7orf47|221908	58.553999999999995
C7orf49|78996	627.5916	C7orf49|78996	661.6955
C7orf50|84310	1012.3508	C7orf50|84310	541.7515
C7orf51|222950	8.2338	C7orf51|222950	28.5132
C7orf53|286006	37.464	C7orf53|286006	12.22
C7orf55|154791	165.3643	C7orf55|154791	193.3707
C7orf58|79974	137.5051	C7orf58|79974	5454.1752
C7orf59|389541	755.0432	C7orf59|389541	936.3544
C7orf60|154743	347.8798	C7orf60|154743	236.2525
C7orf63|79846	158.5014	C7orf63|79846	103.3605
C7orf64|84060	419.1025	C7orf64|84060	309.0631
C7orf68|29923	697.818	C7orf68|29923	1071.7923
C7orf70|84792	778.5097	C7orf70|84792	406.8228
C7|730	323.59	C7|730	3405.8045
C8ORFK29|340393	20.6134	lowly_expressed	lowly_expressed
C8orf30A|51236	4096.3359	C8orf30A|51236	294.8065
C8orf31|286122	15.2326	C8orf31|286122	5.0916
C8orf33|65265	3236.7229	C8orf33|65265	1383.9104
lowly_expressed	lowly_expressed	C8orf34|116328	189.9185
C8orf37|157657	47.3446	C8orf37|157657	57.5356
C8orf38|137682	361.4656	C8orf38|137682	104.88799999999999
C8orf39|55472	7.8221	lowly_expressed	lowly_expressed
C8orf40|114926	267.1881	C8orf40|114926	850.3055
C8orf41|80185	184.0799	C8orf41|80185	272.4542
C8orf42|157695	212.8448	C8orf42|157695	183.8086
C8orf44|56260	50.9592	C8orf44|56260	33.8849
C8orf45|157777	116.9205	C8orf45|157777	23.4216
C8orf46|254778	23.4664	C8orf46|254778	35.1324
C8orf48|157773	34.9938	C8orf48|157773	46.333999999999996
C8orf4|56892	202.9642	C8orf4|56892	482.6884
C8orf51|78998	402.2231	C8orf51|78998	5.0916
C8orf55|51337	3125.9778	C8orf55|51337	567.2098
C8orf58|541565	109.9218	C8orf58|541565	165.4786
C8orf59|401466	850.4405	C8orf59|401466	572.5866
C8orf73|642475	1486.2083	C8orf73|642475	37.169000000000004
C8orf76|84933	1004.5286	C8orf76|84933	339.7963
C8orf77|286103	28.8184	lowly_expressed	lowly_expressed
C8orf79|57604	153.9728	C8orf79|57604	65.6823
lowly_expressed	lowly_expressed	C8orf80|389643	26.9857
C8orf83|286144	1576.7806	C8orf83|286144	563.1365
C8orf84|157869	27.1717	C8orf84|157869	33.6049
C8orf85|441376	46.1095	C8orf85|441376	14.2566
C9orf100|84904	39.9835	C9orf100|84904	39.8269
C9orf102|375748	89.7777	C9orf102|375748	169.1904
C9orf103|414328	30.8769	C9orf103|414328	230.1426
C9orf109|286333	7.8221	C9orf109|286333	9.165
C9orf110|100128385	105.8049	C9orf110|100128385	142.05700000000002
C9orf114|51490	257.95799999999997	C9orf114|51490	270.2699
C9orf116|138162	48.5797	C9orf116|138162	37.169000000000004
C9orf117|286207	7.8221	C9orf117|286207	5.0916
C9orf119|375757	144.5039	C9orf119|375757	245.4175
C9orf122|158228	88.1021	lowly_expressed	lowly_expressed
C9orf123|90871	195.142	C9orf123|90871	655.8045
C9orf125|84302	33.7587	C9orf125|84302	285.6415
C9orf129|445577	54.7056	C9orf129|445577	52.4389
C9orf130|100128782	73.9193	C9orf130|100128782	49.5112
C9orf140|89958	192.6719	C9orf140|89958	15.2749
C9orf142|286257	152.7378	C9orf142|286257	118.6354
C9orf150|286343	226.8423	C9orf150|286343	491.3442
C9orf152|401546	85.2203	C9orf152|401546	14.2566
C9orf156|51531	147.3858	C9orf156|51531	285.1324
C9orf163|158055	8.2338	lowly_expressed	lowly_expressed
C9orf167|54863	95.5126	C9orf167|54863	139.002
C9orf169|375791	7.1264	lowly_expressed	lowly_expressed
C9orf16|79095	296.0066	C9orf16|79095	486.7617
C9orf172|389813	12.7625	lowly_expressed	lowly_expressed
C9orf21|195827	107.0399	C9orf21|195827	290.224
C9orf23|138716	226.8423	C9orf23|138716	191.446
lowly_expressed	lowly_expressed	C9orf24|84688	19.3483
C9orf25|203259	490.3252	C9orf25|203259	608.9613
C9orf30|91283	134.6398	C9orf30|91283	226.2424
C9orf37|85026	60.5187	C9orf37|85026	113.0346
C9orf3|84909	161.3298	C9orf3|84909	222.5662
C9orf40|55071	50.2264	C9orf40|55071	94.7047
C9orf41|138199	143.2688	C9orf41|138199	109.4705
lowly_expressed	lowly_expressed	C9orf43|257169	5.6008
C9orf45|81571	294.7715	C9orf45|81571	98.77799999999999
C9orf46|55848	473.8576	C9orf46|55848	319.2464
C9orf47|286223	16.9082	C9orf47|286223	8.6711
C9orf5|23731	1449.5677	C9orf5|23731	4814.1548
C9orf64|84267	297.6534	C9orf64|84267	470.9776
C9orf66|157983	5.352	C9orf66|157983	30.0407
C9orf68|55064	6.1754	C9orf68|55064	30.0407
C9orf69|90120	468.5056	C9orf69|90120	712.3218
C9orf6|54942	249.8971	C9orf6|54942	414.9695
C9orf72|203228	138.3285	C9orf72|203228	327.9022
C9orf78|51759	905.3108	C9orf78|51759	1554.9898
C9orf7|11094	632.359	C9orf7|11094	91.1405
C9orf80|58493	118.1556	C9orf80|58493	207.2301
C9orf82|79886	209.1396	C9orf82|79886	234.2159
C9orf85|138241	67.9292	C9orf85|138241	136.4562
C9orf86|55684	1060.107	C9orf86|55684	1592.1589
C9orf89|84270	110.7452	C9orf89|84270	129.3279
C9orf91|203197	963.7711	C9orf91|203197	1235.2342
C9orf93|203238	39.9341	C9orf93|203238	57.0265
C9orf95|54981	166.3236	C9orf95|54981	702.1385
C9orf96|169436	6.1754	C9orf96|169436	8.1466
C9orf98|158067	26.3483	C9orf98|158067	13.7475
C9orf9|11092	99.6295	C9orf9|11092	139.002
CA11|770	16.055999999999997	CA11|770	67.7189
CA12|771	96165.5002	CA12|771	684.8269
CA13|377677	12.7625	CA13|377677	17.942999999999998
lowly_expressed	lowly_expressed	CA1|759	8.1466
CA2|760	243.31	CA2|760	93.6864
CA3|761	13.9975	CA3|761	323.7067
CA4|762	11.1157	CA4|762	1114.5621
CA5BP|340591	223.1371	CA5BP|340591	128.3096
CA5B|11238	564.7139	CA5B|11238	456.1507
CA8|767	190.6134	CA8|767	71.7923
CAB39L|81617	1057.2252	CAB39L|81617	1378.3096
CAB39|51719	2398.5179	CAB39|51719	2662.9328
CABC1|56997	808.6991	CABC1|56997	2738.2892
CABIN1|23523	1783.8617	CABIN1|23523	810.5906
CABLES1|91768	864.5533	CABLES1|91768	1758.1466
CABLES2|81928	726.6365	CABLES2|81928	101.833
CABP1|9478	23.0548	CABP1|9478	32.0774
CABP4|57010	63.273	lowly_expressed	lowly_expressed
CABYR|26256	140.387	CABYR|26256	23.4216
CACHD1|57685	186.4965	CACHD1|57685	1568.7373
CACNA1A|773	13.5858	CACNA1A|773	17.8208
CACNA1B|774	32.5237	lowly_expressed	lowly_expressed
CACNA1C|775	523.6229	CACNA1C|775	118.6354
CACNA1D|776	414.9856	CACNA1D|776	7.6375
CACNA1F|778	6.9988	lowly_expressed	lowly_expressed
CACNA1G|8913	11.5274	CACNA1G|8913	11.2016
CACNA1H|8912	2519.1437	CACNA1H|8912	86.0489
CACNA1I|8911	39.1107	CACNA1I|8911	7.1283
CACNA2D1|781	247.8386	CACNA2D1|781	1021.8941
CACNA2D2|9254	948.9502	CACNA2D2|9254	22.4033
lowly_expressed	lowly_expressed	CACNA2D3|55799	13.7475
CACNA2D4|93589	16.055999999999997	CACNA2D4|93589	162.9328
CACNB1|782	45.6978	CACNB1|782	42.2607
CACNB2|783	16.8794	CACNB2|783	14.2566
CACNB3|784	782.6266	CACNB3|784	127.2912
CACNB4|785	209.1396	CACNB4|785	42.2607
CACNG1|786	15.2326	lowly_expressed	lowly_expressed
CACNG4|27092	2235.4879	CACNG4|27092	9.6741
CACNG6|59285	7.4105	lowly_expressed	lowly_expressed
CACYBP|27101	1102.5113	CACYBP|27101	1295.8248
CADM1|23705	1298.4767	CADM1|23705	521.3849
CADM2|253559	146.1507	CADM2|253559	158.3503
CADM3|57863	23.804000000000002	CADM3|57863	1370.0102
CADM4|199731	509.6748	CADM4|199731	98.2688
CADPS2|93664	403.4582	CADPS2|93664	463.8493
CADPS|8618	16.055999999999997	lowly_expressed	lowly_expressed
CAD|790	1278.3038	CAD|790	774.4399
CALB2|794	318.6497	CALB2|794	5170.0611
CALCOCO1|57658	1609.7159	CALCOCO1|57658	4204.6843
CALCOCO2|10241	3874.0222	CALCOCO2|10241	5091.6497
CALCRL|10203	718.8143	CALCRL|10203	1846.7413
CALCR|799	11.5274	CALCR|799	8.1466
CALD1|800	5543.8452	CALD1|800	7150.7128
CALHM1|255022	12.3508	lowly_expressed	lowly_expressed
CALHM2|51063	805.6814	CALHM2|51063	952.6477
CALHM3|119395	10.2923	lowly_expressed	lowly_expressed
CALM1|801	9643.4747	CALM1|801	19365.5804
CALM2|805	7720.0494	CALM2|805	8298.3707
CALM3|808	3007.4105	CALM3|808	4757.6375
CALML3|810	561.1363	CALML3|810	203.1568
CALML4|91860	1193.4953	CALML4|91860	247.4542
CALML5|51806	10.704	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CALN1|83698	17.3116
CALR|811	15644.2981	CALR|811	11539.7149
CALU|813	5359.8189	CALU|813	6149.6945
CAMK1D|57118	200.9057	CAMK1D|57118	152.2403
CAMK1|8536	160.634	CAMK1|8536	1356.1202
CAMK2A|815	23.0548	lowly_expressed	lowly_expressed
CAMK2B|816	979.4154	CAMK2B|816	6.6191
CAMK2D|817	571.0169	CAMK2D|817	1523.9308
CAMK2G|818	897.9004	CAMK2G|818	1079.4297
CAMK2N1|55450	12822.9724	CAMK2N1|55450	316.7006
CAMK2N2|94032	47.3446	lowly_expressed	lowly_expressed
CAMK4|814	22.2314	CAMK4|814	6.6191
CAMKK1|84254	144.0922	CAMKK1|84254	268.8391
CAMKK2|10645	1916.8382	CAMKK2|10645	2932.2811
CAMLG|819	882.2561	CAMLG|819	1075.3564
CAMP|820	8.2338	lowly_expressed	lowly_expressed
CAMSAP1L1|23271	1213.2565	CAMSAP1L1|23271	1501.0183
CAMSAP1|157922	606.8341	CAMSAP1|157922	954.1752
CAMTA1|23261	684.6439	CAMTA1|23261	367.1079
CAMTA2|23125	940.3047	CAMTA2|23125	1436.3544
CAND1|55832	3961.7126	CAND1|55832	2311.609
CAND2|23066	20.5846	CAND2|23066	133.4012
CANT1|124583	1730.3417	CANT1|124583	881.8737
CANX|821	19543.8452	CANX|821	14365.5804
CAP1|10487	6510.4981	CAP1|10487	7989.8167
CAP2|10486	49.8147	CAP2|10486	1433.8086
CAPG|822	1766.1589	CAPG|822	1464.8676
CAPN10|11132	299.2713	CAPN10|11132	113.7729
CAPN11|11131	20.9963	CAPN11|11131	71.2831
CAPN12|147968	37.5669	CAPN12|147968	36.8788
CAPN13|92291	414.5739	CAPN13|92291	5.0916
CAPN1|823	4124.331	CAPN1|823	2152.7495
CAPN2|824	2762.4537	CAPN2|824	7867.6171
CAPN3|825	23.0712	CAPN3|825	134.0682
CAPN5|726	268.4232	CAPN5|726	378.3096
CAPN6|827	132.9765	CAPN6|827	168.0244
CAPN7|23473	998.7649	CAPN7|23473	1024.9491
CAPN8|388743	54.3434	lowly_expressed	lowly_expressed
CAPN9|10753	47.7563	lowly_expressed	lowly_expressed
CAPNS1|826	5772.3343	CAPNS1|826	9349.7963
CAPNS2|84290	18.5261	CAPNS2|84290	11.7108
CAPRIN1|4076	7107.4516	CAPRIN1|4076	5928.7169
CAPRIN2|65981	377.5216	CAPRIN2|65981	443.4827
CAPS2|84698	9.8806	CAPS2|84698	64.664
CAPS|828	1149.4442	CAPS|828	57.0265
CAPZA1|829	3173.3224	CAPZA1|829	2505.6008
CAPZA2|830	2568.135	CAPZA2|830	3044.2974
CAPZB|832	5123.9193	CAPZB|832	4130.3462
CARD10|29775	705.2285	CARD10|29775	430.2444
CARD11|84433	18.9378	CARD11|84433	16.8024
CARD14|79092	95.9242	CARD14|79092	6.6191
CARD16|114769	17.2911	CARD16|114769	188.391
CARD6|84674	114.0387	CARD6|84674	846.2322
CARD8|22900	500.2058	CARD8|22900	1057.5356
CARD9|64170	76.9864	CARD9|64170	15.7841
CARHSP1|23589	520.811	CARHSP1|23589	1521.6141
CARKD|55739	1941.9514	CARKD|55739	948.5743
CARM1|10498	901.1939	CARM1|10498	746.4358
CARNS1|57571	20.9963	CARNS1|57571	16.8024
CARS2|79587	683.7423	CARS2|79587	599.1548
CARS|833	1202.5525	CARS|833	1581.9756
CASC1|55259	18.9378	lowly_expressed	lowly_expressed
CASC2|255082	78.6332	CASC2|255082	41.2424
CASC3|22794	1739.3989	CASC3|22794	3175.6619
CASC4|113201	2121.0375	CASC4|113201	2904.7862
CASC5|57082	57.2252	CASC5|57082	12.7291
CASD1|64921	552.0790000000001	CASD1|64921	471.9959
CASKIN1|57524	194.22400000000002	lowly_expressed	lowly_expressed
CASKIN2|57513	398.7526	CASKIN2|57513	1073.2179
CASK|8573	1705.2285	CASK|8573	860.998
CASP10|843	104.9815	CASP10|843	532.5866
lowly_expressed	lowly_expressed	CASP12|120329	8.6558
CASP14|23581	11.1157	lowly_expressed	lowly_expressed
CASP1|834	57.6369	CASP1|834	485.7434
CASP2|835	1777.2746	CASP2|835	493.3809
CASP3|836	1078.2215	CASP3|836	463.8493
CASP4|837	351.585	CASP4|837	871.1813
CASP6|839	256.8958	CASP6|839	202.6477
CASP7|840	583.7793	CASP7|840	840.1222
CASP8AP2|9994	531.4944	CASP8AP2|9994	501.5275
CASP8|841	407.1634	CASP8|841	736.2525
CASP9|842	410.457	CASP9|842	221.4868
CASQ1|844	7.4105	CASQ1|844	11.2016
CASQ2|845	16.8794	CASQ2|845	300.9165
CASS4|57091	44.4627	CASS4|57091	45.3157
CAST|831	3259.6007	CAST|831	8494.3279
CASZ1|54897	880.6093	CASZ1|54897	101.833
CATSPER2P1|440278	11.5603	CATSPER2P1|440278	27.6018
CATSPER2|117155	16.4677	CATSPER2|117155	20.8758
CATSPERB|79820	13.9975	lowly_expressed	lowly_expressed
CATSPERG|57828	22.2314	CATSPERG|57828	6.11
CAT|847	1065.0473	CAT|847	22204.1752
CAV1|857	1074.1046	CAV1|857	47613.0346
CAV2|858	512.5566	CAV2|858	9285.1324
CBARA1|10367	968.7114	CBARA1|10367	1616.5988
CBFA2T2|9139	1072.0461	CBFA2T2|9139	564.1548
CBFA2T3|863	1135.4467	CBFA2T3|863	186.8635
CBFB|865	894.1951	CBFB|865	480.1426
CBLB|868	472.6225	CBLB|868	604.888
CBLC|23624	458.6249	lowly_expressed	lowly_expressed
CBLL1|79872	1428.9831	CBLL1|79872	573.3198
lowly_expressed	lowly_expressed	CBLN1|869	94.7047
lowly_expressed	lowly_expressed	CBLN2|147381	6.11
CBLN3|643866	23.0548	CBLN3|643866	107.4338
CBLN4|140689	7.8221	lowly_expressed	lowly_expressed
CBL|867	1081.9267	CBL|867	1233.1976
CBR1|873	534.8456	CBR1|873	1061.0998
CBR3|874	63.4006	CBR3|874	487.78
CBR4|84869	459.86	CBR4|84869	391.5479
CBS|875	46.1095	CBS|875	38.1874
CBWD1|55871	534.788	CBWD1|55871	500.0
CBWD2|150472	729.93	CBWD2|150472	290.7332
CBWD3|445571	229.7242	CBWD3|445571	240.835
CBWD6|644019	101.2762	CBWD6|644019	139.5112
CBX1|10951	2402.2231	CBX1|10951	1065.1731
CBX2|84733	111.9802	CBX2|84733	63.6456
CBX3|11335	5269.6583	CBX3|11335	1602.3422
CBX4|8535	391.5191	CBX4|8535	125.2546
CBX5|23468	3564.4298	CBX5|23468	2300.4073
CBX6|23466	737.7522	CBX6|23466	523.4216
CBX7|23492	837.7933	CBX7|23492	2195.5193
CBX8|57332	59.2837	CBX8|57332	30.0407
CBY1|25776	556.48	CBY1|25776	685.942
CC2D1A|54862	1126.3895	CC2D1A|54862	544.8065
CC2D1B|200014	694.1128	CC2D1B|200014	791.7515
CC2D2A|57545	178.6744	CC2D2A|57545	690.4277
CCAR1|55749	2265.1297	CCAR1|55749	1024.9491
CCBE1|147372	6.5871	CCBE1|147372	72.8106
CCBL1|883	47.7563	CCBL1|883	46.333999999999996
CCBL2|56267	413.8534	CCBL2|56267	544.3126
CCBP2|1238	20.5846	CCBP2|1238	123.7271
CCDC101|112869	231.3709	CCDC101|112869	262.7291
CCDC102A|92922	104.1581	CCDC102A|92922	143.0754
CCDC102B|79839	65.8707	CCDC102B|79839	77.9022
CCDC103|388389	125.9778	CCDC103|388389	35.1324
CCDC104|112942	845.6155	CCDC104|112942	578.4114
CCDC106|29903	293.9481	CCDC106|29903	244.9084
CCDC107|203260	184.1787	CCDC107|203260	1688.7882
CCDC109A|90550	779.7448	CCDC109A|90550	531.0591
CCDC109B|55013	292.7131	CCDC109B|55013	362.5255
CCDC110|256309	41.5809	CCDC110|256309	16.8024
CCDC111|201973	165.9366	CCDC111|201973	216.2424
CCDC112|153733	247.8386	CCDC112|153733	227.5967
CCDC113|29070	476.7394	CCDC113|29070	253.055
CCDC114|93233	7.8221	lowly_expressed	lowly_expressed
CCDC115|84317	1132.1531	CCDC115|84317	1075.8656
CCDC117|150275	1497.3239999999998	CCDC117|150275	763.7475
CCDC11|220136	56.4018	CCDC11|220136	6.6191
CCDC120|90060	512.9683	CCDC120|90060	53.9715
CCDC121|79635	178.6744	CCDC121|79635	198.5743
CCDC122|160857	64.6357	CCDC122|160857	32.0774
CCDC123|84902	379.9918	CCDC123|84902	357.4338
CCDC124|115098	738.9872	CCDC124|115098	763.7475
CCDC125|202243	609.7159	CCDC125|202243	224.0326
CCDC126|90693	253.6023	CCDC126|90693	109.9796
CCDC127|133957	354.4669	CCDC127|133957	396.1303
CCDC12|151903	431.865	CCDC12|151903	317.2098
CCDC130|81576	280.774	CCDC130|81576	218.4318
CCDC132|55610	916.4265	CCDC132|55610	538.6965
CCDC134|79879	87.6904	CCDC134|79879	25.4582
CCDC136|64753	100.4529	CCDC136|64753	25.4582
CCDC137|339230	234.6645	CCDC137|339230	217.9226
CCDC138|165055	59.6953	CCDC138|165055	11.7108
CCDC13|152206	11.1157	CCDC13|152206	10.1833
lowly_expressed	lowly_expressed	CCDC140|151278	5.0916
lowly_expressed	lowly_expressed	CCDC141|285025	31.0591
CCDC142|84865	194.4339	CCDC142|84865	91.1405
CCDC144A|9720	137.5998	CCDC144A|9720	45.6008
CCDC144B|284047	168.7937	CCDC144B|284047	62.6273
CCDC144NL|339184	13.1741	lowly_expressed	lowly_expressed
CCDC146|57639	266.3648	CCDC146|57639	350.3055
lowly_expressed	lowly_expressed	CCDC147|159686	14.7658
CCDC148|130940	40.3458	lowly_expressed	lowly_expressed
CCDC149|91050	1128.4479	CCDC149|91050	442.4644
CCDC14|64770	622.0667	CCDC14|64770	549.389
CCDC150|284992	12.3508	CCDC150|284992	11.2016
CCDC151|115948	9.0572	lowly_expressed	lowly_expressed
CCDC152|100129792	12.5525	CCDC152|100129792	169.0173
lowly_expressed	lowly_expressed	CCDC153|283152	9.165
CCDC157|550631	42.0585	lowly_expressed	lowly_expressed
CCDC158|339965	5.7637	CCDC158|339965	23.4216
CCDC159|126075	256.8958	CCDC159|126075	125.2546
CCDC15|80071	121.0375	CCDC15|80071	71.7923
CCDC160|347475	44.8744	CCDC160|347475	7.6375
lowly_expressed	lowly_expressed	CCDC163P|126661	7.1283
CCDC17|149483	12.3508	CCDC17|149483	20.3666
CCDC18|343099	34.5821	CCDC18|343099	81.9756
CCDC19|25790	13.1741	CCDC19|25790	5.0916
CCDC21|64793	839.8518	CCDC21|64793	148.6762
CCDC22|28952	406.8753	CCDC22|28952	343.0957
CCDC23|374969	194.3186	CCDC23|374969	493.89
CCDC24|149473	396.30300000000005	CCDC24|149473	23.4216
CCDC25|55246	739.8106	CCDC25|55246	1412.9328
CCDC28A|25901	179.4977	CCDC28A|25901	530.5499
CCDC28B|79140	31.2886	CCDC28B|79140	17.8208
CCDC30|728621	146.5624	CCDC30|728621	44.2974
CCDC34|91057	355.7019	CCDC34|91057	211.3035
CCDC36|339834	13.1741	CCDC36|339834	113.0346
CCDC39|339829	8.6455	CCDC39|339829	9.1701
CCDC3|83643	304.2404	CCDC3|83643	3339.1039
CCDC40|55036	37.8757	CCDC40|55036	31.5682
CCDC41|51134	363.5241	CCDC41|51134	105.9063
CCDC43|124808	519.1437	CCDC43|124808	369.6538
CCDC45|90799	494.0305	CCDC45|90799	290.7332
CCDC46|201134	87.6904	CCDC46|201134	645.6212
CCDC47|57003	3545.492	CCDC47|57003	2671.5886
CCDC48|79825	21.8197	CCDC48|79825	33.6049
CCDC50|152137	1209.9629	CCDC50|152137	3868.1263
CCDC51|79714	279.1272	CCDC51|79714	272.9124
CCDC52|152185	750.1029	CCDC52|152185	163.9511
CCDC53|51019	431.0416	CCDC53|51019	549.389
CCDC55|84081	1123.0959	CCDC55|84081	1066.7006
CCDC56|28958	674.7633	CCDC56|28958	795.942
CCDC57|284001	289.0078	CCDC57|284001	122.1996
CCDC58|131076	237.1346	CCDC58|131076	126.2729
CCDC59|29080	451.6262	CCDC59|29080	392.5662
CCDC61|729440	147.7974	CCDC61|729440	90.6314
CCDC64B|146439	482.0914	lowly_expressed	lowly_expressed
CCDC64|92558	820.5023	CCDC64|92558	6.11
CCDC66|285331	516.0436	CCDC66|285331	288.0193
CCDC68|80323	192.6719	CCDC68|80323	104.88799999999999
CCDC69|26112	582.9559	CCDC69|26112	12641.0387
CCDC6|8030	3024.2898	CCDC6|8030	1362.0163
