gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
CAPN11|11131	5.2029	CAPN11|11131	65.9015
CAPN12|147968	93.6134	CAPN12|147968	51.5437
CAPN13|92291	712.2789	CAPN13|92291	178.6523
CAPN1|823	3636.8366	CAPN1|823	2277.1922
CAPN2|824	7665.4527	CAPN2|824	5244.3195
CAPN3|825	27.4766	CAPN3|825	120.5247
CAPN5|726	44.4849	CAPN5|726	268.2908
lowly_expressed	lowly_expressed	CAPN6|827	637.1516
CAPN7|23473	1027.3153	CAPN7|23473	1159.9906
CAPN8|388743	15.0884	CAPN8|388743	46.2247
CAPN9|10753	95.4735	CAPN9|10753	18.1151
CAPNS1|826	5132.4142	CAPNS1|826	5113.4536
CAPRIN1|4076	10574.1415	CAPRIN1|4076	7176.7002
CAPRIN2|65981	226.0666	CAPRIN2|65981	364.1758
CAPS2|84698	36.6805	CAPS2|84698	65.5891
CAPSL|133690	9.8855	lowly_expressed	lowly_expressed
CAPS|828	209.9376	CAPS|828	82.4549
CAPZA1|829	3412.3309	CAPZA1|829	2712.2667
CAPZA2|830	2746.8783	CAPZA2|830	2686.9681
CAPZB|832	5718.0021	CAPZB|832	3650.1913
CARD10|29775	275.5463	CARD10|29775	274.8497
CARD11|84433	43.4443	CARD11|84433	103.0686
CARD14|79092	82.7263	CARD14|79092	39.6658
CARD16|114769	129.0323	CARD16|114769	165.2221
CARD6|84674	78.0437	CARD6|84674	701.4914
CARD8|22900	389.6982	CARD8|22900	1165.6126
CARD9|64170	159.7294	CARD9|64170	24.9863
CARHSP1|23589	2669.4017	CARHSP1|23589	1392.3136
CARKD|55739	536.4204	CARKD|55739	906.067
CARM1|10498	1615.7648	CARM1|10498	720.8558
CARNS1|57571	10.1457	CARNS1|57571	26.8603
CARS2|79587	809.9739999999999	CARS2|79587	584.7615
CARS|833	1656.8678	CARS|833	769.576
CASC1|55259	18.7305	CASC1|55259	24.9863
CASC2|255082	81.9459	CASC2|255082	43.1014
CASC3|22794	1950.0520000000001	CASC3|22794	3883.8135
CASC4|113201	2465.9209	CASC4|113201	3487.1555
CASC5|57082	465.1405	CASC5|57082	76.833
CASD1|64921	540.5827	CASD1|64921	865.1519
CASKIN1|57524	38.525	CASKIN1|57524	8.6609
CASKIN2|57513	415.2029	CASKIN2|57513	821.4383
CASK|8573	1332.9865	CASK|8573	1144.0618
CASP10|843	57.232	CASP10|843	433.2006
lowly_expressed	lowly_expressed	CASP12|120329	8.1206
CASP14|23581	1144.1207	CASP14|23581	41.8521
CASP1|834	431.5817	CASP1|834	624.0337
CASP2|835	1950.3122	CASP2|835	946.9821
CASP3|836	1009.1051	CASP3|836	559.0693
CASP4|837	637.0968	CASP4|837	928.867
CASP6|839	279.9168	CASP6|839	264.5428
CASP7|840	843.1322	CASP7|840	804.56
CASP8AP2|9994	787.9813	CASP8AP2|9994	776.138
CASP8|841	479.4485	CASP8|841	745.2175
CASP9|842	231.7898	CASP9|842	222.3784
lowly_expressed	lowly_expressed	CASQ1|844	25.9233
lowly_expressed	lowly_expressed	CASQ2|845	231.7483
CASS4|57091	8.845	CASS4|57091	60.5919
CAST|831	2456.5479	CAST|831	7333.2553
CASZ1|54897	596.514	CASZ1|54897	498.1651
CATSPER1|117144	5.9834	lowly_expressed	lowly_expressed
CATSPER2P1|440278	24.5473	CATSPER2P1|440278	25.7453
CATSPER2|117155	27.0552	CATSPER2|117155	26.548000000000002
lowly_expressed	lowly_expressed	CATSPER3|347732	8.8077
CATSPERB|79820	9.1051	CATSPERB|79820	10.3069
lowly_expressed	lowly_expressed	CATSPERG|57828	9.9945
CAT|847	2506.5036	CAT|847	13353.9471
CAV1|857	764.5682	CAV1|857	22272.8196
CAV2|858	322.3205	CAV2|858	4095.8851
lowly_expressed	lowly_expressed	CAV3|859	6.5589
CBARA1|10367	1594.9532	CBARA1|10367	1122.8235
CBFA2T2|9139	995.5775	CBFA2T2|9139	797.3764
CBFA2T3|863	111.3424	CBFA2T3|863	179.9016
CBFB|865	1061.3944	CBFB|865	777.075
CBLB|868	568.4183	CBLB|868	1016.9439
CBLC|23624	148.0229	CBLC|23624	56.8439
CBLL1|79872	956.8158	CBLL1|79872	956.352
lowly_expressed	lowly_expressed	CBLN1|869	25.9233
CBLN2|147381	5.9834	lowly_expressed	lowly_expressed
CBLN3|643866	62.435	CBLN3|643866	86.2029
lowly_expressed	lowly_expressed	CBLN4|140689	15.6165
CBL|867	1592.3517	CBL|867	1746.2325
CBR1|873	386.3163	CBR1|873	613.6363
CBR3|874	61.9147	CBR3|874	371.3594
CBR4|84869	377.2112	CBR4|84869	494.4171
CBS|875	163.1113	CBS|875	48.7234
CBWD1|55871	684.9636	CBWD1|55871	639.0255
CBWD2|150472	561.3944	CBWD2|150472	368.8608
CBWD3|445571	1341.0510000000002	CBWD3|445571	143.6121
CBWD6|644019	471.9043	CBWD6|644019	55.9069
CBX1|10951	1718.7825	CBX1|10951	1621.6132
CBX2|84733	484.6514	CBX2|84733	102.444
CBX3|11335	10604.5786	CBX3|11335	2891.2314
CBX4|8535	605.6191	CBX4|8535	235.1839
CBX5|23468	7974.2456	CBX5|23468	4217.3811
CBX6|23466	135.5359	CBX6|23466	590.9268
CBX7|23492	189.3861	CBX7|23492	2322.4799
CBX8|57332	88.4495	CBX8|57332	53.4083
CBY1|25776	573.3507	CBY1|25776	551.8669
CC2D1A|54862	586.8887	CC2D1A|54862	528.461
CC2D1B|200014	717.2216	CC2D1B|200014	653.0803
CC2D2A|57545	254.6826	CC2D2A|57545	585.6172
lowly_expressed	lowly_expressed	CC2D2B|387707	6.2466
CCAR1|55749	2408.4287	CCAR1|55749	1263.3716
CCBE1|147372	5.4631	CCBE1|147372	156.7893
CCBL1|883	162.8512	CCBL1|883	76.5207
CCBL2|56267	442.9162	CCBL2|56267	593.0319
CCBP2|1238	17.1696	CCBP2|1238	186.4605
CCDC101|112869	305.6712	CCDC101|112869	299.836
CCDC102A|92922	41.3632	CCDC102A|92922	101.8193
CCDC102B|79839	39.8023	CCDC102B|79839	29.3589
CCDC103|388389	46.8262	CCDC103|388389	78.3946
CCDC104|112942	673.7773	CCDC104|112942	748.0284
CCDC106|29903	180.5411	CCDC106|29903	166.4715
CCDC107|203260	107.0734	CCDC107|203260	568.0581
CCDC109A|90550	732.3101	CCDC109A|90550	498.7897
CCDC109B|55013	252.8616	CCDC109B|55013	360.1156
CCDC110|256309	60.3538	CCDC110|256309	40.2905
CCDC111|201973	164.1883	CCDC111|201973	267.6599
CCDC112|153733	343.6524	CCDC112|153733	194.2688
CCDC113|29070	479.1883	CCDC113|29070	214.8825
CCDC114|93233	11.9667	CCDC114|93233	8.1206
CCDC115|84317	532.7784	CCDC115|84317	770.2038
CCDC117|150275	1020.8117	CCDC117|150275	1315.5306
CCDC11|220136	31.2175	CCDC11|220136	20.9261
CCDC120|90060	385.796	CCDC120|90060	232.9976
CCDC121|79635	103.0177	CCDC121|79635	219.8798
CCDC122|160857	18.7305	CCDC122|160857	58.4056
CCDC123|84902	458.897	CCDC123|84902	339.1895
CCDC124|115098	532.2581	CCDC124|115098	382.9156
CCDC125|202243	409.2092	CCDC125|202243	302.3347
CCDC126|90693	120.7076	CCDC126|90693	251.1127
CCDC127|133957	729.4485	CCDC127|133957	460.0609
lowly_expressed	lowly_expressed	CCDC129|223075	41.2275
CCDC12|151903	323.1009	CCDC12|151903	272.0387
CCDC130|81576	230.7492	CCDC130|81576	188.3345
CCDC132|55610	688.3455	CCDC132|55610	673.0694
CCDC134|79879	42.4037	CCDC134|79879	47.1617
CCDC136|64753	15.3486	CCDC136|64753	70.5864
CCDC137|339230	658.4287	CCDC137|339230	250.488
CCDC138|165055	90.7908	CCDC138|165055	40.6028
CCDC13|152206	5.4631	CCDC13|152206	6.5589
lowly_expressed	lowly_expressed	CCDC141|285025	66.8384
CCDC142|84865	149.4797	CCDC142|84865	110.6645
lowly_expressed	lowly_expressed	CCDC144A|9720	113.1163
lowly_expressed	lowly_expressed	CCDC144B|284047	98.0714
CCDC144NL|339184	8.845	lowly_expressed	lowly_expressed
CCDC146|57639	94.1727	CCDC146|57639	162.0989
CCDC147|159686	34.5994	CCDC147|159686	16.8658
CCDC148|130940	8.0645	CCDC148|130940	13.4302
CCDC149|91050	360.0416	CCDC149|91050	568.7515
CCDC14|64770	954.4745	CCDC14|64770	855.4697
CCDC150|284992	50.7284	CCDC150|284992	8.7452
CCDC151|115948	53.3299	CCDC151|115948	8.1206
CCDC152|100129792	32.0187	CCDC152|100129792	252.8399
CCDC153|283152	23.6733	CCDC153|283152	10.3069
CCDC157|550631	18.4886	CCDC157|550631	14.0611
CCDC158|339965	5.2029	CCDC158|339965	64.0275
CCDC159|126075	124.0895	CCDC159|126075	78.3946
CCDC15|80071	168.5744	CCDC15|80071	101.507
CCDC160|347475	43.4443	CCDC160|347475	31.2329
CCDC163P|126661	16.9095	CCDC163P|126661	8.4329
CCDC17|149483	5.7232	CCDC17|149483	11.8685
CCDC18|343099	144.3809	CCDC18|343099	76.8486
CCDC19|25790	51.769	CCDC19|25790	14.6795
CCDC21|64793	1166.7534	CCDC21|64793	257.0469
CCDC22|28952	309.2274	CCDC22|28952	304.8302
CCDC23|374969	407.9084	CCDC23|374969	372.2964
CCDC24|149473	163.1322	CCDC24|149473	68.0534
CCDC25|55246	1382.6743	CCDC25|55246	1217.1469
CCDC28A|25901	218.5224	CCDC28A|25901	527.5209
CCDC28B|79140	195.8897	CCDC28B|79140	39.3535
CCDC30|728621	124.3496	CCDC30|728621	97.4467
CCDC34|91057	466.7014	CCDC34|91057	235.4962
CCDC36|339834	6.2435	CCDC36|339834	95.8851
CCDC39|339829	11.4464	CCDC39|339829	28.2752
CCDC3|83643	208.89700000000002	CCDC3|83643	1514.7466
CCDC40|55036	146.46200000000002	CCDC40|55036	66.8384
CCDC41|51134	388.1374	CCDC41|51134	186.4605
CCDC43|124808	485.4318	CCDC43|124808	372.9211
CCDC45|90799	535.3798	CCDC45|90799	448.1924
CCDC46|201134	74.4017	CCDC46|201134	352.6197
CCDC47|57003	3313.2154	CCDC47|57003	3184.5085
CCDC48|79825	5.4631	CCDC48|79825	37.1672
CCDC50|152137	1101.9771	CCDC50|152137	4560.0062
CCDC51|79714	525.7544	CCDC51|79714	199.266
CCDC52|152185	831.6857	CCDC52|152185	365.4252
CCDC53|51019	365.7648	CCDC53|51019	406.3403
CCDC55|84081	629.8127	CCDC55|84081	861.7162
CCDC56|28958	989.2352	CCDC56|28958	667.1726
CCDC57|284001	230.2289	CCDC57|284001	218.6304
CCDC58|131076	419.615	CCDC58|131076	162.4112
CCDC59|29080	779.6566	CCDC59|29080	495.3541
CCDC61|729440	63.4755	CCDC61|729440	90.2631
CCDC64B|146439	168.3143	CCDC64B|146439	134.3016
CCDC64|92558	581.4256	CCDC64|92558	71.5234
lowly_expressed	lowly_expressed	CCDC65|85478	12.8055
CCDC66|285331	387.79400000000004	CCDC66|285331	336.441
CCDC67|159989	8.0645	lowly_expressed	lowly_expressed
CCDC68|80323	35.64	CCDC68|80323	104.318
CCDC69|26112	108.2206	CCDC69|26112	5690.3256
CCDC6|8030	3215.9209	CCDC6|8030	2347.1539
CCDC71|64925	498.6993	CCDC71|64925	335.1292
CCDC72|51372	2402.1852	CCDC72|51372	1202.7797
CCDC73|493860	49.589	CCDC73|493860	57.3124
CCDC74A|90557	366.2851	CCDC74A|90557	157.7262
CCDC74B|91409	156.8678	CCDC74B|91409	80.8933
CCDC75|253635	78.0437	CCDC75|253635	304.52099999999996
CCDC76|54482	183.0281	CCDC76|54482	279.2036
CCDC77|84318	273.4131	CCDC77|84318	169.5948
CCDC78|124093	166.4932	CCDC78|124093	19.0521
CCDC7|221016	41.3059	CCDC7|221016	46.7807
CCDC80|151887	1678.4599	CCDC80|151887	14909.9711
CCDC81|60494	14.5682	CCDC81|60494	5.6219
CCDC82|79780	194.3288	CCDC82|79780	883.2669999999999
CCDC84|338657	142.0395	CCDC84|338657	71.5234
CCDC85A|114800	80.346	CCDC85A|114800	260.4201
CCDC85B|11007	141.7794	CCDC85B|11007	94.0111
CCDC85C|317762	552.0213	CCDC85C|317762	336.4004
CCDC86|79080	572.8382	CCDC86|79080	345.7172
CCDC87|55231	11.7066	CCDC87|55231	9.0575
CCDC88A|55704	259.6254	CCDC88A|55704	927.6177
CCDC88B|283234	82.7263	CCDC88B|283234	116.1865
CCDC88C|440193	554.8907	CCDC88C|440193	550.9487
CCDC89|220388	37.7211	CCDC89|220388	29.9836
CCDC8|83987	92.6119	CCDC8|83987	645.8968
CCDC90A|63933	204.4745	CCDC90A|63933	319.2004
CCDC90B|60492	419.0817	CCDC90B|60492	713.9439
CCDC91|55297	536.4204	CCDC91|55297	584.6803
CCDC92|80212	1065.2966	CCDC92|80212	929.804
CCDC93|54520	505.9834	CCDC93|54520	1380.8074
CCDC94|55702	137.8772	CCDC94|55702	196.1427
CCDC96|257236	46.8262	CCDC96|257236	33.1069
CCDC97|90324	846.2539	CCDC97|90324	784.8833
CCDC99|54908	364.7242	CCDC99|54908	147.1071
CCDC9|26093	195.6296	CCDC9|26093	219.5674
CCHCR1|54535	280.6972	CCHCR1|54535	223.94
CCIN|881	6.5036	CCIN|881	6.2466
CCL11|6356	8.845	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CCL13|6357	94.6357
CCL14|6358	33.8189	CCL14|6358	2763.723
lowly_expressed	lowly_expressed	CCL16|6360	5.3096
CCL18|6362	52.8096	CCL18|6362	86.2029
CCL19|6363	6.7638	CCL19|6363	19.0521
CCL20|6364	22.6327	lowly_expressed	lowly_expressed
CCL21|6366	35.9001	CCL21|6366	1567.5802
CCL22|6367	26.2747	CCL22|6367	74.959
lowly_expressed	lowly_expressed	CCL23|6368	14.0548
lowly_expressed	lowly_expressed	CCL24|6369	6.5589
lowly_expressed	lowly_expressed	CCL26|10344	8.4329
CCL28|56477	29.9168	CCL28|56477	651.2064
CCL2|6347	665.7128	CCL2|6347	244.5538
CCL3L1|6349	19.2898	CCL3L1|6349	6.7682
lowly_expressed	lowly_expressed	CCL3L3|414062	8.536
CCL3|6348	146.9823	CCL3|6348	101.8193
CCL4L2|388372	47.3465	CCL4L2|388372	18.1151
CCL4|6351	140.2185	CCL4|6351	95.8851
CCL5|6352	225.02599999999998	CCL5|6352	647.7708
CCL8|6355	54.8907	CCL8|6355	128.6796
CCM2|83605	804.1103	CCM2|83605	762.3956
CCNA2|890	703.8163	CCNA2|890	97.631
CCNB1IP1|57820	530.9573	CCNB1IP1|57820	724.2914
CCNB1|891	2101.717	CCNB1|891	277.973
CCNB2|9133	1088.4495	CCNB2|9133	109.9399
CCNB3|85417	23.9334	CCNB3|85417	22.4877
CCNC|892	810.8741	CCNC|892	1065.6672
CCND1|595	4577.0031	CCND1|595	2065.18
CCND2|894	397.7627	CCND2|894	1799.9532
CCND3|896	1029.1363	CCND3|896	1209.0263
CCNDBP1|23582	620.9677	CCNDBP1|23582	1462.013
CCNE1|898	337.1488	CCNE1|898	33.4192
CCNE2|9134	954.8517	CCNE2|9134	117.7981
CCNF|899	1586.1082	CCNF|899	284.2196
CCNG1|900	1267.4298	CCNG1|900	3582.4159
CCNG2|901	1117.846	CCNG2|901	2979.3082
CCNH|902	297.6379	CCNH|902	619.7111
CCNI2|645121	93.9672	CCNI2|645121	14.1017
CCNI|10983	5856.6597	CCNI|10983	8814.8669
CCNJL|79616	89.23	CCNJL|79616	88.7015
CCNJ|54619	222.6847	CCNJ|54619	166.1591
CCNK|8812	905.8351	CCNK|8812	749.8805
CCNL1|57018	1213.5796	CCNL1|57018	1021.9411
CCNL2|81669	1251.0406	CCNL2|81669	1258.999
CCNO|10309	233.87099999999998	CCNO|10309	44.0384
CCNT1|904	268.9906	CCNT1|904	427.89099999999996
CCNT2|905	514.5682	CCNT2|905	977.2781
CCNYL1|151195	365.7648	CCNYL1|151195	473.8034
CCNY|219771	2432.1020000000003	CCNY|219771	2300.6169
CCPG1|9236	1432.4974	CCPG1|9236	3970.8409
CCR10|2826	10.1457	CCR10|2826	11.2439
CCR1|1230	214.8803	CCR1|1230	263.6058
CCR2|729230	27.5754	CCR2|729230	243.3044
lowly_expressed	lowly_expressed	CCR3|1232	13.7425
lowly_expressed	lowly_expressed	CCR4|1233	31.5452
CCR5|1234	121.2279	CCR5|1234	182.0879
CCR6|1235	28.0723	CCR6|1235	83.1202
CCR7|1236	22.6327	CCR7|1236	144.9207
CCR8|1237	5.7232	lowly_expressed	lowly_expressed
CCR9|10803	6.7638	lowly_expressed	lowly_expressed
CCRL1|51554	55.9313	CCRL1|51554	393.8471
CCRL2|9034	36.9407	CCRL2|9034	81.5179
CCRN4L|25819	229.4485	CCRN4L|25819	103.381
CCS|9973	186.5245	CCS|9973	234.2469
CCT2|10576	5678.9802	CCT2|10576	2177.8715
CCT3|7203	14041.6233	CCT3|7203	4925.1191
CCT4|10575	4506.7638	CCT4|10575	4012.1808
CCT5|22948	14809.0531	CCT5|22948	3921.9177
CCT6A|908	7664.9324	CCT6A|908	3449.676
CCT6B|10693	68.9386	CCT6B|10693	49.348
CCT6P1|643253	118.3663	CCT6P1|643253	54.033
CCT7|10574	4840.2706	CCT7|10574	3742.0161
CCT8|10694	3816.8574	CCT8|10694	2982.1192
CD101|9398	16.6493	CD101|9398	53.7206
CD109|135228	2109.001	CD109|135228	1789.0154
CD14|929	908.949	CD14|929	1639.1036
CD151|977	8351.4568	CD151|977	6346.2169
CD160|11126	8.845	CD160|11126	28.7343
CD163L1|283316	255.4631	CD163L1|283316	227.688
CD163|9332	662.5911	CD163|9332	2029.5151
CD164L2|388611	29.3965	CD164L2|388611	21.863000000000003
CD164|8763	6453.4339	CD164|8763	12981.3383
CD180|4064	87.9292	CD180|4064	144.6084
lowly_expressed	lowly_expressed	CD19|930	11.2439
CD1A|909	67.6379	CD1A|909	9.0575
CD1C|911	18.4703	CD1C|911	74.3343
CD1D|912	23.153000000000002	CD1D|912	49.348
CD1E|913	26.795	CD1E|913	22.1754
CD200R1|131450	5.4631	CD200R1|131450	88.0768
CD200|4345	110.5619	CD200|4345	524.4007
CD207|50489	106.6597	CD207|50489	24.9863
CD209|30835	19.2508	CD209|30835	724.2914
CD226|10666	5.9834	CD226|10666	55.5946
CD22|933	179.7607	CD22|933	94.3234
lowly_expressed	lowly_expressed	CD244|51744	32.7946
CD247|919	26.5349	CD247|919	107.1289
CD248|57124	364.7242	CD248|57124	2768.7983
CD24|100133941	5779.3965	CD24|100133941	6653.2365
CD274|29126	8.5848	CD274|29126	33.7316
CD276|80381	3309.3132	CD276|80381	1586.9446
CD27|939	24.1155	CD27|939	100.7293
CD28|940	29.3965	CD28|940	147.4194
CD2AP|23607	1561.9147	CD2AP|23607	1602.5611
CD2BP2|10421	2771.5921	CD2BP2|10421	1273.6785
CD2|914	101.4568	CD2|914	283.9072
CD300A|11314	224.2456	CD300A|11314	170.2194
CD300C|10871	30.1769	CD300C|10871	29.9836
CD300LB|124599	14.0479	CD300LB|124599	23.4247
CD300LF|146722	30.6972	CD300LF|146722	23.1124
lowly_expressed	lowly_expressed	CD300LG|146894	1849.9258
CD302|9936	315.8169	CD302|9936	4497.2281
CD320|51293	1075.9625	CD320|51293	495.9788
CD33|945	68.9386	CD33|945	119.3098
CD34|947	773.4131	CD34|947	8193.3318
CD36|948	11011.7066	CD36|948	42464.5897
CD37|951	169.0947	CD37|951	323.8854
CD38|952	9.8855	CD38|952	50.285
CD3D|915	32.5182	CD3D|915	98.3837
CD3EAP|10849	539.6852	CD3EAP|10849	311.1829
CD3E|916	72.8408	CD3E|916	362.6142
CD3G|917	6.7638	CD3G|917	79.6439
lowly_expressed	lowly_expressed	CD40LG|959	61.5289
CD40|958	93.6524	CD40|958	345.7484
CD44|960	5720.0832	CD44|960	8135.8632
CD46|4179	6389.4381	CD46|4179	5780.2764
CD47|961	6467.2216	CD47|961	3777.3093
CD48|962	138.6576	CD48|962	363.2389
CD4|920	699.0114	CD4|920	1281.1744
CD52|1043	127.7315	CD52|1043	351.3703
CD53|963	513.5276	CD53|963	854.5327
CD55|1604	1921.4360000000001	CD55|1604	2524.5569
CD58|965	146.2019	CD58|965	238.3072
CD59|966	12471.9043	CD59|966	19696.1037
CD5|921	26.795	CD5|921	116.1865
CD63|967	10530.1769	CD63|967	10929.6478
CD68|968	1750.2601	CD68|968	2695.0886
CD69|969	31.9979	CD69|969	104.6303
CD6|923	31.9979	CD6|923	127.4303
CD70|970	6.7638	CD70|970	17.4904
CD72|971	41.6233	CD72|971	24.9863
CD74|972	22489.0739	CD74|972	14564.535
CD79A|973	7.8044	CD79A|973	271.4141
CD79B|974	37.7211	CD79B|974	110.8769
CD7|924	18.4703	CD7|924	46.8494
CD80|941	29.1363	lowly_expressed	lowly_expressed
CD81|975	11879.0323	CD81|975	15261.3415
CD82|3732	601.4568	CD82|3732	652.1434
CD83|9308	277.3153	CD83|9308	243.6168
CD84|8832	66.5973	CD84|8832	152.72899999999998
CD86|942	174.5578	CD86|942	187.3975
CD8A|925	44.7451	CD8A|925	219.5674
CD8B|926	7.2841	CD8B|926	65.9015
CD93|22918	938.0853	CD93|22918	3918.7944
CD96|10225	38.7617	CD96|10225	237.9948
CD97|976	284.3392	CD97|976	1137.8153
CD99L2|83692	1069.719	CD99L2|83692	2756.6175
CD99|4267	2181.0614	CD99|4267	2579.8392
CD9|928	3408.4287	CD9|928	3116.1084
CDADC1|81602	141.7794	CDADC1|81602	280.1593
CDAN1|146059	335.8481	CDAN1|146059	271.7264
CDA|978	11.9667	CDA|978	73.085
CDC123|8872	2008.8163	CDC123|8872	879.2442
CDC14A|8556	177.6795	CDC14A|8556	338.5648
CDC14B|8555	89.4901	CDC14B|8555	996.6425
lowly_expressed	lowly_expressed	CDC14C|168448	16.5534
CDC16|8881	1214.8803	CDC16|8881	1557.898
CDC20|991	2187.0447	CDC20|991	180.8386
CDC23|8697	729.7086	CDC23|8697	841.1025
CDC25A|993	659.4693	CDC25A|993	70.8987
CDC25B|994	3124.8699	CDC25B|994	729.9133
CDC25C|995	136.8392	CDC25C|995	9.3699
CDC26|246184	161.3189	CDC26|246184	164.7037
CDC27|996	1267.1696	CDC27|996	1634.4187
CDC34|997	485.4318	CDC34|997	452.565
CDC37L1|55664	350.4162	CDC37L1|55664	506.9103
CDC37|11140	3094.9532	CDC37|11140	2130.3974
CDC40|51362	530.437	CDC40|51362	861.7162
CDC42BPA|8476	472.9448	CDC42BPA|8476	2824.0806
CDC42BPB|9578	2115.2445	CDC42BPB|9578	4010.6192
CDC42BPG|55561	325.1821	CDC42BPG|55561	276.4113
CDC42EP1|11135	901.4048	CDC42EP1|11135	821.4258
CDC42EP2|10435	348.8554	CDC42EP2|10435	540.0172
CDC42EP3|10602	514.8283	CDC42EP3|10602	815.8039
CDC42EP4|23580	2189.6462	CDC42EP4|23580	2313.11
CDC42EP5|148170	14.0479	CDC42EP5|148170	48.0987
CDC42SE1|56882	4200.7336	CDC42SE1|56882	2403.6479999999997
CDC42SE2|56990	800.7284	CDC42SE2|56990	1656.2817
CDC42|998	7989.334	CDC42|998	5679.3941
CDC45|8318	503.9022	CDC45|8318	41.2275
CDC5L|988	982.0499	CDC5L|988	1270.5552
CDC6|990	1040.8429	CDC6|990	119.9344
CDC73|79577	1589.4901	CDC73|79577	1430.1554
CDC7|8317	876.6909	CDC7|8317	135.8632
CDCA2|157313	688.6056	CDCA2|157313	66.8384
CDCA3|83461	519.0869	CDCA3|83461	45.6157
CDCA4|55038	606.3996	CDCA4|55038	167.7208
CDCA5|113130	1563.4755	CDCA5|113130	162.7235
CDCA7L|55536	1682.9579	CDCA7L|55536	1056.9595
CDCA7|83879	876.4308	CDCA7|83879	140.2358
CDCA8|55143	1121.488	CDCA8|55143	104.6303
CDCP1|64866	2151.1446	CDCP1|64866	629.031
CDH10|1008	14.5682	lowly_expressed	lowly_expressed
CDH11|1009	1600.1561	CDH11|1009	873.5848
lowly_expressed	lowly_expressed	CDH12|1010	13.7425
CDH13|1012	220.3434	CDH13|1012	510.0336
CDH18|1016	8.0645	lowly_expressed	lowly_expressed
CDH1|999	5112.3829	CDH1|999	4940.1109
lowly_expressed	lowly_expressed	CDH20|28316	54.6576
CDH23|64072	99.8647	CDH23|64072	408.4579
CDH24|64403	163.6316	CDH24|64403	78.0823
lowly_expressed	lowly_expressed	CDH26|60437	17.4904
CDH2|1000	226.847	CDH2|1000	31.8576
CDH3|1001	884.2352	CDH3|1001	1082.2207
lowly_expressed	lowly_expressed	CDH4|1002	9.6822
CDH5|1003	380.8533	CDH5|1003	2768.7983
CDH6|1004	36.9407	CDH6|1004	107.4412
lowly_expressed	lowly_expressed	CDH8|1006	8.7452
CDHR1|92211	5.9834	CDHR1|92211	13.4302
CDHR3|222256	48.7513	CDHR3|222256	66.3012
CDIPT|10423	2643.0801	CDIPT|10423	2287.499
CDK10|8558	219.3028	CDK10|8558	349.184
CDK11A|728642	345.3694	CDK11A|728642	264.7365
CDK11B|984	827.6275	CDK11B|984	770.0102
CDK12|51755	1400.6243	CDK12|51755	1535.098
CDK13|8621	1445.3694	CDK13|8621	1162.1769
CDK14|5218	1488.5536	CDK14|5218	929.1794
lowly_expressed	lowly_expressed	CDK15|65061	12.4932
CDK16|5127	2561.1342	CDK16|5127	1438.9006
CDK17|5128	747.3985	CDK17|5128	852.034
CDK18|5129	496.8783	CDK18|5129	166.1591
CDK19|23097	813.1842	CDK19|23097	1102.7251
CDK1|983	2522.8928	CDK1|983	285.1566
CDK20|23552	110.5619	CDK20|23552	83.3919
CDK2AP1|8099	9178.9802	CDK2AP1|8099	2676.6612
CDK2AP2|10263	960.4579	CDK2AP2|10263	482.2363
CDK2|1017	3233.3507	CDK2|1017	587.1789
CDK3|1018	63.1946	CDK3|1018	71.9107
CDK4|1019	6568.4183	CDK4|1019	1919.5752
CDK5R1|8851	124.3496	CDK5R1|8851	79.9563
CDK5RAP1|51654	495.0572	CDK5RAP1|51654	306.7073
CDK5RAP2|55755	1585.3278	CDK5RAP2|55755	1689.0763
CDK5RAP3|80279	1168.0541	CDK5RAP3|80279	1159.0536
CDK5|1020	266.3892	CDK5|1020	130.8659
CDK6|1021	317.89799999999997	CDK6|1021	1237.4483
CDK7|1022	584.8075	CDK7|1022	306.0826
CDK8|1024	299.1675	CDK8|1024	204.5756
CDK9|1025	1546.3059	CDK9|1025	892.6368
CDKAL1|54901	246.0978	CDKAL1|54901	307.0196
CDKL1|8814	14.0479	CDKL1|8814	48.7234
CDKL2|8999	48.6472	CDKL2|8999	27.485
CDKL3|51265	28.3299	CDKL3|51265	37.0016
CDKL5|6792	30.436999999999998	CDKL5|6792	134.3016
CDKN1A|1026	890.2185	CDKN1A|1026	1157.8043
CDKN1B|1027	2695.3694	CDKN1B|1027	2350.5895
CDKN1C|1028	97.2945	CDKN1C|1028	1476.6924
CDKN2AIPNL|91368	382.9344	CDKN2AIPNL|91368	296.7127
CDKN2AIP|55602	345.7336	CDKN2AIP|55602	610.6036
CDKN2A|1029	532.7784	CDKN2A|1029	101.507
CDKN2BAS|100048912	24.4537	lowly_expressed	lowly_expressed
CDKN2B|1030	263.5276	CDKN2B|1030	2321.5429
CDKN2C|1031	230.7492	CDKN2C|1031	1228.7031
CDKN2D|1032	348.8554	CDKN2D|1032	160.8495
CDKN3|1033	316.077	CDKN3|1033	32.7946
CDNF|441549	7.2841	CDNF|441549	57.4686
CDO1|1036	70.2393	CDO1|1036	1891.4656
CDON|50937	532.2581	CDON|50937	1773.7175
CDR1|1038	42.9943	CDR1|1038	224.293
CDR2L|30850	535.1197	CDR2L|30850	302.3347
