gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
C7orf46|340277	35.6883	C7orf46|340277	184.7507
C7orf47|221908	180.6264	C7orf47|221908	113.1127
C7orf49|78996	516.1617	C7orf49|78996	291.638
C7orf50|84310	839.7669	C7orf50|84310	341.8517
lowly_expressed	lowly_expressed	C7orf51|222950	24.2983
C7orf53|286006	6.9192	C7orf53|286006	18.8521
C7orf55|154791	280.4079	C7orf55|154791	119.0658
C7orf58|79974	63.0007	C7orf58|79974	638.4583
C7orf59|389541	1090.6773	C7orf59|389541	289.9036
C7orf60|154743	236.3438	C7orf60|154743	952.2413
C7orf63|79846	107.0648	C7orf63|79846	182.2371
C7orf64|84060	261.4712	C7orf64|84060	723.0834
C7orf68|29923	1032.0466	C7orf68|29923	116.4642
C7orf70|84792	610.7065	C7orf70|84792	860.9133
C7|730	132.9206	C7|730	775.0314
C8ORFK29|340393	20.0291	lowly_expressed	lowly_expressed
C8orf30A|51236	1477.4217	C8orf30A|51236	342.6896
C8orf31|286122	13.11	lowly_expressed	lowly_expressed
C8orf33|65265	3960.3059	C8orf33|65265	1048.5966
lowly_expressed	lowly_expressed	C8orf34|116328	21.3657
C8orf37|157657	207.2105	C8orf37|157657	40.6368
C8orf38|137682	2051.3474	C8orf38|137682	340.5949
C8orf40|114926	2503.6417	C8orf40|114926	1850.8588
C8orf41|80185	185.2476	C8orf41|80185	306.0452
C8orf42|157695	183.5397	C8orf42|157695	689.9874
C8orf44|56260	65.6227	C8orf44|56260	52.367
C8orf45|157777	337.9461	C8orf45|157777	60.7457
C8orf46|254778	14.2025	C8orf46|254778	28.9066
C8orf48|157773	21.85	C8orf48|157773	75.4085
C8orf4|56892	214.858	C8orf4|56892	776.2882
C8orf51|78998	217.043	C8orf51|78998	33.0959
C8orf55|51337	2897.6693	C8orf55|51337	330.1215
C8orf58|541565	105.6082	C8orf58|541565	281.5249
C8orf59|401466	1619.6977	C8orf59|401466	1940.951
C8orf73|642475	517.8441	C8orf73|642475	42.3125
C8orf76|84933	827.4071	C8orf76|84933	461.6674
C8orf77|286103	9.4683	lowly_expressed	lowly_expressed
C8orf79|57604	25.8558	C8orf79|57604	644.3234
C8orf83|286144	1156.5914	C8orf83|286144	1246.7532
C8orf84|157869	46.9774	C8orf84|157869	646.837
C8orf85|441376	420.976	C8orf85|441376	366.15
C8orf86|389649	7.6475	lowly_expressed	lowly_expressed
C9orf100|84904	89.4246	C9orf100|84904	56.6276
C9orf102|375748	110.2294	C9orf102|375748	62.1491
C9orf103|414328	176.6205	C9orf103|414328	183.4939
C9orf109|286333	14.9308	C9orf109|286333	23.8793
C9orf110|100128385	61.9082	C9orf110|100128385	72.057
C9orf114|51490	562.4727	C9orf114|51490	167.5534
C9orf116|138162	438.4559	C9orf116|138162	77.5031
C9orf117|286207	34.2316	C9orf117|286207	5.0272
C9orf119|375757	636.9264	C9orf119|375757	134.8974
C9orf122|158228	45.5208	C9orf122|158228	49.8534
C9orf123|90871	725.0546	C9orf123|90871	1072.8948
C9orf125|84302	25.8558	C9orf125|84302	169.2501
C9orf129|445577	136.3693	C9orf129|445577	19.07
C9orf130|100128782	128.303	C9orf130|100128782	214.2983
C9orf140|89958	174.0714	C9orf140|89958	43.9883
C9orf142|286257	339.0386	C9orf142|286257	41.4747
C9orf150|286343	1034.9599	C9orf150|286343	997.4864
C9orf152|401546	331.3911	C9orf152|401546	521.1563
C9orf156|51531	387.4727	C9orf156|51531	286.5522
C9orf163|158055	10.5608	lowly_expressed	lowly_expressed
C9orf167|54863	46.9774	C9orf167|54863	20.1089
C9orf169|375791	39.3044	lowly_expressed	lowly_expressed
C9orf16|79095	924.9818	C9orf16|79095	452.0318
C9orf172|389813	25.4916	lowly_expressed	lowly_expressed
C9orf21|195827	154.0422	C9orf21|195827	448.6804
C9orf23|138716	527.3125	C9orf23|138716	254.2941
C9orf24|84688	5.4625	C9orf24|84688	12.5681
C9orf25|203259	295.3387	C9orf25|203259	277.7545
C9orf30|91283	147.8004	C9orf30|91283	195.6431
C9orf37|85026	143.8456	C9orf37|85026	46.9208
C9orf3|84909	202.8186	C9orf3|84909	596.2003
C9orf40|55071	68.4632	C9orf40|55071	362.7985
C9orf41|138199	203.933	C9orf41|138199	174.6963
C9orf43|257169	56.4457	C9orf43|257169	6.284
C9orf45|81571	63.0007	C9orf45|81571	74.5706
C9orf46|55848	1076.4749	C9orf46|55848	759.9497
C9orf47|286223	28.78	C9orf47|286223	8.3787
C9orf5|23731	2002.185	C9orf5|23731	3445.3289
C9orf64|84267	907.1377	C9orf64|84267	366.15
C9orf66|157983	33.1391	C9orf66|157983	54.8806
C9orf68|55064	17.8441	C9orf68|55064	93.4227
C9orf69|90120	543.3358	C9orf69|90120	201.0892
C9orf6|54942	455.5717	C9orf6|54942	777.1261
C9orf72|203228	209.7597	C9orf72|203228	702.5555
C9orf78|51759	1327.7495	C9orf78|51759	893.1713
C9orf7|11094	637.6548	C9orf7|11094	85.044
C9orf80|58493	332.8478	C9orf80|58493	503.9799
C9orf82|79886	515.6591	C9orf82|79886	903.6447
C9orf85|138241	113.2556	C9orf85|138241	181.3992
C9orf86|55684	1010.5608	C9orf86|55684	241.3071
C9orf89|84270	660.2331	C9orf89|84270	105.5718
C9orf91|203197	758.9221	C9orf91|203197	728.1106
C9orf93|203238	76.839	C9orf93|203238	27.2308
C9orf95|54981	509.8325	C9orf95|54981	516.129
C9orf96|169436	12.3816	C9orf96|169436	8.3787
C9orf98|158067	142.0248	C9orf98|158067	5.8651
C9orf9|11092	308.8128	C9orf9|11092	158.7767
CA11|770	20.0291	CA11|770	322.1617
CA12|771	44411.8718	CA12|771	3430.6661
CA13|377677	54.9891	CA13|377677	226.858
CA14|23632	20.0291	lowly_expressed	lowly_expressed
CA2|760	110.7065	CA2|760	904.4826
lowly_expressed	lowly_expressed	CA3|761	2938.6217
lowly_expressed	lowly_expressed	CA4|762	108.5044
CA5BP|340591	210.1238	CA5BP|340591	112.2748
CA5B|11238	128.5506	CA5B|11238	426.0578
CA8|767	1911.8718	CA8|767	528.6971
CAB39L|81617	2554.6249	CAB39L|81617	2759.9497
CAB39|51719	2205.3897	CAB39|51719	2722.2455
CABC1|56997	1069.3044	CABC1|56997	942.6058
CABIN1|23523	1164.2389	CABIN1|23523	348.5547
CABLES1|91768	1211.9446	CABLES1|91768	584.8345
CABLES2|81928	135.4698	CABLES2|81928	207.7922
lowly_expressed	lowly_expressed	CABP1|9478	8.7977
CABP4|57010	25.0655	CABP4|57010	5.4462
CABP7|164633	5.6737	lowly_expressed	lowly_expressed
CABYR|26256	221.41299999999998	CABYR|26256	228.739
CACHD1|57685	63.7291	CACHD1|57685	1544.6167
CACNA1A|773	29.1333	CACNA1A|773	57.8132
CACNA1C|775	70.28399999999999	CACNA1C|775	142.4382
CACNA1D|776	221.0488	CACNA1D|776	72.057
CACNA1F|778	30.2258	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CACNA1G|8913	7.5408
CACNA1H|8912	2687.6839	CACNA1H|8912	36.8664
CACNA1I|8911	310.2695	lowly_expressed	lowly_expressed
CACNA2D1|781	5.4625	CACNA2D1|781	13.4059
CACNA2D2|9254	349.9636	CACNA2D2|9254	64.5161
lowly_expressed	lowly_expressed	CACNA2D3|55799	30.5823
CACNA2D4|93589	104.1515	CACNA2D4|93589	70.8002
CACNB1|782	117.9898	CACNB1|782	95.0984
CACNB2|783	6.9192	CACNB2|783	33.0959
CACNB3|784	343.7728	CACNB3|784	142.8571
CACNB4|785	10.5608	CACNB4|785	75.8274
CACNG1|786	144.2098	lowly_expressed	lowly_expressed
CACNG4|27092	5167.5164	CACNG4|27092	231.2526
CACYBP|27101	1710.4879999999998	CACYBP|27101	1484.7088
CADM1|23705	825.5645	CADM1|23705	1286.9711
lowly_expressed	lowly_expressed	CADM2|253559	30.5823
CADM3|57863	16.2964	CADM3|57863	261.9229
CADM4|199731	685.3605	CADM4|199731	273.1462
CADPS2|93664	1765.4771	CADPS2|93664	1602.0109
CADPS|8618	5.8267	lowly_expressed	lowly_expressed
CAD|790	737.4363	CAD|790	291.1605
CALB2|794	26.22	CALB2|794	956.8496
CALCOCO1|57658	1060.0874	CALCOCO1|57658	2274.403
CALCOCO2|10241	6889.2935	CALCOCO2|10241	4232.9284
CALCRL|10203	581.2090000000001	CALCRL|10203	954.7549
lowly_expressed	lowly_expressed	CALCR|799	149.1412
CALD1|800	1933.3576	CALD1|800	17520.7373
CALHM2|51063	358.3394	CALHM2|51063	411.3951
CALM1|801	5256.7371	CALM1|801	11638.0394
CALM2|805	11093.5907	CALM2|805	25931.2945
CALM3|808	3318.6453	CALM3|808	2668.2028
CALML3|810	34.2316	CALML3|810	275.6598
CALML4|91860	197.0138	CALML4|91860	739.4219
CALML5|51806	14.9308	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CALN1|83698	23.4604
CALR|811	18439.9126	CALR|811	5408.0436
CALU|813	4386.3802	CALU|813	3589.4428
CAMK1D|57118	18.5725	CAMK1D|57118	19.69
CAMK1|8536	107.72399999999999	CAMK1|8536	324.2522
lowly_expressed	lowly_expressed	CAMK2B|816	5.8651
CAMK2D|817	118.354	CAMK2D|817	1986.1751
CAMK2G|818	459.2134	CAMK2G|818	438.207
CAMK2N1|55450	1665.3314	CAMK2N1|55450	2647.256
CAMK2N2|94032	7.2833	CAMK2N2|94032	9.2166
lowly_expressed	lowly_expressed	CAMK4|814	5.8651
CAMKK1|84254	110.3423	CAMKK1|84254	131.9648
CAMKK2|10645	922.0685	CAMKK2|10645	1205.2786
CAMLG|819	880.1894	CAMLG|819	2164.6418
CAMSAP1L1|23271	638.7473	CAMSAP1L1|23271	1784.2479999999998
CAMSAP1|157922	720.3205	CAMSAP1|157922	611.6464
CAMTA1|23261	415.1493	CAMTA1|23261	1219.5224
CAMTA2|23125	491.26	CAMTA2|23125	692.0821
CAND1|55832	3346.3219	CAND1|55832	3736.0704
CAND2|23066	19.3008	CAND2|23066	95.0984
CANT1|124583	7266.5696	CANT1|124583	1024.2983
CANX|821	27573.1974	CANX|821	24441.1395
CAP1|10487	7251.6387	CAP1|10487	8323.4185
CAP2|10486	839.0386	CAP2|10486	1008.7977
CAPG|822	3708.303	CAPG|822	678.6762
CAPN10|11132	87.0357	CAPN10|11132	25.5551
lowly_expressed	lowly_expressed	CAPN11|11131	30.1634
CAPN12|147968	109.5521	CAPN12|147968	197.5115
CAPN13|92291	376.5477	CAPN13|92291	47.3398
lowly_expressed	lowly_expressed	CAPN14|440854	12.1491
CAPN1|823	4923.161	CAPN1|823	1502.7231
CAPN2|824	4510.1966	CAPN2|824	9602.4298
CAPN3|825	13.8383	CAPN3|825	79.225
CAPN5|726	85.579	CAPN5|726	183.9129
CAPN6|827	12.0175	CAPN6|827	130.2891
CAPN7|23473	1085.579	CAPN7|23473	1769.1663
CAPN8|388743	449.3809	CAPN8|388743	197.3188
CAPN9|10753	67.3707	CAPN9|10753	5.4462
CAPNS1|826	7812.0903	CAPNS1|826	9624.6334
CAPRIN1|4076	13287.6912	CAPRIN1|4076	10050.6912
CAPRIN2|65981	188.2739	CAPRIN2|65981	304.5664
CAPS2|84698	30.2258	CAPS2|84698	53.6238
CAPS|828	226.8755	CAPS|828	22.2036
CAPZA1|829	3601.2382	CAPZA1|829	4741.0976
CAPZA2|830	2427.8951	CAPZA2|830	6816.925
lowly_expressed	lowly_expressed	CAPZA3|93661	14.2438
CAPZB|832	3831.7553	CAPZB|832	4281.5249
CARD10|29775	451.2017	CARD10|29775	265.1864
CARD11|84433	22.5783	CARD11|84433	5.8651
CARD14|79092	241.4421	CARD14|79092	39.38
CARD16|114769	121.6315	CARD16|114769	211.5626
CARD6|84674	101.9665	CARD6|84674	365.731
CARD8|22900	508.0117	CARD8|22900	1151.6548
CARD9|64170	6.1908	CARD9|64170	14.2438
CARHSP1|23589	2192.2906	CARHSP1|23589	867.4110000000001
CARKD|55739	1548.7983	CARKD|55739	741.0976
CARM1|10498	965.0401	CARM1|10498	376.6234
CARNS1|57571	13.8383	CARNS1|57571	41.4747
CARS2|79587	752.1923	CARS2|79587	353.9296
CARS|833	764.7487	CARS|833	270.2137
CARTPT|9607	14.5666	CARTPT|9607	21.3657
CASC1|55259	106.7007	CASC1|55259	73.7327
CASC2|255082	41.8791	CASC2|255082	74.1517
CASC3|22794	3540.0583	CASC3|22794	3480.1005
CASC4|113201	3773.8529	CASC4|113201	4948.0519
CASC5|57082	70.6482	lowly_expressed	lowly_expressed
CASD1|64921	1077.2032	CASD1|64921	2410.5572
CASKIN1|57524	55.7465	lowly_expressed	lowly_expressed
CASKIN2|57513	818.4851	CASKIN2|57513	285.111
CASK|8573	667.5164	CASK|8573	1704.6502
CASP10|843	113.2556	CASP10|843	309.5936
lowly_expressed	lowly_expressed	CASP12|120329	10.8923
CASP1|834	655.8631	CASP1|834	613.3222
CASP2|835	832.4836	CASP2|835	1664.8513
CASP3|836	811.7261	CASP3|836	615.4168
CASP4|837	650.4006	CASP4|837	1065.354
CASP6|839	813.547	CASP6|839	444.491
CASP7|840	6727.2396	CASP7|840	822.7901
CASP8AP2|9994	339.4028	CASP8AP2|9994	462.0863
CASP8|841	644.5739	CASP8|841	664.8513
CASP9|842	418.791	CASP9|842	256.8077
CASQ2|845	25.8558	CASQ2|845	167.9933
CASS4|57091	15.295	CASS4|57091	5.8651
CAST|831	3617.8842	CAST|831	10235.5258
CASZ1|54897	1079.7524	CASZ1|54897	496.0201
CATSPER1|117144	6.1908	lowly_expressed	lowly_expressed
CATSPER2P1|440278	50.8339	CATSPER2P1|440278	40.6912
CATSPER2|117155	15.295	CATSPER2|117155	42.7063
CATSPER3|347732	11.6533	CATSPER3|347732	9.6816
CATSPERB|79820	41.5149	CATSPERB|79820	30.1634
CATSPERG|57828	63.3649	CATSPERG|57828	5.8651
CAT|847	1670.7939	CAT|847	4925.8483
CAV1|857	1024.7633	CAV1|857	33149.9791
CAV2|858	268.3904	CAV2|858	10514.8722
CBARA1|10367	1032.7749	CBARA1|10367	1220.3603
CBFA2T2|9139	603.7873	CBFA2T2|9139	536.6569
CBFA2T3|863	206.8463	CBFA2T3|863	167.9933
CBFB|865	521.4858	CBFB|865	1901.1311
CBLB|868	353.9694	CBLB|868	617.5115
CBLC|23624	309.177	CBLC|23624	50.6912
CBLL1|79872	919.1551	CBLL1|79872	1297.8634
lowly_expressed	lowly_expressed	CBLN1|869	23.4604
CBLN3|643866	183.5397	CBLN3|643866	108.0855
CBLN4|140689	8.0117	CBLN4|140689	113.9506
CBL|867	510.1966	CBL|867	922.4969
CBR1|873	252.6875	CBR1|873	503.142
CBR3|874	112.1631	CBR3|874	163.385
CBR4|84869	843.4086	CBR4|84869	940.5111
CBS|875	71.0124	CBS|875	26.8119
CBWD1|55871	987.6184	CBWD1|55871	705.0691
CBWD2|150472	970.1384	CBWD2|150472	739.4219
CBWD3|445571	777.4181	CBWD3|445571	114.7884
CBWD5|220869	39.7706	lowly_expressed	lowly_expressed
CBWD6|644019	377.276	CBWD6|644019	127.7755
CBX1|10951	3087.764	CBX1|10951	1305.8232
CBX2|84733	51.3474	CBX2|84733	26.393
CBX3|11335	4447.5601	CBX3|11335	5811.0599
CBX4|8535	1577.5674	CBX4|8535	593.6322
CBX5|23468	2634.3773	CBX5|23468	3243.4018
CBX6|23466	277.8587	CBX6|23466	222.455
CBX7|23492	475.2367	CBX7|23492	919.9832
CBX8|57332	143.8456	CBX8|57332	10.4734
CBY1|25776	598.7909999999999	CBY1|25776	464.8261
CC2D1A|54862	628.5506	CC2D1A|54862	248.8479
CC2D1B|200014	668.6089	CC2D1B|200014	360.2849
CC2D2A|57545	217.4071	CC2D2A|57545	350.6494
lowly_expressed	lowly_expressed	CC2D2B|387707	10.8923
CCAR1|55749	1886.016	CCAR1|55749	793.4646
lowly_expressed	lowly_expressed	CCBE1|147372	65.7729
CCBL1|883	173.7072	CCBL1|883	64.0972
CCBL2|56267	1267.4945	CCBL2|56267	1684.7256
CCBP2|1238	231.6096	CCBP2|1238	117.721
CCDC101|112869	626.7298	CCDC101|112869	209.8869
CCDC102A|92922	38.2374	CCDC102A|92922	51.5291
CCDC102B|79839	52.4399	CCDC102B|79839	65.7729
CCDC103|388389	477.7859	CCDC103|388389	152.9116
CCDC104|112942	898.0335	CCDC104|112942	909.5098
CCDC106|29903	390.0218	CCDC106|29903	62.4214
CCDC107|203260	225.9432	CCDC107|203260	160.3812
CCDC108|255101	14.9308	CCDC108|255101	6.284
CCDC109A|90550	442.0976	CCDC109A|90550	643.0666
CCDC109B|55013	154.0422	CCDC109B|55013	444.491
CCDC110|256309	53.8966	CCDC110|256309	118.5589
CCDC111|201973	322.6985	CCDC111|201973	444.6921
CCDC112|153733	233.0663	CCDC112|153733	233.3473
CCDC113|29070	353.2411	CCDC113|29070	241.726
CCDC114|93233	41.1508	CCDC114|93233	20.5279
CCDC115|84317	1372.906	CCDC115|84317	1345.6221
lowly_expressed	lowly_expressed	CCDC116|164592	7.1219
CCDC117|150275	5712.673000000001	CCDC117|150275	1614.579
CCDC11|220136	95.7757	CCDC11|220136	5.8651
CCDC120|90060	403.496	CCDC120|90060	249.6858
CCDC121|79635	148.2156	CCDC121|79635	351.4872
CCDC122|160857	99.0532	CCDC122|160857	160.4525
CCDC123|84902	379.8252	CCDC123|84902	196.062
CCDC124|115098	485.0692	CCDC124|115098	120.6535
CCDC125|202243	408.2302	CCDC125|202243	291.9983
CCDC126|90693	577.9315	CCDC126|90693	551.7386
CCDC127|133957	672.9789	CCDC127|133957	340.176
lowly_expressed	lowly_expressed	CCDC129|223075	15.0817
CCDC12|151903	461.0342	CCDC12|151903	257.2266
CCDC130|81576	303.3503	CCDC130|81576	96.7742
CCDC132|55610	721.0488	CCDC132|55610	900.2933
CCDC134|79879	58.6307	CCDC134|79879	6.702999999999999
lowly_expressed	lowly_expressed	CCDC136|64753	25.1362
CCDC137|339230	304.807	CCDC137|339230	39.38
CCDC138|165055	56.4457	CCDC138|165055	38.1232
CCDC13|152206	10.1966	CCDC13|152206	7.9598
lowly_expressed	lowly_expressed	CCDC141|285025	23.8793
CCDC142|84865	151.1289	CCDC142|84865	60.7457
CCDC144A|9720	12.0175	CCDC144A|9720	9.2166
lowly_expressed	lowly_expressed	CCDC144B|284047	6.702999999999999
CCDC146|57639	114.7123	CCDC146|57639	88.3955
lowly_expressed	lowly_expressed	CCDC147|159686	12.1491
CCDC148|130940	14.5666	CCDC148|130940	33.0959
CCDC149|91050	332.1194	CCDC149|91050	303.3096
CCDC14|64770	355.7902	CCDC14|64770	1043.9883
CCDC152|100129792	123.7837	CCDC152|100129792	453.6489
CCDC153|283152	37.8733	lowly_expressed	lowly_expressed
CCDC157|550631	64.898	CCDC157|550631	6.284
CCDC158|339965	9.4683	CCDC158|339965	12.987
CCDC159|126075	304.807	CCDC159|126075	82.5304
CCDC15|80071	113.984	CCDC15|80071	72.057
CCDC160|347475	36.7808	CCDC160|347475	83.3682
CCDC163P|126661	43.6999	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CCDC17|149483	12.987
CCDC18|343099	45.1639	CCDC18|343099	18.0142
CCDC19|25790	73.5615	lowly_expressed	lowly_expressed
CCDC21|64793	542.6074	CCDC21|64793	171.7637
CCDC22|28952	558.6016	CCDC22|28952	111.34899999999999
CCDC23|374969	230.5171	CCDC23|374969	237.1177
CCDC24|149473	483.6089	CCDC24|149473	102.6393
CCDC25|55246	794.2462	CCDC25|55246	1718.0561
CCDC28A|25901	664.9672	CCDC28A|25901	773.7746
CCDC28B|79140	12.7458	CCDC28B|79140	9.2166
CCDC30|728621	122.72399999999999	CCDC30|728621	35.6096
CCDC34|91057	238.1646	CCDC34|91057	421.0306
lowly_expressed	lowly_expressed	CCDC36|339834	30.5823
CCDC39|339829	17.8441	CCDC39|339829	12.1491
CCDC3|83643	143.1173	CCDC3|83643	2402.1785
CCDC40|55036	168.2447	CCDC40|55036	36.0285
CCDC41|51134	213.0371	CCDC41|51134	181.3992
CCDC43|124808	1109.614	CCDC43|124808	587.7671
CCDC45|90799	508.0117	CCDC45|90799	339.75699999999995
CCDC46|201134	45.5208	CCDC46|201134	298.7013
CCDC47|57003	6367.4436	CCDC47|57003	2825.3037
CCDC48|79825	100.1457	CCDC48|79825	87.5576
CCDC50|152137	837.2178	CCDC50|152137	3961.8768
CCDC51|79714	481.0634	CCDC51|79714	86.7197
CCDC52|152185	836.1253	CCDC52|152185	518.2237
CCDC53|51019	707.9388	CCDC53|51019	771.2610000000001
CCDC55|84081	954.8434	CCDC55|84081	528.6971
CCDC56|28958	2215.1821	CCDC56|28958	1724.9518
CCDC57|284001	473.0517	CCDC57|284001	91.74700000000001
CCDC58|131076	243.9913	CCDC58|131076	270.6326
CCDC59|29080	360.5244	CCDC59|29080	976.1207
CCDC61|729440	144.9381	CCDC61|729440	36.4474
lowly_expressed	lowly_expressed	CCDC62|84660	9.2166
CCDC64B|146439	486.89	CCDC64B|146439	43.5693
CCDC64|92558	356.8827	CCDC64|92558	19.2711
CCDC65|85478	29.4975	CCDC65|85478	6.702999999999999
CCDC66|285331	293.3103	CCDC66|285331	427.8341
lowly_expressed	lowly_expressed	CCDC67|159989	10.8923
CCDC68|80323	38.2374	CCDC68|80323	149.5601
CCDC69|26112	197.0138	CCDC69|26112	1342.6896
CCDC6|8030	3249.8179	CCDC6|8030	4953.4981
CCDC71|64925	647.8514	CCDC71|64925	287.39
CCDC72|51372	1501.4567	CCDC72|51372	1139.9246
CCDC73|493860	28.8747	CCDC73|493860	161.2736
CCDC74A|90557	335.7611	CCDC74A|90557	246.7532
CCDC74B|91409	25.4916	CCDC74B|91409	47.3398
CCDC75|253635	65.9141	CCDC75|253635	21.7847
CCDC76|54482	219.5011	CCDC76|54482	505.1822
CCDC77|84318	134.7414	CCDC77|84318	120.6535
CCDC78|124093	67.7349	lowly_expressed	lowly_expressed
CCDC7|221016	51.2527	CCDC7|221016	28.9066
CCDC80|151887	1271.3037	CCDC80|151887	2834.1014
CCDC81|60494	5.4625	CCDC81|60494	5.4462
CCDC82|79780	136.9264	CCDC82|79780	832.0067
CCDC84|338657	99.4173	CCDC84|338657	99.7067
CCDC85A|114800	33.1391	CCDC85A|114800	483.452
CCDC85B|11007	114.7123	CCDC85B|11007	49.0155
CCDC85C|317762	513.2156	CCDC85C|317762	344.181
CCDC86|79080	482.1522	CCDC86|79080	390.8546
CCDC87|55231	87.0357	CCDC87|55231	34.3527
CCDC88A|55704	143.1173	CCDC88A|55704	786.7616
CCDC88B|283234	60.8157	CCDC88B|283234	12.987
CCDC88C|440193	2568.8274	CCDC88C|440193	219.5224
CCDC89|220388	6.1908	CCDC89|220388	91.32799999999999
CCDC8|83987	58.2666	CCDC8|83987	673.23
CCDC90A|63933	510.5608	CCDC90A|63933	347.2979
CCDC90B|60492	706.4749	CCDC90B|60492	1209.468
CCDC91|55297	650.4006	CCDC91|55297	1171.3448
CCDC92|80212	690.823	CCDC92|80212	981.9858
CCDC93|54520	345.9578	CCDC93|54520	471.3029
CCDC94|55702	361.9811	CCDC94|55702	151.2359
CCDC96|257236	140.2039	CCDC96|257236	67.8676
CCDC97|90324	1119.0823	CCDC97|90324	634.269
CCDC99|54908	195.19299999999998	CCDC99|54908	194.3863
CCDC9|26093	198.8347	CCDC9|26093	36.8664
CCHCR1|54535	181.3547	CCHCR1|54535	103.8961
CCL11|6356	36.0524	lowly_expressed	lowly_expressed
CCL13|6357	12.3816	CCL13|6357	97.1931
CCL14|6358	278.9403	CCL14|6358	3007.8886
CCL18|6362	20.0291	CCL18|6362	17.1764
CCL19|6363	82.3015	CCL19|6363	132.8027
lowly_expressed	lowly_expressed	CCL20|6364	5.0272
CCL21|6366	46.9774	CCL21|6366	1492.6686
CCL22|6367	20.0291	CCL22|6367	42.3125
CCL23|6368	5.8267	CCL23|6368	93.0038
CCL28|56477	455.2076	CCL28|56477	2709.6774
CCL2|6347	410.7793	CCL2|6347	2283.6196
CCL3L1|6349	25.8667	CCL3L1|6349	72.1659
lowly_expressed	lowly_expressed	CCL3L3|414062	15.8106
CCL3|6348	77.5674	CCL3|6348	286.5522
CCL4L2|388372	26.9483	CCL4L2|388372	135.7352
CCL4|6351	50.2549	CCL4|6351	344.3653
CCL5|6352	304.0787	CCL5|6352	492.6686
CCL8|6355	77.2032	CCL8|6355	152.9116
CCM2|83605	469.4101	CCM2|83605	206.9543
lowly_expressed	lowly_expressed	CCNA1|8900	23.8793
CCNA2|890	242.7422	CCNA2|890	77.0256
CCNB1IP1|57820	258.5579	CCNB1IP1|57820	1444.9099
CCNB1|891	325.2003	CCNB1|891	268.9568
CCNB2|9133	213.7655	CCNB2|9133	36.0285
CCNB3|85417	54.6249	lowly_expressed	lowly_expressed
CCNC|892	2776.0379	CCNC|892	2575.6179
CCND1|595	10186.839	CCND1|595	3613.3222
CCND2|894	233.0663	CCND2|894	1864.6837
CCND3|896	1232.3379	CCND3|896	1515.2912
CCNDBP1|23582	989.8034	CCNDBP1|23582	2049.4344
CCNE1|898	19.665	CCNE1|898	10.0545
CCNE2|9134	387.2942	CCNE2|9134	50.1089
CCNF|899	484.3409	CCNF|899	76.2463
CCNG1|900	1699.9272	CCNG1|900	6220.3603
CCNG2|901	3502.9133	CCNG2|901	5602.0109
CCNH|902	767.5601	CCNH|902	1046.3176
CCNI2|645121	5.6154	lowly_expressed	lowly_expressed
CCNI|10983	6532.0466	CCNI|10983	7337.2434
CCNJL|79616	14.5666	CCNJL|79616	61.5836
CCNJ|54619	158.0481	CCNJ|54619	206.1165
CCNK|8812	1170.3241	CCNK|8812	994.7382
CCNL1|57018	705.7538	CCNL1|57018	3473.3976
CCNL2|81669	916.2418	CCNL2|81669	1012.1491
lowly_expressed	lowly_expressed	CCNO|10309	36.0285
CCNT1|904	117.2615	CCNT1|904	68.7055
CCNT2|905	847.7786	CCNT2|905	917.8886
CCNYL1|151195	397.3052	CCNYL1|151195	481.3574
CCNY|219771	1536.0524	CCNY|219771	2880.1843
CCPG1|9236	2263.9658	CCPG1|9236	3430.7792
CCR1|1230	230.5171	CCR1|1230	175.9531
CCR2|729230	28.405	CCR2|729230	48.5966
CCR4|1233	10.925	lowly_expressed	lowly_expressed
CCR5|1234	96.50399999999999	CCR5|1234	62.4214
CCR6|1235	34.1661	CCR6|1235	21.2191
CCR7|1236	28.405	CCR7|1236	5.4462
CCRL1|51554	30.9541	CCRL1|51554	198.9946
CCRL2|9034	36.4166	CCRL2|9034	100.9636
CCRN4L|25819	159.8689	CCRN4L|25819	121.9103
CCS|9973	332.1194	CCS|9973	74.9895
CCT2|10576	3902.7677	CCT2|10576	2609.1328
CCT3|7203	6485.4334	CCT3|7203	2117.721
CCT4|10575	4155.4989	CCT4|10575	5189.778
CCT5|22948	5105.6082	CCT5|22948	2563.4688
CCT6A|908	4225.782999999999	CCT6A|908	3183.075
CCT6B|10693	185.3605	CCT6B|10693	123.1672
CCT6P1|643253	40.4224	CCT6P1|643253	47.3398
CCT7|10574	5372.906	CCT7|10574	1951.4034
CCT8|10694	4873.9985	CCT8|10694	3583.5777
CD101|9398	21.4858	CD101|9398	27.2308
CD109|135228	163.5106	CD109|135228	1326.77
CD14|929	790.6045	CD14|929	604.9434
CD151|977	6874.3627	CD151|977	3790.1131
lowly_expressed	lowly_expressed	CD160|11126	22.2036
CD163L1|283316	19.665	CD163L1|283316	131.5459
CD163|9332	429.3518	CD163|9332	150.8169
CD164L2|388611	16.0233	CD164L2|388611	34.3527
CD164|8763	13941.0051	CD164|8763	21195.2241
CD177|57126	184.9964	lowly_expressed	lowly_expressed
