gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
C7orf68|29923	983.3027	C7orf68|29923	454.4379
C7orf70|84792	758.2199	C7orf70|84792	380.4734
lowly_expressed	lowly_expressed	C7|730	2421.8935
C8ORFK29|340393	18.8628	lowly_expressed	lowly_expressed
C8orf30A|51236	1928.0618	C8orf30A|51236	372.1893
lowly_expressed	lowly_expressed	C8orf31|286122	8.283999999999999
C8orf33|65265	2583.0085	C8orf33|65265	1441.4201
lowly_expressed	lowly_expressed	C8orf34|116328	15.9763
C8orf37|157657	151.8205	C8orf37|157657	76.9231
C8orf38|137682	704.3766	C8orf38|137682	223.6686
C8orf39|55472	13.2402	lowly_expressed	lowly_expressed
C8orf40|114926	962.4127	C8orf40|114926	704.7337
C8orf41|80185	218.3008	C8orf41|80185	259.9586
C8orf42|157695	309.5256	C8orf42|157695	419.5266
C8orf44|56260	57.1092	C8orf44|56260	47.0651
C8orf45|157777	47.9588	C8orf45|157777	45.5621
C8orf46|254778	1397.5726	C8orf46|254778	43.787
C8orf47|203111	8.8268	C8orf47|203111	12.425999999999998
C8orf48|157773	10.8864	C8orf48|157773	56.213
C8orf4|56892	72.968	C8orf4|56892	1815.9763
C8orf51|78998	164.4722	C8orf51|78998	50.2959
C8orf55|51337	1257.2269	C8orf55|51337	811.2426
C8orf58|541565	109.7462	C8orf58|541565	271.0059
C8orf59|401466	1543.0261	C8orf59|401466	583.0
C8orf73|642475	187.7161	C8orf73|642475	65.0888
C8orf76|84933	951.8205	C8orf76|84933	292.3077
C8orf79|57604	27.9515	C8orf79|57604	338.4615
C8orf80|389643	107.3924	C8orf80|389643	13.6095
C8orf83|286144	512.5414	C8orf83|286144	700.0
C8orf84|157869	26.7745	C8orf84|157869	224.8521
C8orf85|441376	1346.3773	C8orf85|441376	253.8462
C9orf100|84904	339.5307	C9orf100|84904	37.5148
C9orf102|375748	112.2295	C9orf102|375748	90.6805
C9orf103|414328	120.9268	C9orf103|414328	186.9822
C9orf109|286333	34.7186	C9orf109|286333	39.645
C9orf110|100128385	149.7609	C9orf110|100128385	186.3905
C9orf114|51490	1066.0919	C9orf114|51490	345.4083
C9orf116|138162	52.9606	C9orf116|138162	62.7219
C9orf117|286207	18.242	C9orf117|286207	8.283999999999999
C9orf119|375757	356.3075	C9orf119|375757	245.5621
C9orf122|158228	97.0945	C9orf122|158228	26.0355
C9orf123|90871	1329.6065	C9orf123|90871	772.7811
lowly_expressed	lowly_expressed	C9orf125|84302	117.1598
lowly_expressed	lowly_expressed	C9orf128|392307	5.9172
C9orf129|445577	125.3549	C9orf129|445577	61.7811
C9orf130|100128782	114.6392	C9orf130|100128782	224.1716
C9orf140|89958	1233.3946	C9orf140|89958	96.4497
C9orf142|286257	558.1464	C9orf142|286257	268.6391
C9orf150|286343	74.1449	C9orf150|286343	463.3136
C9orf152|401546	79.1467	C9orf152|401546	668.0473
C9orf156|51531	293.6374	C9orf156|51531	355.0296
C9orf163|158055	20.89	lowly_expressed	lowly_expressed
C9orf167|54863	152.1147	C9orf167|54863	149.1124
lowly_expressed	lowly_expressed	C9orf169|375791	6.5089
C9orf16|79095	866.7893	C9orf16|79095	533.1361
C9orf172|389813	6.1787	C9orf172|389813	7.1006
C9orf21|195827	333.0636	C9orf21|195827	256.8047
C9orf23|138716	394.5568	C9orf23|138716	286.9822
lowly_expressed	lowly_expressed	C9orf24|84688	6.5089
C9orf25|203259	1143.3615	C9orf25|203259	531.9527
C9orf30|91283	813.1813	C9orf30|91283	233.9763
C9orf37|85026	287.7529	C9orf37|85026	107.1006
C9orf3|84909	467.6307	C9orf3|84909	533.8994
C9orf40|55071	923.2806	C9orf40|55071	208.28400000000002
C9orf41|138199	266.8628	C9orf41|138199	143.787
C9orf43|257169	18.5362	C9orf43|257169	11.2426
C9orf45|81571	215.3733	C9orf45|81571	140.8284
C9orf46|55848	446.3406	C9orf46|55848	490.5325
lowly_expressed	lowly_expressed	C9orf47|286223	15.4142
C9orf5|23731	2505.6271	C9orf5|23731	2562.7219
C9orf64|84267	658.1832	C9orf64|84267	429.5858
lowly_expressed	lowly_expressed	C9orf66|157983	45.5621
lowly_expressed	lowly_expressed	C9orf68|55064	71.0059
C9orf69|90120	1683.5601	C9orf69|90120	623.6686
C9orf6|54942	632.2913	C9orf6|54942	515.9763
C9orf72|203228	545.4947	C9orf72|203228	314.7929
C9orf78|51759	2733.3579	C9orf78|51759	1442.6036
C9orf7|11094	538.7275	C9orf7|11094	441.4201
C9orf80|58493	443.1041	C9orf80|58493	278.6982
C9orf82|79886	308.3487	C9orf82|79886	396.4497
C9orf84|158401	7.6499	lowly_expressed	lowly_expressed
C9orf85|138241	224.4943	C9orf85|138241	188.1657
C9orf86|55684	2040.4561	C9orf86|55684	1058.5799
C9orf89|84270	266.5686	C9orf89|84270	234.3195
C9orf91|203197	1521.1475	C9orf91|203197	807.1006
C9orf93|203238	130.0478	C9orf93|203238	55.0296
C9orf95|54981	649.0622	C9orf95|54981	531.3609
C9orf96|169436	22.0669	C9orf96|169436	8.8757
C9orf98|158067	14.4171	C9orf98|158067	25.4438
C9orf9|11092	168.2972	C9orf9|11092	143.1953
CA11|770	51.7837	lowly_expressed	lowly_expressed
CA12|771	217.1387	CA12|771	3055.0296
CA13|377677	84.8989	CA13|377677	98.28399999999999
CA14|23632	5.2961	CA14|23632	5.3254
CA2|760	362.19199999999995	CA2|760	170.4142
lowly_expressed	lowly_expressed	CA3|761	70.9467
lowly_expressed	lowly_expressed	CA4|762	366.2722
CA5BP|340591	306.8775	CA5BP|340591	192.8994
CA5B|11238	64.1824	CA5B|11238	611.0651
lowly_expressed	lowly_expressed	CA6|765	145.5621
CA8|767	875.3218	CA8|767	242.0118
CA9|768	87.594	lowly_expressed	lowly_expressed
CAB39L|81617	87.0908	CAB39L|81617	1778.1065
CAB39|51719	1870.3935	CAB39|51719	2660.355
CABC1|56997	1161.4358	CABC1|56997	1595.5444
CABIN1|23523	822.6554	CABIN1|23523	1259.1716
CABLES1|91768	1177.4917	CABLES1|91768	877.5148
CABLES2|81928	526.6642	CABLES2|81928	150.2959
lowly_expressed	lowly_expressed	CABP1|9478	22.4852
lowly_expressed	lowly_expressed	CABP4|57010	16.1775
CABYR|26256	288.0471	CABYR|26256	69.2308
CACHD1|57685	175.3586	CACHD1|57685	797.0414
CACNA1A|773	93.2696	CACNA1A|773	26.6272
CACNA1B|774	162.7069	lowly_expressed	lowly_expressed
CACNA1C|775	47.3704	CACNA1C|775	302.9467
CACNA1D|776	40.6032	CACNA1D|776	659.1716
CACNA1F|778	7.6499	CACNA1F|778	10.6509
lowly_expressed	lowly_expressed	CACNA1G|8913	23.6686
CACNA1H|8912	20.0074	CACNA1H|8912	137.2781
lowly_expressed	lowly_expressed	CACNA1I|8911	10.6509
CACNA2D1|781	13.8286	CACNA2D1|781	282.2485
CACNA2D2|9254	14.4171	CACNA2D2|9254	153.8462
CACNA2D3|55799	6.473	CACNA2D3|55799	15.9763
CACNA2D4|93589	37.3667	CACNA2D4|93589	84.0237
CACNB1|782	47.3704	CACNB1|782	88.7574
CACNB2|783	16.4766	CACNB2|783	62.1302
CACNB3|784	1416.1089	CACNB3|784	221.3018
CACNB4|785	33.836	CACNB4|785	187.574
lowly_expressed	lowly_expressed	CACNG1|786	11.8343
CACNG4|27092	73.8507	CACNG4|27092	867.4556
CACYBP|27101	4015.2997	CACYBP|27101	1041.4201
CADM1|23705	584.9209	CADM1|23705	469.2308
CADM2|253559	8.8268	CADM2|253559	47.928999999999995
lowly_expressed	lowly_expressed	CADM3|57863	277.78700000000003
CADM4|199731	1321.0739	CADM4|199731	427.2189
CADPS2|93664	365.4285	CADPS2|93664	1334.9112
CADPS|8618	10.2979	lowly_expressed	lowly_expressed
CAD|790	3518.0581	CAD|790	809.4675
CAGE1|285782	5.8845	lowly_expressed	lowly_expressed
CALB2|794	157.4108	CALB2|794	1067.4556
CALCB|797	7.3556	lowly_expressed	lowly_expressed
CALCOCO1|57658	821.7727	CALCOCO1|57658	2102.3669
CALCOCO2|10241	2436.1898	CALCOCO2|10241	2951.4793
CALCRL|10203	228.3192	CALCRL|10203	1169.8225
lowly_expressed	lowly_expressed	CALCR|799	26.0355
CALD1|800	2686.2817	CALD1|800	12286.9822
CALHM2|51063	387.2012	CALHM2|51063	1104.7337
CALM1|801	5195.7337	CALM1|801	11103.5503
CALM2|805	20196.5428	CALM2|805	10935.503
CALM3|808	4594.6304	CALM3|808	3671.0059
lowly_expressed	lowly_expressed	CALML3|810	140.8284
CALML4|91860	119.7499	CALML4|91860	413.6095
CALML5|51806	3539.2424	CALML5|51806	199.4083
lowly_expressed	lowly_expressed	CALN1|83698	19.5266
CALR|811	16460.4634	CALR|811	9954.4379
CALU|813	7016.6973	CALU|813	3348.5207
CAMK1D|57118	564.9136	CAMK1D|57118	72.7811
CAMK1G|57172	7.0614	lowly_expressed	lowly_expressed
CAMK1|8536	136.1206	CAMK1|8536	428.7811
lowly_expressed	lowly_expressed	CAMK2B|816	20.1183
CAMK2D|817	1091.872	CAMK2D|817	1232.5444
CAMK2G|818	798.2346	CAMK2G|818	782.2485
CAMK2N1|55450	84.73700000000001	CAMK2N1|55450	1655.6213
CAMK2N2|94032	10.5921	CAMK2N2|94032	6.5089
CAMK4|814	17.6535	CAMK4|814	5.3254
CAMKK1|84254	88.2677	CAMKK1|84254	237.2781
CAMKK2|10645	2063.9941	CAMKK2|10645	1779.8817
CAMKV|79012	14.4171	lowly_expressed	lowly_expressed
CAMLG|819	962.4127	CAMLG|819	913.0178
CAMSAP1L1|23271	1165.1342	CAMSAP1L1|23271	1221.8935
CAMSAP1|157922	4497.8301	CAMSAP1|157922	621.3018
CAMTA1|23261	777.6388	CAMTA1|23261	538.4615
CAMTA2|23125	807.0614	CAMTA2|23125	1398.2249
CAND1|55832	4347.4807	CAND1|55832	2315.9763
CAND2|23066	36.7782	CAND2|23066	98.2249
CANT1|124583	2374.4024	CANT1|124583	1866.2722
CANX|821	11558.367	CANX|821	15054.4379
CAP1|10487	8544.612	CAP1|10487	6907.1006
CAP2|10486	1093.0489	CAP2|10486	844.9704
CAPG|822	4260.3898	CAPG|822	1382.8402
CAPN10|11132	154.2538	CAPN10|11132	156.497
lowly_expressed	lowly_expressed	CAPN11|11131	88.7574
CAPN12|147968	209.1063	CAPN12|147968	112.4379
lowly_expressed	lowly_expressed	CAPN13|92291	198.8166
CAPN1|823	6631.2615	CAPN1|823	3092.3077
CAPN2|824	2094.2994	CAPN2|824	5884.6154
CAPN3|825	32.4325	CAPN3|825	197.5621
CAPN5|726	68.5546	CAPN5|726	352.6627
lowly_expressed	lowly_expressed	CAPN6|827	162.7219
CAPN7|23473	1205.149	CAPN7|23473	956.8047
lowly_expressed	lowly_expressed	CAPN8|388743	121.8935
lowly_expressed	lowly_expressed	CAPN9|10753	82.2485
CAPNS1|826	11535.7117	CAPNS1|826	7782.2485
CAPRIN1|4076	4825.8919	CAPRIN1|4076	4884.0237
CAPRIN2|65981	320.1177	CAPRIN2|65981	294.0828
CAPS2|84698	5.8845	CAPS2|84698	40.8284
CAPS|828	388.6723	CAPS|828	91.1243
CAPZA1|829	4094.1523	CAPZA1|829	3050.8876
CAPZA2|830	1995.4395	CAPZA2|830	2928.4024
lowly_expressed	lowly_expressed	CAPZA3|93661	5.9172
CAPZB|832	3060.2427	CAPZB|832	4433.7278
CARD10|29775	64.1412	CARD10|29775	593.4911
CARD11|84433	167.7087	CARD11|84433	79.8817
CARD14|79092	42.957	CARD14|79092	131.9527
CARD16|114769	138.2861	CARD16|114769	213.6095
CARD6|84674	120.6326	CARD6|84674	468.0473
CARD8|22900	483.7072	CARD8|22900	1026.6272
CARD9|64170	191.8352	CARD9|64170	34.3195
CARHSP1|23589	2125.6962	CARHSP1|23589	1166.0828
CARKD|55739	253.6227	CARKD|55739	1011.8343
CARM1|10498	2828.687	CARM1|10498	787.574
CARNS1|57571	13.8286	CARNS1|57571	33.7278
CARS2|79587	443.6366	CARS2|79587	422.6509
CARS|833	892.0927	CARS|833	744.3787
lowly_expressed	lowly_expressed	CASC1|55259	60.9467
CASC2|255082	16.4766	CASC2|255082	65.0888
CASC3|22794	4954.1743	CASC3|22794	2618.3432
CASC4|113201	1311.3645	CASC4|113201	2994.0828
CASC5|57082	354.2479	CASC5|57082	15.3846
CASD1|64921	463.1114	CASD1|64921	1236.6864
lowly_expressed	lowly_expressed	CASKIN1|57524	12.2663
CASKIN2|57513	698.039	CASKIN2|57513	1755.9408
CASK|8573	1529.3858	CASK|8573	917.7515
CASP10|843	438.3965	CASP10|843	705.9172
lowly_expressed	lowly_expressed	CASP12|120329	13.0178
CASP1|834	341.8904	CASP1|834	523.0769
CASP2|835	1427.8779	CASP2|835	889.9408
CASP3|836	1520.8533	CASP3|836	622.4852
CASP4|837	575.2115	CASP4|837	917.1598
CASP5|838	12.0633	lowly_expressed	lowly_expressed
CASP6|839	843.5454	CASP6|839	452.6627
CASP7|840	502.5377	CASP7|840	733.1361
CASP8AP2|9994	572.5634	CASP8AP2|9994	398.2249
CASP8|841	366.0169	CASP8|841	623.0769
CASP9|842	309.8198	CASP9|842	378.6982
lowly_expressed	lowly_expressed	CASQ1|844	11.2426
lowly_expressed	lowly_expressed	CASQ2|845	314.2012
CASS4|57091	20.89	CASS4|57091	14.7929
CAST|831	3064.4355	CAST|831	5234.5444
CASZ1|54897	314.8216	CASZ1|54897	1078.6982
CATSPER2P1|440278	8.2736	CATSPER2P1|440278	29.7988
CATSPER2|117155	17.3417	CATSPER2|117155	41.4201
CATSPER3|347732	17.8683	CATSPER3|347732	7.1361
lowly_expressed	lowly_expressed	CATSPERB|79820	18.3432
CATSPERG|57828	12.0633	CATSPERG|57828	20.1183
CAT|847	513.4241	CAT|847	4163.3136
CAV1|857	764.9871	CAV1|857	17348.5207
CAV2|858	725.2666	CAV2|858	4724.2604
CBARA1|10367	1199.2644	CBARA1|10367	940.8284
CBFA2T2|9139	782.3465	CBFA2T2|9139	695.8580000000001
CBFA2T3|863	90.9158	CBFA2T3|863	278.6982
CBFB|865	783.8176	CBFB|865	943.7869999999999
CBLB|868	439.8676	CBLB|868	542.0118
CBLC|23624	876.2045	CBLC|23624	143.1953
CBLL1|79872	1254.8731	CBLL1|79872	771.5976
lowly_expressed	lowly_expressed	CBLN1|869	8.8757
CBLN3|643866	25.0092	CBLN3|643866	44.9704
lowly_expressed	lowly_expressed	CBLN4|140689	42.6036
CBL|867	819.1247	CBL|867	945.5621
CBR1|873	903.6322	CBR1|873	425.8402
CBR3|874	819.7131	CBR3|874	324.8521
CBR4|84869	285.399	CBR4|84869	626.0355
CBS|875	2981.0959999999995	CBS|875	89.9408
CBWD1|55871	1478.779	CBWD1|55871	1148.5207
CBWD2|150472	397.7933	CBWD2|150472	684.6154
CBWD3|445571	469.1166	CBWD3|445571	389.9408
CBWD5|220869	12.5311	lowly_expressed	lowly_expressed
CBWD6|644019	137.1092	CBWD6|644019	142.0118
CBX1|10951	6040.1618	CBX1|10951	1407.6923
CBX2|84733	1200.4413	CBX2|84733	112.426
CBX3|11335	5046.5612	CBX3|11335	2798.8166
CBX4|8535	415.1526	CBX4|8535	383.43199999999996
CBX5|23468	4589.3343	CBX5|23468	2863.9053
CBX6|23466	221.8463	CBX6|23466	746.1538
CBX7|23492	265.0975	CBX7|23492	1839.0533
CBX8|57332	127.3998	CBX8|57332	48.5207
CBY1|25776	521.2652	CBY1|25776	557.8047
CC2D1A|54862	1212.2104	CC2D1A|54862	634.9112
CC2D1B|200014	682.8981	CC2D1B|200014	608.8757
CC2D2A|57545	333.6521	CC2D2A|57545	300.0
lowly_expressed	lowly_expressed	CC2D2B|387707	11.2426
CCAR1|55749	1406.6936	CCAR1|55749	1166.2722
CCBE1|147372	7.0614	CCBE1|147372	58.5799
CCBL1|883	80.0294	CCBL1|883	95.85799999999999
CCBL2|56267	909.5197	CCBL2|56267	756.8521
lowly_expressed	lowly_expressed	CCBP2|1238	131.9527
CCDC101|112869	233.6153	CCDC101|112869	286.3905
CCDC102A|92922	49.4299	CCDC102A|92922	122.4852
CCDC102B|79839	57.373999999999995	CCDC102B|79839	174.5562
CCDC103|388389	29.4226	CCDC103|388389	100.5917
CCDC104|112942	529.6065	CCDC104|112942	713.0178
CCDC106|29903	153.2917	CCDC106|29903	184.0237
CCDC107|203260	462.6142	CCDC107|203260	519.8817
lowly_expressed	lowly_expressed	CCDC108|255101	8.283999999999999
CCDC109A|90550	657.3005	CCDC109A|90550	502.3669
CCDC109B|55013	701.1401	CCDC109B|55013	339.0533
CCDC110|256309	16.7709	CCDC110|256309	70.4142
CCDC111|201973	146.2979	CCDC111|201973	193.2959
CCDC112|153733	681.427	CCDC112|153733	172.7811
CCDC113|29070	67.0835	CCDC113|29070	244.3787
CCDC114|93233	36.1898	CCDC114|93233	8.8757
CCDC115|84317	566.9732	CCDC115|84317	1059.1716
CCDC117|150275	737.3299	CCDC117|150275	831.3609
CCDC11|220136	8.8268	CCDC11|220136	10.6509
CCDC120|90060	353.07099999999997	CCDC120|90060	357.3964
CCDC121|79635	113.5712	CCDC121|79635	160.355
CCDC122|160857	22.3612	CCDC122|160857	65.6805
CCDC123|84902	1249.2828	CCDC123|84902	340.2367
CCDC124|115098	646.4141	CCDC124|115098	500.5917
CCDC125|202243	162.7069	CCDC125|202243	578.1065
CCDC126|90693	160.3531	CCDC126|90693	371.5976
CCDC127|133957	172.7106	CCDC127|133957	385.7988
lowly_expressed	lowly_expressed	CCDC129|223075	28.9941
CCDC12|151903	411.9161	CCDC12|151903	378.1065
CCDC130|81576	559.3233	CCDC130|81576	321.3018
CCDC132|55610	418.0949	CCDC132|55610	756.8047
CCDC134|79879	60.0221	CCDC134|79879	26.6272
CCDC136|64753	5.8845	CCDC136|64753	22.4852
CCDC137|339230	484.2957	CCDC137|339230	225.4438
CCDC138|165055	100.331	CCDC138|165055	37.8698
CCDC13|152206	5.8845	CCDC13|152206	8.8757
CCDC141|285025	10.2979	CCDC141|285025	31.9527
CCDC142|84865	195.9338	CCDC142|84865	98.4911
CCDC144A|9720	23.5381	CCDC144A|9720	6.5089
CCDC144B|284047	42.8775	CCDC144B|284047	10.0118
CCDC144C|348254	6.473	lowly_expressed	lowly_expressed
CCDC146|57639	54.4318	CCDC146|57639	191.71599999999998
lowly_expressed	lowly_expressed	CCDC147|159686	10.0592
lowly_expressed	lowly_expressed	CCDC148|130940	16.567999999999998
CCDC149|91050	541.964	CCDC149|91050	582.8402
CCDC14|64770	619.3453	CCDC14|64770	792.8994
CCDC150|284992	75.9103	CCDC150|284992	7.1006
CCDC152|100129792	12.6811	CCDC152|100129792	178.2604
lowly_expressed	lowly_expressed	CCDC153|283152	7.1006
CCDC157|550631	7.9559	CCDC157|550631	43.2663
CCDC158|339965	27.0688	CCDC158|339965	20.1183
CCDC159|126075	57.9625	CCDC159|126075	192.3077
CCDC15|80071	105.3328	CCDC15|80071	79.2899
lowly_expressed	lowly_expressed	CCDC160|347475	85.7988
CCDC163P|126661	39.4263	CCDC163P|126661	5.3254
lowly_expressed	lowly_expressed	CCDC17|149483	15.9763
CCDC18|343099	386.9246	CCDC18|343099	50.2959
CCDC19|25790	26.7745	CCDC19|25790	16.567999999999998
CCDC21|64793	1602.648	CCDC21|64793	201.7751
CCDC22|28952	515.8279	CCDC22|28952	392.9112
CCDC23|374969	155.3512	CCDC23|374969	260.9467
CCDC24|149473	27.416	CCDC24|149473	188.142
CCDC25|55246	493.7109	CCDC25|55246	1282.2485
CCDC28A|25901	247.4439	CCDC28A|25901	363.3136
CCDC28B|79140	53.8433	CCDC28B|79140	44.9704
CCDC30|728621	5.2961	CCDC30|728621	84.0237
CCDC34|91057	284.2221	CCDC34|91057	191.71599999999998
lowly_expressed	lowly_expressed	CCDC36|339834	55.0296
lowly_expressed	lowly_expressed	CCDC39|339829	28.0118
CCDC3|83643	440.3943	CCDC3|83643	2522.4852
CCDC40|55036	66.2008	CCDC40|55036	159.7633
CCDC41|51134	506.3626	CCDC41|51134	168.6391
CCDC43|124808	753.5123	CCDC43|124808	455.6213
CCDC45|90799	828.8341	CCDC45|90799	490.5325
CCDC46|201134	94.4465	CCDC46|201134	439.0533
CCDC47|57003	2413.8286	CCDC47|57003	2962.1302
CCDC48|79825	5.0018	CCDC48|79825	130.7692
CCDC50|152137	1679.441	CCDC50|152137	2781.0651
CCDC51|79714	444.281	CCDC51|79714	218.3432
CCDC52|152185	490.1802	CCDC52|152185	311.8343
CCDC53|51019	305.1122	CCDC53|51019	492.8994
CCDC55|84081	1002.1331	CCDC55|84081	768.6391
CCDC56|28958	592.3325	CCDC56|28958	875.9231
CCDC57|284001	195.0717	CCDC57|284001	284.6154
CCDC58|131076	212.43099999999998	CCDC58|131076	152.6627
CCDC59|29080	784.1118	CCDC59|29080	404.7337
CCDC61|729440	309.8198	CCDC61|729440	146.1538
CCDC64B|146439	208.0177	CCDC64B|146439	298.8166
CCDC64|92558	190.9526	CCDC64|92558	57.9882
lowly_expressed	lowly_expressed	CCDC65|85478	25.4438
CCDC66|285331	351.0467	CCDC66|285331	312.5503
CCDC67|159989	38.2494	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CCDC68|80323	166.2722
CCDC69|26112	691.4307	CCDC69|26112	2908.284
CCDC6|8030	2051.9309	CCDC6|8030	2918.9349
CCDC71|64925	288.0471	CCDC71|64925	521.8935
CCDC72|51372	1266.9364	CCDC72|51372	1067.4556
CCDC73|493860	12.4193	CCDC73|493860	36.858000000000004
CCDC74A|90557	249.7977	CCDC74A|90557	129.5858
CCDC74B|91409	69.7315	CCDC74B|91409	60.355
CCDC75|253635	123.8691	CCDC75|253635	91.1243
CCDC76|54482	151.3733	CCDC76|54482	271.3669
CCDC77|84318	530.7834	CCDC77|84318	127.8107
CCDC78|124093	28.2457	CCDC78|124093	8.8757
CCDC7|221016	42.3097	CCDC7|221016	40.2367
CCDC80|151887	1047.4439	CCDC80|151887	13266.2722
lowly_expressed	lowly_expressed	CCDC81|60494	13.0178
CCDC82|79780	361.0151	CCDC82|79780	536.6864
CCDC84|338657	57.0798	CCDC84|338657	130.1775
CCDC85A|114800	29.5491	CCDC85A|114800	347.858
CCDC85B|11007	97.68299999999999	CCDC85B|11007	260.9467
CCDC85C|317762	967.4174	CCDC85C|317762	657.9822
CCDC86|79080	982.1228	CCDC86|79080	498.7278
CCDC87|55231	6.1787	CCDC87|55231	22.4852
CCDC88A|55704	551.6734	CCDC88A|55704	708.284
CCDC88B|283234	152.409	CCDC88B|283234	106.5089
CCDC88C|440193	2233.7624	CCDC88C|440193	918.9349
lowly_expressed	lowly_expressed	CCDC89|220388	26.6272
CCDC8|83987	25.3034	CCDC8|83987	324.8521
CCDC90A|63933	886.7966	CCDC90A|63933	291.716
CCDC90B|60492	646.114	CCDC90B|60492	678.1065
CCDC91|55297	640.8238	CCDC91|55297	489.9408
CCDC92|80212	961.53	CCDC92|80212	1180.4734
CCDC93|54520	864.1412	CCDC93|54520	913.0178
CCDC94|55702	190.9526	CCDC94|55702	296.4497
CCDC96|257236	32.3648	CCDC96|257236	56.8047
CCDC97|90324	1497.6094	CCDC97|90324	902.9586
CCDC99|54908	595.2188	CCDC99|54908	156.213
CCDC9|26093	237.4402	CCDC9|26093	217.1598
CCHCR1|54535	594.0419	CCHCR1|54535	184.6154
CCIN|881	9.4152	CCIN|881	8.283999999999999
CCKBR|887	5.5903	lowly_expressed	lowly_expressed
CCL11|6356	47.9588	lowly_expressed	lowly_expressed
CCL13|6357	20.3016	CCL13|6357	126.6272
CCL14|6358	9.7065	CCL14|6358	3199.3432
lowly_expressed	lowly_expressed	CCL16|6360	5.3254
CCL17|6361	5.8845	lowly_expressed	lowly_expressed
CCL18|6362	132.9901	CCL18|6362	62.7219
CCL19|6363	95.9176	CCL19|6363	992.3077
CCL20|6364	11.4748	lowly_expressed	lowly_expressed
CCL21|6366	45.3108	CCL21|6366	1595.2663
CCL22|6367	63.847	CCL22|6367	81.6568
CCL25|6370	8.5325	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CCL26|10344	6.5089
CCL28|56477	67.6719	CCL28|56477	571.0059
CCL2|6347	785.5829	CCL2|6347	2871.0059
CCL3L1|6349	74.2155	CCL3L1|6349	82.3787
CCL3L3|414062	6.4024	CCL3L3|414062	9.3373
CCL3|6348	298.9334	CCL3|6348	341.4201
CCL4L2|388372	396.9106	CCL4L2|388372	142.0118
CCL4|6351	541.6697	CCL4|6351	262.7219
CCL5|6352	1785.9507	CCL5|6352	779.2899
CCL7|6354	27.9515	lowly_expressed	lowly_expressed
CCL8|6355	124.4575	CCL8|6355	381.0651
CCM2|83605	689.6653	CCM2|83605	708.284
CCNA2|890	2843.9309	CCNA2|890	44.3669
CCNB1IP1|57820	1319.8970000000002	CCNB1IP1|57820	575.7396
CCNB1|891	2461.4932	CCNB1|891	146.1538
CCNB2|9133	1241.9272	CCNB2|9133	17.1598
CCNB3|85417	79.7352	CCNB3|85417	13.0178
CCNC|892	1099.8161	CCNC|892	1404.7337
CCND1|595	2596.6576	CCND1|595	6033.7811
CCND2|894	827.6572	CCND2|894	1818.3432
CCND3|896	846.7819	CCND3|896	1813.6095
CCNDBP1|23582	433.9831	CCNDBP1|23582	1182.8402
CCNE1|898	461.6403	CCNE1|898	19.5266
CCNE2|9134	647.3380000000001	CCNE2|9134	31.7219
CCNF|899	1352.8503	CCNF|899	156.8047
CCNG1|900	1611.4748	CCNG1|900	2889.3491
CCNG2|901	1343.4351	CCNG2|901	2047.9289999999999
CCNH|902	416.6267	CCNH|902	672.5148
CCNI2|645121	93.09299999999999	CCNI2|645121	13.4497
CCNI|10983	7753.1445	CCNI|10983	5534.9112
CCNJL|79616	93.2696	CCNJL|79616	49.1124
CCNJ|54619	435.16	CCNJ|54619	212.426
CCNK|8812	928.5737	CCNK|8812	843.7929
CCNL1|57018	963.0011	CCNL1|57018	1540.2367
CCNL2|81669	852.078	CCNL2|81669	1803.5503
CCNO|10309	9.4152	CCNO|10309	83.432
CCNT1|904	163.2953	CCNT1|904	97.6331
CCNT2|905	531.3718	CCNT2|905	772.7811
CCNYL1|151195	423.6852	CCNYL1|151195	782.2485
CCNY|219771	3616.9179999999997	CCNY|219771	2024.8521
CCPG1|9236	1224.7209	CCPG1|9236	2826.1183
lowly_expressed	lowly_expressed	CCR10|2826	23.6686
CCR1|1230	339.2424	CCR1|1230	363.9053
CCR2|729230	383.082	CCR2|729230	102.3669
CCR4|1233	67.6719	CCR4|1233	21.3018
CCR5|1234	492.8282	CCR5|1234	214.2012
CCR6|1235	59.4189	CCR6|1235	54.7574
CCR7|1236	178.8893	CCR7|1236	102.9586
CCR8|1237	23.5381	lowly_expressed	lowly_expressed
CCRL1|51554	30.5995	CCRL1|51554	200.0
CCRL2|9034	98.2714	CCRL2|9034	117.7515
CCRN4L|25819	458.6981	CCRN4L|25819	201.7751
CCS|9973	282.751	CCS|9973	296.4497
CCT2|10576	4213.9022	CCT2|10576	2500.5917
CCT3|7203	17690.6216	CCT3|7203	3773.3728
CCT4|10575	7756.380999999999	CCT4|10575	3436.6864
CCT5|22948	6827.5101	CCT5|22948	3257.3964
CCT6A|908	4537.8448	CCT6A|908	3225.4438
CCT6B|10693	65.6124	CCT6B|10693	136.0947
CCT6P1|643253	119.1615	CCT6P1|643253	57.9882
CCT7|10574	9945.1269	CCT7|10574	3260.9467
CCT8|10694	6561.8242	CCT8|10694	3092.8994
CD101|9398	16.4766	CD101|9398	14.7929
CD109|135228	299.8161	CD109|135228	478.6982
CD14|929	1371.975	CD14|929	2400.0
CD151|977	2108.7164	CD151|977	5572.7811
