gene_id	TCGA-AC-A6IX-01A-12R-A32P-07	gene_id	TCGA-AC-A6IX-06A-11R-A32P-07
C11orf70|85016	14.9485	C11orf70|85016	23.5243
C11orf71|54494	99.8997	C11orf71|54494	99.2613
C11orf73|51501	347.4615	C11orf73|51501	308.1116
C11orf74|119710	192.1429	C11orf74|119710	162.3754
C11orf75|56935	197.6119	C11orf75|56935	302.374
C11orf80|79703	273.8128	C11orf80|79703	385.5698
C11orf82|220042	56.148	C11orf82|220042	59.6715
C11orf83|790955	203.0808	C11orf83|790955	206.8421
C11orf84|144097	251.9369	C11orf84|144097	196.5144
C11orf92|399948	40.1057	C11orf92|399948	106.7202
C11orf93|120376	25.5218	C11orf93|120376	36.4341
C11orf95|65998	495.8527	C11orf95|65998	287.4561
C11orf9|745	156.4124	C11orf9|745	203.3996
C12orf10|60314	633.6706	C12orf10|60314	656.0998
C12orf11|55726	410.9015	C12orf11|55726	429.7497
C12orf23|90488	2268.8907	C12orf23|90488	2652.8007
C12orf24|29902	52.8666	C12orf24|29902	35.5734
C12orf26|84190	126.88	C12orf26|84190	171.2687
C12orf29|91298	400.9516	C12orf29|91298	448.6352
C12orf32|83695	595.3878	C12orf32|83695	549.6665
C12orf34|84915	83.8574	C12orf34|84915	125.9413
C12orf35|55196	951.9643	C12orf35|55196	1670.5157
C12orf39|80763	25.8864	lowly_expressed	lowly_expressed
C12orf41|54934	564.0324	C12orf41|54934	582.9448
lowly_expressed	lowly_expressed	C12orf42|374470	7.1721
C12orf43|64897	349.6491	C12orf43|64897	309.546
C12orf44|60673	1093.4281	C12orf44|60673	1288.6753
C12orf45|121053	146.5682	C12orf45|121053	158.6459
C12orf47|51275	289.1076	C12orf47|51275	232.6128
C12orf48|55010	96.5564	C12orf48|55010	90.9819
C12orf49|79794	467.0495	C12orf49|79794	797.8197
C12orf4|57102	440.0693	C12orf4|57102	396.4713
C12orf51|283450	1507.9756	C12orf51|283450	1692.6056
C12orf52|84934	594.294	C12orf52|84934	629.4198
C12orf53|196500	10.2087	C12orf53|196500	46.4749
C12orf57|113246	1468.2344	C12orf57|113246	1580.4346
C12orf59|120939	27.3448	C12orf59|120939	27.2538
C12orf5|57103	357.3056	C12orf5|57103	362.9061
C12orf60|144608	9.1149	C12orf60|144608	22.0899
C12orf62|84987	533.7709	C12orf62|84987	484.5442
lowly_expressed	lowly_expressed	C12orf63|374467	19.7949
C12orf65|91574	212.1958	C12orf65|91574	261.3498
C12orf66|144577	126.88	C12orf66|144577	143.72799999999998
C12orf68|387856	40.8349	C12orf68|387856	8.6065
C12orf69|440087	5.8336	C12orf69|440087	13.1966
C12orf72|254013	71.0965	C12orf72|254013	59.6715
C12orf73|728568	127.6092	C12orf73|728568	122.4987
C12orf74|338809	8.3857	C12orf74|338809	10.3278
C12orf75|387882	155.3186	C12orf75|387882	146.31
C12orf76|400073	186.3094	C12orf76|400073	116.9619
C13orf15|28984	441.8923	C13orf15|28984	274.8332
C13orf18|80183	94.0662	C13orf18|80183	233.8091
C13orf1|57213	257.4059	C13orf1|57213	249.0138
C13orf23|80209	1534.5912	C13orf23|80209	1449.6163
C13orf27|93081	177.55900000000003	C13orf27|93081	169.2606
C13orf29|283487	58.3356	C13orf29|283487	37.0078
lowly_expressed	lowly_expressed	C13orf30|144809	9.754
C13orf31|144811	288.0321	C13orf31|144811	325.8983
C13orf33|84935	184.4864	C13orf33|84935	64.5485
C13orf34|79866	178.8023	C13orf34|79866	165.7692
C13orf37|440145	464.8619	C13orf37|440145	399.9139
C13orf38|728591	10.5733	C13orf38|728591	14.9179
C14orf101|54916	432.4127	C14orf101|54916	519.5439
C14orf102|55051	311.7309	C14orf102|55051	275.6939
C14orf104|55172	270.1668	C14orf104|55172	184.1784
C14orf106|55320	464.8619	C14orf106|55320	523.8471
C14orf109|26175	306.262	C14orf109|26175	356.0209
C14orf118|55668	212.1958	C14orf118|55668	248.4401
C14orf119|55017	1167.806	C14orf119|55017	1136.0539
C14orf126|112487	314.5092	C14orf126|112487	272.5181
C14orf128|84837	20.0529	C14orf128|84837	18.3605
C14orf129|51527	628.9308	C14orf129|51527	450.97900000000004
C14orf132|56967	395.5884	C14orf132|56967	238.3992
C14orf135|64430	893.9933	C14orf135|64430	809.0081
C14orf138|79609	162.2459	C14orf138|79609	139.4248
C14orf139|79686	266.8854	C14orf139|79686	210.8585
C14orf142|84520	191.7783	C14orf142|84520	217.7437
C14orf143|90141	102.0873	C14orf143|90141	112.171
C14orf145|145508	83.1282	C14orf145|145508	121.6381
C14orf147|171546	1304.1655	C14orf147|171546	1566.9512
C14orf148|122945	10.9379	C14orf148|122945	5.7376
C14orf149|112849	84.9512	C14orf149|112849	78.8926
C14orf153|84334	414.8063	C14orf153|84334	376.6765
C14orf156|81892	435.3295	C14orf156|81892	428.889
C14orf159|80017	620.5451	C14orf159|80017	789.5001
C14orf166|51637	2278.3702	C14orf166|51637	2555.2607
C14orf167|55449	633.9623	C14orf167|55449	720.6627
C14orf169|79697	338.7111	C14orf169|79697	294.6281
C14orf174|161394	70.3673	C14orf174|161394	45.0405
C14orf176|643382	14.2193	C14orf176|643382	8.3196
C14orf179|112752	325.221	C14orf179|112752	227.7846
C14orf180|400258	202.3517	C14orf180|400258	43.6061
C14orf181|400223	43.7517	C14orf181|400223	49.0569
C14orf182|283551	20.7821	C14orf182|283551	30.9833
C14orf184|650662	9.8441	C14orf184|650662	7.4589
C14orf1|11161	971.2879	C14orf1|11161	962.7769999999999
C14orf21|161424	287.3029	C14orf21|161424	304.66900000000004
C14orf28|122525	89.691	C14orf28|122525	90.081
C14orf2|9556	953.4227	C14orf2|9556	910.8513
C14orf33|100129075	56.5126	C14orf33|100129075	47.0487
C14orf37|145407	123.5986	C14orf37|145407	33.8521
C14orf39|317761	18.9591	C14orf39|317761	34.4259
C14orf43|91748	1379.6372	C14orf43|91748	1406.5839
C14orf45|80127	465.1645	C14orf45|80127	382.4399
C14orf49|161176	68.5443	C14orf49|161176	72.5812
C14orf4|64207	2233.5247	C14orf4|64207	1215.8072
C14orf64|388011	60.8878	C14orf64|388011	99.835
lowly_expressed	lowly_expressed	C14orf73|91828	78.032
C14orf79|122616	292.4073	C14orf79|122616	190.4899
C14orf80|283643	200.8933	C14orf80|283643	171.8425
C14orf93|60686	250.4785	C14orf93|60686	232.3747
C15orf17|57184	1296.1444	C15orf17|57184	1660.4748
C15orf21|283651	64.8984	C15orf21|283651	87.2122
C15orf23|90417	247.1972	C15orf23|90417	157.7853
C15orf24|56851	1181.2961	C15orf24|56851	1248.2249
C15orf27|123591	17.5007	C15orf27|123591	21.5162
lowly_expressed	lowly_expressed	C15orf28|80035	6.0245
C15orf29|79768	334.336	C15orf29|79768	325.8983
C15orf33|196951	34.3961	C15orf33|196951	49.6479
C15orf34|80072	11.3025	C15orf34|80072	13.7704
C15orf37|283687	70.9179	C15orf37|283687	74.7759
C15orf38|348110	494.4928	C15orf38|348110	562.9606
C15orf39|56905	916.9629	C15orf39|56905	701.7141
C15orf40|123207	310.2725	C15orf40|123207	302.9477
C15orf41|84529	112.6607	C15orf41|84529	131.3921
C15orf42|90381	71.3153	C15orf42|90381	71.0177
C15orf44|81556	1162.3371	C15orf44|81556	1074.0874
C15orf48|84419	912.2231	C15orf48|84419	1329.4126
lowly_expressed	lowly_expressed	C15orf50|414926	10.6146
C15orf51|196968	9.8441	C15orf51|196968	8.0327
C15orf52|388115	1063.1665	C15orf52|388115	889.3352
C15orf56|644809	13.8547	C15orf56|644809	6.3114
C15orf57|90416	440.0656	C15orf57|90416	432.4636
C15orf58|390637	72.1903	C15orf58|390637	65.1223
C15orf59|388135	73.2841	C15orf59|388135	49.3438
C15orf61|145853	98.8059	C15orf61|145853	90.9417
C15orf62|643338	46.6685	C15orf62|643338	93.5236
C15orf63|25764	941.4602	C15orf63|25764	828.3985
C16orf13|84326	452.101	C16orf13|84326	372.94699999999995
C16orf42|115939	846.8581	C16orf42|115939	652.0089
C16orf45|89927	731.0181	C16orf45|89927	324.7508
C16orf46|123775	44.8455	C16orf46|123775	41.3111
C16orf48|84080	151.6726	C16orf48|84080	90.6548
C16orf52|730094	369.7019	C16orf52|730094	323.0295
C16orf53|79447	1036.4634	C16orf53|79447	931.3376
C16orf54|283897	72.1903	C16orf54|283897	296.6363
C16orf55|124045	114.8482	C16orf55|124045	82.90899999999999
C16orf57|79650	751.071	C16orf57|79650	624.5428
C16orf58|64755	3057.7194	C16orf58|64755	2559.4377
C16orf59|80178	96.6184	C16orf59|80178	62.5403
C16orf5|29965	466.3203	C16orf5|29965	432.3316
C16orf61|56942	214.2011	C16orf61|56942	189.6321
C16orf62|57020	1018.321	C16orf62|57020	715.1976
C16orf63|123811	809.7712	C16orf63|123811	829.3767
C16orf68|79091	196.1535	C16orf68|79091	161.5147
C16orf70|80262	561.236	C16orf70|80262	335.7814
C16orf71|146562	18.5945	C16orf71|146562	7.1721
C16orf72|29035	1311.4575	C16orf72|29035	1106.2182
C16orf74|404550	127.2446	C16orf74|404550	52.4995
C16orf75|116028	168.0795	C16orf75|116028	314.1361
C16orf79|283870	23.8119	C16orf79|283870	23.2977
C16orf7|9605	314.1664	C16orf7|9605	282.2233
C16orf80|29105	391.9424	C16orf80|29105	337.0867
C16orf81|283860	5.468999999999999	C16orf81|283860	29.261999999999997
C16orf86|388284	35.0014	C16orf86|388284	21.5162
C16orf87|388272	98.8059	C16orf87|388272	72.2943
C16orf88|400506	578.2518	C16orf88|400506	411.6761
C16orf89|146556	247.5618	C16orf89|146556	562.5762
C16orf91|283951	284.0215	C16orf91|283951	146.0231
C16orf93|90835	22.2405	C16orf93|90835	23.8112
C17orf100|388327	46.6685	C17orf100|388327	51.6388
C17orf101|79701	424.7562	C17orf101|79701	350.5702
C17orf103|256302	648.2545	C17orf103|256302	577.781
C17orf104|284071	5.468999999999999	C17orf104|284071	6.0245
C17orf106|100134934	353.12	C17orf106|100134934	282.252
C17orf107|100130311	231.7455	C17orf107|100130311	350.8771
C17orf108|201229	169.5379	C17orf108|201229	143.72799999999998
C17orf28|283987	4887.0659	C17orf28|283987	4781.1805
C17orf37|84299	435.3295	C17orf37|84299	561.4287
C17orf39|79018	231.8841	C17orf39|79018	259.6285
C17orf42|79736	140.3701	C17orf42|79736	96.3925
C17orf44|284029	41.9287	C17orf44|284029	64.2616
lowly_expressed	lowly_expressed	C17orf46|124783	7.4589
C17orf48|56985	94.4308	C17orf48|56985	118.4824
C17orf49|124944	783.5749	C17orf49|124944	607.8376
C17orf51|339263	201.6225	C17orf51|339263	167.5393
C17orf53|78995	43.3871	C17orf53|78995	23.2375
C17orf55|284185	99.8997	C17orf55|284185	16.0654
C17orf56|146705	399.0302	C17orf56|146705	348.1259
C17orf57|124989	17.5007	C17orf57|124989	34.4259
C17orf58|284018	430.5897	C17orf58|284018	368.6438
C17orf59|54785	176.4652	C17orf59|54785	159.7934
C17orf60|284021	27.7094	C17orf60|284021	28.6882
C17orf61|254863	272.3033	C17orf61|254863	185.392
C17orf62|79415	1705.9521	C17orf62|79415	1363.5516
C17orf63|55731	565.1262	C17orf63|55731	391.0206
C17orf65|339201	177.5226	C17orf65|339201	151.3505
C17orf67|339210	11.3025	C17orf67|339210	21.5162
C17orf68|80169	722.997	C17orf68|80169	806.4262
C17orf69|147081	71.4611	C17orf69|147081	92.663
C17orf70|80233	922.4319	C17orf70|80233	830.5243
C17orf71|55181	631.8476	C17orf71|55181	581.7973
C17orf72|92340	59.2836	C17orf72|92340	44.6618
C17orf75|64149	121.411	C17orf75|64149	123.0725
C17orf76|388341	64.8984	C17orf76|388341	71.4337
C17orf79|55352	509.7074	C17orf79|55352	387.57800000000003
C17orf80|55028	721.5386	C17orf80|55028	655.5232
C17orf81|23587	403.9741	C17orf81|23587	351.4308
C17orf82|388407	5.1044	C17orf82|388407	15.4916
C17orf85|55421	949.7767	C17orf85|55421	900.5236
C17orf86|654434	114.8482	C17orf86|654434	116.4742
C17orf87|388325	21.9925	C17orf87|388325	84.7135
C17orf89|284184	291.3135	C17orf89|284184	272.2513
C17orf90|339229	293.501	C17orf90|339229	246.7188
C17orf91|84981	160.7875	C17orf91|84981	82.6221
lowly_expressed	lowly_expressed	C17orf93|360205	18.0736
C17orf95|124512	387.9318	C17orf95|124512	331.6359
C17orf96|100170841	34.6368	C17orf96|100170841	44.7536
C17orf97|400566	162.9751	C17orf97|400566	89.5073
C18orf10|25941	917.3275	C18orf10|25941	787.4919
C18orf18|147525	30.6262	C18orf18|147525	30.1226
C18orf19|125228	317.9291	C18orf19|125228	260.776
C18orf1|753	4301.1576	C18orf1|753	2054.0773
C18orf21|83608	157.5062	C18orf21|83608	160.0803
C18orf22|79863	376.2647	C18orf22|79863	275.6939
C18orf25|147339	451.3718	C18orf25|147339	406.5122
lowly_expressed	lowly_expressed	C18orf26|284254	16.3523
C18orf32|497661	729.1039999999999	C18orf32|497661	861.4588
C18orf34|374864	30.6262	lowly_expressed	lowly_expressed
C18orf45|85019	426.9438	C18orf45|85019	381.5535
C18orf54|162681	49.2207	C18orf54|162681	94.6712
C18orf55|29090	489.6545	C18orf55|29090	460.733
lowly_expressed	lowly_expressed	C18orf56|494514	6.0245
C18orf8|29919	292.0901	C18orf8|29919	348.3985
C19orf10|56005	1195.5154	C19orf10|56005	2595.1373
C19orf12|83636	601.586	C19orf12|83636	454.9953
C19orf20|91978	57.6064	C19orf20|91978	47.9093
C19orf21|126353	1227.2354	C19orf21|126353	1394.5349
C19orf22|91300	1021.967	C19orf22|91300	1373.0187
C19orf23|148046	8.0211	C19orf23|148046	9.1802
C19orf24|55009	458.2992	C19orf24|55009	570.8958
C19orf25|148223	381.3691	C19orf25|148223	425.7333
C19orf26|255057	14.9485	C19orf26|255057	9.754
C19orf28|126321	693.1	C19orf28|126321	754.5005
C19orf29|58509	418.1934	C19orf29|58509	445.8151
C19orf2|8725	1655.273	C19orf2|8725	2074.7328
C19orf33|64073	503.8702	C19orf33|64073	482.3783
C19orf35|374872	11.3025	C19orf35|374872	13.1966
C19orf36|113177	8.0211	C19orf36|113177	38.7291
C19orf38|255809	21.5113	C19orf38|255809	30.1226
C19orf39|126074	68.5443	C19orf39|126074	90.6548
C19orf40|91442	55.0542	C19orf40|91442	59.9584
C19orf42|79086	1069.0001	C19orf42|79086	1392.2398
C19orf43|79002	1144.4718	C19orf43|79002	1402.8545
C19orf44|84167	139.7831	C19orf44|84167	137.0982
C19orf45|374877	6.1982	lowly_expressed	lowly_expressed
C19orf46|163183	233.3424	C19orf46|163183	200.2438
C19orf47|126526	455.74699999999996	C19orf47|126526	417.7006
C19orf48|84798	771.8531	C19orf48|84798	470.7739
C19orf50|79036	1269.5288	C19orf50|79036	1034.4976
C19orf51|352909	70.0027	C19orf51|352909	37.8685
C19orf52|90580	184.4864	C19orf52|90580	224.0551
C19orf53|28974	956.3394	C19orf53|28974	1019.2928
C19orf54|284325	229.3319	C19orf54|284325	155.2033
C19orf55|148137	112.6607	C19orf55|148137	101.5563
C19orf56|51398	1312.1867	C19orf56|51398	1810.8011
C19orf57|79173	28.8032	C19orf57|79173	38.7291
C19orf60|55049	279.6463	C19orf60|55049	218.6043
C19orf61|56006	682.5267	C19orf61|56006	695.1158
C19orf62|29086	943.5785	C19orf62|29086	1297.2818
C19orf63|284361	4311.4356	C19orf63|284361	3778.7449
C19orf66|55337	587.6146	C19orf66|55337	531.9171
C19orf6|91304	1644.6997	C19orf6|91304	1797.8914
C19orf70|125988	448.8196	C19orf70|125988	446.9626
C19orf71|100128569	6.1982	C19orf71|100128569	13.7704
C19orf73|55150	10.2087	C19orf73|55150	5.7376
C19orf76|199800	16.0423	C19orf76|199800	12.6228
C1D|10438	338.7111	C1D|10438	313.8492
C1GALT1C1|29071	528.3019	C1GALT1C1|29071	603.3135
C1GALT1|56913	100.6289	C1GALT1|56913	135.4084
C1QA|712	2436.241	C1QA|712	1373.0187
C1QBP|708	1787.0495	C1QBP|708	1817.1728
C1QB|713	2373.8948	C1QB|713	1182.8157
C1QC|714	2292.5896	C1QC|714	1474.5751
C1QL1|10882	12.7609	C1QL1|10882	7.1721
C1QL3|389941	10.9379	C1QL3|389941	12.3359
C1QTNF1|114897	823.6259	C1QTNF1|114897	737.0006
C1QTNF2|114898	49.9499	C1QTNF2|114898	188.7686
C1QTNF3|114899	439.7047	C1QTNF3|114899	146.31
C1QTNF4|114900	12.3963	C1QTNF4|114900	5.1639
C1QTNF6|114904	2213.1073	C1QTNF6|114904	334.5048
C1QTNF7|114905	78.7531	C1QTNF7|114905	61.9666
C1QTNF9B|387911	6.0961	C1QTNF9B|387911	7.7372
C1QTNF9|338872	16.2538	C1QTNF9|338872	16.7281
C1RL|51279	1209.1222	C1RL|51279	847.5651
C1R|715	6135.0834	C1R|715	5736.4986
C1S|716	9216.7204	C1S|716	8418.8711
C1orf101|257044	17.5007	C1orf101|257044	11.1884
C1orf103|55791	370.7957	C1orf103|55791	524.9946
C1orf104|284618	85.0278	C1orf104|284618	58.7305
C1orf106|55765	1014.3105	C1orf106|55765	2156.7812
C1orf107|27042	780.9680000000001	C1orf107|27042	762.5332
C1orf109|54955	255.5829	C1orf109|54955	240.6943
C1orf112|55732	234.2102	C1orf112|55732	267.2223
C1orf113|79729	150.0757	C1orf113|79729	97.0724
C1orf115|79762	2387.3849	C1orf115|79762	3487.9151
C1orf116|79098	600.8568	C1orf116|79098	1467.1161
C1orf122|127687	446.7779	C1orf122|127687	341.869
C1orf123|54987	673.4117	C1orf123|54987	582.6293
C1orf124|83932	250.4785	C1orf124|83932	237.8254
C1orf125|126859	8.0211	lowly_expressed	lowly_expressed
C1orf126|200197	28.9782	C1orf126|200197	46.6815
C1orf127|148345	5.8336	C1orf127|148345	25.5325
C1orf128|57095	727.0076	C1orf128|57095	681.0586
C1orf130|400746	8.0211	C1orf130|400746	12.0491
C1orf131|128061	326.6794	C1orf131|128061	335.9392
C1orf133|574036	30.9908	C1orf133|574036	14.0572
C1orf135|79000	28.074	C1orf135|79000	31.2702
C1orf144|26099	2681.2506	C1orf144|26099	2004.7336
C1orf150|148823	9.1149	C1orf150|148823	11.7622
C1orf151|440574	710.2033	C1orf151|440574	727.8204
C1orf152|767846	18.9591	C1orf152|767846	20.9424
C1orf156|92342	230.4257	C1orf156|92342	278.2758
C1orf159|54991	165.8919	C1orf159|54991	107.294
C1orf162|128346	253.0307	C1orf162|128346	232.9484
C1orf163|65260	226.0505	C1orf163|65260	186.1866
C1orf168|199920	94.7954	C1orf168|199920	91.8023
C1orf170|84808	32.4492	C1orf170|84808	14.3441
C1orf172|126695	363.8684	C1orf172|126695	237.2517
C1orf173|127254	24.7926	C1orf173|127254	18.6473
C1orf174|339448	380.6399	C1orf174|339448	336.2261
C1orf175|374977	15.6777	C1orf175|374977	11.4753
C1orf183|55924	68.5443	C1orf183|55924	45.3274
C1orf186|440712	21.5113	C1orf186|440712	30.9833
C1orf187|374946	5.468999999999999	lowly_expressed	lowly_expressed
C1orf190|541468	20.5888	C1orf190|541468	19.4478
C1orf192|257177	13.4901	C1orf192|257177	38.7291
C1orf198|84886	1727.0987	C1orf198|84886	1867.8907
C1orf201|90529	127.9737	C1orf201|90529	133.1134
C1orf203|84852	63.8301	C1orf203|84852	47.6311
C1orf204|284677	27.9318	C1orf204|284677	39.1566
C1orf210|149466	309.5433	C1orf210|149466	312.4148
C1orf212|113444	535.2292	C1orf212|113444	417.4138
C1orf213|148898	61.4238	C1orf213|148898	62.6637
C1orf216|127703	476.8936	C1orf216|127703	391.0206
C1orf21|81563	1653.45	C1orf21|81563	2120.634
C1orf220|400798	34.6368	C1orf220|400798	34.139
C1orf226|400793	1914.1373	C1orf226|400793	885.8926
C1orf228|339541	18.9591	C1orf228|339541	30.6964
C1orf229|388759	13.1255	C1orf229|388759	7.7458
C1orf230|284485	9.4795	C1orf230|284485	10.3278
C1orf25|81627	546.5318	C1orf25|81627	654.6654
C1orf26|54823	146.2036	C1orf26|54823	210.5716
C1orf27|54953	1428.8579	C1orf27|54953	1770.6376
C1orf31|388753	327.04400000000004	C1orf31|388753	358.0291
C1orf35|79169	488.9253	C1orf35|79169	341.1031
C1orf38|9473	328.5024	C1orf38|9473	436.0611
C1orf43|25912	5993.2549	C1orf43|25912	5613.713000000001
C1orf50|79078	160.7875	C1orf50|79078	123.0725
C1orf51|148523	129.0675	C1orf51|148523	291.1855
C1orf52|148423	332.8776	C1orf52|148423	266.2268
C1orf53|388722	33.1784	C1orf53|388722	21.2293
C1orf54|79630	158.2353	C1orf54|79630	137.9904
C1orf55|163859	998.9974	C1orf55|163859	926.3430000000001
C1orf56|54964	543.7426	C1orf56|54964	480.023
C1orf57|84284	659.1924	C1orf57|84284	662.6981
C1orf58|148362	345.963	C1orf58|148362	451.1569
C1orf59|113802	81.6699	C1orf59|113802	72.0075
C1orf61|10485	5.8336	C1orf61|10485	6.0245
C1orf63|57035	432.7773	C1orf63|57035	520.9783
C1orf64|149563	425.85	C1orf64|149563	338.5211
C1orf66|51093	611.7947	C1orf66|51093	463.8887
C1orf69|200205	299.3346	C1orf69|200205	302.374
C1orf70|339453	8.7503	lowly_expressed	lowly_expressed
C1orf74|148304	107.1917	C1orf74|148304	80.6139
C1orf77|26097	2782.2441	C1orf77|26097	2178.5842
C1orf83|127428	208.1852	C1orf83|127428	240.6943
C1orf84|149469	11.8166	C1orf84|149469	7.8319
C1orf85|112770	1614.4381	C1orf85|112770	1034.4976
C1orf86|199990	244.5465	C1orf86|199990	195.0283
C1orf88|128344	146.5682	C1orf88|128344	89.7942
C1orf89|79363	51.0437	C1orf89|79363	38.4422
C1orf91|56063	110.8158	C1orf91|56063	87.1979
C1orf93|127281	1074.9977	C1orf93|127281	815.2363
C1orf95|375057	17.8653	C1orf95|375057	36.4341
C1orf96|126731	360.2224	C1orf96|126731	583.5186
C1orf97|84791	205.63299999999998	C1orf97|84791	175.2851
C1orf9|51430	3886.9748	C1orf9|51430	4373.8076
C20orf103|24141	1057.333	C20orf103|24141	62.8272
C20orf108|116151	2254.6714	C20orf108|116151	2785.0534
C20orf111|51526	870.659	C20orf111|51526	690.5257
C20orf112|140688	1411.3572	C20orf112|140688	1258.8396
C20orf114|92747	438.2463	C20orf114|92747	4798.9672
C20orf117|140710	447.3612	C20orf117|140710	504.626
C20orf118|140711	26.3713	C20orf118|140711	27.8218
C20orf11|54994	2006.3805	C20orf11|54994	2149.3222
C20orf12|55184	123.9632	C20orf12|55184	105.2858
C20orf132|140699	18.9627	C20orf132|140699	26.112
C20orf134|170487	22.9696	C20orf134|170487	27.2538
C20orf135|140701	105.3687	C20orf135|140701	69.9993
C20orf151|140893	257.7705	C20orf151|140893	241.8418
C20orf160|140706	205.9976	C20orf160|140706	91.2286
C20orf165|128497	5.468999999999999	C20orf165|128497	7.1721
C20orf177|63939	252.6771	C20orf177|63939	344.0006
C20orf194|25943	580.8039	C20orf194|25943	473.0689
C20orf195|79025	11.6671	C20orf195|79025	9.754
C20orf196|149840	52.1375	C20orf196|149840	54.2208
C20orf197|284756	5.8336	C20orf197|284756	7.7458
C20orf199|441951	1165.6184	C20orf199|441951	1272.323
C20orf202|400831	8.7503	lowly_expressed	lowly_expressed
C20orf20|55257	413.8182	C20orf20|55257	281.7184
C20orf24|55969	1631.359	C20orf24|55969	1460.2367
lowly_expressed	lowly_expressed	C20orf26|26074	7.4589
C20orf27|54976	620.9097	C20orf27|54976	369.5044
C20orf29|55317	309.9079	C20orf29|55317	199.957
C20orf30|29058	2341.081	C20orf30|29058	1697.4826
C20orf3|57136	4914.7753	C20orf3|57136	5180.5207
C20orf43|51507	2206.5445	C20orf43|51507	2140.1420000000003
C20orf46|55321	24.428	C20orf46|55321	16.0654
C20orf4|25980	1358.126	C20orf4|25980	1039.3746
C20orf54|113278	1004.4663	C20orf54|113278	741.5908
C20orf72|92667	357.3056	C20orf72|92667	308.1116
C20orf7|79133	151.308	C20orf7|79133	147.4575
C20orf94|128710	18.5945	C20orf94|128710	25.2456
C20orf96|140680	430.2251	C20orf96|140680	419.7088
C21orf119|84996	45.2101	C21orf119|84996	35.8603
C21orf122|728039	43.7517	C21orf122|728039	35.8603
C21orf128|150147	5.8336	lowly_expressed	lowly_expressed
C21orf130|284835	5.8336	C21orf130|284835	9.1802
lowly_expressed	lowly_expressed	C21orf15|54094	10.6146
lowly_expressed	lowly_expressed	C21orf29|54084	5.7376
C21orf2|755	619.8159	C21orf2|755	549.3796
C21orf33|8209	1914.5019	C21orf33|8209	1625.4751
C21orf34|388815	40.1057	C21orf34|388815	27.8276
C21orf45|54069	322.3043	C21orf45|54069	361.1848
C21orf49|54067	9.1149	C21orf49|54067	11.4753
C21orf56|84221	118.4942	C21orf56|84221	77.1713
C21orf57|54059	68.9089	C21orf57|54059	74.3025
C21orf58|54058	102.4519	C21orf58|54058	70.57300000000001
C21orf59|56683	862.492	C21orf59|56683	846.1852
C21orf63|59271	215.4772	C21orf63|59271	364.3405
C21orf67|84536	61.9816	C21orf67|84536	57.6633
C21orf70|85395	165.1627	C21orf70|85395	117.6217
C21orf7|56911	94.0662	C21orf7|56911	26.6801
C21orf82|114036	9.1149	lowly_expressed	lowly_expressed
C21orf88|114041	107.9209	C21orf88|114041	127.0889
C21orf91|54149	349.6491	C21orf91|54149	335.0785
C22orf13|83606	3597.1634	C22orf13|83606	3934.2322
C22orf23|84645	28.074	C22orf23|84645	31.8439
C22orf25|128989	590.2835	C22orf25|128989	626.5509999999999
C22orf26|55267	8.7503	C22orf26|55267	7.7458
C22orf27|150291	94.4308	C22orf27|150291	66.2698
C22orf28|51493	1573.2385	C22orf28|51493	2225.6329
C22orf29|79680	1012.0135	C22orf29|79680	1284.1827
C22orf30|253143	808.6774	C22orf30|253143	1455.6408
C22orf32|91689	469.6017	C22orf32|91689	900.5236
C22orf36|388886	775.4989999999999	C22orf36|388886	1249.6593
C22orf39|128977	601.1594	C22orf39|128977	849.4528
C22orf40|150383	122.8694	C22orf40|150383	131.9659
C22orf45|646023	12.7646	C22orf45|646023	10.3278
C22orf46|79640	438.9755	C22orf46|79640	541.9207
C22orf9|23313	1421.2013	C22orf9|23313	2241.6983
C2CD2L|9854	519.0666	C2CD2L|9854	427.8764
C2CD2|25966	1342.8129	C2CD2|25966	1387.076
C2CD3|26005	806.8544	C2CD3|26005	733.2712
C2CD4A|145741	32.8138	C2CD4A|145741	467.0444
C2CD4B|388125	36.4598	C2CD4B|388125	5.1639
C2CD4C|126567	33.543	C2CD4C|126567	41.0242
C2CD4D|100191040	17.8653	C2CD4D|100191040	23.5243
C2orf14|100132708	16.4069	C2orf14|100132708	117.6217
C2orf15|150590	88.6847	C2orf15|150590	91.4609
C2orf16|84226	62.7108	C2orf16|84226	42.7455
C2orf18|54978	1234.5274	C2orf18|54978	967.3671
C2orf24|27013	1980.494	C2orf24|27013	2090.2245
C2orf27A|29798	84.9512	C2orf27A|29798	291.7593
C2orf28|51374	2068.2855	C2orf28|51374	2325.6458
C2orf29|55571	1519.6427	C2orf29|55571	1651.2946
C2orf34|79823	107.9209	C2orf34|79823	252.1695
C2orf3|6936	386.838	C2orf3|6936	429.1759
C2orf40|84417	39.7411	C2orf40|84417	13.1966
C2orf42|54980	226.7797	C2orf42|54980	273.3988
C2orf43|60526	576.4288	C2orf43|60526	546.2239
C2orf44|80304	201.6225	C2orf44|80304	213.7273
C2orf47|79568	427.2573	C2orf47|79568	344.5457
C2orf48|348738	16.0423	C2orf48|348738	6.5983
C2orf49|79074	160.7875	C2orf49|79074	175.572
C2orf52|151477	7.292000000000001	C2orf52|151477	7.1721
C2orf54|79919	646.0669	C2orf54|79919	492.0032
C2orf55|343990	433.8711	C2orf55|343990	506.6342
