gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
COL6A2|1292	2086.0861	COL6A2|1292	12183.9319
COL6A3|1293	4453.4535	COL6A3|1293	19176.9907
COL6A6|131873	11.5115	COL6A6|131873	703.753
COL8A1|1295	254.7548	COL8A1|1295	785.2831
COL8A2|1296	425.4254	COL8A2|1296	228.6549
COL9A1|1297	22.5225	lowly_expressed	lowly_expressed
COL9A2|1298	174.1742	COL9A2|1298	8.5236
COL9A3|1299	197.1972	COL9A3|1299	17.7884
COLEC11|78989	5.5055	COLEC11|78989	51.5122
COLEC12|81035	37.5375	COLEC12|81035	1075.8267
COLQ|8292	12.012	COLQ|8292	47.4357
COMMD10|51397	254.7548	COMMD10|51397	486.957
COMMD1|150684	492.4925	COMMD1|150684	325.7498
COMMD2|51122	1156.6567	COMMD2|51122	629.2641
COMMD3|23412	1257.1822	COMMD3|23412	633.4184
COMMD4|54939	692.1922	COMMD4|54939	463.6098
COMMD5|28991	299.98	COMMD5|28991	214.6836
COMMD6|170622	2855.3554	COMMD6|170622	1451.9769
COMMD7|149951	2402.9029	COMMD7|149951	1069.1561
COMMD8|54951	193.6937	COMMD8|54951	200.4899
COMMD9|29099	1597.0971	COMMD9|29099	916.8430000000001
COMP|1311	430.9309	lowly_expressed	lowly_expressed
COMTD1|118881	12.012	COMTD1|118881	26.311999999999998
COMT|1312	4681.1812	COMT|1312	988.7377
COPA|1314	16660.1602	COPA|1314	6963.1336
COPB1|1315	6357.983	COPB1|1315	3153.5805
COPB2|9276	7812.3123	COPB2|9276	3890.468
COPE|11316	1534.0339999999999	COPE|11316	1003.932
COPG2|26958	759.7598	COPG2|26958	439.5213
COPG|22820	9620.6206	COPG|22820	3581.0242
COPS2|9318	3153.6537	COPS2|9318	3059.9728
COPS3|8533	923.4234	COPS3|8533	1240.7398
COPS4|51138	741.2412	COPS4|51138	1218.1338
COPS5|10987	1807.8078	COPS5|10987	1343.7642
COPS6|10980	1799.7998	COPS6|10980	1731.4028
COPS7A|50813	1599.5996	COPS7A|50813	1652.8374
COPS7B|64708	1229.2292	COPS7B|64708	577.7519
COPS8|10920	1647.1371	COPS8|10920	1251.8316
COPZ1|22818	10046.046	COPZ1|22818	2736.8171
COPZ2|51226	274.7748	COPZ2|51226	1406.7648
COQ10A|93058	173.1732	COQ10A|93058	214.94299999999998
COQ10B|80219	1072.5726	COQ10B|80219	1060.2619
COQ2|27235	388.8889	COQ2|27235	231.24900000000002
COQ3|51805	294.7948	COQ3|51805	229.0255
COQ4|51117	533.5335	COQ4|51117	466.5745
COQ5|84274	463.4635	COQ5|84274	844.5777
COQ6|51004	177.6827	COQ6|51004	484.3851
COQ7|10229	480.4805	COQ7|10229	490.2924
COQ9|57017	1121.6216	COQ9|57017	1056.9265
CORIN|10699	9.5095	lowly_expressed	lowly_expressed
CORO1A|11151	86.5866	CORO1A|11151	112.6598
CORO1B|57175	829.8298	CORO1B|57175	784.1713
CORO1C|23603	3430.9309	CORO1C|23603	3934.9390000000003
CORO2A|7464	698.6987	CORO2A|7464	38.1709
CORO2B|10391	97.5976	CORO2B|10391	1103.621
lowly_expressed	lowly_expressed	CORO6|84940	66.7064
CORO7|79585	86.9419	CORO7|79585	180.6336
CORT|1325	12.953	lowly_expressed	lowly_expressed
COTL1|23406	603.1031	COTL1|23406	1471.2477
COX10|1352	237.2372	COX10|1352	468.7981
COX11|1353	493.2683	COX11|1353	804.2536
COX15|1355	790.3153	COX15|1355	1310.1257
COX16|51241	1203.7037	COX16|51241	674.1057
COX17|10063	806.3063	COX17|10063	435.4448
COX18|285521	714.2142	COX18|285521	540.3222
COX19|90639	335.1952	COX19|90639	207.3681
COX4I1|1327	17572.0721	COX4I1|1327	5585.1823
COX4I2|84701	28.028000000000002	COX4I2|84701	135.2658
COX4NB|10328	1207.7077	COX4NB|10328	390.6033
COX5A|9377	2644.6446	COX5A|9377	1759.1972
COX5B|1329	2628.6286	COX5B|1329	1645.7962
COX6A1|1337	3599.0991	COX6A1|1337	1994.5227
COX6B1|1340	11454.4545	COX6B1|1340	2975.1074
COX6C|1345	3921.9219	COX6C|1345	2066.4174
COX7A1|1346	33.5335	COX7A1|1346	1324.8641
COX7A2L|9167	3274.2743	COX7A2L|9167	1817.0094
COX7A2|1347	3302.3023	COX7A2|1347	1678.0376
COX7B|1349	3626.1261	COX7B|1349	2063.0821
COX7C|1350	4171.6717	COX7C|1350	3907.5152
COX8A|1351	1076.0761	COX8A|1351	1537.5835
CP110|9738	338.3383	CP110|9738	607.7698
lowly_expressed	lowly_expressed	CPA1|1357	76.7124
lowly_expressed	lowly_expressed	CPA2|1358	51.8828
lowly_expressed	lowly_expressed	CPA3|1359	199.7487
CPA4|51200	119.6196	CPA4|51200	12.9707
CPAMD8|27151	565.5656	CPAMD8|27151	234.2137
CPB1|1360	233.7337	CPB1|1360	63.7417
CPD|1362	1604.1041	CPD|1362	3739.2667
lowly_expressed	lowly_expressed	CPEB1|64506	29.6473
CPEB2|132864	441.9419	CPEB2|132864	1095.0974
CPEB3|22849	141.6416	CPEB3|22849	266.8258
CPEB4|80315	882.3824	CPEB4|80315	1567.2308
CPE|1363	746.7467	CPE|1363	4233.265
CPLX1|10815	17.017	CPLX1|10815	22.9767
CPM|1368	279.7798	CPM|1368	5725.2658
CPNE1|8904	4507.3924	CPNE1|8904	1316.5479999999998
CPNE2|221184	995.9960000000001	CPNE2|221184	1690.6378
CPNE3|8895	3187.6877	CPNE3|8895	3755.5728
lowly_expressed	lowly_expressed	CPNE4|131034	130.4482
CPNE5|57699	138.1381	CPNE5|57699	21.8649
CPNE7|27132	55.0551	lowly_expressed	lowly_expressed
CPNE8|144402	887.8879	CPNE8|144402	281.6494
CPOX|1371	242.2422	CPOX|1371	365.4031
lowly_expressed	lowly_expressed	CPO|130749	10.3766
CPPED1|55313	247.7477	CPPED1|55313	775.2771
CPS1|1373	859.8599	CPS1|1373	514.0102
CPSF1|29894	582.5826	CPSF1|29894	662.2467
CPSF2|53981	554.0541	CPSF2|53981	1173.6628
CPSF3L|54973	982.4825	CPSF3L|54973	894.2369
CPSF3|51692	1001.0010000000001	CPSF3|51692	922.4019
CPSF4|10898	346.8468	CPSF4|10898	480.657
CPSF6|11052	1543.5435	CPSF6|11052	1030.6146
CPSF7|79869	1201.2012	CPSF7|79869	1976.7343
CPT1A|1374	607.6076	CPT1A|1374	1446.0475
CPT1B|1375	244.7397	CPT1B|1375	466.656
CPT1C|126129	10.01	CPT1C|126129	34.0944
CPT2|1376	305.8058	CPT2|1376	804.1832
CPVL|54504	141.6416	CPVL|54504	304.6261
CPXM1|56265	43.043	CPXM1|56265	536.6163
CPXM2|119587	205.2052	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CPZ|8532	31.8709
CP|1356	1639.0741	CP|1356	83.0903
lowly_expressed	lowly_expressed	CR1|1378	10.006
CR2|1380	62.5626	lowly_expressed	lowly_expressed
CRABP1|1381	1979.4795	CRABP1|1381	39.6533
CRABP2|1382	16804.3043	CRABP2|1382	566.2636
CRADD|8738	121.6216	CRADD|8738	183.8133
CRAMP1L|57585	696.2012	CRAMP1L|57585	866.4574
CRAT|1384	155.6557	CRAT|1384	1818.8624
CRB1|23418	51.5516	CRB1|23418	7.7824
CRB3|92359	153.1532	lowly_expressed	lowly_expressed
CRBN|51185	1164.9299	CRBN|51185	1302.6027
CRCP|27297	1485.4855	CRCP|27297	864.5896
CREB1|1385	1506.5065	CREB1|1385	1356.7349
CREB3L1|90993	168.1682	CREB3L1|90993	267.9375
CREB3L2|64764	11035.5355	CREB3L2|64764	3438.7172
CREB3L4|148327	2861.3614	CREB3L4|148327	173.4368
CREB3|10488	1391.2513	CREB3|10488	797.6942
CREB5|9586	49.049	CREB5|9586	399.4975
CREBBP|1387	2080.0801	CREBBP|1387	2858.0005
CREBL2|1389	2408.9089	CREBL2|1389	3543.5945
CREBZF|58487	543.5435	CREBZF|58487	681.5175
CREG1|8804	10525.025	CREG1|8804	4673.157
CRELD1|78987	392.3924	CRELD1|78987	1053.5912
CRELD2|79174	916.4164	CRELD2|79174	338.3499
CREM|1390	374.8749	CREM|1390	445.0802
lowly_expressed	lowly_expressed	CRHBP|1393	1401.9471
CRHR1|1394	119.1191	CRHR1|1394	17.7847
CRIM1|51232	3485.986	CRIM1|51232	5488.0873
CRIP1|1396	394.3944	CRIP1|1396	1094.7269
CRIP2|1397	1643.1431	CRIP2|1397	1090.6504
CRIPAK|285464	117.6176	CRIPAK|285464	170.8426
CRIPT|9419	1290.7908	CRIPT|9419	387.26800000000003
CRISP2|7180	59.0591	lowly_expressed	lowly_expressed
CRISP3|10321	386.3864	CRISP3|10321	10.3766
CRISPLD1|83690	2641.6416	CRISPLD1|83690	110.8068
CRISPLD2|83716	827.8278	CRISPLD2|83716	850.1366
CRKL|1399	2950.4505	CRKL|1399	1760.3089
CRK|1398	459.96	CRK|1398	1779.5797
CRLF1|9244	32.032	CRLF1|9244	35.5768
CRLF3|51379	393.3934	CRLF3|51379	321.3027
CRLS1|54675	2380.8809	CRLS1|54675	1933.7457
CRMP1|1400	26.026	CRMP1|1400	127.1128
CRNKL1|51340	1364.3644	CRNKL1|51340	842.7247
CROCCL1|84809	219.7197	CROCCL1|84809	140.1651
CROCCL2|114819	37.5375	CROCCL2|114819	22.6061
CROCC|9696	78.0781	CROCC|9696	203.8252
CROT|54677	361.8619	CROT|54677	228.6549
CRTAC1|55118	118.1181	CRTAC1|55118	35.2062
CRTAP|10491	2494.995	CRTAP|10491	11729.2163
CRTC1|23373	147.1471	CRTC1|23373	269.7905
CRTC2|200186	1275.2753	CRTC2|200186	944.2668
CRTC3|64784	852.8529	CRTC3|64784	2298.4076
CRY1|1407	412.9129	CRY1|1407	396.1622
CRY2|1408	839.8398	CRY2|1408	4768.3989
CRYAB|1410	8711.7117	CRYAB|1410	15765.6973
CRYBG3|131544	444.2593	CRYBG3|131544	2615.6264
CRYGS|1427	13.013	CRYGS|1427	11.4883
CRYL1|51084	373.8739	CRYL1|51084	581.8284
CRYZL1|9946	689.6346	CRYZL1|9946	483.3327
CRYZ|1429	545.6006	CRYZ|1429	829.5836
CSAD|51380	396.3964	CSAD|51380	841.2424
CSDAP1|440359	48.5485	CSDAP1|440359	47.0651
CSDA|8531	3825.8258	CSDA|8531	3094.4378
lowly_expressed	lowly_expressed	CSDC2|27254	14.0825
CSDE1|7812	9140.6406	CSDE1|7812	28917.2432
CSE1L|1434	3300.3003	CSE1L|1434	2017.8699
CSF1R|1436	208.2082	CSF1R|1436	359.103
CSF1|1435	42.5425	CSF1|1435	995.4084
CSF2RA|1438	209.2092	CSF2RA|1438	170.8426
CSF2RB|1439	42.5425	CSF2RB|1439	94.1302
CSF3R|1441	30.5305	CSF3R|1441	43.3592
lowly_expressed	lowly_expressed	CSF3|1440	132.3011
CSGALNACT1|55790	420.4204	CSGALNACT1|55790	515.4926
CSGALNACT2|55454	456.957	CSGALNACT2|55454	808.6303
CSK|1445	1001.0010000000001	CSK|1445	413.2094
lowly_expressed	lowly_expressed	CSMD1|64478	5.9295
CSMD2|114784	22.5225	CSMD2|114784	11.1177
lowly_expressed	lowly_expressed	CSN1S1|1446	71.5241
CSN2|1447	5.5055	lowly_expressed	lowly_expressed
CSN3|1448	1186.1862	CSN3|1448	5.5589
CSNK1A1|1452	4764.2643	CSNK1A1|1452	4230.3003
CSNK1D|1453	1234.2342	CSNK1D|1453	2340.2844
CSNK1E|1454	4872.8729	CSNK1E|1454	2133.7687
CSNK1G1|53944	604.6046	CSNK1G1|53944	706.7177
CSNK1G2|1455	274.2743	CSNK1G2|1455	565.1518
CSNK1G3|1456	648.6486	CSNK1G3|1456	755.2652
CSNK2A1P|283106	347.8478	CSNK2A1P|283106	552.9223
CSNK2A1|1457	1662.6627	CSNK2A1|1457	1287.805
CSNK2A2|1459	1432.4324	CSNK2A2|1459	1026.9086
CSNK2B|1460	6684.97	CSNK2B|1460	1961.7624
CSPG4|1464	141.6416	CSPG4|1464	4497.4967
CSPG5|10675	43.5435	CSPG5|10675	30.7591
CSPP1|79848	188.4935	CSPP1|79848	293.1378
CSRNP1|64651	1509.009	CSRNP1|64651	5481.7873
CSRNP2|81566	1213.7137	CSRNP2|81566	751.5593
CSRNP3|80034	28.028000000000002	CSRNP3|80034	8.5236
CSRP1|1465	27469.97	CSRP1|1465	4321.0952
CSRP2BP|57325	616.1161	CSRP2BP|57325	884.9722
CSRP2|1466	1094.5946	CSRP2|1466	919.4371
CST3|1471	1508.0079999999998	CST3|1471	5640.4004
CST6|1474	5.5055	lowly_expressed	lowly_expressed
CST7|8530	19.5195	CST7|8530	36.318000000000005
CSTA|1475	75.0751	CSTA|1475	375.7796
CSTB|1476	6060.0601	CSTB|1476	2108.6648
CSTF1|1477	873.3734	CSTF1|1477	426.9212
CSTF2T|23283	506.006	CSTF2T|23283	1101.7681
CSTF2|1478	138.6386	CSTF2|1478	175.6603
CSTF3|1479	1120.0	CSTF3|1479	472.0741
CS|1431	2508.008	CS|1431	16458.7032
CT62|196993	11.011	lowly_expressed	lowly_expressed
CTAGE4|100128553	364.3644	CTAGE4|100128553	24.459
CTAGE5|4253	1669.3994	CTAGE5|4253	678.2971
CTAGE6|340307	46.5465	CTAGE6|340307	6.3001
CTAGE9|643854	915.4154	CTAGE9|643854	79.3065
CTBP1|1487	1342.6677	CTBP1|1487	1960.1725
CTBP2|1488	1201.2012	CTBP2|1488	802.7009
CTBS|1486	410.9109	CTBS|1486	391.3371
CTCFL|140690	15.5506	CTCFL|140690	9.3611
CTCF|10664	1567.5676	CTCF|10664	1249.2634
CTDP1|9150	413.9139	CTDP1|9150	264.9728
CTDSP1|58190	2447.9479	CTDSP1|58190	3574.7242
CTDSP2|10106	6020.02	CTDSP2|10106	9628.3339
CTDSPL2|51496	571.0711	CTDSPL2|51496	799.3655
CTDSPL|10217	3601.1011	CTDSPL|10217	1019.8674
CTF1|1489	97.0971	CTF1|1489	197.1546
CTGF|1490	9215.7157	CTGF|1490	4637.5802
CTHRC1|115908	288.7888	CTHRC1|115908	243.8491
CTH|1491	35.5355	CTH|1491	346.1323
CTNNA1|1495	5782.2823	CTNNA1|1495	10602.248
lowly_expressed	lowly_expressed	CTNNA3|29119	5.1883
CTNNAL1|8727	319.3193	CTNNAL1|8727	2039.7348
CTNNB1|1499	20358.1281	CTNNB1|1499	6510.8231
CTNNBIP1|56998	1156.1562	CTNNBIP1|56998	1200.7160000000001
CTNNBL1|56259	1065.5656	CTNNBL1|56259	919.8077
CTNND1|1500	279709.2092	CTNND1|1500	11862.8664
CTNND2|1501	26.5265	lowly_expressed	lowly_expressed
CTNS|1497	93.8438	CTNS|1497	431.2312
CTPS2|56474	828.8288	CTPS2|56474	524.3868
CTPS|1503	799.2993	CTPS|1503	227.5431
CTR9|9646	1641.1411	CTR9|9646	1502.0068
CTSA|5476	6370.3704	CTSA|5476	2529.827
CTSB|1508	13624.1241	CTSB|1508	12561.1939
CTSC|1075	1134.6346	CTSC|1075	992.4436
CTSD|1509	15132.1321	CTSD|1509	6728.085999999999
CTSF|8722	8669.6697	CTSF|8722	2846.1416
lowly_expressed	lowly_expressed	CTSG|1511	95.242
CTSH|1512	1645.1451	CTSH|1512	490.663
CTSK|1513	574.0741	CTSK|1513	3046.6315
CTSL1|1514	450.95099999999996	CTSL1|1514	2314.7136
CTSL2|1515	282.2823	lowly_expressed	lowly_expressed
CTSO|1519	1747.2472	CTSO|1519	1073.6031
CTSS|1520	2474.975	CTSS|1520	493.9983
CTSW|1521	13.013	CTSW|1521	35.5768
CTSZ|1522	7117.6176	CTSZ|1522	3140.0205
CTTNBP2NL|55917	820.3203	CTTNBP2NL|55917	652.2408
CTTNBP2|83992	17.017	CTTNBP2|83992	265.3434
CTTN|2017	18987.988	CTTN|2017	3651.4366
CTU1|90353	51.0511	CTU1|90353	18.9002
CTU2|348180	335.1051	CTU2|348180	129.0473
CTXN1|404217	539.5395	CTXN1|404217	7.0412
CTXN2|399697	26.5265	lowly_expressed	lowly_expressed
CUBN|8029	247.2472	CUBN|8029	220.8724
CUEDC1|404093	29.5295	CUEDC1|404093	315.0026
CUEDC2|79004	325.3253	CUEDC2|79004	706.7177
CUL1|8454	2703.7037	CUL1|8454	1918.1808
CUL2|8453	872.3724	CUL2|8453	1027.2792
CUL3|8452	2480.981	CUL3|8452	2089.7646
CUL4A|8451	2438.9389	CUL4A|8451	2071.6057
CUL4B|8450	3616.6166	CUL4B|8450	1930.0398
CUL5|8065	574.5746	CUL5|8065	1205.1631
CUL7|9820	1234.7347	CUL7|9820	943.092
CUL9|23113	186.6867	CUL9|23113	494.3689
CUTA|51596	8644.6446	CUTA|51596	1153.6509
CUTC|51076	152.6877	CUTC|51076	490.9891
CUX1|1523	477.4775	CUX1|1523	1458.277
CUZD1|50624	26.7718	CUZD1|50624	6.6706
CWC15|51503	893.8939	CWC15|51503	945.0079
CWC22|57703	1004.5045	CWC22|57703	880.5251
CWC25|54883	332.3323	CWC25|54883	627.7818
CWC27|10283	268.2683	CWC27|10283	593.6873
CWF19L1|55280	298.7988	CWF19L1|55280	381.7091
CWF19L2|143884	324.3243	CWF19L2|143884	762.3064
CX3CL1|6376	3900.4004	CX3CL1|6376	2245.0424
CX3CR1|1524	125.6256	CX3CR1|1524	59.6652
CXADR|1525	194.6947	CXADR|1525	8.152999999999999
CXCL10|3627	214.7147	CXCL10|3627	21.8649
CXCL11|6373	74.0741	CXCL11|6373	6.6706
CXCL12|6387	538.038	CXCL12|6387	8751.1442
CXCL13|10563	30.03	lowly_expressed	lowly_expressed
CXCL14|9547	509.5095	CXCL14|9547	6710.2976
CXCL16|58191	1581.5816	CXCL16|58191	225.3195
CXCL17|284340	387.8879	CXCL17|284340	8.152999999999999
lowly_expressed	lowly_expressed	CXCL1|2919	31.1297
CXCL2|2920	5.005	CXCL2|2920	1033.2087
lowly_expressed	lowly_expressed	CXCL3|2921	38.5415
CXCL9|4283	1738.2382	CXCL9|4283	140.4541
lowly_expressed	lowly_expressed	CXCR1|3577	17.4178
CXCR2|3579	8.008	CXCR2|3579	41.1356
CXCR3|2833	12.012	lowly_expressed	lowly_expressed
CXCR4|7852	6128.1281	CXCR4|7852	279.0553
CXCR6|10663	11.011	CXCR6|10663	5.5589
CXCR7|57007	505.5055	CXCR7|57007	3711.4724
CXXC1|30827	660.1602	CXXC1|30827	479.1746
CXXC4|80319	35.035	CXXC4|80319	27.0532
CXXC5|51523	68.5686	CXXC5|51523	333.9028
CXorf21|80231	8.008	CXorf21|80231	10.006
CXorf22|170063	8.008	lowly_expressed	lowly_expressed
CXorf23|256643	156.1562	CXorf23|256643	250.1492
CXorf26|51260	423.9239	CXorf26|51260	353.5442
CXorf30|645090	73.5736	lowly_expressed	lowly_expressed
CXorf36|79742	327.3273	CXorf36|79742	2232.4423
CXorf38|159013	130.6306	CXorf38|159013	198.2664
CXorf40A|91966	450.4505	CXorf40A|91966	333.1616
CXorf40B|541578	327.3273	CXorf40B|541578	325.7498
CXorf42|158801	144.1441	CXorf42|158801	28.5355
CXorf50B|653687	7.007000000000001	lowly_expressed	lowly_expressed
CXorf56|63932	230.2302	CXorf56|63932	314.2615
lowly_expressed	lowly_expressed	CXorf57|55086	21.4943
CXorf59|286464	14.014000000000001	lowly_expressed	lowly_expressed
CXorf61|203413	929.4294	CXorf61|203413	10.3766
CYB561D1|284613	225.2252	CYB561D1|284613	395.7916
CYB561D2|11068	207.3023	CYB561D2|11068	219.8459
CYB561|1534	3680.1802	CYB561|1534	551.8105
CYB5A|1528	583.5836	CYB5A|1528	5971.3385
CYB5B|80777	2492.4925	CYB5B|80777	2378.4553
CYB5D1|124637	417.9179	CYB5D1|124637	583.3108
CYB5D2|124936	224.7247	CYB5D2|124936	572.5636
CYB5R1|51706	1685.6857	CYB5R1|51706	1145.1273
CYB5R2|51700	740.7407	CYB5R2|51700	184.1839
CYB5R3|1727	6516.5165	CYB5R3|1727	9925.1776
CYB5R4|51167	105.6056	CYB5R4|51167	307.9614
CYB5RL|606495	13.013	CYB5RL|606495	122.6657
CYBASC3|220002	586.5866	CYBASC3|220002	1041.7323
CYBA|1535	1914.4144	CYBA|1535	347.6147
CYBB|1536	208.7087	CYBB|1536	284.2436
CYBRD1|79901	15219.2192	CYBRD1|79901	16892.6656
CYC1|1537	1500.5005	CYC1|1537	2425.891
CYCS|54205	3782.2823	CYCS|54205	2984.0016
CYFIP1|23191	3138.1381	CYFIP1|23191	3386.4638
CYFIP2|26999	121.1211	CYFIP2|26999	163.4308
CYGB|114757	77.0771	CYGB|114757	1311.8934
CYHR1|50626	531.031	CYHR1|50626	442.1155
CYLD|1540	1758.2583	CYLD|1540	1421.2178
lowly_expressed	lowly_expressed	CYP11A1|1583	48.5475
CYP1B1|1545	314.3143	CYP1B1|1545	317.9674
CYP20A1|57404	914.9149	CYP20A1|57404	747.1122
lowly_expressed	lowly_expressed	CYP21A2|1589	137.1892
CYP24A1|1591	410.9109	CYP24A1|1591	5.5589
CYP26B1|56603	303.3033	CYP26B1|56603	700.7882
CYP27A1|1593	3652.1522	CYP27A1|1593	694.4882
CYP27B1|1594	80.5806	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CYP27C1|339761	12.2295
lowly_expressed	lowly_expressed	CYP2A6|1548	126.7422
CYP2B7P1|1556	11.5115	CYP2B7P1|1556	14.0825
lowly_expressed	lowly_expressed	CYP2C18|1562	20.7049
CYP2C8|1558	10.01	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CYP2C9|1559	5.5589
lowly_expressed	lowly_expressed	CYP2D6|1565	6.6706
lowly_expressed	lowly_expressed	CYP2D7P1|1564	6.3001
lowly_expressed	lowly_expressed	CYP2E1|1571	12.1443
CYP2J2|1573	810.8108	CYP2J2|1573	10.7471
CYP2R1|120227	570.5706	CYP2R1|120227	131.5599
CYP2S1|29785	21.5215	CYP2S1|29785	7.4118
CYP2U1|113612	287.7878	CYP2U1|113612	665.949
CYP39A1|51302	2009.5095	CYP39A1|51302	130.8187
lowly_expressed	lowly_expressed	CYP3A4|1576	45.2121
CYP3A5|1577	6.006	CYP3A5|1577	151.9425
CYP46A1|10858	20.5205	CYP46A1|10858	77.4536
lowly_expressed	lowly_expressed	CYP4A11|1579	5.5589
CYP4B1|1580	25.025	CYP4B1|1580	975.0258
CYP4F11|57834	34.5345	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CYP4F12|66002	74.1183
lowly_expressed	lowly_expressed	CYP4F22|126410	7.7824
CYP4V2|285440	2372.3724	CYP4V2|285440	911.6547
CYP4X1|260293	21.5215	CYP4X1|260293	152.313
lowly_expressed	lowly_expressed	CYP4Z1|199974	5.5589
CYP51A1|1595	3028.028	CYP51A1|1595	973.1729
CYP7B1|9420	300.3003	CYP7B1|9420	170.1014
CYR61|3491	2067.5676	CYR61|3491	32034.6577
CYS1|192668	18.5185	CYS1|192668	209.0135
CYSLTR1|10800	16.016	CYSLTR1|10800	53.3652
lowly_expressed	lowly_expressed	CYSLTR2|57105	39.2827
CYTH1|9267	308.8088	CYTH1|9267	589.6108
CYTH2|9266	1190.1902	CYTH2|9266	963.1669
CYTH3|9265	257.2573	CYTH3|9265	1855.5509
CYTH4|27128	49.049	CYTH4|27128	100.8008
CYTIP|9595	39.039	CYTIP|9595	52.9946
CYTL1|54360	18.018	CYTL1|54360	13.7119
CYTSA|23384	841.3413	CYTSA|23384	1566.1191
CYTSB|92521	27.026999999999997	CYTSB|92521	496.963
CYYR1|116159	8906.9069	CYYR1|116159	1727.3263
D2HGDH|728294	62.5626	D2HGDH|728294	195.6722
lowly_expressed	lowly_expressed	D4S234E|27065	28.1649
DAAM1|23002	385.3854	DAAM1|23002	1509.4186
DAAM2|23500	92.8579	DAAM2|23500	2696.2856
lowly_expressed	lowly_expressed	DAB1|1600	15.1942
DAB2IP|153090	2590.5906	DAB2IP|153090	1510.5304
DAB2|1601	2560.5606	DAB2|1601	2578.2039999999997
DACH1|1602	10.01	DACH1|1602	219.0195
DACT1|51339	114.6146	DACT1|51339	153.4248
lowly_expressed	lowly_expressed	DACT2|168002	35.2062
DACT3|147906	42.042	DACT3|147906	71.5241
DAD1|1603	2928.4284	DAD1|1603	2140.1651
DAG1|1605	2868.8689	DAG1|1605	2412.1791
DAGLA|747	59.0591	DAGLA|747	86.7184
DAGLB|221955	187.6877	DAGLB|221955	254.5963
DAK|26007	247.2472	DAK|26007	354.6559
DALRD3|55152	279.6246	DALRD3|55152	378.9593
lowly_expressed	lowly_expressed	DAND5|199699	7.7824
DAP3|7818	3288.2883	DAP3|7818	2022.6876
DAPK1|1612	73.5736	DAPK1|1612	485.4747
DAPK2|23604	290.2903	DAPK2|23604	1204.4219
DAPK3|1613	604.1041	DAPK3|1613	499.1866
DAPL1|92196	19.5195	lowly_expressed	lowly_expressed
DAPP1|27071	882.8829	DAPP1|27071	34.8356
DAP|1611	3270.2703	DAP|1611	1732.5146
DARC|2532	70.0701	DARC|2532	563.6694
DARS2|55157	704.7047	DARS2|55157	632.2288
DARS|1615	2265.2653	DARS|1615	2143.1298
DAXX|1616	1870.8709	DAXX|1616	1131.0448
DAZAP1|26528	1028.028	DAZAP1|26528	1085.0915
DAZAP2|9802	6561.0611	DAZAP2|9802	4435.9785
DBC1|1620	260.2603	DBC1|1620	6.6706
DBF4B|80174	77.5776	DBF4B|80174	70.0418
DBF4|10926	371.8719	DBF4|10926	102.2832
DBI|1622	22098.0981	DBI|1622	5396.5513
DBN1|1627	1001.0010000000001	DBN1|1627	1230.3633
DBNDD1|79007	1274.7748	DBNDD1|79007	84.1242
DBNDD2|55861	1503.7137	DBNDD2|55861	410.25199999999995
DBNL|28988	752.2523	DBNL|28988	2000.4521
DBP|1628	143.8038	DBP|1628	474.3532
DBR1|51163	513.013	DBR1|51163	315.0026
DBT|1629	664.1642	DBT|1629	1427.1473
lowly_expressed	lowly_expressed	DBX2|440097	18.9002
DCAF10|79269	1669.1692	DCAF10|79269	1457.9064
DCAF11|80344	854.8549	DCAF11|80344	1248.8929
DCAF12L2|340578	5.5055	DCAF12L2|340578	7.7824
DCAF12|25853	2693.1932	DCAF12|25853	1089.1680000000001
DCAF13|25879	1127.1722	DCAF13|25879	451.5359
DCAF15|90379	339.8398	DCAF15|90379	222.7254
DCAF16|54876	689.6897	DCAF16|54876	539.581
DCAF17|80067	591.5916	DCAF17|80067	346.1323
DCAF4L1|285429	11.011	DCAF4L1|285429	5.1883
DCAF4|26094	168.1682	DCAF4|26094	176.0309
DCAF5|8816	793.2933	DCAF5|8816	2701.2404
DCAF6|55827	3312.3123	DCAF6|55827	2557.8215
DCAF7|10238	1244.2442	DCAF7|10238	1370.8174
DCAF8|50717	2591.2863	DCAF8|50717	2978.6169
DCAKD|79877	1314.8148	DCAKD|79877	794.5479
DCBLD1|285761	689.7497	DCBLD1|285761	347.2441
DCBLD2|131566	2765.2653	DCBLD2|131566	1533.1364
DCC|1630	17.017	lowly_expressed	lowly_expressed
DCDC2|51473	6.006	lowly_expressed	lowly_expressed
DCHS1|8642	219.2192	DCHS1|8642	1260.3812
DCHS2|54798	30.5305	DCHS2|54798	18.5296
DCI|1632	314.8148	DCI|1632	765.2711
DCK|1633	532.5325	DCK|1633	362.0678
DCLK1|9201	53.0531	DCLK1|9201	1263.3459
DCLK2|166614	89.0891	DCLK2|166614	147.4954
DCLK3|85443	7.5075	DCLK3|85443	26.6826
DCLRE1A|9937	364.8649	DCLRE1A|9937	300.9202
DCLRE1B|64858	146.1461	DCLRE1B|64858	261.6375
DCLRE1C|64421	367.3674	DCLRE1C|64421	230.8784
