gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
CLDN3|1365	668.6886	CLDN3|1365	1191.7752
CLDN4|1364	3247.8467	CLDN4|1364	5226.7915
CLDN5|7122	93.17	CLDN5|7122	1851.3844
CLDN7|1366	1493.1457	CLDN7|1366	1479.6417
CLDN8|9073	168.8706	CLDN8|9073	1178.7459
CLDND1|56650	1419.3861	CLDND1|56650	1306.5961
CLEC10A|10462	145.5781	CLEC10A|10462	210.5049
CLEC11A|6320	168.3853	CLEC11A|6320	264.658
CLEC12A|160364	56.2902	CLEC12A|160364	30.9446
CLEC14A|161198	236.3217	CLEC14A|161198	844.0554
CLEC16A|23274	367.8272	CLEC16A|23274	912.4593
CLEC18A|348174	7.7642	lowly_expressed	lowly_expressed
CLEC18B|497190	12.1315	lowly_expressed	lowly_expressed
CLEC1A|51267	34.4535	CLEC1A|51267	249.5928
CLEC2B|9976	140.2402	CLEC2B|9976	244.2997
CLEC2D|29121	572.6071	CLEC2D|29121	449.1042
CLEC3A|10143	5.8231	CLEC3A|10143	7.329
CLEC3B|7123	100.4489	CLEC3B|7123	534.6091
CLEC4A|50856	53.3786	CLEC4A|50856	59.8534
CLEC4E|26253	70.3627	CLEC4E|26253	47.6384
lowly_expressed	lowly_expressed	CLEC4F|165530	44.7883
lowly_expressed	lowly_expressed	CLEC4GP1|440508	6.5147
lowly_expressed	lowly_expressed	CLEC4G|339390	8.9577
CLEC5A|23601	54.8344	CLEC5A|23601	8.5505
CLEC6A|93978	6.7936	lowly_expressed	lowly_expressed
CLEC7A|64581	284.8477	CLEC7A|64581	138.4365
CLEC9A|283420	5.3379	CLEC9A|283420	24.43
CLECL1|160365	15.0431	CLECL1|160365	17.5081
CLGN|1047	292.6119	CLGN|1047	54.5603
CLIC1|1192	3868.9797	CLIC1|1192	4574.1042
CLIC2|1193	345.02	CLIC2|1193	465.3909
CLIC3|9022	17.4694	CLIC3|9022	43.5668
CLIC4|25932	3421.0846	CLIC4|25932	5800.0814
CLIC5|53405	181.0021	CLIC5|53405	355.0489
CLIC6|54102	3001.3345	CLIC6|54102	1560.2606
CLINT1|9685	1407.7399	CLINT1|9685	1572.0684
CLIP1|6249	954.9921	CLIP1|6249	2308.6319
CLIP2|7461	560.4756	CLIP2|7461	567.1824
CLIP3|25999	353.2694	CLIP3|25999	743.4853
CLIP4|79745	140.7255	CLIP4|79745	620.9283
CLK1|1195	1799.3449	CLK1|1195	2494.7068
CLK2P|1197	10.6757	CLK2P|1197	11.4007
CLK2|1196	807.9583	CLK2|1196	827.7687
CLK3|1198	622.5889	CLK3|1198	1004.8860000000001
CLK4|57396	282.4214	CLK4|57396	724.7557
CLMN|79789	1271.867	CLMN|79789	1576.1401
CLN3|1201	506.1264	CLN3|1201	1063.4772
CLN5|1203	362.9746	CLN5|1203	567.1824
CLN6|54982	2360.3057	CLN6|54982	761.4007
CLN8|2055	192.6483	CLN8|2055	418.5668
CLNS1A|1207	1650.8553	CLNS1A|1207	1232.0847
CLOCK|9575	330.9475	CLOCK|9575	326.1401
CLP1|10978	272.231	CLP1|10978	198.6971
CLPB|81570	411.5007	CLPB|81570	267.101
CLPP|8192	1032.6337	CLPP|8192	494.2997
CLPTM1L|81037	3763.1929999999998	CLPTM1L|81037	1633.9577
CLPTM1|1209	3087.7108	CLPTM1|1209	2203.1759
CLPX|10845	579.4007	CLPX|10845	748.3713
CLSPN|63967	475.0698	CLSPN|63967	19.9511
CLSTN1|22883	4940.4343	CLSTN1|22883	6507.329000000001
CLSTN2|64084	7229.4068	CLSTN2|64084	339.9837
CLSTN3|9746	1974.0386	CLSTN3|9746	1561.8893
CLTA|1211	2030.8139999999999	CLTA|1211	1882.329
CLTB|1212	768.1669	CLTB|1212	1069.2182
CLTCL1|8218	178.0905	CLTCL1|8218	117.671
CLTC|1213	12299.8908	CLTC|1213	8304.5603
CLUAP1|23059	218.8524	CLUAP1|23059	548.0456
CLUL1|27098	102.8752	CLUL1|27098	58.2248
CLU|1191	12798.7383	CLU|1191	21639.2508
CLVS1|157807	6.2404	lowly_expressed	lowly_expressed
CLYBL|171425	70.848	CLYBL|171425	114.4137
lowly_expressed	lowly_expressed	CMA1|1215	20.3583
CMAH|8418	132.9613	CMAH|8418	603.4202
CMAS|55907	940.4343	CMAS|55907	631.5147
CMBL|134147	1690.1613	CMBL|134147	662.4593
CMC1|152100	135.8729	CMC1|152100	115.6352
CMIP|80790	995.2687	CMIP|80790	1758.9577
CMKLR1|1240	484.2897	CMKLR1|1240	546.8241
CMPK1|51727	3441.9507	CMPK1|51727	3256.5147
CMPK2|129607	320.2717	CMPK2|129607	185.6678
CMTM1|113540	105.7867	CMTM1|113540	87.5407
CMTM3|123920	711.8767	CMTM3|123920	926.3029
CMTM4|146223	483.3192	CMTM4|146223	1009.3648
lowly_expressed	lowly_expressed	CMTM5|116173	37.0521
CMTM6|54918	2464.1514	CMTM6|54918	2719.4625
CMTM7|112616	263.9816	CMTM7|112616	1173.8599
CMTM8|152189	384.8114	CMTM8|152189	196.6612
CMYA5|202333	189.2515	CMYA5|202333	1487.785
CN5H6.4|150384	12.1315	CN5H6.4|150384	6.1075
CNBP|7555	7440.9802	CNBP|7555	7458.8762
CNDP2|55748	4356.181	CNDP2|55748	4812.2964
CNFN|84518	84.9205	CNFN|84518	50.0814
lowly_expressed	lowly_expressed	CNGA1|1259	28.0945
CNGA2|1260	8.2494	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CNGB3|54714	6.1075
CNIH2|254263	575.5186	CNIH2|254263	12.215
CNIH3|149111	38.8208	CNIH3|149111	55.7818
CNIH4|29097	813.2961	CNIH4|29097	591.2052
CNIH|10175	1556.2295	CNIH|10175	917.3453
CNKSR1|10256	298.435	CNKSR1|10256	432.0033
CNKSR2|22866	20.3809	CNKSR2|22866	17.9153
CNKSR3|154043	1381.0506	CNKSR3|154043	517.101
CNN1|1264	233.8954	CNN1|1264	6237.3779
CNN2|1265	2279.7525	CNN2|1265	4149.43
CNN3|1266	2859.1532	CNN3|1266	5914.4951
CNNM1|26507	108.213	CNNM1|26507	28.0945
CNNM2|54805	122.2856	CNNM2|54805	164.9023
CNNM3|26505	1451.8986	CNNM3|26505	905.1303
CNNM4|26504	1125.8037	CNNM4|26504	786.645
CNOT10|25904	1036.5158	CNOT10|25904	692.5896
CNOT1|23019	3801.5917	CNOT1|23019	4352.4186
CNOT2|4848	1468.8827	CNOT2|4848	1427.9316
CNOT3|4849	1420.8419	CNOT3|4849	1051.7101
CNOT4|4850	358.6073	CNOT4|4850	507.329
CNOT6L|246175	1042.8242	CNOT6L|246175	1799.6743
CNOT6|57472	2251.1222	CNOT6|57472	944.6254
CNOT7|29883	1463.5448	CNOT7|29883	1615.6352
CNOT8|9337	2021.1088	CNOT8|9337	1593.6482
CNO|55330	280.4804	CNO|55330	258.5505
CNPY2|10330	1689.6761	CNPY2|10330	1046.4169
CNPY3|10695	2396.215	CNPY3|10695	1350.1629
CNPY4|245812	286.3035	CNPY4|245812	349.7557
CNP|1267	1691.3454	CNP|1267	2220.2932
CNR1|1268	90.7437	CNR1|1268	122.9642
CNR2|1269	7.2789	lowly_expressed	lowly_expressed
CNRIP1|25927	124.7119	CNRIP1|25927	271.5798
CNST|163882	474.0992	CNST|163882	728.8274
CNTD1|124817	18.5127	CNTD1|124817	69.0879
CNTD2|79935	15.0431	CNTD2|79935	18.7296
CNTFR|1271	1697.4403	CNTFR|1271	219.4625
CNTF|1270	25.3403	CNTF|1270	25.6515
CNTLN|54875	501.7591	CNTLN|54875	309.8534
CNTN1|1272	35.9093	CNTN1|1272	198.2899
CNTN2|6900	10.1905	CNTN2|6900	26.4658
CNTN3|5067	36.8798	CNTN3|5067	39.9023
CNTN4|152330	212.0587	CNTN4|152330	164.9023
CNTNAP1|8506	92.6847	CNTNAP1|8506	183.2248
CNTNAP2|26047	245.5417	lowly_expressed	lowly_expressed
CNTNAP3|79937	40.7619	CNTNAP3|79937	366.0423
CNTROB|116840	1018.5612	CNTROB|116840	1005.2932
COASY|80347	854.5432	COASY|80347	1572.0684
COBLL1|22837	361.0336	COBLL1|22837	1122.1498
COBL|23242	94.1405	COBL|23242	1673.0456
COBRA1|25920	1344.1708	COBRA1|25920	1522.3941
COCH|1690	126.9344	COCH|1690	20.9568
COG1|9382	1797.2098	COG1|9382	940.9283
COG2|22796	775.4458	COG2|22796	745.1139999999999
COG3|83548	974.8878	COG3|83548	1098.5342
COG4|25839	1032.1485	COG4|25839	1386.4007
COG5|10466	430.5568	COG5|10466	975.57
COG6|57511	512.9201	COG6|57511	618.0782
COG7|91949	358.6073	COG7|91949	742.671
COG8|84342	334.5287	COG8|84342	468.5586
COIL|8161	870.5568	COIL|8161	526.0586
COL10A1|1300	2186.5826	COL10A1|1300	8.5505
COL11A1|1301	1610.0934	COL11A1|1301	57.8176
COL11A2|1302	24.263	COL11A2|1302	26.0586
COL12A1|1303	7464.2727	COL12A1|1303	2899.0228
COL13A1|1305	40.2766	COL13A1|1305	31.759
COL14A1|7373	697.3189	COL14A1|7373	11429.1531
COL15A1|1306	1474.2206	COL15A1|1306	4108.7134
COL16A1|1307	948.6837	COL16A1|1307	2591.2052
COL17A1|1308	260.5847	COL17A1|1308	7655.9446
COL18A1|80781	2680.0922	COL18A1|80781	5153.9088
COL1A1|1277	66995.0261	COL1A1|1277	28820.4397
COL1A2|1278	51881.1112	COL1A2|1278	31061.4821
COL21A1|81578	49.9818	COL21A1|81578	100.1629
COL22A1|169044	11.161	COL22A1|169044	72.8827
COL23A1|91522	12.1315	COL23A1|91522	108.7134
COL24A1|255631	13.5873	COL24A1|255631	9.3648
lowly_expressed	lowly_expressed	COL25A1|84570	31.759
COL27A1|85301	52.8934	COL27A1|85301	798.4528
lowly_expressed	lowly_expressed	COL28A1|340267	25.2443
COL29A1|256076	11.161	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	COL2A1|1280	322.0684
COL3A1|1281	46368.5551	COL3A1|1281	30419.7883
COL4A1|1282	6231.2265	COL4A1|1282	6232.4919
COL4A2|1284	5619.7986	COL4A2|1284	9695.8469
COL4A3BP|10087	1109.7901	COL4A3BP|10087	1141.6938
COL4A3|1285	60.6575	COL4A3|1285	16.2866
COL4A4|1286	172.2674	COL4A4|1286	94.0554
COL4A5|1287	1360.6697	COL4A5|1287	1372.9642
COL4A6|1288	131.9908	COL4A6|1288	585.5049
COL5A1|1289	5837.6805	COL5A1|1289	1989.8208
COL5A2|1290	6717.4572	COL5A2|1290	2568.8111
COL5A3|50509	302.3171	COL5A3|50509	313.1107
COL6A1|1291	9088.4387	COL6A1|1291	9085.0977
COL6A2|1292	10419.5075	COL6A2|1292	13013.4365
COL6A3|1293	13698.4108	COL6A3|1293	13482.4919
COL6A6|131873	35.424	COL6A6|131873	210.0977
COL7A1|1294	260.5847	COL7A1|1294	927.1173
COL8A1|1295	378.9882	COL8A1|1295	137.215
COL8A2|1296	820.0898	COL8A2|1296	1258.1433
COL9A2|1298	130.0497	COL9A2|1298	560.2606
COL9A3|1299	22.8072	COL9A3|1299	83.4691
lowly_expressed	lowly_expressed	COLEC11|78989	35.4235
COLEC12|81035	389.664	COLEC12|81035	571.6612
COLQ|8292	31.5419	COLQ|8292	66.3681
COMMD10|51397	924.9060000000001	COMMD10|51397	394.1368
COMMD1|150684	223.2197	COMMD1|150684	315.1466
COMMD2|51122	904.5251	COMMD2|51122	757.329
COMMD3|23412	556.8458	COMMD3|23412	625.0163
COMMD4|54939	1252.9419	COMMD4|54939	711.3192
COMMD5|28991	1061.0166	COMMD5|28991	434.8616
COMMD6|170622	955.9626	COMMD6|170622	1563.9251
COMMD7|149951	1144.2436	COMMD7|149951	936.0749
COMMD8|54951	455.6593	COMMD8|54951	208.0619
COMMD9|29099	629.8678	COMMD9|29099	559.8534
COMP|1311	521.6547	COMP|1311	104.6417
COMTD1|118881	108.213	COMTD1|118881	42.7524
COMT|1312	1219.4589	COMT|1312	1933.6319
COPA|1314	6457.0812	COPA|1314	4838.355
COPB1|1315	2220.2984	COPB1|1315	3288.0252
COPB2|9276	4395.4871	COPB2|9276	3320.4397
COPE|11316	3004.7313	COPE|11316	1780.9446
COPG2|26958	324.1538	COPG2|26958	584.2834
COPG|22820	5504.7919	COPG|22820	3653.9088
COPS2|9318	1299.5269	COPS2|9318	1839.9837
COPS3|8533	950.6248	COPS3|8533	973.5342
COPS4|51138	488.1718	COPS4|51138	912.0521
COPS5|10987	1890.0886	COPS5|10987	983.7134
COPS6|10980	1248.0893	COPS6|10980	1339.9837
COPS7A|50813	1237.4136	COPS7A|50813	1337.1336
COPS7B|64708	661.4097	COPS7B|64708	600.57
COPS8|10920	1521.7566	COPS8|10920	887.5611
COPZ1|22818	2771.3211	COPZ1|22818	3247.5570000000002
COPZ2|51226	87.3468	COPZ2|51226	210.0977
COQ10A|93058	111.6099	COQ10A|93058	122.9642
COQ10B|80219	479.4371	COQ10B|80219	597.3127
COQ2|27235	195.5599	COQ2|27235	160.4235
COQ3|51805	309.596	COQ3|51805	128.2573
COQ4|51117	1045.2505	COQ4|51117	783.3876
COQ5|84274	390.6345	COQ5|84274	532.1661
COQ6|51004	195.555	COQ6|51004	362.8909
COQ7|10229	351.3284	COQ7|10229	396.98699999999997
COQ9|57017	580.3712	COQ9|57017	758.1433
CORIN|10699	164.018	CORIN|10699	28.9088
CORO1A|11151	1221.4	CORO1A|11151	828.1759
CORO1B|57175	1541.6717	CORO1B|57175	1857.4919
CORO1C|23603	2698.0468	CORO1C|23603	2977.6059
CORO2A|7464	877.3505	CORO2A|7464	619.7068
CORO2B|10391	68.907	CORO2B|10391	293.1596
CORO6|84940	24.7483	CORO6|84940	20.7655
CORO7|79585	472.0272	CORO7|79585	578.4324
CORT|1325	7.9146	lowly_expressed	lowly_expressed
COTL1|23406	1965.3039	COTL1|23406	1826.9544
COX10|1352	201.38299999999998	COX10|1352	332.6547
COX11|1353	789.5523	COX11|1353	634.5765
COX15|1355	659.8617	COX15|1355	919.9837
COX16|51241	557.564	COX16|51241	703.1759
COX17|10063	475.555	COX17|10063	384.772
COX18|285521	330.9475	COX18|285521	298.8599
COX19|90639	187.1309	COX19|90639	255.7451
COX4I1|1327	2403.0086	COX4I1|1327	3697.4756
COX4I2|84701	16.9841	COX4I2|84701	49.6743
COX4NB|10328	355.6957	COX4NB|10328	434.0391
COX5A|9377	1715.3949	COX5A|9377	831.8404
COX5B|1329	1603.2998	COX5B|1329	909.202
COX6A1|1337	1273.8081	COX6A1|1337	1135.9935
COX6B1|1340	2749.9697	COX6B1|1340	1692.1824
COX6B2|125965	6.3084	COX6B2|125965	35.0163
COX6C|1345	13589.7125	COX6C|1345	1406.759
COX7A1|1346	38.3356	COX7A1|1346	216.6124
COX7A2L|9167	1385.4179	COX7A2L|9167	1295.1954
COX7A2|1347	1753.2452	COX7A2|1347	895.3583
COX7B|1349	1321.3636	COX7B|1349	945.4397
COX7C|1350	2438.4326	COX7C|1350	2328.9902
COX8A|1351	2593.2306	COX8A|1351	1220.684
CP110|9738	1089.4092	CP110|9738	653.9088
lowly_expressed	lowly_expressed	CPA1|1357	10.5863
CPA3|1359	27.6598	CPA3|1359	100.57
lowly_expressed	lowly_expressed	CPA4|51200	50.8958
lowly_expressed	lowly_expressed	CPA6|57094	43.5668
CPAMD8|27151	29.6009	CPAMD8|27151	750.4072
CPB1|1360	206.2356	CPB1|1360	52.9316
CPD|1362	1422.783	CPD|1362	3250.8143
CPEB1|64506	15.0431	CPEB1|64506	18.3225
CPEB2|132864	569.2102	CPEB2|132864	753.6645
CPEB3|22849	111.6099	CPEB3|22849	312.2964
CPEB4|80315	963.7268	CPEB4|80315	1333.8762
CPE|1363	608.0311	CPE|1363	3711.7264
CPLX1|10815	540.0946	CPLX1|10815	99.3485
CPLX2|10814	1687.2498	lowly_expressed	lowly_expressed
CPLX3|594855	131.9908	lowly_expressed	lowly_expressed
CPM|1368	709.9357	CPM|1368	797.6384
CPNE1|8904	1233.2791	CPNE1|8904	1290.9283
CPNE2|221184	519.2284	CPNE2|221184	642.9153
CPNE3|8895	2655.8292	CPNE3|8895	2585.5049
CPNE4|131034	88.8026	lowly_expressed	lowly_expressed
CPNE5|57699	60.6575	CPNE5|57699	83.4691
CPNE7|27132	259.129	CPNE7|27132	52.1173
CPNE8|144402	68.4217	CPNE8|144402	241.4495
CPOX|1371	230.4986	CPOX|1371	282.5733
CPPED1|55313	476.5255	CPPED1|55313	454.3974
CPS1|1373	8.2494	CPS1|1373	75.3257
CPSF1|29894	3957.2971	CPSF1|29894	1436.4821
CPSF2|53981	1571.7579	CPSF2|53981	1048.4528
CPSF3L|54973	1430.5471	CPSF3L|54973	1437.7036
CPSF3|51692	897.2461	CPSF3|51692	699.9186
CPSF4|10898	297.4645	CPSF4|10898	414.0879
CPSF6|11052	2003.1542	CPSF6|11052	1624.1857
CPSF7|79869	3457.9643	CPSF7|79869	2297.6384
CPT1A|1374	2521.4121	CPT1A|1374	1908.3876
CPT1B|1375	542.618	CPT1B|1375	431.592
CPT1C|126129	16.9841	CPT1C|126129	123.3713
CPT2|1376	876.8652	CPT2|1376	703.1759
CPVL|54504	501.7591	CPVL|54504	977.6059
CPXM1|56265	635.2056	CPXM1|56265	1078.9902
CPXM2|119587	505.6412	CPXM2|119587	2027.2801
CPZ|8532	386.7524	CPZ|8532	542.3453
CP|1356	597.0933	CP|1356	1417.3738
CR1|1378	72.3038	CR1|1378	158.3876
CR2|1380	6.7936	CR2|1380	9.3648
CRABP1|1381	678.3938	CRABP1|1381	310.2606
CRABP2|1382	6901.3709	CRABP2|1382	2807.0033
CRADD|8738	82.009	CRADD|8738	157.9805
CRAMP1L|57585	547.3735	CRAMP1L|57585	925.5375
CRAT|1384	989.9309	CRAT|1384	684.0391
CRB2|286204	19.8957	CRB2|286204	216.6124
CRB3|92359	285.8183	CRB3|92359	189.7394
CRBN|51185	877.2243	CRBN|51185	837.6221
CRCP|27297	1269.9260000000002	CRCP|27297	816.3681
CREB1|1385	1421.3272	CREB1|1385	1284.202
CREB3L1|90993	353.2694	CREB3L1|90993	251.6287
CREB3L2|64764	1319.4225	CREB3L2|64764	3366.4495
CREB3L4|148327	895.3051	CREB3L4|148327	1298.8599
CREB3|10488	1116.7779	CREB3|10488	1086.4007
CREB5|9586	84.9205	CREB5|9586	539.4951
CREBBP|1387	1961.4218	CREBBP|1387	3465.798
CREBL2|1389	1421.3272	CREBL2|1389	1933.2248
CREBZF|58487	2622.8315	CREBZF|58487	1407.9805
CREG1|8804	1970.1565	CREG1|8804	2579.8046
CRELD1|78987	657.0423	CRELD1|78987	848.9414
CRELD2|79174	1143.7583	CRELD2|79174	556.5961
CREM|1390	330.9475	CREM|1390	385.1792
lowly_expressed	lowly_expressed	CRHBP|1393	9.772
CRHR1|1394	16.9841	CRHR1|1394	72.5122
CRIM1|51232	3122.6495	CRIM1|51232	6985.342
CRIP1|1396	3784.5445	CRIP1|1396	749.1857
CRIP2|1397	4682.7611	CRIP2|1397	3213.7622
CRIPAK|285464	207.6914	CRIPAK|285464	220.2769
CRIPT|9419	415.3827	CRIPT|9419	336.7264
CRISP3|10321	208.1766	CRISP3|10321	83.0619
CRISPLD1|83690	131.5055	CRISPLD1|83690	1885.1792
CRISPLD2|83716	1451.4133	CRISPLD2|83716	1571.2541
CRKL|1399	3131.3842	CRKL|1399	1796.4169
CRK|1398	641.0288	CRK|1398	1116.8567
CRLF1|9244	765.2554	CRLF1|9244	108.3062
CRLF3|51379	296.0087	CRLF3|51379	359.9349
CRLS1|54675	758.4617	CRLS1|54675	637.215
CRMP1|1400	362.0527	CRMP1|1400	147.44299999999998
CRNKL1|51340	1084.5566	CRNKL1|51340	1014.2508
CROCCL1|84809	450.6029	CROCCL1|84809	522.9316
CROCCL2|114819	74.2448	CROCCL2|114819	93.6482
CROCC|9696	723.523	CROCC|9696	816.7752
CROT|54677	370.2535	CROT|54677	568.4039
CRTAC1|55118	7.7642	CRTAC1|55118	106.6775
CRTAM|56253	79.5827	CRTAM|56253	43.1596
CRTAP|10491	2189.9794	CRTAP|10491	3761.8078
CRTC1|23373	623.0741	CRTC1|23373	492.671
CRTC2|200186	895.7904	CRTC2|200186	935.2606
CRTC3|64784	1823.6079	CRTC3|64784	1412.0521
CRY1|1407	997.695	CRY1|1407	684.4463
CRY2|1408	706.5389	CRY2|1408	1843.6482
CRYAB|1410	272.231	CRYAB|1410	3975.1629
lowly_expressed	lowly_expressed	CRYBB1|1414	7.329
CRYBB2|1415	17.9546	lowly_expressed	lowly_expressed
CRYBB3|1417	9.2199	lowly_expressed	lowly_expressed
CRYBG3|131544	194.4049	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CRYGN|155051	6.5147
CRYGS|1427	14.0725	CRYGS|1427	12.215
CRYL1|51084	172.2674	CRYL1|51084	450.3257
lowly_expressed	lowly_expressed	CRYM|1428	32.5733
CRYZL1|9946	199.6361	CRYZL1|9946	292.1987
CRYZ|1429	833.0608	CRYZ|1429	718.6645
CSAD|51380	344.0495	lowly_expressed	lowly_expressed
CSDAP1|440359	62.5986	CSDAP1|440359	73.2899
CSDA|8531	4156.7391	CSDA|8531	3609.1205
CSDC2|27254	29.1156	CSDC2|27254	27.2801
CSDE1|7812	14425.3306	CSDE1|7812	13915.7166
CSE1L|1434	3196.4091	CSE1L|1434	1934.4463
CSF1R|1436	924.9060000000001	CSF1R|1436	2456.4332
CSF1|1435	485.7455	CSF1|1435	1702.3616
CSF2RA|1438	175.1789	CSF2RA|1438	179.9674
CSF2RB|1439	406.1628	CSF2RB|1439	787.4593
CSF3R|1441	1871.1634	CSF3R|1441	257.329
CSF3|1440	12.6168	CSF3|1440	682.4104
CSGALNACT1|55790	187.3104	CSGALNACT1|55790	445.0326
CSGALNACT2|55454	809.414	CSGALNACT2|55454	566.3681
CSK|1445	1991.9932	CSK|1445	1003.2573
lowly_expressed	lowly_expressed	CSMD1|64478	6.1075
CSMD2|114784	32.5124	CSMD2|114784	12.6221
CSNK1A1|1452	5710.057	CSNK1A1|1452	7738.5993
CSNK1D|1453	4537.6683	CSNK1D|1453	3516.2866
CSNK1E|1454	2858.4011	CSNK1E|1454	2586.1767
CSNK1G1|53944	779.3279	CSNK1G1|53944	594.0554
CSNK1G2|1455	1574.6694	CSNK1G2|1455	1001.2215
CSNK1G3|1456	991.8719	CSNK1G3|1456	810.6678
CSNK2A1P|283106	297.4645	CSNK2A1P|283106	411.645
CSNK2A1|1457	902.0988	CSNK2A1|1457	1111.5635
CSNK2A2|1459	332.4033	CSNK2A2|1459	550.0814
CSNK2B|1460	2116.3266	CSNK2B|1460	1985.5741
CSPG4|1464	280.4804	CSPG4|1464	715.3909
CSPG5|10675	153.8275	CSPG5|10675	24.8371
CSPP1|79848	677.365	CSPP1|79848	426.1645
CSRNP1|64651	638.1172	CSRNP1|64651	4002.4429999999998
CSRNP2|81566	1213.1506	CSRNP2|81566	940.1466
lowly_expressed	lowly_expressed	CSRNP3|80034	59.0391
CSRP1|1465	5285.4543	CSRP1|1465	20271.987
CSRP2BP|57325	692.4663	CSRP2BP|57325	609.9349
CSRP2|1466	124.7119	CSRP2|1466	493.8925
CST1|1469	1070.9693	CST1|1469	13.4365
CST2|1470	50.9523	lowly_expressed	lowly_expressed
CST3|1471	5865.8255	CST3|1471	5959.2834
CST4|1472	26.6893	lowly_expressed	lowly_expressed
CST5|1473	116.9477	lowly_expressed	lowly_expressed
CST6|1474	727.8903	CST6|1474	17.5081
CST7|8530	224.1902	CST7|8530	85.9121
CST9|128822	443.0426	CST9|128822	5.7003
CSTA|1475	53.8639	CSTA|1475	127.8502
CSTB|1476	1845.9299	CSTB|1476	1765.8795
CSTF1|1477	810.3846	CSTF1|1477	598.9414
CSTF2T|23283	1470.3385	CSTF2T|23283	1061.0749
CSTF2|1478	537.1831	CSTF2|1478	247.9642
CSTF3|1479	759.7768	CSTF3|1479	587.3941
CS|1431	3854.9072	CS|1431	2721.0912
CT62|196993	13.5873	CT62|196993	78.1759
CTAGE1|64693	5.3379	lowly_expressed	lowly_expressed
CTAGE4|100128553	12.6168	CTAGE4|100128553	56.5961
CTAGE5|4253	1165.6533	CTAGE5|4253	1131.4414
lowly_expressed	lowly_expressed	CTAGE6|340307	7.7362
CTAGE9|643854	35.9093	CTAGE9|643854	150.6515
CTBP1|1487	3363.0038	CTBP1|1487	2350.1507
CTBP2|1488	1399.0052	CTBP2|1488	2351.7915
CTBS|1486	427.0241	CTBS|1486	520.3176
CTCFL|140690	20.5993	CTCFL|140690	5.2117
CTCF|10664	1418.9009	CTCF|10664	1779.316
CTDP1|9150	618.7068	CTDP1|9150	622.1498
CTDSP1|58190	3118.7674	CTDSP1|58190	3326.1401
CTDSP2|10106	5210.2390000000005	CTDSP2|10106	6541.5309
CTDSPL2|51496	913.2597	CTDSPL2|51496	730.456
CTDSPL|10217	1312.1436	CTDSPL|10217	1718.241
CTF1|1489	15.5283	CTF1|1489	179.5603
CTGF|1490	4349.8726	CTGF|1490	25098.5342
CTHRC1|115908	2987.7472	CTHRC1|115908	477.6059
CTH|1491	30.5714	CTH|1491	58.2248
CTLA4|1493	100.9341	CTLA4|1493	52.1173
CTNNA1|1495	8045.1292	CTNNA1|1495	9847.7199
CTNNA2|1496	87.3468	lowly_expressed	lowly_expressed
CTNNAL1|8727	444.4984	CTNNAL1|8727	655.5375
CTNNB1|1499	5883.7219	CTNNB1|1499	15167.1906
CTNNBIP1|56998	738.5661	CTNNBIP1|56998	1111.5635
CTNNBL1|56259	1017.1054	CTNNBL1|56259	903.0945
CTNND1|1500	4863.7632	CTNND1|1500	10070.4397
CTNND2|1501	369.283	CTNND2|1501	323.2899
CTNS|1497	227.8733	CTNS|1497	377.8746
CTPS2|56474	628.8972	CTPS2|56474	576.1401
CTPS|1503	1564.479	CTPS|1503	472.7199
CTR9|9646	1469.8532	CTR9|9646	1509.3648
CTRL|1506	11.161	CTRL|1506	6.9218
CTSA|5476	3467.6065	CTSA|5476	1852.0603
CTSB|1508	23416.232000000004	CTSB|1508	15167.7524
CTSC|1075	3954.3855	CTSC|1075	2473.9414
CTSD|1509	20163.0474	CTSD|1509	10072.4756
CTSF|8722	3039.1848	CTSF|8722	1891.2866
lowly_expressed	lowly_expressed	CTSG|1511	59.8534
CTSH|1512	3608.8803	CTSH|1512	1993.8925
CTSK|1513	2353.5121	CTSK|1513	2880.7003
CTSL1|1514	1490.2341	CTSL1|1514	1269.5439999999999
CTSL2|1515	104.3309	CTSL2|1515	46.8241
CTSO|1519	690.04	CTSO|1519	1467.8339
CTSS|1520	3051.8015	CTSS|1520	2045.6026
CTSW|1521	125.6824	CTSW|1521	82.6547
CTSZ|1522	6045.3718	CTSZ|1522	5129.8859999999995
CTTNBP2NL|55917	694.8926	CTTNBP2NL|55917	1402.2801
CTTNBP2|83992	5.3379	CTTNBP2|83992	229.6417
CTTN|2017	3055.1984	CTTN|2017	4056.5961
CTU1|90353	32.5124	CTU1|90353	33.7948
CTU2|348180	155.9384	CTU2|348180	229.1531
CTXN1|404217	864.2485	CTXN1|404217	95.2769
CUBN|8029	14.5578	CUBN|8029	65.5537
CUEDC1|404093	616.7657	CUEDC1|404093	395.7655
CUEDC2|79004	600.7522	CUEDC2|79004	787.4593
CUL1|8454	1049.6179	CUL1|8454	1576.3436
CUL2|8453	796.7973	CUL2|8453	710.9121
CUL3|8452	2031.7845	CUL3|8452	1938.5179
CUL4A|8451	2237.0496	CUL4A|8451	1504.886
CUL4B|8450	2428.7274	CUL4B|8450	1795.6026
CUL5|8065	591.5322	CUL5|8065	845.2769
