gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
lowly_expressed	lowly_expressed	C2orf84|653140	41.4573
C2orf86|51057	226.7861	C2orf86|51057	183.8358
C2orf88|84281	12.052999999999999	C2orf88|84281	255.0251
C2orf89|129293	860.5186	C2orf89|129293	108.8777
C2|717	459.1293	C2|717	1148.4171
C3AR1|719	151.2965	C3AR1|719	355.5276
C3orf10|55845	2426.1359	C3orf10|55845	3950.1675
C3orf14|57415	608.0406	C3orf14|57415	97.9899
lowly_expressed	lowly_expressed	C3orf15|89876	47.7387
C3orf17|25871	1665.5301	C3orf17|25871	1060.7203
C3orf18|51161	67.2429	C3orf18|51161	283.5008
C3orf19|51244	587.4237	C3orf19|51244	474.4556
C3orf1|51300	2400.7612	C3orf1|51300	1242.4623
C3orf21|152002	615.0186	C3orf21|152002	229.8995
C3orf23|285343	539.2118	C3orf23|285343	687.6047
C3orf26|84319	351.12199999999996	C3orf26|84319	437.6047
C3orf31|132001	41.2338	C3orf31|132001	133.1658
C3orf33|285315	170.9619	C3orf33|285315	91.7085
C3orf34|84984	262.6279	C3orf34|84984	82.9146
C3orf37|56941	2121.9570000000003	C3orf37|56941	1275.5444
C3orf38|285237	421.8508	C3orf38|285237	398.1993
C3orf39|84892	313.06	C3orf39|84892	402.8476
C3orf42|84657	5.3921	C3orf42|84657	9.6315
C3orf47|339942	6.6609	C3orf47|339942	54.4389
lowly_expressed	lowly_expressed	C3orf50|93556	6.7002
C3orf52|79669	130.3624	C3orf52|79669	58.2077
C3orf54|389119	7.6124	C3orf54|389119	54.4389
C3orf55|152078	99.9128	C3orf55|152078	347.9899
C3orf57|165679	413.29	C3orf57|165679	49.4137
C3orf58|205428	2587.8995	C3orf58|205428	672.9481
C3orf59|151963	379.3514	C3orf59|151963	189.2797
C3orf62|375341	137.9748	C3orf62|375341	167.9229
C3orf63|23272	2787.6901	C3orf63|23272	2042.7848
C3orf64|285203	215.0504	C3orf64|285203	1026.3819
C3orf67|200844	93.2519	C3orf67|200844	12.1441
C3orf70|285382	238.5219	C3orf70|285382	126.8844
C3orf71|646450	17.1279	C3orf71|646450	34.8325
C3orf72|401089	35.5245	lowly_expressed	lowly_expressed
C3orf75|54859	171.27900000000002	C3orf75|54859	350.5025
C3|718	3057.3309	C3|718	55973.1993
C4A|720	12897.5942	C4A|720	4377.6926
lowly_expressed	lowly_expressed	C4BPA|722	23.4506
lowly_expressed	lowly_expressed	C4BPB|725	7.1189
C4orf10|317648	355.9496	C4orf10|317648	308.9154
C4orf12|404201	17.4451	C4orf12|404201	88.3585
C4orf14|84273	677.5038	C4orf14|84273	652.8476
C4orf19|55286	145.27	C4orf19|55286	258.79400000000004
C4orf21|55345	110.0626	C4orf21|55345	51.0888
C4orf23|152992	155.7371	C4orf23|152992	230.737
C4orf27|54969	485.2906	C4orf27|54969	435.5109
C4orf29|80167	224.2487	C4orf29|80167	97.1524
C4orf31|79625	732.3765	C4orf31|79625	451.8425
C4orf32|132720	412.3384	C4orf32|132720	1534.3384
C4orf33|132321	58.3617	C4orf33|132321	183.8358
C4orf34|201895	4657.8384	C4orf34|201895	888.191
lowly_expressed	lowly_expressed	C4orf36|132989	7.1189
C4orf38|152641	27.2778	C4orf38|152641	22.6131
lowly_expressed	lowly_expressed	C4orf39|152756	16.7504
C4orf3|401152	3679.0104	C4orf3|401152	4755.0251
C4orf41|60684	1535.1677	C4orf41|60684	1059.464
C4orf42|92070	612.4812	C4orf42|92070	304.8576
C4orf43|55319	836.4127	C4orf43|55319	274.2881
C4orf46|201725	612.7984	C4orf46|201725	176.2982
C4orf47|441054	5.3921	lowly_expressed	lowly_expressed
C4orf48|401115	12.6873	C4orf48|401115	23.0318
C4orf49|84709	5.7093	C4orf49|84709	48.5762
C4orf52|389203	256.9186	C4orf52|389203	574.1206
lowly_expressed	lowly_expressed	C4orf7|260436	69.5142
C5AR1|728	101.4987	C5AR1|728	143.2161
C5orf13|9315	1055.9036	C5orf13|9315	833.7521
C5orf15|56951	1275.0773	C5orf15|56951	1473.1993
C5orf20|140947	7.2952	C5orf20|140947	9.6315
C5orf22|55322	2037.2691	C5orf22|55322	468.1742
C5orf23|79614	759.9715	C5orf23|79614	1130.6533
C5orf24|134553	1184.68	C5orf24|134553	1527.2194
C5orf25|375484	98.9612	C5orf25|375484	196.8174
lowly_expressed	lowly_expressed	C5orf27|202299	15.4941
C5orf28|64417	407.2635	C5orf28|64417	181.74200000000002
C5orf30|90355	278.487	C5orf30|90355	2412.4791
C5orf32|84418	230.9095	C5orf32|84418	1347.5712
C5orf33|133686	1704.5437	C5orf33|133686	952.2613
C5orf34|375444	80.5646	C5orf34|375444	25.5444
C5orf35|133383	176.0368	C5orf35|133383	143.2161
C5orf36|285600	37.1105	C5orf36|285600	69.0955
C5orf38|153571	173.1821	C5orf38|153571	46.4824
C5orf39|389289	51.7009	C5orf39|389289	85.8459
C5orf41|153222	343.8268	C5orf41|153222	968.5930000000001
C5orf42|65250	986.7576	C5orf42|65250	533.9196
C5orf43|643155	1635.7149	C5orf43|643155	1054.0201
C5orf44|80006	380.1189	C5orf44|80006	417.0142
C5orf45|51149	59.3704	C5orf45|51149	220.1089
C5orf46|389336	33.6214	C5orf46|389336	7.5377
lowly_expressed	lowly_expressed	C5orf49|134121	9.6315
C5orf4|10826	315.2803	C5orf4|10826	3180.067
C5orf51|285636	1930.0611	C5orf51|285636	972.7806
C5orf53|492311	198.2396	C5orf53|492311	1033.0821
C5orf54|63920	135.4373	C5orf54|63920	228.6432
C5orf55|116349	238.8391	C5orf55|116349	64.0704
C5orf56|441108	15.9036	C5orf56|441108	130.2806
lowly_expressed	lowly_expressed	C5orf58|133874	7.9564
C5orf62|85027	576.9566	C5orf62|85027	2770.5193
C5|727	308.3023	C5|727	317.4204
C6orf105|84830	59.9477	C6orf105|84830	37.6884
C6orf106|64771	3949.5678	C6orf106|64771	4654.1039
C6orf108|10591	182.6976	C6orf108|10591	219.0117
C6orf114|85411	56.4586	C6orf114|85411	11.7253
C6orf115|58527	707.6362	C6orf115|58527	187.6047
C6orf120|387263	944.4326	C6orf120|387263	1668.4757
C6orf122|401288	16.0146	C6orf122|401288	21.3693
lowly_expressed	lowly_expressed	C6orf123|26238	6.7002
C6orf124|653483	5.3921	C6orf124|653483	8.794
C6orf125|84300	708.1183	C6orf125|84300	354.1625
C6orf126|389383	72.9522	lowly_expressed	lowly_expressed
C6orf129|154467	74.5381	C6orf129|154467	47.7387
C6orf130|221443	480.5329	C6orf130|221443	442.6131
C6orf132|647024	143.6841	C6orf132|647024	48.1575
C6orf134|79969	66.6085	C6orf134|79969	116.4154
C6orf136|221545	142.4154	C6orf136|221545	161.2228
C6orf138|442213	5.7093	C6orf138|442213	21.7755
C6orf141|135398	37.4276	C6orf141|135398	43.5511
lowly_expressed	lowly_expressed	C6orf142|90523	7.9564
C6orf145|221749	479.5813	C6orf145|221749	1062.8141
C6orf150|115004	195.7022	C6orf150|115004	46.9012
C6orf153|88745	936.0082	C6orf153|88745	515.0754
C6orf154|221424	9.8327	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C6orf155|79940	34.7571
C6orf162|57150	81.4971	C6orf162|57150	126.2982
lowly_expressed	lowly_expressed	C6orf163|206412	8.794
lowly_expressed	lowly_expressed	C6orf164|63914	13.5678
C6orf165|154313	135.8655	lowly_expressed	lowly_expressed
C6orf167|253714	516.0574	C6orf167|253714	170.0168
C6orf168|84553	123.3843	C6orf168|84553	49.4137
C6orf170|221322	151.2965	C6orf170|221322	63.2328
C6orf174|387104	141.4004	C6orf174|387104	113.0611
C6orf182|285753	458.6472	C6orf182|285753	167.5042
C6orf186|728464	13.0045	C6orf186|728464	13.4003
C6orf192|116843	34.573	C6orf192|116843	440.9548
C6orf1|221491	160.1776	C6orf1|221491	201.4238
lowly_expressed	lowly_expressed	C6orf201|404220	13.4129
C6orf203|51250	172.2306	C6orf203|51250	316.5829
C6orf204|387119	24.7403	C6orf204|387119	54.0201
C6orf211|79624	606.1375	C6orf211|79624	1098.8275
lowly_expressed	lowly_expressed	C6orf217|100131814	5.0251
C6orf225|619208	130.0452	C6orf225|619208	234.9246
C6orf226|441150	109.4283	C6orf226|441150	63.2328
lowly_expressed	lowly_expressed	C6orf26|401251	10.0544
C6orf27|80737	59.6305	C6orf27|80737	19.262999999999998
C6orf35|729515	242.9625	C6orf35|729515	543.5511
C6orf47|57827	479.8985	C6orf47|57827	407.0352
C6orf48|50854	913.4882	C6orf48|50854	1716.4992
C6orf52|347744	32.3527	lowly_expressed	lowly_expressed
C6orf57|135154	156.3714	C6orf57|135154	163.7353
lowly_expressed	lowly_expressed	C6orf59|79992	8.794
C6orf62|81688	5932.0371	C6orf62|81688	3639.5812
C6orf64|55776	467.2112	C6orf64|55776	444.7236
C6orf70|55780	191.5788	C6orf70|55780	340.0335
C6orf72|116254	818.3332	C6orf72|116254	1413.7353
C6orf81|221481	9.8327	C6orf81|221481	5.0251
C6orf89|221477	2279.28	C6orf89|221477	3984.0871
C6orf97|80129	32.0355	C6orf97|80129	607.6214
lowly_expressed	lowly_expressed	C6|729	923.7856
C7orf10|79783	78.6615	C7orf10|79783	56.1139
C7orf11|136647	512.8856	C7orf11|136647	276.8007
C7orf13|129790	183.332	C7orf13|129790	99.665
C7orf23|79161	265.14	C7orf23|79161	363.3668
C7orf25|79020	332.1386	C7orf25|79020	311.139
C7orf26|79034	286.7338	C7orf26|79034	434.6734
C7orf27|221927	459.5988	C7orf27|221927	621.4405
C7orf28A|51622	1186.266	C7orf28A|51622	854.6901
C7orf28B|221960	800.8881	C7orf28B|221960	457.2864
C7orf29|113763	120.5297	C7orf29|113763	115.9966
C7orf30|115416	313.6944	C7orf30|115416	347.1524
C7orf31|136895	43.7713	C7orf31|136895	156.1977
C7orf36|57002	215.3675	C7orf36|57002	164.1541
C7orf40|285958	231.5439	C7orf40|285958	138.6097
C7orf41|222166	223.2971	C7orf41|222166	10962.7303
C7orf42|55069	2434.3827	C7orf42|55069	3127.7219
C7orf43|55262	160.1776	C7orf43|55262	110.134
C7orf44|55744	611.5296	C7orf44|55744	667.0854
C7orf46|340277	15.8592	C7orf46|340277	77.0519
C7orf47|221908	68.1944	C7orf47|221908	63.2328
C7orf49|78996	1024.0869	C7orf49|78996	481.9933
C7orf50|84310	381.8888	C7orf50|84310	508.79400000000004
lowly_expressed	lowly_expressed	C7orf51|222950	16.7504
C7orf53|286006	6.6609	C7orf53|286006	16.7504
C7orf55|154791	165.7981	C7orf55|154791	288.8903
C7orf58|79974	129.72799999999998	C7orf58|79974	4520.1005
C7orf59|389541	446.2771	C7orf59|389541	860.9715
C7orf60|154743	344.4612	C7orf60|154743	281.8258
C7orf63|79846	10.7842	C7orf63|79846	146.9849
C7orf64|84060	219.1737	C7orf64|84060	305.2764
C7orf68|29923	4530.6478	C7orf68|29923	553.1826
C7orf70|84792	1122.5121	C7orf70|84792	352.1776
lowly_expressed	lowly_expressed	C7|730	1811.9765
C8B|732	9.1983	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C8orf22|492307	5.0251
C8orf30A|51236	391.4043	C8orf30A|51236	275.5444
C8orf31|286122	86.5911	C8orf31|286122	15.0754
C8orf33|65265	1552.93	C8orf33|65265	1403.6851
lowly_expressed	lowly_expressed	C8orf34|116328	41.876000000000005
C8orf37|157657	287.3682	C8orf37|157657	82.4958
C8orf38|137682	434.2241	C8orf38|137682	167.0854
C8orf39|55472	15.542	C8orf39|55472	6.2814
C8orf40|114926	333.0426	C8orf40|114926	847.9899
C8orf41|80185	102.1489	C8orf41|80185	237.7973
C8orf42|157695	312.7428	C8orf42|157695	283.5008
C8orf44|56260	32.7111	C8orf44|56260	46.7379
C8orf45|157777	88.177	C8orf45|157777	49.4137
C8orf46|254778	12.052999999999999	C8orf46|254778	65.3266
C8orf47|203111	22.8372	C8orf47|203111	5.4439
C8orf48|157773	7.6124	C8orf48|157773	33.0821
C8orf4|56892	24.1059	C8orf4|56892	221.1055
C8orf51|78998	87.8598	C8orf51|78998	14.2379
C8orf55|51337	979.1452	C8orf55|51337	521.7755
C8orf58|541565	262.6279	C8orf58|541565	134.0034
C8orf59|401466	656.6775	C8orf59|401466	550.5235
C8orf73|642475	73.5866	C8orf73|642475	36.4322
C8orf76|84933	454.5238	C8orf76|84933	261.3065
lowly_expressed	lowly_expressed	C8orf77|286103	5.8626
lowly_expressed	lowly_expressed	C8orf79|57604	164.5729
C8orf80|389643	8.8811	C8orf80|389643	14.6566
C8orf83|286144	1345.1748	C8orf83|286144	777.6382
C8orf84|157869	129.72799999999998	C8orf84|157869	168.7605
C8orf85|441376	576.3223	C8orf85|441376	39.3635
C9orf100|84904	174.6602	C9orf100|84904	29.041
C9orf102|375748	133.0109	C9orf102|375748	188.5804
C9orf103|414328	65.9741	C9orf103|414328	190.53599999999997
C9orf109|286333	23.1544	C9orf109|286333	25.1256
C9orf110|100128385	176.0368	C9orf110|100128385	180.4858
C9orf114|51490	348.3943	C9orf114|51490	272.8224
C9orf116|138162	61.5336	C9orf116|138162	33.5008
C9orf117|286207	12.052999999999999	lowly_expressed	lowly_expressed
C9orf119|375757	538.5774	C9orf119|375757	259.2127
C9orf123|90871	422.4883	C9orf123|90871	727.8057
lowly_expressed	lowly_expressed	C9orf125|84302	211.47400000000002
C9orf129|445577	81.8238	C9orf129|445577	78.2538
C9orf130|100128782	46.8607	C9orf130|100128782	173.4464
C9orf140|89958	737.1342	C9orf140|89958	25.5444
C9orf142|286257	384.1091	C9orf142|286257	119.7655
C9orf150|286343	377.7654	C9orf150|286343	581.2395
C9orf152|401546	487.5109	C9orf152|401546	83.3333
C9orf156|51531	172.5478	C9orf156|51531	272.6131
C9orf163|158055	7.9296	lowly_expressed	lowly_expressed
C9orf167|54863	74.2209	C9orf167|54863	100.0838
C9orf16|79095	215.3675	C9orf16|79095	364.3216
C9orf172|389813	10.7842	lowly_expressed	lowly_expressed
C9orf21|195827	216.0019	C9orf21|195827	266.3317
C9orf23|138716	270.2403	C9orf23|138716	301.5075
lowly_expressed	lowly_expressed	C9orf24|84688	23.8693
C9orf25|203259	560.7803	C9orf25|203259	367.2529
C9orf30|91283	583.2115	C9orf30|91283	167.3492
C9orf37|85026	57.4102	C9orf37|85026	108.8777
C9orf3|84909	215.1487	C9orf3|84909	297.1106
C9orf40|55071	118.3094	C9orf40|55071	154.5226
C9orf41|138199	310.8397	C9orf41|138199	150.7538
C9orf45|81571	28.5465	C9orf45|81571	128.9782
C9orf46|55848	187.4554	C9orf46|55848	289.7822
C9orf47|286223	22.2377	C9orf47|286223	8.0151
C9orf5|23731	1901.5146	C9orf5|23731	4811.139
C9orf64|84267	586.4721	C9orf64|84267	421.6918
C9orf66|157983	28.8637	C9orf66|157983	29.732
lowly_expressed	lowly_expressed	C9orf68|55064	21.7755
C9orf69|90120	750.7731	C9orf69|90120	487.0184
C9orf6|54942	319.0865	C9orf6|54942	406.1977
C9orf72|203228	96.1066	C9orf72|203228	287.2697
C9orf78|51759	1039.0929	C9orf78|51759	1147.4037
C9orf7|11094	421.2196	C9orf7|11094	167.5042
C9orf80|58493	274.6808	C9orf80|58493	204.3551
C9orf82|79886	390.77	C9orf82|79886	302.7638
C9orf85|138241	110.0626	C9orf85|138241	178.392
C9orf86|55684	2011.8944	C9orf86|55684	1118.928
C9orf89|84270	150.9793	C9orf89|84270	122.6968
C9orf91|203197	759.6543	C9orf91|203197	846.3149
C9orf93|203238	130.9967	C9orf93|203238	52.3451
C9orf95|54981	251.8436	C9orf95|54981	731.1558
C9orf96|169436	8.2468	C9orf96|169436	12.5628
C9orf98|158067	45.9916	C9orf98|158067	27.2194
C9orf9|11092	91.3488	C9orf9|11092	159.5477
CA11|770	52.9696	CA11|770	105.1089
CA12|771	2678.2967	CA12|771	1183.8358
CA13|377677	9.8327	CA13|377677	30.1968
CA2|760	209.6582	CA2|760	209.799
lowly_expressed	lowly_expressed	CA3|761	713.1030000000001
lowly_expressed	lowly_expressed	CA4|762	798.5762
CA5BP|340591	510.0309	CA5BP|340591	148.2412
CA5B|11238	326.0645	CA5B|11238	478.1491
lowly_expressed	lowly_expressed	CA8|767	107.2027
CA9|768	839.6543	lowly_expressed	lowly_expressed
CAB39L|81617	118.9438	CAB39L|81617	1682.9983
CAB39|51719	4817.6988	CAB39|51719	2777.6382
CABC1|56997	431.6866	CABC1|56997	6985.1549
CABIN1|23523	1336.9281	CABIN1|23523	1009.2127
CABLES1|91768	167.79	CABLES1|91768	1729.0620000000001
CABLES2|81928	433.9069	CABLES2|81928	87.5209
lowly_expressed	lowly_expressed	CABP1|9478	43.9698
CABP4|57010	19.031	CABP4|57010	7.1189
CABYR|26256	121.1641	CABYR|26256	31.8258
CACHD1|57685	65.657	CACHD1|57685	1334.1709
lowly_expressed	lowly_expressed	CACNA1A|773	17.5879
CACNA1B|774	160.812	lowly_expressed	lowly_expressed
CACNA1C|775	108.4767	CACNA1C|775	228.6432
CACNA1D|776	86.2739	CACNA1D|776	68.6767
CACNA1E|777	5.3921	lowly_expressed	lowly_expressed
CACNA1G|8913	33.9386	CACNA1G|8913	24.2881
CACNA1H|8912	30.7668	CACNA1H|8912	156.6164
CACNA1I|8911	163.9838	lowly_expressed	lowly_expressed
CACNA2D1|781	44.0885	CACNA2D1|781	391.9598
CACNA2D2|9254	47.8947	CACNA2D2|9254	66.1642
CACNA2D3|55799	6.3437	CACNA2D3|55799	15.9129
CACNA2D4|93589	16.4935	CACNA2D4|93589	137.3534
CACNB1|782	269.6059	CACNB1|782	47.3199
lowly_expressed	lowly_expressed	CACNB2|783	70.3518
CACNB3|784	261.9935	CACNB3|784	163.7353
CACNB4|785	541.1149	CACNB4|785	76.6332
CACNG1|786	7.6124	lowly_expressed	lowly_expressed
CACNG4|27092	3754.8172	CACNG4|27092	130.2345
CACYBP|27101	1624.9306	CACYBP|27101	1376.4657
CADM1|23705	535.4056	CADM1|23705	416.6667
lowly_expressed	lowly_expressed	CADM2|253559	43.5511
lowly_expressed	lowly_expressed	CADM3|57863	527.701
CADM4|199731	120.5297	CADM4|199731	205.1926
CADPS2|93664	1195.4643	CADPS2|93664	835.0084
CAD|790	3146.4594	CAD|790	911.6415
CAGE1|285782	5.0749	lowly_expressed	lowly_expressed
CALB2|794	136.3889	CALB2|794	3635.6784
CALCOCO1|57658	539.8462	CALCOCO1|57658	3810.3015
CALCOCO2|10241	3242.566	CALCOCO2|10241	4863.9028
CALCRL|10203	176.6712	CALCRL|10203	3711.474
lowly_expressed	lowly_expressed	CALCR|799	19.6817
CALD1|800	4569.027	CALD1|800	13457.7052
CALHM2|51063	132.8998	CALHM2|51063	932.5796
CALM1|801	6647.8471	CALM1|801	11889.866000000002
CALM2|805	17440.9642	CALM2|805	10382.3283
CALM3|808	2754.4207	CALM3|808	4129.397
CALML3|810	420.9024	CALML3|810	63.2328
CALML4|91860	151.9309	CALML4|91860	289.7822
CALML5|51806	88.8114	CALML5|51806	7.1189
lowly_expressed	lowly_expressed	CALN1|83698	22.1943
CALR|811	30719.8478	CALR|811	9378.5595
CALU|813	11624.4548	CALU|813	4304.4389
CAMK1D|57118	243.91400000000002	CAMK1D|57118	144.0536
lowly_expressed	lowly_expressed	CAMK1G|57172	9.2127
CAMK1|8536	112.5272	CAMK1|8536	1099.7864
CAMK2D|817	851.6375	CAMK2D|817	1306.9514
CAMK2G|818	4545.5555	CAMK2G|818	912.0603
CAMK2N1|55450	2574.5777	CAMK2N1|55450	702.2613
CAMK2N2|94032	177.6227	lowly_expressed	lowly_expressed
CAMK4|814	5.3921	CAMK4|814	5.0251
CAMKK1|84254	233.7642	CAMKK1|84254	207.7052
CAMKK2|10645	1109.1904	CAMKK2|10645	2149.4975
CAMLG|819	569.9786	CAMLG|819	1108.4589999999998
CAMP|820	10.4671	lowly_expressed	lowly_expressed
CAMSAP1L1|23271	2419.7922	CAMSAP1L1|23271	1660.3853
CAMSAP1|157922	1155.4992	CAMSAP1|157922	919.1792
CAMTA1|23261	316.2319	CAMTA1|23261	407.0352
CAMTA2|23125	425.0258	CAMTA2|23125	1344.2211
CAND1|55832	4734.2796	CAND1|55832	2597.1524
CAND2|23066	6.0265	CAND2|23066	158.2915
CANT1|124583	4498.6123	CANT1|124583	944.7236
CANX|821	24534.7712	CANX|821	16381.072
CAP1|10487	5927.2064	CAP1|10487	6508.3752
CAP2|10486	418.9993	CAP2|10486	1056.9514
CAPG|822	981.6827	CAPG|822	827.4707
CAPN10|11132	37.7448	CAPN10|11132	98.5176
lowly_expressed	lowly_expressed	CAPN11|11131	71.608
CAPN12|147968	138.4728	CAPN12|147968	43.6055
CAPN13|92291	599.1595	CAPN13|92291	48.995
CAPN1|823	4576.6394	CAPN1|823	2147.8224
CAPN2|824	3797.637	CAPN2|824	6816.5829
lowly_expressed	lowly_expressed	CAPN3|825	132.9816
CAPN5|726	227.1033	CAPN5|726	458.9615
lowly_expressed	lowly_expressed	CAPN6|827	427.5544
CAPN7|23473	1907.5410000000002	CAPN7|23473	1173.3668
lowly_expressed	lowly_expressed	CAPN8|388743	42.2948
CAPN9|10753	112.2829	lowly_expressed	lowly_expressed
CAPNS1|826	9642.0585	CAPNS1|826	6462.7303
CAPRIN1|4076	7637.4594	CAPRIN1|4076	6267.5879
CAPRIN2|65981	244.2312	CAPRIN2|65981	484.9246
CAPS2|84698	10.4671	CAPS2|84698	72.4456
CAPS|828	116.0891	CAPS|828	51.5075
CAPZA1|829	8749.5044	CAPZA1|829	2585.8459
CAPZA2|830	3389.1047	CAPZA2|830	3551.0888
CAPZB|832	3731.3457	CAPZB|832	3949.7487
CARD10|29775	291.1744	CARD10|29775	404.1039
CARD11|84433	13.6389	CARD11|84433	20.938000000000002
CARD14|79092	388.2325	CARD14|79092	18.8442
CARD16|114769	83.7364	CARD16|114769	171.273
CARD6|84674	180.4774	CARD6|84674	616.8342
CARD8|22900	267.7028	CARD8|22900	1153.2663
CARD9|64170	94.5207	CARD9|64170	17.1692
CARHSP1|23589	2011.777	CARHSP1|23589	1738.505
CARKD|55739	740.9404	CARKD|55739	862.2278
CARM1|10498	654.9837	CARM1|10498	731.1558
CARNS1|57571	12.6873	CARNS1|57571	25.9631
CARS2|79587	330.3275	CARS2|79587	694.4724
CARS|833	717.7829	CARS|833	1137.3534
CASC1|55259	12.052999999999999	CASC1|55259	8.794
CASC2|255082	31.4012	CASC2|255082	68.258
CASC3|22794	2530.1721	CASC3|22794	3288.9447
CASC4|113201	2781.3813	CASC4|113201	3197.2362
CASC5|57082	490.3656	CASC5|57082	11.3065
CASD1|64921	425.6601	CASD1|64921	733.6683
CASKIN2|57513	967.2572	CASKIN2|57513	979.5771
CASK|8573	955.0393	CASK|8573	838.7772
CASP10|843	1297.9145	CASP10|843	513.4003
lowly_expressed	lowly_expressed	CASP12|120329	5.0251
CASP14|23581	24182.3805	CASP14|23581	22.6131
CASP1|834	257.5529	CASP1|834	603.8526
CASP2|835	1359.4481	CASP2|835	646.9849
CASP3|836	3129.3315	CASP3|836	430.06699999999995
CASP4|837	716.8345	CASP4|837	767.1692
CASP6|839	386.3294	CASP6|839	207.2864
CASP7|840	514.7887	CASP7|840	444.7236
CASP8AP2|9994	641.0277	CASP8AP2|9994	541.4573
CASP8|841	1074.9346	CASP8|841	523.8693
CASP9|842	180.4774	CASP9|842	198.9112
lowly_expressed	lowly_expressed	CASQ1|844	6.2814
CASQ2|845	6.3437	CASQ2|845	275.9631
CASS4|57091	16.1764	CASS4|57091	18.0067
CAST|831	2515.7529	CAST|831	8207.5754
CASZ1|54897	461.819	CASZ1|54897	237.8559
CATSPER1|117144	8.2468	lowly_expressed	lowly_expressed
CATSPER2P1|440278	37.4879	CATSPER2P1|440278	42.8601
CATSPER2|117155	12.3702	CATSPER2|117155	27.6298
lowly_expressed	lowly_expressed	CATSPER3|347732	5.0251
lowly_expressed	lowly_expressed	CATSPERB|79820	5.0251
CATSPERG|57828	44.4057	CATSPERG|57828	13.8191
CAT|847	1067.6394	CAT|847	14489.1122
CAV1|857	1770.835	CAV1|857	32972.3618
CAV2|858	1270.9539	CAV2|858	9399.9162
CBARA1|10367	2590.7541	CBARA1|10367	1471.1055
CBFA2T2|9139	867.4966	CBFA2T2|9139	564.4891
CBFA2T3|863	157.0058	CBFA2T3|863	234.0871
CBFB|865	1354.6903	CBFB|865	668.3417
CBLB|868	1344.8577	CBLB|868	662.4791
lowly_expressed	lowly_expressed	CBLC|23624	24.2881
CBLL1|79872	1101.2608	CBLL1|79872	743.2998
CBLN1|869	34.2558	CBLN1|869	19.262999999999998
CBLN2|147381	12.6873	lowly_expressed	lowly_expressed
CBLN3|643866	188.0898	CBLN3|643866	141.1223
lowly_expressed	lowly_expressed	CBLN4|140689	57.7889
CBL|867	1379.1135	CBL|867	1347.1524
CBR1|873	2513.5802	CBR1|873	835.0838
CBR3|874	739.3545	CBR3|874	406.6164
CBR4|84869	490.3656	CBR4|84869	568.6767
CBS|875	1500.5947	CBS|875	135.2596
CBWD1|55871	714.9314	CBWD1|55871	454.3551
CBWD2|150472	419.9508	CBWD2|150472	662.0603
CBWD3|445571	590.2783	CBWD3|445571	258.3501
CBWD6|644019	110.3798	CBWD6|644019	49.8325
CBX1|10951	2990.0879999999997	CBX1|10951	1306.1139
CBX2|84733	1278.5663	CBX2|84733	64.9079
CBX3|11335	8363.175	CBX3|11335	2400.7538
CBX4|8535	667.6711	CBX4|8535	119.3467
CBX5|23468	4653.3978	CBX5|23468	3275.1256
CBX6|23466	312.7428	CBX6|23466	649.4975
CBX7|23492	321.624	CBX7|23492	2073.7018
CBX8|57332	175.4024	CBX8|57332	25.5444
CBY1|25776	645.4524	CBY1|25776	738.2119
CC2D1A|54862	1620.1729	CC2D1A|54862	449.7487
CC2D1B|200014	488.1453	CC2D1B|200014	659.5477
CC2D2A|57545	93.5691	CC2D2A|57545	698.0737
CCAR1|55749	1942.7484	CCAR1|55749	913.7353
CCBE1|147372	12.3702	CCBE1|147372	127.7219
CCBL1|883	65.657	CCBL1|883	93.3836
CCBL2|56267	728.1516	CCBL2|56267	664.5184
CCBP2|1238	2249.4648	CCBP2|1238	122.2781
CCDC101|112869	379.3514	CCDC101|112869	263.4003
CCDC102A|92922	50.4322	CCDC102A|92922	102.1776
CCDC102B|79839	27.2778	CCDC102B|79839	86.6834
CCDC103|388389	144.0013	CCDC103|388389	54.4389
CCDC104|112942	833.2408	CCDC104|112942	603.8526
CCDC106|29903	63.1195	CCDC106|29903	235.7621
CCDC107|203260	262.0347	CCDC107|203260	814.3425
CCDC109A|90550	2588.5338	CCDC109A|90550	422.9481
CCDC109B|55013	300.3727	CCDC109B|55013	309.0452
CCDC110|256309	9.1983	CCDC110|256309	16.7504
CCDC111|201973	351.7215	CCDC111|201973	271.139
CCDC112|153733	127.8249	CCDC112|153733	183.4171
CCDC113|29070	442.4709	CCDC113|29070	187.1859
CCDC114|93233	11.4186	lowly_expressed	lowly_expressed
CCDC115|84317	1070.8112	CCDC115|84317	943.8861
CCDC117|150275	1269.0508	CCDC117|150275	970.6868
CCDC11|220136	29.4981	CCDC11|220136	10.0503
CCDC120|90060	136.7061	CCDC120|90060	103.0151
CCDC121|79635	183.0148	CCDC121|79635	186.3484
CCDC122|160857	85.0052	CCDC122|160857	62.3953
CCDC123|84902	288.3197	CCDC123|84902	275.1256
CCDC124|115098	964.8719	CCDC124|115098	558.6265
CCDC125|202243	138.6092	CCDC125|202243	270.1005
CCDC126|90693	98.0097	CCDC126|90693	230.3183
CCDC127|133957	536.9915	CCDC127|133957	426.7169
lowly_expressed	lowly_expressed	CCDC129|223075	5.4439
