gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
C19orf10|56005	1886.4160000000002	C19orf10|56005	1030.6371
C19orf12|83636	217.1911	C19orf12|83636	732.5442
C19orf18|147685	10.3607	C19orf18|147685	17.1212
C19orf20|91978	42.593999999999994	C19orf20|91978	81.0201
C19orf21|126353	823.4843	C19orf21|126353	162.346
C19orf22|91300	1273.9831	C19orf22|91300	936.7760000000001
lowly_expressed	lowly_expressed	C19orf23|148046	9.7836
C19orf24|55009	559.8619	C19orf24|55009	292.8954
C19orf25|148223	442.0568	C19orf25|148223	281.8889
lowly_expressed	lowly_expressed	C19orf26|255057	21.0958
C19orf28|126321	1124.3285	C19orf28|126321	593.7399
C19orf29|58509	391.7882	C19orf29|58509	401.126
C19orf2|8725	1468.1504	C19orf2|8725	1585.2427
C19orf33|64073	10.6025	C19orf33|64073	57.0229
C19orf35|374872	7.6746	lowly_expressed	lowly_expressed
C19orf36|113177	40.2916	C19orf36|113177	12.8409
C19orf38|255809	18.8028	lowly_expressed	lowly_expressed
C19orf39|126074	61.3968	C19orf39|126074	73.9882
C19orf40|91442	39.5242	C19orf40|91442	29.9622
C19orf42|79086	1453.185	C19orf42|79086	1067.3254
C19orf43|79002	1516.8841	C19orf43|79002	1380.3994
C19orf44|84167	173.2886	C19orf44|84167	232.8121
lowly_expressed	lowly_expressed	C19orf45|374877	7.6434
C19orf46|163183	350.7291	C19orf46|163183	166.93200000000002
C19orf47|126526	239.8312	C19orf47|126526	286.1692
C19orf48|84798	689.5625	C19orf48|84798	673.5371
C19orf50|79036	1080.5833	C19orf50|79036	932.4957
C19orf51|352909	87.4904	C19orf51|352909	20.1786
C19orf52|90580	250.5756	C19orf52|90580	195.6712
C19orf53|28974	1514.5817	C19orf53|28974	700.4419
C19orf54|284325	316.5771	C19orf54|284325	262.3217
C19orf55|148137	120.1074	C19orf55|148137	107.3134
C19orf56|51398	1791.6347	C19orf56|51398	1274.0032
C19orf57|79173	63.6992	C19orf57|79173	123.5175
C19orf60|55049	310.0537	C19orf60|55049	273.3283
C19orf61|56006	596.6999	C19orf61|56006	576.3129
C19orf62|29086	1471.2203	C19orf62|29086	818.8444
C19orf63|284361	2874.4973	C19orf63|284361	1732.2377
C19orf66|55337	501.0821	C19orf66|55337	400.1324
C19orf6|91304	1630.0844	C19orf6|91304	1300.6022
C19orf70|125988	771.297	C19orf70|125988	363.8262
C19orf71|100128569	6.9071	C19orf71|100128569	6.4205
C19orf73|55150	11.1282	C19orf73|55150	18.3442
C19orf76|199800	5.7559	C19orf76|199800	16.5098
C1D|10438	82.5019	C1D|10438	162.9574
C1GALT1C1|29071	996.5464	C1GALT1C1|29071	500.1846
C1GALT1|56913	526.4774	C1GALT1|56913	236.0284
C1QA|712	1848.4267	C1QA|712	902.5336
C1QBP|708	1672.924	C1QBP|708	1471.4782
C1QB|713	2537.6055	C1QB|713	945.3366
C1QC|714	2715.2724	C1QC|714	824.8765
C1QL1|10882	8.0583	C1QL1|10882	13.7581
lowly_expressed	lowly_expressed	C1QL2|165257	8.8664
C1QL3|389941	33.3845	C1QL3|389941	53.1981
lowly_expressed	lowly_expressed	C1QL4|338761	18.0384
C1QTNF1|114897	339.9847	C1QTNF1|114897	884.4951
C1QTNF2|114898	7.2909	C1QTNF2|114898	28.1277
C1QTNF3|114899	319.647	C1QTNF3|114899	112.8167
lowly_expressed	lowly_expressed	C1QTNF4|114900	25.9876
C1QTNF6|114904	908.2886	C1QTNF6|114904	422.2218
C1QTNF7|114905	28.7797	C1QTNF7|114905	70.9308
lowly_expressed	lowly_expressed	C1QTNF9|338872	33.631
C1RL|51279	1024.4743	C1RL|51279	1443.6073
C1R|715	3891.7882	C1R|715	4544.1586
C1S|716	6644.6662	C1S|716	5833.6443
C1orf101|257044	9.977	C1orf101|257044	10.0893
C1orf103|55791	618.9563	C1orf103|55791	404.1834
C1orf104|284618	46.2203	C1orf104|284618	58.2061
C1orf106|55765	14.5817	C1orf106|55765	292.2839
C1orf107|27042	1235.2264	C1orf107|27042	946.5596
C1orf109|54955	308.1351	C1orf109|54955	413.6612
lowly_expressed	lowly_expressed	C1orf111|284680	6.7262
C1orf112|55732	210.2072	C1orf112|55732	118.9498
C1orf113|79729	471.4006	C1orf113|79729	232.7662
lowly_expressed	lowly_expressed	C1orf114|57821	7.6434
C1orf115|79762	350.3454	C1orf115|79762	2292.4108
C1orf116|79098	1107.4444	C1orf116|79098	1484.0439999999999
C1orf122|127687	406.8227	C1orf122|127687	308.8915
C1orf123|54987	476.2087	C1orf123|54987	557.663
C1orf124|83932	363.7759	C1orf124|83932	292.2839
C1orf126|200197	54.7544	C1orf126|200197	50.6422
C1orf127|148345	17.6516	lowly_expressed	lowly_expressed
C1orf128|57095	691.4812	C1orf128|57095	817.8446
C1orf130|400746	112.0491	C1orf130|400746	207.9007
C1orf131|128061	399.4628	C1orf131|128061	215.8498
C1orf133|574036	14.9655	C1orf133|574036	38.5228
C1orf135|79000	24.5587	C1orf135|79000	19.2614
C1orf144|26099	2150.8058	C1orf144|26099	2636.0584
C1orf151|440574	1431.3124	C1orf151|440574	658.556
C1orf152|767846	5.7559	C1orf152|767846	9.1721
C1orf156|92342	178.4344	C1orf156|92342	159.2886
C1orf159|54991	112.4328	C1orf159|54991	117.7085
C1orf162|128346	196.08599999999998	C1orf162|128346	104.8676
C1orf163|65260	131.6193	C1orf163|65260	270.8824
C1orf168|199920	16.1167	C1orf168|199920	81.9373
C1orf170|84808	11.1282	C1orf170|84808	23.236
C1orf172|126695	343.0545	C1orf172|126695	343.9533
C1orf173|127254	107.0606	C1orf173|127254	144.91899999999998
C1orf174|339448	346.8918	C1orf174|339448	335.087
lowly_expressed	lowly_expressed	C1orf175|374977	32.1512
C1orf183|55924	17.2678	C1orf183|55924	107.6192
C1orf186|440712	5.7559	C1orf186|440712	10.0893
C1orf190|541468	9.881	C1orf190|541468	51.7061
C1orf192|257177	46.4313	C1orf192|257177	38.5228
C1orf198|84886	2500.7675	C1orf198|84886	3112.3955
C1orf201|90529	237.145	C1orf201|90529	232.0539
C1orf203|84852	66.4121	C1orf203|84852	117.4333
C1orf204|284677	27.2141	C1orf204|284677	46.4872
C1orf210|149466	414.0445	C1orf210|149466	299.6216
C1orf212|113444	442.8243	C1orf212|113444	446.0693
C1orf213|148898	14.6009	C1orf213|148898	40.5376
C1orf216|127703	476.2087	C1orf216|127703	371.1639
C1orf21|81563	1687.2602	C1orf21|81563	2316.8697
C1orf220|400798	22.6401	C1orf220|400798	16.204
C1orf226|400793	1158.0967	C1orf226|400793	1920.024
C1orf228|339541	9.5932	C1orf228|339541	7.9491
C1orf229|388759	12.2794	C1orf229|388759	17.1212
C1orf25|81627	1034.152	C1orf25|81627	600.7718
C1orf26|54823	203.7606	C1orf26|54823	198.4229
C1orf27|54953	1088.2579	C1orf27|54953	742.9392
C1orf31|388753	357.6362	C1orf31|388753	192.6139
C1orf35|79169	458.5572	C1orf35|79169	192.3081
C1orf38|9473	223.7145	C1orf38|9473	129.9379
C1orf43|25912	6213.3538	C1orf43|25912	3416.2974
C1orf50|79078	146.2011	C1orf50|79078	138.4985
C1orf51|148523	61.7805	C1orf51|148523	73.3767
C1orf52|148423	185.7252	C1orf52|148423	326.8321
C1orf53|388722	56.0246	C1orf53|388722	18.0384
C1orf54|79630	104.7583	C1orf54|79630	114.6511
C1orf55|163859	1160.0153	C1orf55|163859	846.2781
C1orf56|54964	461.9532	C1orf56|54964	157.231
C1orf57|84284	257.8665	C1orf57|84284	306.9592
C1orf58|148362	1050.2302	C1orf58|148362	448.4143
C1orf59|113802	84.8043	C1orf59|113802	212.18099999999998
lowly_expressed	lowly_expressed	C1orf61|10485	19.8729
C1orf63|57035	387.1834	C1orf63|57035	443.9291
C1orf64|149563	369.5318	C1orf64|149563	172.4353
C1orf66|51093	819.6469999999999	C1orf66|51093	582.1219
C1orf69|200205	111.6654	C1orf69|200205	297.7872
lowly_expressed	lowly_expressed	C1orf70|339453	18.6499
C1orf74|148304	128.9332	C1orf74|148304	98.4471
C1orf77|26097	1956.2548	C1orf77|26097	1883.6413
C1orf83|127428	148.5035	C1orf83|127428	239.0858
C1orf84|149469	10.8864	C1orf84|149469	9.9181
C1orf85|112770	1098.6186	C1orf85|112770	688.2124
C1orf86|199990	267.1182	C1orf86|199990	273.05
C1orf88|128344	117.0376	C1orf88|128344	165.4033
C1orf89|79363	66.76899999999999	C1orf89|79363	76.7398
C1orf91|56063	116.2701	C1orf91|56063	150.9909
C1orf93|127281	1122.6362	C1orf93|127281	773.5037
C1orf95|375057	9.977	C1orf95|375057	215.8498
C1orf96|126731	733.3078	C1orf96|126731	492.2354
C1orf97|84791	271.297	C1orf97|84791	76.7398
C1orf9|51430	3035.3031	C1orf9|51430	1923.6928
C20orf103|24141	648.8872	C20orf103|24141	78.2685
C20orf108|116151	3029.5472	C20orf108|116151	4235.0592
C20orf111|51526	594.0138	C20orf111|51526	656.7216
C20orf112|140688	1473.1389	C20orf112|140688	1573.0133
C20orf114|92747	837.6823	C20orf114|92747	120.4601
C20orf117|140710	644.2824	C20orf117|140710	681.4862
C20orf118|140711	16.769000000000002	C20orf118|140711	16.8155
C20orf11|54994	1344.9731	C20orf11|54994	1902.5970000000002
C20orf12|55184	143.515	C20orf12|55184	303.5961
C20orf132|140699	34.1558	C20orf132|140699	33.9398
C20orf134|170487	47.5825	C20orf134|170487	37.6056
C20orf135|140701	85.9555	C20orf135|140701	76.1283
C20orf151|140893	117.0376	C20orf151|140893	119.5429
C20orf160|140706	65.2341	C20orf160|140706	144.3075
lowly_expressed	lowly_expressed	C20orf165|128497	7.0319
C20orf177|63939	231.7728	C20orf177|63939	280.66900000000004
C20orf194|25943	361.8573	C20orf194|25943	1004.6495
C20orf196|149840	37.9893	C20orf196|149840	48.3063
lowly_expressed	lowly_expressed	C20orf197|284756	7.0319
C20orf199|441951	848.4267	C20orf199|441951	1888.2274
lowly_expressed	lowly_expressed	C20orf203|284805	7.3377
C20orf20|55257	302.7629	C20orf20|55257	227.4678
C20orf24|55969	1108.6071	C20orf24|55969	708.5225
C20orf26|26074	12.6631	C20orf26|26074	9.7836
C20orf27|54976	489.6393	C20orf27|54976	367.495
C20orf29|55317	222.1796	C20orf29|55317	187.4164
C20orf30|29058	3076.7459999999996	C20orf30|29058	2184.7916
C20orf3|57136	3518.0353	C20orf3|57136	2778.2258
C20orf43|51507	1674.2134	C20orf43|51507	1845.73
C20orf46|55321	6.1397	C20orf46|55321	13.7581
C20orf4|25980	1189.5625	C20orf4|25980	985.3881
C20orf54|113278	605.9094	C20orf54|113278	325.6092
C20orf72|92667	453.185	C20orf72|92667	673.5371
C20orf7|79133	118.5725	C20orf7|79133	108.2307
C20orf94|128710	62.548	C20orf94|128710	41.5801
C20orf96|140680	497.6976	C20orf96|140680	291.061
C21orf119|84996	82.5019	C21orf119|84996	68.7907
C21orf122|728039	43.7452	C21orf122|728039	21.7073
lowly_expressed	lowly_expressed	C21orf125|284836	5.1975
lowly_expressed	lowly_expressed	C21orf130|284835	8.8664
C21orf15|54094	5.7559	C21orf15|54094	97.2241
lowly_expressed	lowly_expressed	C21orf29|54084	5.809
C21orf2|755	267.8434	C21orf2|755	318.2715
C21orf33|8209	1672.2947	C21orf33|8209	1669.6259
C21orf34|388815	16.1167	C21orf34|388815	132.6896
C21orf45|54069	245.9708	C21orf45|54069	161.123
C21orf49|54067	14.198	C21orf49|54067	18.3442
C21orf56|84221	140.8289	C21orf56|84221	137.8871
C21orf57|54059	124.3285	C21orf57|54059	149.8108
C21orf58|54058	69.8388	C21orf58|54058	68.4849
C21orf59|56683	1158.8258	C21orf59|56683	615.4686
C21orf63|59271	146.2011	C21orf63|59271	505.9936
C21orf67|84536	57.5595	C21orf67|84536	47.3891
C21orf70|85395	120.8749	C21orf70|85395	161.123
C21orf7|56911	75.9785	C21orf7|56911	52.8924
C21orf88|114041	252.878	C21orf88|114041	145.2247
C21orf91|54149	184.5741	C21orf91|54149	857.2846
C22orf13|83606	1913.2924	C22orf13|83606	1904.5109
C22orf23|84645	8.8258	C22orf23|84645	117.09700000000001
C22orf25|128989	314.6585	C22orf25|128989	353.4312
C22orf26|55267	7.6746	C22orf26|55267	15.2868
C22orf27|150291	59.8619	C22orf27|150291	88.6635
C22orf28|51493	1389.4858	C22orf28|51493	1720.3782
C22orf29|79680	181.5695	C22orf29|79680	758.1802
C22orf30|253143	1047.5825	C22orf30|253143	1608.1729
C22orf32|91689	390.63699999999994	C22orf32|91689	811.7299
C22orf36|388886	71.7575	C22orf36|388886	266.6021
C22orf39|128977	226.0169	C22orf39|128977	569.5806
C22orf40|150383	100.921	C22orf40|150383	121.0716
C22orf46|79640	521.1051	C22orf46|79640	599.8546
C22orf9|23313	1826.1704	C22orf9|23313	1615.2049
C2CD2L|9854	552.2563	C2CD2L|9854	373.0075
C2CD2|25966	489.6393	C2CD2|25966	1047.7583
C2CD3|26005	597.8511	C2CD3|26005	911.7056
C2CD4A|145741	23.4075	C2CD4A|145741	7.0319
C2CD4B|388125	8.4421	C2CD4B|388125	145.8362
C2CD4C|126567	11.8956	C2CD4C|126567	44.3318
C2CD4D|100191040	9.977	C2CD4D|100191040	24.624000000000002
C2orf15|150590	123.561	C2orf15|150590	96.0226
C2orf16|84226	23.4075	C2orf16|84226	69.4021
C2orf18|54978	1462.7782	C2orf18|54978	954.8145
C2orf24|27013	1649.2709	C2orf24|27013	1111.0457
C2orf27A|29798	35.3031	C2orf27A|29798	38.8285
C2orf28|51374	1555.3415	C2orf28|51374	1529.7852
C2orf29|55571	1108.2118	C2orf29|55571	830.6855
C2orf34|79823	43.7452	C2orf34|79823	86.8291
lowly_expressed	lowly_expressed	C2orf39|92749	5.1975
C2orf3|6936	270.5295	C2orf3|6936	622.7848
lowly_expressed	lowly_expressed	C2orf40|84417	625.2307
C2orf42|54980	192.6324	C2orf42|54980	270.2709
C2orf43|60526	287.0299	C2orf43|60526	437.8144
C2orf44|80304	194.1673	C2orf44|80304	274.2455
C2orf47|79568	226.0169	C2orf47|79568	270.2036
C2orf49|79074	127.0146	C2orf49|79074	144.6133
C2orf50|130813	8.4421	C2orf50|130813	10.0893
lowly_expressed	lowly_expressed	C2orf52|151477	6.4205
lowly_expressed	lowly_expressed	C2orf54|79919	12.2295
C2orf55|343990	440.5219	C2orf55|343990	394.3998
C2orf56|55471	147.3523	C2orf56|55471	246.1177
lowly_expressed	lowly_expressed	C2orf58|285154	11.3122
C2orf60|129450	174.2134	C2orf60|129450	280.4274
C2orf63|130162	17.6516	C2orf63|130162	119.5429
C2orf64|493753	441.2893	C2orf64|493753	476.0314
C2orf65|130951	6.5234	C2orf65|130951	11.618
C2orf67|151050	111.7575	C2orf67|151050	465.3245
C2orf68|388969	543.3615	C2orf68|388969	879.9091
C2orf69|205327	322.7168	C2orf69|205327	444.8463
lowly_expressed	lowly_expressed	C2orf71|388939	21.7073
C2orf72|257407	10.3607	C2orf72|257407	310.0166
lowly_expressed	lowly_expressed	C2orf73|129852	7.0319
C2orf74|339804	206.8304	C2orf74|339804	411.2153
C2orf76|130355	43.7452	C2orf76|130355	61.1473
C2orf77|129881	127.3983	C2orf77|129881	139.4158
C2orf79|391356	161.5503	C2orf79|391356	334.7812
C2orf7|84279	242.1335	C2orf7|84279	202.0917
C2orf81|388963	83.5265	C2orf81|388963	91.2103
lowly_expressed	lowly_expressed	C2orf82|389084	268.1307
lowly_expressed	lowly_expressed	C2orf84|653140	6.7262
C2orf86|51057	52.571000000000005	C2orf86|51057	144.0018
C2orf88|84281	11.5119	C2orf88|84281	805.6152
C2orf89|129293	11.5119	C2orf89|129293	50.4465
C2|717	875.1497	C2|717	321.1546
C3AR1|719	546.0476	C3AR1|719	157.4542
C3orf10|55845	3550.6523	C3orf10|55845	2671.8295
C3orf14|57415	118.9563	C3orf14|57415	233.8883
C3orf15|89876	28.7797	C3orf15|89876	86.5234
C3orf17|25871	806.6002	C3orf17|25871	1056.3189
C3orf18|51161	302.7629	C3orf18|51161	199.9515
C3orf19|51244	394.858	C3orf19|51244	465.9421
C3orf1|51300	1221.7959	C3orf1|51300	856.0616
C3orf21|152002	352.264	C3orf21|152002	320.1059
C3orf23|285343	382.9624	C3orf23|285343	531.3697
C3orf26|84319	370.2993	C3orf26|84319	278.8315
C3orf31|132001	170.7598	C3orf31|132001	172.1295
C3orf32|51066	11.8956	C3orf32|51066	7.3377
C3orf33|285315	68.6876	C3orf33|285315	123.8232
C3orf34|84984	140.0614	C3orf34|84984	72.4595
C3orf35|339883	7.2909	C3orf35|339883	7.6434
C3orf37|56941	1055.2571	C3orf37|56941	820.2905
C3orf38|285237	491.1742	C3orf38|285237	338.7436
C3orf39|84892	689.1788	C3orf39|84892	537.4844
lowly_expressed	lowly_expressed	C3orf42|84657	22.6245
C3orf47|339942	44.5127	C3orf47|339942	50.1408
C3orf52|79669	651.5733	C3orf52|79669	143.6961
C3orf54|389119	20.7214	C3orf54|389119	29.3507
lowly_expressed	lowly_expressed	C3orf55|152078	37.2998
C3orf57|165679	32.617	C3orf57|165679	382.1704
C3orf58|205428	128.1658	C3orf58|205428	1073.7459
C3orf59|151963	60.6293	C3orf59|151963	286.4749
C3orf62|375341	144.6662	C3orf62|375341	169.9894
C3orf63|23272	2333.1466	C3orf63|23272	2454.3165
C3orf64|285203	376.8227	C3orf64|285203	867.3739
C3orf67|200844	114.3515	C3orf67|200844	24.7646
C3orf70|285382	33.0008	C3orf70|285382	120.4601
C3orf71|646450	28.1619	C3orf71|646450	30.5492
C3orf75|54859	441.6731	C3orf75|54859	344.5648
C3|718	15204.9117	C3|718	10723.0893
C4A|720	14823.0852	C4A|720	7527.1544
lowly_expressed	lowly_expressed	C4BPA|722	33.0195
lowly_expressed	lowly_expressed	C4BPB|725	9.1721
C4orf10|317648	228.0315	C4orf10|317648	313.2421
C4orf12|404201	13.0468	C4orf12|404201	32.7138
C4orf14|84273	539.1404	C4orf14|84273	1123.2752
C4orf19|55286	461.2433	C4orf19|55286	539.2393
C4orf21|55345	62.548	C4orf21|55345	100.2815
C4orf23|152992	195.7022	C4orf23|152992	486.4265
C4orf27|54969	375.6715	C4orf27|54969	307.8765
C4orf29|80167	134.6892	C4orf29|80167	156.8427
C4orf31|79625	48.7337	C4orf31|79625	110.3708
C4orf32|132720	669.9923	C4orf32|132720	989.3627
C4orf33|132321	158.4804	C4orf33|132321	163.5689
C4orf34|201895	1014.198	C4orf34|201895	1189.9257
lowly_expressed	lowly_expressed	C4orf36|132989	17.1212
C4orf38|152641	6.1397	C4orf38|152641	23.5417
lowly_expressed	lowly_expressed	C4orf39|152756	33.631
C4orf3|401152	1709.1328	C4orf3|401152	3177.5174
C4orf41|60684	1323.1005	C4orf41|60684	1226.0026
C4orf42|92070	513.0468	C4orf42|92070	354.9598
C4orf43|55319	183.0391	C4orf43|55319	396.54
C4orf46|201725	199.5395	C4orf46|201725	163.5995
lowly_expressed	lowly_expressed	C4orf47|441054	6.4205
C4orf48|401115	19.954	C4orf48|401115	26.5991
lowly_expressed	lowly_expressed	C4orf49|84709	11.0065
C4orf52|389203	126.6309	C4orf52|389203	385.8392
C5AR1|728	206.4467	C5AR1|728	106.70200000000001
C5orf13|9315	1945.1266	C5orf13|9315	802.5578
C5orf15|56951	1894.4743	C5orf15|56951	1981.1712
C5orf22|55322	655.4106	C5orf22|55322	516.6943
C5orf23|79614	10.7444	C5orf23|79614	498.0444
C5orf24|134553	1209.9002	C5orf24|134553	1596.2492
C5orf25|375484	400.6408	C5orf25|375484	222.8818
lowly_expressed	lowly_expressed	C5orf27|202299	62.3702
C5orf28|64417	308.5188	C5orf28|64417	360.7688
C5orf30|90355	662.3177	C5orf30|90355	480.6175
C5orf32|84418	600.1535	C5orf32|84418	571.7269
C5orf33|133686	488.8718	C5orf33|133686	919.9605
C5orf34|375444	62.9317	C5orf34|375444	62.6759
C5orf35|133383	79.8158	C5orf35|133383	139.7215
C5orf36|285600	106.2932	C5orf36|285600	147.9764
C5orf38|153571	49.5012	C5orf38|153571	98.4471
C5orf39|389289	21.4889	C5orf39|389289	23.8474
C5orf41|153222	503.8373	C5orf41|153222	716.0344
C5orf42|65250	1004.9885	C5orf42|65250	886.0238
C5orf43|643155	1247.5058	C5orf43|643155	1149.8742
C5orf44|80006	475.825	C5orf44|80006	451.2515
C5orf45|51149	153.9793	C5orf45|51149	185.4107
C5orf46|389336	18.419	C5orf46|389336	12.5352
C5orf49|134121	75.2111	C5orf49|134121	14.6753
C5orf4|10826	3199.1558	C5orf4|10826	1774.4935
C5orf51|285636	1007.2909	C5orf51|285636	981.1078
C5orf53|492311	199.5395	C5orf53|492311	488.5666
C5orf54|63920	181.888	C5orf54|63920	151.0337
C5orf55|116349	77.8972	C5orf55|116349	62.9817
C5orf56|441108	44.1942	C5orf56|441108	68.5675
C5orf62|85027	251.3431	C5orf62|85027	461.0503
C5|727	172.6784	C5|727	191.0852
lowly_expressed	lowly_expressed	C6orf105|84830	26.5991
C6orf106|64771	2837.6823	C6orf106|64771	2890.4309999999996
C6orf108|10591	321.5656	C6orf108|10591	266.2963
C6orf114|85411	6.9071	C6orf114|85411	10.395
C6orf115|58527	513.0468	C6orf115|58527	371.4696
C6orf120|387263	1051.1167	C6orf120|387263	962.4884
C6orf122|401288	6.1781	C6orf122|401288	17.3842
lowly_expressed	lowly_expressed	C6orf123|26238	6.4205
lowly_expressed	lowly_expressed	C6orf124|653483	49.2235
C6orf125|84300	733.6416	C6orf125|84300	411.0777
C6orf129|154467	314.6585	C6orf129|154467	85.6062
C6orf130|221443	458.5457	C6orf130|221443	422.9892
C6orf132|647024	214.505	C6orf132|647024	268.4365
C6orf134|79969	187.2602	C6orf134|79969	281.2774
C6orf136|221545	232.5403	C6orf136|221545	159.5943
C6orf138|442213	11.8956	C6orf138|442213	62.3702
C6orf141|135398	74.8273	C6orf141|135398	77.0455
lowly_expressed	lowly_expressed	C6orf142|90523	6.1147
C6orf145|221749	306.9839	C6orf145|221749	851.4756
C6orf150|115004	68.6876	C6orf150|115004	49.5293
C6orf153|88745	643.1312	C6orf153|88745	428.3366
C6orf154|221424	113.9678	C6orf154|221424	18.6499
C6orf155|79940	6.1397	C6orf155|79940	135.1354
lowly_expressed	lowly_expressed	C6orf15|29113	99.0586
C6orf162|57150	80.4375	C6orf162|57150	148.0161
C6orf163|206412	6.9071	C6orf163|206412	14.9811
C6orf164|63914	5.9018	C6orf164|63914	16.47
C6orf165|154313	36.1051	C6orf165|154313	21.1264
C6orf167|253714	455.8711	C6orf167|253714	325.3034
C6orf168|84553	312.7398	C6orf168|84553	257.43
C6orf170|221322	118.9563	C6orf170|221322	192.9196
C6orf174|387104	37.2218	C6orf174|387104	48.7772
lowly_expressed	lowly_expressed	C6orf176|90632	14.4736
C6orf182|285753	105.9094	C6orf182|285753	147.6706
lowly_expressed	lowly_expressed	C6orf186|728464	16.204
C6orf192|116843	139.6777	C6orf192|116843	477.2544
C6orf1|221491	428.2425	C6orf1|221491	140.0272
C6orf201|404220	5.3761	C6orf201|404220	9.4931
C6orf203|51250	223.7145	C6orf203|51250	225.6334
C6orf204|387119	23.0238	C6orf204|387119	77.3513
lowly_expressed	lowly_expressed	C6orf208|80069	5.2403
C6orf211|79624	1618.9563	C6orf211|79624	1035.5289
lowly_expressed	lowly_expressed	C6orf217|100131814	8.8664
C6orf222|389384	5.3722	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C6orf223|221416	11.3122
C6orf225|619208	124.7122	C6orf225|619208	191.0852
C6orf226|441150	95.165	C6orf226|441150	51.058
C6orf26|401251	9.2095	C6orf26|401251	17.5493
C6orf27|80737	33.7682	C6orf27|80737	52.2809
C6orf35|729515	275.1343	C6orf35|729515	444.8463
lowly_expressed	lowly_expressed	C6orf41|100133205	8.8664
C6orf47|57827	815.8097	C6orf47|57827	559.4974
C6orf48|50854	755.1804	C6orf48|50854	1462.031
C6orf57|135154	83.6531	C6orf57|135154	81.9373
lowly_expressed	lowly_expressed	C6orf59|79992	13.4524
C6orf62|81688	2510.3262	C6orf62|81688	2948.368
C6orf64|55776	892.9394	C6orf64|55776	656.7216
C6orf70|55780	446.6616	C6orf70|55780	314.6027
C6orf72|116254	848.4267	C6orf72|116254	905.8967
C6orf89|221477	3525.3262	C6orf89|221477	3294.0029
C6orf97|80129	452.4175	C6orf97|80129	497.1272
lowly_expressed	lowly_expressed	C6|729	29.3507
C7orf10|79783	61.7805	C7orf10|79783	39.1342
C7orf11|136647	349.5779	C7orf11|136647	351.291
C7orf13|129790	52.1873	C7orf13|129790	104.5618
C7orf23|79161	292.0184	C7orf23|79161	256.097
C7orf25|79020	429.01	C7orf25|79020	333.9863
C7orf26|79034	549.8849	C7orf26|79034	514.8599
C7orf27|221927	1147.3523	C7orf27|221927	716.0344
C7orf28A|51622	673.8296	C7orf28A|51622	794.3029
C7orf28B|221960	1277.4367	C7orf28B|221960	490.401
C7orf29|113763	50.6523	C7orf29|113763	77.9628
C7orf30|115416	255.5641	C7orf30|115416	245.812
C7orf31|136895	25.3262	C7orf31|136895	96.9184
C7orf36|57002	210.6677	C7orf36|57002	182.2188
C7orf40|285958	90.1765	C7orf40|285958	288.6151
C7orf41|222166	406.7536	C7orf41|222166	2786.7864
C7orf42|55069	3449.3477	C7orf42|55069	3117.5931
C7orf43|55262	436.3008	C7orf43|55262	241.5317
C7orf44|55744	640.8289	C7orf44|55744	537.4844
C7orf46|340277	102.8396	C7orf46|340277	164.4861
C7orf47|221908	151.5733	C7orf47|221908	111.288
C7orf49|78996	510.68300000000005	C7orf49|78996	483.7237
C7orf50|84310	1505.7559	C7orf50|84310	557.9687
lowly_expressed	lowly_expressed	C7orf51|222950	32.408
lowly_expressed	lowly_expressed	C7orf53|286006	12.5352
C7orf55|154791	90.1765	C7orf55|154791	201.5842
C7orf58|79974	250.9593	C7orf58|79974	944.1137
C7orf59|389541	647.736	C7orf59|389541	558.886
C7orf60|154743	214.8887	C7orf60|154743	463.1905
lowly_expressed	lowly_expressed	C7orf61|402573	6.7262
C7orf63|79846	125.8634	C7orf63|79846	190.7795
C7orf64|84060	232.924	C7orf64|84060	306.6535
C7orf68|29923	229.8542	C7orf68|29923	247.6464
C7orf70|84792	537.9893	C7orf70|84792	429.8652
C7|730	256.7153	C7|730	490.0953
C8orf30A|51236	622.7936	C8orf30A|51236	316.7428
lowly_expressed	lowly_expressed	C8orf31|286122	5.5033
C8orf33|65265	1080.5833	C8orf33|65265	919.3491
lowly_expressed	lowly_expressed	C8orf34|116328	12.2295
C8orf37|157657	29.1635	C8orf37|157657	80.4086
C8orf38|137682	125.0959	C8orf38|137682	179.7729
lowly_expressed	lowly_expressed	C8orf39|55472	6.4205
C8orf40|114926	2977.3599	C8orf40|114926	612.3898
C8orf41|80185	244.67	C8orf41|80185	286.2364
C8orf42|157695	170.3761	C8orf42|157695	515.7771
C8orf44|56260	22.6017	C8orf44|56260	49.5048
C8orf45|157777	19.954	C8orf45|157777	49.2235
lowly_expressed	lowly_expressed	C8orf46|254778	16.8155
lowly_expressed	lowly_expressed	C8orf47|203111	45.8604
C8orf48|157773	9.977	C8orf48|157773	28.4335
C8orf4|56892	765.5411	C8orf4|56892	2015.108
C8orf51|78998	61.3968	C8orf51|78998	44.026
C8orf55|51337	798.9256	C8orf55|51337	775.3473
C8orf58|541565	122.7936	C8orf58|541565	259.8759
C8orf59|401466	438.0814	C8orf59|401466	452.1718
C8orf73|642475	24.9424	C8orf73|642475	43.7203
C8orf75|619351	6.9071	lowly_expressed	lowly_expressed
C8orf76|84933	392.9394	C8orf76|84933	257.4789
