gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
FAM161B|145483	150.8499	FAM161B|145483	394.3296
FAM162A|26355	621.3967	FAM162A|26355	649.4453
lowly_expressed	lowly_expressed	FAM162B|221303	60.2219
FAM164A|51101	139.0788	FAM164A|51101	704.2789
FAM164C|79696	42.1991	FAM164C|79696	47.8605
FAM165B|54065	185.1412	FAM165B|54065	329.9525
lowly_expressed	lowly_expressed	FAM166B|730112	36.4501
FAM167A|83648	541.159	FAM167A|83648	86.2124
FAM167B|84734	16.0475	FAM167B|84734	32.9635
FAM168A|23201	320.3566	FAM168A|23201	506.4976
FAM168B|130074	2926.5973	FAM168B|130074	4190.8082
FAM169A|26049	103.7147	FAM169A|26049	110.6181
FAM171A1|221061	178.6033	FAM171A1|221061	866.878
FAM171A2|284069	5.9435	FAM171A2|284069	24.7227
FAM171B|165215	411.2927	FAM171B|165215	624.7227
FAM172A|83989	584.2496	FAM172A|83989	1004.7544
FAM173A|65990	109.3611	FAM173A|65990	40.8875
FAM173B|134145	122.4368	FAM173B|134145	196.8304
FAM174A|345757	386.62699999999995	FAM174A|345757	249.4453
FAM174B|400451	1054.0862	FAM174B|400451	999.3661
FAM175A|84142	176.6924	FAM175A|84142	512.6181
FAM175B|23172	727.4889	FAM175B|23172	586.6878
FAM176A|84141	29.4205	FAM176A|84141	62.7575
FAM176B|55194	55.3848	FAM176B|55194	87.5626
FAM177A1|283635	1137.89	FAM177A1|283635	669.0967
FAM178A|55719	2041.0104	FAM178A|55719	1049.4453
FAM178B|51252	32.9866	FAM178B|51252	25.6735
FAM179B|23116	791.679	FAM179B|23116	912.5198
FAM180A|389558	20.8024	FAM180A|389558	197.7813
lowly_expressed	lowly_expressed	FAM180B|399888	23.7718
lowly_expressed	lowly_expressed	FAM181B|220382	19.3344
FAM182B|728882	10.104	FAM182B|728882	57.6862
FAM184A|79632	107.8752	FAM184A|79632	180.3487
lowly_expressed	lowly_expressed	FAM184B|27146	11.6735
FAM185A|222234	109.9554	FAM185A|222234	109.6672
FAM186B|84070	15.4532	FAM186B|84070	19.9683
FAM188A|80013	401.7831	FAM188A|80013	595.5626
FAM188B|84182	91.8484	FAM188B|84182	245.233
lowly_expressed	lowly_expressed	FAM189A1|23359	6.0222
FAM189A2|9413	278.4547	FAM189A2|9413	1061.4897
FAM189B|10712	1373.8484	FAM189B|10712	450.3962
FAM18A|780776	6.9896	FAM18A|780776	17.0555
FAM18B2|201158	270.0267	FAM18B2|201158	280.6181
FAM18B|51030	858.2467	FAM18B|51030	758.1616
FAM190A|401145	110.84700000000001	FAM190A|401145	117.2742
FAM190B|54462	1379.7920000000001	FAM190B|54462	1862.1236
FAM192A|80011	1316.1961	FAM192A|80011	1124.8811
FAM193A|8603	893.9079	FAM193A|8603	926.1489999999999
FAM193B|54540	401.1887	FAM193B|54540	922.9794
FAM195A|84331	318.8707	FAM195A|84331	114.1046
FAM195B|348262	422.8826	FAM195B|348262	890.9667
lowly_expressed	lowly_expressed	FAM196A|642938	10.1426
FAM196B|100131897	89.15299999999999	FAM196B|100131897	594.2948
FAM198A|729085	143.8336	FAM198A|729085	106.8146
FAM198B|51313	1300.1486	FAM198B|51313	5579.7147
FAM199X|139231	1089.4502	FAM199X|139231	654.5166
FAM19A2|338811	11.2927	FAM19A2|338811	21.2361
FAM19A5|25817	21.0996	FAM19A5|25817	54.5166
FAM200A|221786	169.0936	FAM200A|221786	164.8177
FAM200B|285550	280.5349	FAM200B|285550	472.5832
FAM20A|54757	127.1917	FAM20A|54757	290.3328
FAM20B|9917	2720.0594	FAM20B|9917	2261.8067
FAM20C|56975	410.10400000000004	FAM20C|56975	721.3946
FAM21A|387680	558.0981	FAM21A|387680	1050.7132
FAM21B|55747	387.8158	FAM21B|55747	628.5261
FAM21C|253725	1021.6939	FAM21C|253725	1827.8922
FAM22A|728118	42.4963	FAM22A|728118	52.9319
FAM22D|728130	63.893	FAM22D|728130	140.412
lowly_expressed	lowly_expressed	FAM23A|653567	6.3391
lowly_expressed	lowly_expressed	FAM24B|196792	24.6022
FAM25A|643161	8.2942	lowly_expressed	lowly_expressed
FAM26E|254228	90.6389	FAM26E|254228	234.8653
FAM26F|441168	35.364000000000004	FAM26F|441168	24.4057
FAM27A|548321	5.6464	lowly_expressed	lowly_expressed
FAM27C|100132948	5.9435	FAM27C|100132948	9.5087
FAM32A|26017	1469.2422	FAM32A|26017	1225.3566
FAM35A|54537	1585.1412	FAM35A|54537	804.4374
FAM35B2|439965	136.7013	FAM35B2|439965	73.2171
FAM35B|414241	479.9406	FAM35B|414241	255.4675
FAM36A|116228	1193.6999	FAM36A|116228	777.6165
FAM38A|9780	6418.0357	FAM38A|9780	3570.9604
FAM38B|63895	63.2987	FAM38B|63895	212.9952
FAM3A|60343	330.4606	FAM3A|60343	498.8906
FAM3B|54097	424.3685	FAM3B|54097	619.0174
FAM3C|10447	895.6909	FAM3C|10447	937.2425
FAM3D|131177	52.0059	FAM3D|131177	157.8447
FAM40A|85369	779.7919999999999	FAM40A|85369	913.4707
FAM40B|57464	189.896	FAM40B|57464	13.9461
FAM41C|284593	8.9153	FAM41C|284593	21.2361
FAM43A|131583	100.1486	FAM43A|131583	374.6434
FAM45A|404636	582.4666	FAM45A|404636	452.2979
FAM45B|55855	253.4918	FAM45B|55855	213.3122
FAM46A|55603	448.1426	FAM46A|55603	991.4422
FAM46B|115572	106.0921	FAM46B|115572	722.6624
FAM46C|54855	516.4933	FAM46C|54855	1735.6577
FAM47E|100129583	117.5661	FAM47E|100129583	172.3582
FAM48A|55578	994.4666	FAM48A|55578	1042.9572
FAM49A|81553	41.6048	FAM49A|81553	220.6022
FAM49B|51571	1863.0015	FAM49B|51571	819.3344
FAM50A|9130	640.4159999999999	FAM50A|9130	493.5024
FAM50B|26240	118.8707	FAM50B|26240	190.1743
FAM53A|152877	9.2125	FAM53A|152877	25.3566
FAM53B|9679	1442.0386	FAM53B|9679	866.6973
FAM53C|51307	1235.364	FAM53C|51307	1495.0872
FAM54A|113115	276.9688	lowly_expressed	lowly_expressed
FAM54B|56181	579.4621	FAM54B|56181	1338.0919
FAM55C|91775	483.8039	FAM55C|91775	765.7686
lowly_expressed	lowly_expressed	FAM55D|54827	12.6783
FAM57A|79850	268.6478	FAM57A|79850	156.2599
FAM57B|83723	60.5617	lowly_expressed	lowly_expressed
FAM58A|92002	172.6597	FAM58A|92002	185.7369
FAM59A|64762	43.0906	FAM59A|64762	291.2837
lowly_expressed	lowly_expressed	FAM5B|57795	9.1918
FAM5C|339479	5.9435	lowly_expressed	lowly_expressed
FAM60A|58516	1268.945	FAM60A|58516	1098.8906
FAM63A|55793	345.9138	FAM63A|55793	975.9113
FAM63B|54629	267.4591	FAM63B|54629	661.8067
FAM64A|54478	264.4874	FAM64A|54478	10.4596
FAM65A|79567	600.8915	FAM65A|79567	1460.8558
FAM65B|9750	101.9316	FAM65B|9750	188.5895
FAM65C|140876	28.8262	FAM65C|140876	253.8827
FAM66C|440078	57.6523	FAM66C|440078	54.8336
lowly_expressed	lowly_expressed	FAM66D|100132923	7.1189
FAM69A|388650	646.3596	FAM69A|388650	499.5246
FAM69B|138311	736.8024	FAM69B|138311	206.2948
lowly_expressed	lowly_expressed	FAM69C|125704	6.3391
FAM70A|55026	59.1382	FAM70A|55026	392.0761
FAM70B|348013	11.5899	FAM70B|348013	46.5927
FAM71D|161142	42.1991	FAM71D|161142	15.5309
FAM71E1|112703	30.7608	FAM71E1|112703	20.3201
lowly_expressed	lowly_expressed	FAM71F2|346653	10.1426
FAM72A|729533	83.5067	lowly_expressed	lowly_expressed
FAM72B|653820	188.7073	FAM72B|653820	13.9461
FAM72D|728833	80.5349	FAM72D|728833	6.0222
FAM73A|374986	600.0	FAM73A|374986	1023.7718
FAM73B|84895	294.5022	FAM73B|84895	412.0444
FAM76A|199870	138.1872	FAM76A|199870	383.2013
FAM76B|143684	388.1129	FAM76B|143684	464.0254
FAM78A|286336	112.0357	FAM78A|286336	174.3265
FAM78B|149297	6.2407	FAM78B|149297	25.9905
lowly_expressed	lowly_expressed	FAM7A2|100288380	6.3391
lowly_expressed	lowly_expressed	FAM7A3|89837	20.2853
FAM81A|145773	26.4487	FAM81A|145773	59.588
FAM82A1|151393	21.6939	FAM82A1|151393	116.0063
FAM82A2|55177	981.8722	FAM82A2|55177	858.0032
FAM82B|51115	1049.0342	FAM82B|51115	1023.4548
FAM83A|84985	62.11	lowly_expressed	lowly_expressed
FAM83B|222584	511.7385	FAM83B|222584	90.3328
FAM83D|81610	666.8648	FAM83D|81610	18.0666
FAM83E|54854	39.5245	FAM83E|54854	30.4279
FAM83F|113828	259.7325	FAM83F|113828	170.206
FAM83G|644815	258.8529	FAM83G|644815	119.7623
FAM83H|286077	3890.9361	FAM83H|286077	788.5895
FAM84A|151354	54.3834	FAM84A|151354	296.355
FAM84B|157638	7105.7949	FAM84B|157638	2154.0412
FAM86A|196483	444.6092	FAM86A|196483	249.7971
FAM86B1|85002	42.4963	FAM86B1|85002	87.1632
FAM86B2|653333	5.052	FAM86B2|653333	15.5309
FAM86C|55199	86.7756	FAM86C|55199	130.5864
FAM86D|692099	87.6672	FAM86D|692099	271.6323
FAM89A|375061	24.9629	FAM89A|375061	812.6783
FAM89B|23625	729.2719	FAM89B|23625	602.2187
FAM8A1|51439	1200.8915	FAM8A1|51439	1989.5404
FAM90A1|55138	46.0624	FAM90A1|55138	17.1157
FAM91A1|157769	3112.0357	FAM91A1|157769	1029.7939999999999
FAM92A1|137392	105.4978	FAM92A1|137392	164.8177
lowly_expressed	lowly_expressed	FAM95B1|100133036	11.4105
FAM96A|84191	944.4279	FAM96A|84191	427.8922
FAM96B|51647	480.2377	FAM96B|51647	342.9477
FAM98A|25940	1005.9435	FAM98A|25940	725.5151
FAM98B|283742	509.0639	FAM98B|283742	356.2599
FAM98C|147965	216.0475	FAM98C|147965	218.3835
FANCA|2175	551.4443	FANCA|2175	39.2932
FANCB|2187	40.416	FANCB|2187	19.0174
FANCC|2176	221.3967	FANCC|2176	218.3835
FANCD2|2177	1068.945	FANCD2|2177	184.149
FANCE|2178	122.1397	FANCE|2178	190.1743
FANCF|2188	475.7801	FANCF|2188	327.4168
FANCG|2189	678.7519	FANCG|2189	252.9319
FANCI|55215	2108.63	FANCI|55215	234.2979
FANCL|55120	230.8053	FANCL|55120	270.5166
FANCM|57697	294.2051	FANCM|57697	284.9445
FANK1|92565	20.5052	FANK1|92565	75.4358
FAP|2191	694.5022	FAP|2191	211.7274
FAR1|84188	7301.0401	FAR1|84188	1923.9303
FAR2|55711	176.1456	FAR2|55711	103.8732
FARP1|10160	2668.0535	FARP1|10160	1597.7813
FARP2|9855	263.5958	FARP2|9855	403.1696
FARS2|10667	257.9495	FARS2|10667	215.2139
FARSA|2193	1665.3789	FARSA|2193	683.3597
FARSB|10056	1247.2511	FARSB|10056	908.3994
FASLG|356	10.6984	FASLG|356	17.4326
FASN|2194	9421.0996	FASN|2194	27358.4786
FASTKD1|79675	690.9361	FASTKD1|79675	298.8906
FASTKD2|22868	1560.7727	FASTKD2|22868	1126.4659
FASTKD3|79072	266.8648	FASTKD3|79072	161.3312
FASTKD5|60493	473.4027	FASTKD5|60493	415.2139
FASTK|10922	751.5602	FASTK|10922	728.0507
FAS|355	242.7935	FAS|355	446.9097
FAT1|2195	2493.6107	FAT1|2195	7315.0555
FAT2|2196	233.2838	FAT2|2196	2187.0048
FAT3|120114	35.364000000000004	FAT3|120114	140.0951
FAT4|79633	179.1976	FAT4|79633	1162.2821
FAU|2197	3493.3135	FAU|2197	5202.8526
FBF1|85302	176.4606	FBF1|85302	139.6387
FBLIM1|54751	366.1218	FBLIM1|54751	801.2678
lowly_expressed	lowly_expressed	FBLL1|345630	9.1918
FBLN1|2192	992.5706	FBLN1|2192	10281.458
FBLN2|2199	914.7103	FBLN2|2199	5625.3566
FBLN5|10516	571.471	FBLN5|10516	4903.645
FBLN7|129804	79.04899999999999	FBLN7|129804	362.2821
FBL|2091	2904.6062	FBL|2091	2956.8938
FBN1|2200	3458.841	FBN1|2200	5810.4596
FBN2|2201	1021.9911	FBN2|2201	5.7052
FBN3|84467	9.8068	FBN3|84467	14.897
FBP1|2203	3824.9629	FBP1|2203	983.8352
FBRSL1|57666	567.3105	FBRSL1|57666	436.767
FBRS|64319	1761.3670000000002	FBRS|64319	1072.9002
FBXL12|54850	276.3744	FBXL12|54850	362.2821
FBXL13|222235	9.2125	FBXL13|222235	9.1918
FBXL14|144699	1152.4517	FBXL14|144699	621.5531
FBXL15|79176	102.8232	FBXL15|79176	66.2441
FBXL16|146330	178.6033	FBXL16|146330	238.9857
FBXL17|64839	633.2838	FBXL17|64839	963.8669
FBXL18|80028	285.2897	FBXL18|80028	417.4326
FBXL19|54620	732.8380000000001	FBXL19|54620	232.3296
FBXL20|84961	1100.4458	FBXL20|84961	180.9826
FBXL22|283807	12.7311	FBXL22|283807	72.0602
FBXL2|25827	95.9881	FBXL2|25827	160.0634
FBXL3|26224	1106.0921	FBXL3|26224	2377.1791
FBXL4|26235	200.5944	FBXL4|26235	443.1062
FBXL5|26234	2015.7504	FBXL5|26234	4584.7861
FBXL6|26233	620.3061	FBXL6|26233	156.0887
FBXL7|23194	388.7073	FBXL7|23194	717.9081
FBXL8|55336	28.6657	FBXL8|55336	40.7544
FBXO10|26267	146.8202	FBXO10|26267	206.6878
FBXO11|80204	1634.7697	FBXO11|80204	1993.0269
lowly_expressed	lowly_expressed	FBXO15|201456	20.2853
FBXO16|157574	68.0535	FBXO16|157574	28.8431
FBXO17|115290	95.0966	FBXO17|115290	424.0887
FBXO18|84893	1697.0639	FBXO18|84893	1772.4596
FBXO21|23014	2520.6538	FBXO21|23014	1439.3027
FBXO22OS|692224	62.0238	FBXO22OS|692224	31.6165
FBXO22|26263	537.3819	FBXO22|26263	378.8431
FBXO24|26261	8.1991	FBXO24|26261	7.9968
FBXO25|26260	533.7296	FBXO25|26260	571.1569
FBXO27|126433	329.2719	FBXO27|126433	304.5959
FBXO28|23219	1974.74	FBXO28|23219	1300.4754
FBXO2|26232	90.6389	FBXO2|26232	337.5594
FBXO30|84085	524.8143	FBXO30|84085	546.7512
FBXO31|79791	687.0728	FBXO31|79791	894.4532
FBXO32|114907	478.1575	FBXO32|114907	2571.7908
FBXO33|254170	314.1159	FBXO33|254170	470.0475
FBXO34|55030	936.107	FBXO34|55030	798.7322
FBXO36|130888	172.3626	FBXO36|130888	151.5055
FBXO38|81545	849.9257	FBXO38|81545	892.5515
FBXO39|162517	9.2125	lowly_expressed	lowly_expressed
FBXO3|26273	751.5602	FBXO3|26273	1019.3344
FBXO41|150726	276.3744	FBXO41|150726	201.5848
FBXO42|54455	321.8425	FBXO42|54455	579.0808
FBXO43|286151	20.208	lowly_expressed	lowly_expressed
FBXO44|93611	135.5126	FBXO44|93611	408.2409
FBXO45|200933	1011.2927	FBXO45|200933	458.6371
FBXO46|23403	310.847	FBXO46|23403	290.9667
FBXO48|554251	24.0713	FBXO48|554251	59.588
FBXO4|26272	231.7979	FBXO4|26272	219.0174
FBXO5|26271	392.2734	FBXO5|26271	140.412
FBXO6|26270	153.0461	FBXO6|26270	164.8177
FBXO7|25793	2395.5423	FBXO7|25793	2336.2916
FBXO8|26269	261.9792	FBXO8|26269	577.2076
FBXO9|26268	1128.3804	FBXO9|26268	1475.4358
FBXW10|10517	5.6464	lowly_expressed	lowly_expressed
FBXW11|23291	1769.0936	FBXW11|23291	1551.8225
FBXW2|26190	2452.0059	FBXW2|26190	2020.6022
FBXW4|6468	863.0015	FBXW4|6468	1476.7036
FBXW5|54461	2776.2259	FBXW5|54461	1119.8098
FBXW7|55294	805.6464	FBXW7|55294	896.6719
FBXW8|26259	1230.6092	FBXW8|26259	620.9192
FBXW9|84261	217.3195	FBXW9|84261	157.309
FCER1A|2205	94.2051	FCER1A|2205	180.0317
FCER1G|2207	313.5215	FCER1G|2207	177.813
lowly_expressed	lowly_expressed	FCER2|2208	8.5578
FCF1|51077	835.3639999999999	FCF1|51077	927.7338
FCGBP|8857	113.5215	FCGBP|8857	989.8574
FCGR1A|2209	43.0817	FCGR1A|2209	7.6577
FCGR1B|2210	37.7415	FCGR1B|2210	13.6292
FCGR1C|100132417	11.5899	lowly_expressed	lowly_expressed
FCGR2A|2212	541.159	FCGR2A|2212	339.7781
FCGR2B|2213	84.9926	FCGR2B|2213	131.2203
FCGR2C|9103	30.311999999999998	FCGR2C|9103	50.7132
FCGR3A|2214	1026.4487	FCGR3A|2214	353.4073
FCGRT|2217	4849.3314	FCGRT|2217	2849.7623
FCHO1|23149	253.4918	FCHO1|23149	54.5166
FCHO2|115548	640.1189	FCHO2|115548	1184.7861
FCHSD1|89848	137.5988	FCHSD1|89848	333.6038
FCHSD2|9873	2374.3031	FCHSD2|9873	976.9477
FCN1|2219	32.0951	FCN1|2219	23.7718
lowly_expressed	lowly_expressed	FCN2|2220	18.3835
lowly_expressed	lowly_expressed	FCN3|8547	22.504
FCRL1|115350	5.052	lowly_expressed	lowly_expressed
FCRL2|79368	7.4294	FCRL2|79368	6.6561
FCRL3|115352	18.7221	lowly_expressed	lowly_expressed
FCRL5|83416	45.7652	FCRL5|83416	143.8986
FCRL6|343413	5.6464	FCRL6|343413	15.5309
FCRLA|84824	16.6419	FCRLA|84824	7.29
FCRLB|127943	16.0475	FCRLB|127943	12.9952
FDFT1|2222	3026.1516	FDFT1|2222	2872.5832
FDPS|2224	2206.7756	FDPS|2224	1335.0998
FDX1L|112812	155.5542	FDX1L|112812	104.7353
FDX1|2230	234.1753	FDX1|2230	311.252
FDXACB1|91893	46.3715	FDXACB1|91893	116.6656
FDXR|2232	324.5171	FDXR|2232	131.2203
FECH|2235	1374.4428	FECH|2235	734.3899
FEM1A|55527	1020.2080000000001	FEM1A|55527	1065.9271
FEM1B|10116	2644.2793	FEM1B|10116	3328.6846
FEM1C|56929	807.4294	FEM1C|56929	1153.7242
FEN1|2237	775.3343	FEN1|2237	246.9097
FER1L4|80307	50.2229	FER1L4|80307	44.691
FER1L5|90342	18.425	FER1L5|90342	60.2219
FERMT1|55612	71.9168	FERMT1|55612	249.7623
FERMT2|10979	546.8053	FERMT2|10979	3695.7211
FERMT3|83706	206.2407	FERMT3|83706	187.6387
FER|2241	67.4591	FER|2241	172.4247
FES|2242	78.4547	FES|2242	340.412
FEZ1|9638	49.6285	FEZ1|9638	219.9683
FEZ2|9637	897.7712	FEZ2|9637	1128.6846
lowly_expressed	lowly_expressed	FEZF2|55079	8.8748
FFAR2|2867	112.3328	FFAR2|2867	22.8209
FFAR3|2865	10.6984	FFAR3|2865	10.4596
FGD1|2245	325.1114	FGD1|2245	242.1553
FGD2|221472	71.9168	FGD2|221472	73.2171
FGD3|89846	79.3462	FGD3|89846	168.3043
FGD4|121512	583.6553	FGD4|121512	769.2552
FGD5|152273	327.1917	FGD5|152273	1330.5864
FGD6|55785	1323.0312	FGD6|55785	528.0507
lowly_expressed	lowly_expressed	FGF10|2255	94.1363
FGF11|2256	138.4844	FGF11|2256	120.5769
FGF12|2257	76.3744	FGF12|2257	48.8114
FGF13|2258	100.4458	FGF13|2258	303.962
FGF14|2259	30.9064	FGF14|2259	109.9842
lowly_expressed	lowly_expressed	FGF18|8817	5.3883
lowly_expressed	lowly_expressed	FGF19|9965	6.9731
FGF1|2246	136.7013	FGF1|2246	1118.225
FGF2|2247	107.5453	FGF2|2247	1602.9477
FGF7|2252	140.8618	FGF7|2252	820.2853
lowly_expressed	lowly_expressed	FGF9|2254	13.6292
FGFBP1|9982	11.8871	FGFBP1|9982	73.2171
lowly_expressed	lowly_expressed	FGFBP2|83888	71.6323
FGFBP3|143282	18.7221	FGFBP3|143282	52.2979
FGFR1OP2|26127	565.2303	FGFR1OP2|26127	882.4089
FGFR1OP|11116	138.5082	FGFR1OP|11116	155.5151
FGFR1|2260	1302.8232	FGFR1|2260	5109.0333
FGFR2|2263	201.1887	FGFR2|2263	1944.2155
FGFR3|2261	92.1248	FGFR3|2261	107.7655
FGFR4|2264	3874.2942	FGFR4|2264	99.8415
FGFRL1|53834	698.3655	FGFRL1|53834	1265.9271
FGGY|55277	88.8559	FGGY|55277	130.5864
FGL1|2267	8.0238	lowly_expressed	lowly_expressed
FGL2|10875	614.8588	FGL2|10875	2207.9239
FGR|2268	103.1204	FGR|2268	138.8273
FHAD1|114827	17.0728	FHAD1|114827	37.3693
FHDC1|85462	855.5721	FHDC1|85462	175.5943
FHIT|2272	17.2363	FHIT|2272	74.8019
FHL1|2273	223.477	FHL1|2273	10350.8716
FHL2|2274	206.8351	FHL2|2274	1054.8336
FHL3|2275	190.1932	FHL3|2275	310.935
FHL5|9457	11.5899	FHL5|9457	146.4342
FHOD1|29109	538.7816	FHOD1|29109	447.2266
FHOD3|80206	182.7637	FHOD3|80206	824.4057
FH|2271	2900.1486	FH|2271	1158.4786
FIBCD1|84929	12.1842	lowly_expressed	lowly_expressed
FIBIN|387758	125.7058	FIBIN|387758	703.645
FIBP|9158	1454.9777	FIBP|9158	529.9525
FICD|11153	63.0015	FICD|11153	93.5024
FIG4|9896	754.8291	FIG4|9896	609.1918
FIGF|2277	27.0431	FIGF|2277	1663.3914
FIGNL1|63979	474.2942	FIGNL1|63979	423.1379
FIGNL2|401720	8.9153	FIGNL2|401720	44.0571
FIGN|55137	7.4294	FIGN|55137	148.9699
FILIP1L|11259	431.2036	FILIP1L|11259	1029.4769999999999
FILIP1|27145	30.6092	FILIP1|27145	135.3407
FIP1L1|81608	745.7682	FIP1L1|81608	695.1823
FIS1|51024	1094.9747	FIS1|51024	1113.6197
lowly_expressed	lowly_expressed	FITM1|161247	6.0222
FITM2|128486	80.5349	FITM2|128486	89.3819
FIZ1|84922	289.4502	FIZ1|84922	284.3106
FJX1|24147	229.7177	FJX1|24147	119.8098
FKBP10|60681	2274.2942	FKBP10|60681	1167.0365
FKBP11|51303	553.3432	FKBP11|51303	328.6846
FKBP14|55033	225.26	FKBP14|55033	248.1775
FKBP15|23307	1042.4963	FKBP15|23307	1070.2124
FKBP1A|2280	2049.9822	FKBP1A|2280	2787.1886
FKBP1B|2281	20.208	FKBP1B|2281	62.1236
FKBP2|2286	210.104	FKBP2|2286	381.2995
FKBP3|2287	1036.2556	FKBP3|2287	705.5468
FKBP4|2288	12198.5141	FKBP4|2288	2748.9699
FKBP5|2289	643.3878	FKBP5|2289	2920.7607
FKBP7|51661	117.0877	FKBP7|51661	413.9461
FKBP8|23770	1657.6523	FKBP8|23770	3431.0618
FKBP9L|360132	30.9064	FKBP9L|360132	63.7084
FKBP9|11328	1840.4160000000002	FKBP9|11328	3295.4041
FKBPL|63943	246.6568	FKBPL|63943	92.2345
FKRP|79147	200.8915	FKRP|79147	213.3122
FKTN|2218	664.1902	FKTN|2218	584.4691
FLAD1|80308	1297.7712	FLAD1|80308	546.1173
FLCN|201163	555.9376	FLCN|201163	941.9810000000001
FLG|2312	15.0342	FLG|2312	101.2805
FLI1|2313	263.893	FLI1|2313	670.6815
FLII|2314	3443.685	FLII|2314	2769.5721
FLJ10038|55056	153.1649	FLJ10038|55056	576.7005
FLJ10213|55096	13.373	FLJ10213|55096	20.2853
FLJ10357|55701	725.4086	FLJ10357|55701	2234.8653
FLJ10661|286042	21.0996	FLJ10661|286042	36.766999999999996
lowly_expressed	lowly_expressed	FLJ11235|54508	17.7496
FLJ12825|440101	17.8306	FLJ12825|440101	5.0713
FLJ13197|79667	12.7935	FLJ13197|79667	96.7258
FLJ22536|401237	11.8514	FLJ22536|401237	43.7401
FLJ23867|200058	1435.6612	FLJ23867|200058	712.8368
lowly_expressed	lowly_expressed	FLJ33360|401172	7.29
FLJ33630|644873	272.214	FLJ33630|644873	537.2425
lowly_expressed	lowly_expressed	FLJ35024|401491	34.8653
FLJ35220|284131	446.9539	FLJ35220|284131	254.5166
FLJ35390|255031	48.1426	FLJ35390|255031	87.1315
FLJ35776|649446	93.9079	FLJ35776|649446	90.9667
FLJ36031|168455	145.0223	FLJ36031|168455	294.4532
lowly_expressed	lowly_expressed	FLJ36777|730971	13.9461
FLJ37201|283011	8.0238	FLJ37201|283011	19.3344
FLJ37307|283521	6.2407	FLJ37307|283521	6.0222
FLJ37453|729614	34.4725	FLJ37453|729614	105.2298
lowly_expressed	lowly_expressed	FLJ37543|285668	10.1426
FLJ39582|439931	24.2318	FLJ39582|439931	70.4374
FLJ39653|202020	36.5527	FLJ39653|202020	106.4976
lowly_expressed	lowly_expressed	FLJ39739|388685	6.0222
FLJ40330|645784	17.5334	FLJ40330|645784	147.0681
FLJ40852|285962	18.7221	FLJ40852|285962	58.3201
lowly_expressed	lowly_expressed	FLJ42289|388182	23.1379
FLJ42627|645644	64.1902	FLJ42627|645644	56.1014
FLJ42709|441094	129.5691	FLJ42709|441094	127.7338
lowly_expressed	lowly_expressed	FLJ42875|440556	12.9952
FLJ43663|378805	30.311999999999998	FLJ43663|378805	109.6672
FLJ44606|401207	27.3403	FLJ44606|401207	60.8558
FLJ44635|392490	12.4814	FLJ44635|392490	20.2853
FLJ45079|400624	5.052	lowly_expressed	lowly_expressed
FLJ45244|400242	20.208	FLJ45244|400242	46.5927
FLJ45340|402483	681.7236	FLJ45340|402483	1374.9604
FLJ45445|399844	74.2942	FLJ45445|399844	40.2536
FLJ45983|399717	21.9911	FLJ45983|399717	105.8637
FLJ90757|440465	906.3893	FLJ90757|440465	651.3471
FLNA|2316	6844.5765	FLNA|2316	23414.2631
FLNB|2317	6207.6077	FLNB|2317	9715.233
FLNC|2318	207.1322	FLNC|2318	782.8843
FLOT1|10211	5564.0416	FLOT1|10211	2078.6054
FLOT2|2319	2607.1322	FLOT2|2319	2451.0301
lowly_expressed	lowly_expressed	FLRT1|23769	7.9239
FLRT2|23768	207.1322	FLRT2|23768	1070.9984
FLRT3|23767	25.8544	FLRT3|23767	200.9509
FLT1|2321	474.5914	FLT1|2321	1705.2298
FLT3LG|2323	48.736999999999995	FLT3LG|2323	147.3851
FLT3|2322	72.214	FLT3|2322	27.5753
FLT4|2324	133.4324	FLT4|2324	897.3059
FLVCR1|28982	543.2392	FLVCR1|28982	131.8542
FLVCR2|55640	94.7994	FLVCR2|55640	66.561
FLYWCH1|84256	295.0966	FLYWCH1|84256	664.3423
FLYWCH2|114984	264.1902	FLYWCH2|114984	242.4723
FMN1|342184	12.7786	FMN1|342184	84.6276
FMN2|56776	50.8172	FMN2|56776	30.7448
FMNL1|752	273.6909	FMNL1|752	469.68300000000005
FMNL2|114793	510.5498	FMNL2|114793	1965.7686
FMNL3|91010	656.6508	FMNL3|91010	1083.4802
FMO1|2326	154.2348	FMO1|2326	442.1553
FMO2|2327	364.63599999999997	FMO2|2327	6311.5689
FMO3|2328	37.4443	FMO3|2328	68.4628
FMO4|2329	82.0208	FMO4|2329	186.6878
FMO5|2330	374.4428	FMO5|2330	692.2345
FMOD|2331	705.2006	FMOD|2331	6503.645
FMR1|2332	1180.3863	FMR1|2332	1138.1933
FN1|2335	56228.529	FN1|2335	7154.6751
FN3KRP|79672	434.7697	FN3KRP|79672	771.1569
FN3K|64122	84.9926	FN3K|64122	303.645
FNBP1L|54874	2251.4116	FNBP1L|54874	2590.4913
FNBP1|23048	1171.1738	FNBP1|23048	1438.9857
FNBP4|23360	1542.0505	FNBP4|23360	1721.3946
FNDC1|84624	394.94800000000004	FNDC1|84624	129.6355
FNDC3A|22862	1640.7132	FNDC3A|22862	2588.9065
FNDC3B|64778	1023.7741	FNDC3B|64778	2662.1236
FNDC4|64838	35.364000000000004	FNDC4|64838	243.7401
FNDC5|252995	14.2645	FNDC5|252995	85.5784
