gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
BACE1|23621	2043.0636	BACE1|23621	1390.6644
BACE2|25825	731.5029	BACE2|25825	926.8293
BACH1|571	492.7746	BACH1|571	865.0126
BACH2|60468	10.9827	BACH2|60468	221.1943
BAD|572	540.6503	BAD|572	646.4592
BAG1|573	961.078	BAG1|573	1354.6636
BAG2|9532	48.8439	BAG2|9532	153.4903
BAG3|9531	1824.5665	BAG3|9531	1846.9302
BAG4|9530	169.0751	BAG4|9530	293.1034
BAG5|9529	1281.7919	BAG5|9529	1555.9294
BAHCC1|57597	65.3179	BAHCC1|57597	658.9571
BAHD1|22893	980.0578	BAHD1|22893	756.5181
lowly_expressed	lowly_expressed	BAI1|575	47.0984
BAI2|576	358.0925	BAI2|576	184.6089
lowly_expressed	lowly_expressed	BAI3|577	18.0824
BAIAP2L1|55971	383.23699999999997	BAIAP2L1|55971	391.5055
lowly_expressed	lowly_expressed	BAIAP2L2|80115	9.672
BAIAP2|10458	1093.3526	BAIAP2|10458	723.2969
BAIAP3|8938	110.8121	BAIAP3|8938	171.7199
BAK1|578	142.7746	BAK1|578	264.9285
BAMBI|25805	316.763	BAMBI|25805	444.4912
BANF1|8815	1829.7688	BANF1|8815	1416.7368
BANK1|55024	5.2023	BANK1|55024	199.3272
BANP|54971	174.5665	BANP|54971	226.2405
BAP1|8314	1852.8902	BAP1|8314	1578.217
BARD1|580	219.6532	BARD1|580	73.1707
lowly_expressed	lowly_expressed	BARX1|56033	5.4668
BARX2|8538	765.6069	BARX2|8538	883.5156
BASP1|10409	2557.2254	BASP1|10409	453.7426
BAT1|7919	4795.6647	BAT1|7919	4868.3768
BAT2L1|84726	5568.1416	BAT2L1|84726	6002.5357
BAT2L2|23215	9526.5896	BAT2L2|23215	4381.413
BAT2|7916	11296.8208	BAT2|7916	5870.8999
BAT3|7917	6777.1676	BAT3|7917	3709.4197
BAT4|7918	747.1098	BAT4|7918	355.3406
BAT5|7920	1667.0520000000001	BAT5|7920	783.4315
BATF2|116071	177.1676	BATF2|116071	125.3154
BATF3|55509	8.6705	BATF3|55509	25.6518
BATF|10538	82.0809	BATF|10538	76.9554
BAX|581	542.1965	BAX|581	348.1918
BAZ1A|11177	1435.8382	BAZ1A|11177	871.3204
BAZ1B|9031	2826.8786	BAZ1B|9031	2349.4533
BAZ2A|11176	4450.4827	BAZ2A|11176	2975.5172
BAZ2B|29994	1291.5549	BAZ2B|29994	1217.7208
BBC3|27113	139.3064	BBC3|27113	81.5812
lowly_expressed	lowly_expressed	BBOX1|8424	505.0463
BBS10|79738	352.3121	BBS10|79738	457.9479
BBS12|166379	152.0231	BBS12|166379	186.291
BBS1|582	2352.0231	BBS1|582	958.7889
BBS2|583	510.1156	BBS2|583	1128.259
BBS4|585	601.7341	BBS4|585	458.7889
BBS5|129880	220.6908	BBS5|129880	247.6871
BBS7|55212	229.7688	BBS7|55212	284.2725
BBS9|27241	189.3064	BBS9|27241	314.9706
BBX|56987	1973.1214	BBX|56987	2063.0782
BCAM|4059	7386.7052	BCAM|4059	5816.6526
BCAN|63827	17.052	BCAN|63827	33.6417
BCAP29|55973	718.4971	BCAP29|55973	1461.3120000000001
BCAP31|10134	5687.8613	BCAP31|10134	5939.0244
BCAR1|9564	486.4162	BCAR1|9564	1183.7679
BCAR3|8412	117.6301	BCAR3|8412	753.5744
BCAR4|400500	26.3006	lowly_expressed	lowly_expressed
BCAS1|8537	157.2254	BCAS1|8537	151.3877
BCAS2|10286	546.5	BCAS2|10286	639.1968
BCAS3|54828	776.3006	BCAS3|54828	594.1968
BCAS4|55653	564.4509	BCAS4|55653	375.1051
BCAT1|586	108.0925	BCAT1|586	455.0042
BCAT2|587	1452.0231	BCAT2|587	421.783
BCCIP|56647	1336.6329	BCCIP|56647	934.9075
BCDIN3D|144233	206.9104	BCDIN3D|144233	186.2658
BCHE|590	7.5145	BCHE|590	99.6636
BCKDHA|593	1226.2486	BCKDHA|593	877.2077
BCKDHB|594	102.3121	BCKDHB|594	507.1489
BCKDK|10295	1896.5318	BCKDK|10295	862.069
BCL10|8915	321.0983	BCL10|8915	478.9739
lowly_expressed	lowly_expressed	BCL11A|53335	135.4079
BCL11B|64919	17.340999999999998	BCL11B|64919	63.9193
BCL2A1|597	17.340999999999998	BCL2A1|597	23.9697
BCL2L11|10018	2403.7572	BCL2L11|10018	740.9588
BCL2L12|83596	109.2572	BCL2L12|83596	112.1447
BCL2L13|23786	1247.6879	BCL2L13|23786	1528.5955
lowly_expressed	lowly_expressed	BCL2L14|79370	18.5029
BCL2L15|440603	6.3584	BCL2L15|440603	5.0463
BCL2L1|598	3136.9942	BCL2L1|598	1821.2784
BCL2L2|599	1542.4393	BCL2L2|599	2293.095
BCL2|596	2527.7457	BCL2|596	2400.7569
BCL3|602	419.6532	BCL3|602	626.1564
BCL6B|255877	256.0694	BCL6B|255877	835.1556
BCL6|604	453.4682	BCL6|604	2478.9739
BCL7A|605	867.341	BCL7A|605	481.9176
BCL7B|9275	663.8728	BCL7B|9275	1068.545
BCL7C|9274	690.7514	BCL7C|9274	505.8873
lowly_expressed	lowly_expressed	BCL8|606	10.9336
BCL9L|283149	1148.8439	BCL9L|283149	2500.841
BCL9|607	1841.9075	BCL9|607	717.4096
BCLAF1|9774	3123.6994	BCLAF1|9774	3973.5071
lowly_expressed	lowly_expressed	BCO2|83875	20.185
BCORL1|63035	374.5665	BCORL1|63035	530.6981
BCOR|54880	2108.6705	BCOR|54880	875.9462
BCR|613	984.3931	BCR|613	2056.3499
BCS1L|617	478.1387	BCS1L|617	291.0008
BDH1|622	486.7052	BDH1|622	416.7368
BDH2|56898	255.4913	BDH2|56898	888.1413
BDKRB1|623	50.8671	BDKRB1|623	55.0883
BDKRB2|624	771.0983	BDKRB2|624	853.238
BDNFOS|497258	14.4306	BDNFOS|497258	68.9613
lowly_expressed	lowly_expressed	BDNF|627	31.5433
BDP1|55814	2453.7572	BDP1|55814	1304.037
lowly_expressed	lowly_expressed	BEAN|146227	26.0723
BECN1|8678	3275.7254	BECN1|8678	1677.5736
lowly_expressed	lowly_expressed	BEGAIN|57596	31.1186
BEND3|57673	117.9191	BEND3|57673	79.8991
BEND5|79656	9.8266	BEND5|79656	89.9916
lowly_expressed	lowly_expressed	BEND6|221336	15.1388
BEND7|222389	18.4971	BEND7|222389	384.7771
BEST1|7439	67.9249	BEST1|7439	77.3802
lowly_expressed	lowly_expressed	BEST3|144453	5.0463
lowly_expressed	lowly_expressed	BEST4|266675	5.4668
BET1L|51272	1743.9306	BET1L|51272	1580.7401
BET1|10282	303.1792	BET1|10282	520.6056
lowly_expressed	lowly_expressed	BEX1|55859	16.8209
BEX2|84707	23.9884	BEX2|84707	158.1161
BEX4|56271	208.3815	BEX4|56271	750.2103
BEX5|340542	22.8324	BEX5|340542	45.8368
BFAR|51283	1885.2601	BFAR|51283	1130.3616
BFSP1|631	93.3526	BFSP1|631	49.6215
BGLAP|632	18.8728	BGLAP|632	22.7082
BGN|633	4179.1908	BGN|633	2508.831
BHLHA15|168620	8.0925	lowly_expressed	lowly_expressed
BHLHB9|80823	42.4855	BHLHB9|80823	155.1724
BHLHE22|27319	6.0694	BHLHE22|27319	45.4163
BHLHE40|8553	11103.1792	BHLHE40|8553	10939.8654
BHLHE41|79365	97.6879	BHLHE41|79365	2035.3238
BHMT2|23743	13.8728	BHMT2|23743	899.4954
BICC1|80114	25.4335	BICC1|80114	412.111
BICD1|636	41.0405	BICD1|636	116.4844
BICD2|23299	906.6474	BICD2|23299	1059.2935
BID|637	141.1387	BID|637	333.9571
BIK|638	277.1676	BIK|638	89.9916
BIN1|274	241.3295	BIN1|274	1445.3322
BIN2|51411	69.3642	BIN2|51411	103.0278
BIN3|55909	188.4393	BIN3|55909	481.9176
BIRC2|329	785.8382	BIRC2|329	1494.9537
BIRC3|330	62.4277	BIRC3|330	236.7536
BIRC5|332	777.6012	BIRC5|332	11.6316
BIRC6|57448	3407.5145	BIRC6|57448	2438.1833
BIVM|54841	402.5376	BIVM|54841	567.3465
BLCAP|10904	1559.8266	BLCAP|10904	2605.1304
BLMH|642	1473.6994	BLMH|642	478.5534
BLM|641	273.6994	BLM|641	21.0261
BLNK|29760	147.3988	BLNK|29760	150.9672
BLOC1S1|2647	885.1503	BLOC1S1|2647	867.0101
BLOC1S2|282991	1048.8439	BLOC1S2|282991	585.3659
BLOC1S3|388552	586.7052	BLOC1S3|388552	219.5122
BLVRA|644	2361.8497	BLVRA|644	1000.0
BLVRB|645	2036.7052	BLVRB|645	1232.9689
BLZF1|8548	990.4624	BLZF1|8548	631.6232
BMF|90427	665.3179	BMF|90427	280.4878
BMI1|648	1601.7052	BMI1|648	1545.0505
BMP1|649	140.4624	BMP1|649	724.9789999999999
BMP2K|55589	356.6474	BMP2K|55589	444.4912
BMP2|650	8.9595	BMP2|650	185.45
lowly_expressed	lowly_expressed	BMP3|651	7.5694
BMP4|652	36.4162	BMP4|652	431.8755
lowly_expressed	lowly_expressed	BMP5|653	51.7241
BMP6|654	26.3902	BMP6|654	307.0774
lowly_expressed	lowly_expressed	BMP7|655	190.0757
BMP8A|353500	146.8208	BMP8A|353500	33.6417
BMP8B|656	105.4913	BMP8B|656	53.4062
lowly_expressed	lowly_expressed	BMPER|168667	160.6392
BMPR1A|657	895.9538	BMPR1A|657	866.6947
BMPR1B|658	25145.3757	BMPR1B|658	491.16900000000004
BMPR2|659	2009.5376	BMPR2|659	3373.0025
BMS1P4|729096	34.8353	BMS1P4|729096	21.455
BMS1P5|399761	29.7688	BMS1P5|399761	85.3659
BMS1|9790	1938.4393	BMS1|9790	1234.651
BMX|660	20.5202	BMX|660	126.1564
lowly_expressed	lowly_expressed	BNC1|646	34.9033
BNC2|54796	37.2832	BNC2|54796	406.2237
BNIP1|662	239.5954	BNIP1|662	172.4138
BNIP2|663	334.9711	BNIP2|663	1113.5408
BNIP3L|665	837.8613	BNIP3L|665	4354.0791
BNIP3|664	1614.7399	BNIP3|664	908.7468
BNIPL|149428	73.1214	BNIPL|149428	353.6585
BOC|91653	48.8439	BOC|91653	1927.6703
BOD1L|259282	2036.4162	BOD1L|259282	1749.7897
BOD1|91272	873.9884	BOD1|91272	829.6888
BOK|666	186.4162	BOK|666	2941.5475
BOLA1|51027	449.1329	BOLA1|51027	190.9167
BOLA2|552900	1574.604	BOLA2|552900	553.0698
BOLA3|388962	275.4335	BOLA3|388962	179.1421
BOP1|23246	785.8382	BOP1|23246	69.8066
BPGM|669	376.5896	BPGM|669	455.8452
BPHL|670	560.1156	BPHL|670	379.3103
BPIL1|80341	5.2023	BPIL1|80341	58.4525
BPNT1|10380	1760.4046	BPNT1|10380	561.8167
BPTF|2186	4453.1792	BPTF|2186	2388.1413
BRAF|673	221.0983	BRAF|673	214.4659
BRAP|8315	629.4798	BRAP|8315	645.5004
BRCA1|672	1292.4855	BRCA1|672	179.9832
BRCA2|675	301.1561	BRCA2|675	59.2935
BRCC3|79184	1011.2717	BRCC3|79184	450.3785
BRD1|23774	609.8266	BRD1|23774	933.5576
BRD2|6046	5131.7919	BRD2|6046	6106.3919
BRD3|8019	1517.026	BRD3|8019	1077.0017
BRD4|23476	1133.237	BRD4|23476	1431.455
BRD7|29117	863.5838	BRD7|29117	1141.2952
BRD8|10902	2063.2948	BRD8|10902	1051.7241
BRD9|65980	908.6705	BRD9|65980	740.5383
BRDT|676	5.4913	lowly_expressed	lowly_expressed
BRE|9577	754.6243	BRE|9577	474.6299
BRF1|2972	764.1618	BRF1|2972	688.8141
BRF2|55290	300.289	BRF2|55290	297.3087
BRI3BP|140707	345.6647	BRI3BP|140707	50.8831
BRI3|25798	649.1329	BRI3|25798	1121.9512
BRIP1|83990	232.65900000000002	BRIP1|83990	26.4929
BRIX1|55299	1239.8844	BRIX1|55299	441.968
BRMS1L|84312	156.0694	BRMS1L|84312	207.3171
BRMS1|25855	2065.3179	BRMS1|25855	593.7763
BRP44L|51660	252.6012	BRP44L|51660	509.67199999999997
BRP44|25874	1088.1503	BRP44|25874	681.6653
BRPF1|7862	532.948	BRPF1|7862	635.4079
BRPF3|27154	1473.1214	BRPF3|27154	1342.3045
BRSK1|84446	43.9306	BRSK1|84446	68.9655
BRSK2|9024	21.9653	lowly_expressed	lowly_expressed
BRWD1|54014	1855.2023	BRWD1|54014	1619.0076
BRWD3|254065	513.8728	BRWD3|254065	161.9008
BSCL2|26580	2106.896	BSCL2|26580	1624.815
BSDC1|55108	2243.6416	BSDC1|55108	2494.1127
BSG|682	6848.2659	BSG|682	7002.5231
BSN|8927	639.0173	BSN|8927	51.7241
BSPRY|54836	642.4855	BSPRY|54836	492.8511
BST1|683	57.2254	BST1|683	191.3373
BST2|684	2450.578	BST2|684	4370.0589
BTAF1|9044	956.3584	BTAF1|9044	1149.7056
BTBD10|84280	689.8844	BTBD10|84280	589.1505
BTBD11|121551	263.0058	BTBD11|121551	164.4239
BTBD12|84464	328.6127	BTBD12|84464	239.6972
lowly_expressed	lowly_expressed	BTBD19|149478	30.6981
BTBD1|53339	1244.2197	BTBD1|53339	1391.0849
BTBD2|55643	889.5954	BTBD2|55643	1693.4399
BTBD3|22903	632.948	BTBD3|22903	847.3507
BTBD6|90135	918.7861	BTBD6|90135	2104.2893
BTBD7|55727	998.2659	BTBD7|55727	1019.3439999999999
lowly_expressed	lowly_expressed	BTBD8|284697	16.8209
BTBD9|114781	389.0173	BTBD9|114781	516.4003
BTC|685	18.4971	BTC|685	32.8007
BTD|686	351.7341	BTD|686	887.3003
BTF3L4|91408	1020.5202	BTF3L4|91408	782.5904
BTF3|689	9104.9133	BTF3|689	7007.5694
BTG1|694	1480.0578	BTG1|694	4149.7056
BTG2|7832	6999.422	BTG2|7832	6797.3087
BTG3|10950	185.2601	BTG3|10950	433.9781
BTK|695	64.1618	BTK|695	126.57700000000001
lowly_expressed	lowly_expressed	BTLA|151888	5.4668
BTN2A1|11120	760.4046	BTN2A1|11120	724.5585
BTN2A2|10385	434.9711	BTN2A2|10385	339.3608
BTN2A3|54718	13.0058	BTN2A3|54718	41.6316
BTN3A1|11119	1088.7283	BTN3A1|11119	1196.3835
BTN3A2|11118	1524.5665	BTN3A2|11118	1739.2767
BTN3A3|10384	394.5087	BTN3A3|10384	937.7628
BTNL9|153579	46.8208	BTNL9|153579	2155.5929
BTRC|8945	1505.2023	BTRC|8945	732.1278
BUB1B|701	547.815	BUB1B|701	26.0723
BUB1|699	1020.2312	BUB1|699	23.1287
BUB3|9184	4420.5202	BUB3|9184	1401.1775
BUD13|84811	336.9942	BUD13|84811	430.1934
BUD31|8896	747.6792	BUD31|8896	762.439
BVES|11149	16.185	BVES|11149	200.1682
BYSL|705	275.1445	BYSL|705	254.4155
BZRAP1|9256	115.3179	BZRAP1|9256	500.841
BZW1|9689	2927.4566	BZW1|9689	3799.4113
BZW2|28969	1768.7861	BZW2|28969	905.3827
lowly_expressed	lowly_expressed	C10orf105|414152	18.0824
lowly_expressed	lowly_expressed	C10orf107|219621	6.3078
lowly_expressed	lowly_expressed	C10orf108|414235	29.857
C10orf10|11067	1068.4971	C10orf10|11067	6531.9596
C10orf110|55853	16.1994	C10orf110|55853	14.1085
lowly_expressed	lowly_expressed	C10orf111|221060	7.1489
C10orf114|399726	5.7803	C10orf114|399726	44.1548
C10orf116|10974	1374.9682	C10orf116|10974	5514.1127
C10orf118|55088	797.1098	C10orf118|55088	783.852
C10orf119|79892	2171.9653	C10orf119|79892	1288.0572
C10orf11|83938	28.6127	C10orf11|83938	71.0681
C10orf125|282969	23.9884	C10orf125|282969	92.9352
C10orf128|170371	10.4046	C10orf128|170371	63.9193
C10orf12|26148	140.6879	C10orf12|26148	99.6131
C10orf137|26098	474.2775	C10orf137|26098	369.2178
C10orf140|387640	9.2486	C10orf140|387640	55.5088
C10orf18|54906	1404.3353	C10orf18|54906	1506.3078
C10orf25|220979	15.6069	C10orf25|220979	51.5307
C10orf26|54838	2050.2889999999998	C10orf26|54838	2433.1371
C10orf28|27291	541.6185	C10orf28|27291	406.6442
C10orf2|56652	592.7746	C10orf2|56652	239.6972
C10orf32|119032	412.1387	C10orf32|119032	725.3995
C10orf35|219738	259.5376	C10orf35|219738	140.4542
C10orf41|100131213	8.1185	C10orf41|100131213	32.3802
C10orf46|143384	2486.4162	C10orf46|143384	1530.2775
C10orf47|254427	360.1156	C10orf47|254427	138.7721
C10orf4|118924	446.5318	C10orf4|118924	482.3381
C10orf54|64115	214.7399	C10orf54|64115	2200.1682
lowly_expressed	lowly_expressed	C10orf55|414236	12.5147
C10orf57|80195	1532.974	C10orf57|80195	1051.6316
C10orf58|84293	3035.8382	C10orf58|84293	4851.5559
lowly_expressed	lowly_expressed	C10orf68|79741	6.7788
C10orf72|196740	100.8671	C10orf72|196740	1812.4474
C10orf75|90271	201.4451	C10orf75|90271	104.2893
C10orf76|79591	941.0405	C10orf76|79591	655.5929
C10orf78|119392	160.6936	C10orf78|119392	120.6897
C10orf79|80217	7.2254	C10orf79|80217	49.201
C10orf81|79949	54.9133	C10orf81|79949	1233.3894
C10orf82|143379	31.7919	C10orf82|143379	16.8209
C10orf84|63877	866.4739999999999	C10orf84|63877	683.3474
C10orf88|80007	330.6358	C10orf88|80007	186.7115
lowly_expressed	lowly_expressed	C10orf90|118611	91.6737
C10orf93|255352	19.3642	C10orf93|255352	11.7746
C10orf95|79946	6.5809	C10orf95|79946	6.4508
C11orf10|746	782.948	C11orf10|746	716.148
C11orf17|56672	380.0578	C11orf17|56672	232.5484
C11orf1|64776	55.7803	C11orf1|64776	254.3818
lowly_expressed	lowly_expressed	C11orf21|29125	5.8873
C11orf24|53838	1036.7052	C11orf24|53838	792.2624
C11orf2|738	1110.1156	C11orf2|738	1575.6939
C11orf30|56946	378.9017	C11orf30|56946	516.4003
C11orf31|280636	789.0173	C11orf31|280636	568.1245
C11orf35|256329	31.7486	C11orf35|256329	24.2473
C11orf41|25758	22.8324	C11orf41|25758	121.5307
C11orf45|219833	23.9884	C11orf45|219833	54.2473
C11orf46|120534	465.89599999999996	C11orf46|120534	594.6173
C11orf48|79081	663.2572	C11orf48|79081	346.8629
C11orf49|79096	343.0636	C11orf49|79096	343.566
C11orf51|25906	183.7081	C11orf51|25906	314.1674
C11orf52|91894	268.2081	C11orf52|91894	339.8823
lowly_expressed	lowly_expressed	C11orf53|341032	18.5029
C11orf54|28970	1709.2486	C11orf54|28970	484.0202
C11orf57|55216	639.3064	C11orf57|55216	654.3314
C11orf58|10944	3150.578	C11orf58|10944	2970.9840000000004
C11orf59|55004	834.3931	C11orf59|55004	1486.9638
C11orf61|79684	58.9595	C11orf61|79684	229.1842
C11orf63|79864	56.6474	C11orf63|79864	251.8923
lowly_expressed	lowly_expressed	C11orf66|220004	31.5391
C11orf67|28971	69.0751	C11orf67|28971	435.0925
C11orf68|83638	547.6879	C11orf68|83638	814.1295
C11orf70|85016	11.8497	C11orf70|85016	29.4365
C11orf71|54494	100.289	C11orf71|54494	207.7376
C11orf73|51501	802.3121	C11orf73|51501	465.0967
C11orf74|119710	109.5376	C11orf74|119710	162.7418
C11orf75|56935	53.4682	C11orf75|56935	196.3835
C11orf80|79703	750.0	C11orf80|79703	170.7317
C11orf82|220042	83.815	C11orf82|220042	37.0059
C11orf83|790955	240.7514	C11orf83|790955	165.6854
C11orf84|144097	494.5087	C11orf84|144097	251.8923
C11orf85|283129	6.9364	lowly_expressed	lowly_expressed
C11orf88|399949	64.7399	lowly_expressed	lowly_expressed
C11orf92|399948	181.7919	C11orf92|399948	189.2347
C11orf93|120376	29.7688	C11orf93|120376	34.4828
C11orf95|65998	304.6243	C11orf95|65998	734.2304
lowly_expressed	lowly_expressed	C11orf9|745	30.6981
C12orf10|60314	831.2139	C12orf10|60314	593.3558
C12orf11|55726	518.2081	C12orf11|55726	378.8898
C12orf23|90488	1463.2948	C12orf23|90488	1230.4458
C12orf24|29902	139.5954	C12orf24|29902	71.0681
C12orf26|84190	93.6416	C12orf26|84190	124.8949
C12orf29|91298	374.1618	C12orf29|91298	319.878
C12orf32|83695	811.8497	C12orf32|83695	339.3608
C12orf34|84915	539.8844	C12orf34|84915	109.3356
C12orf35|55196	738.4393	C12orf35|55196	1305.7191
lowly_expressed	lowly_expressed	C12orf39|80763	7.5694
C12orf41|54934	628.6127	C12orf41|54934	454.5837
C12orf43|64897	308.3815	C12orf43|64897	271.2363
C12orf44|60673	826.5896	C12orf44|60673	744.7435
C12orf45|121053	101.7341	C12orf45|121053	115.2229
C12orf47|51275	329.4971	C12orf47|51275	232.8007
C12orf48|55010	244.5087	C12orf48|55010	36.3751
C12orf49|79794	797.6879	C12orf49|79794	449.5374
C12orf4|57102	421.3873	C12orf4|57102	393.1876
C12orf51|283450	2211.8497	C12orf51|283450	1582.4222
C12orf52|84934	595.6647	C12orf52|84934	312.4474
lowly_expressed	lowly_expressed	C12orf53|196500	43.7342
C12orf57|113246	1351.7341	C12orf57|113246	1186.7115
C12orf59|120939	8.6705	lowly_expressed	lowly_expressed
C12orf5|57103	281.7919	C12orf5|57103	386.0387
C12orf60|144608	33.525999999999996	C12orf60|144608	11.3541
lowly_expressed	lowly_expressed	C12orf61|283416	9.2515
C12orf62|84987	680.6358	C12orf62|84987	490.32800000000003
C12orf63|374467	5.7803	lowly_expressed	lowly_expressed
C12orf65|91574	327.4566	C12orf65|91574	218.2506
C12orf66|144577	410.4046	C12orf66|144577	112.2792
C12orf68|387856	18.4971	C12orf68|387856	34.0622
lowly_expressed	lowly_expressed	C12orf69|440087	40.3701
C12orf72|254013	63.8728	C12orf72|254013	99.6636
C12orf73|728568	214.7399	C12orf73|728568	76.5349
C12orf75|387882	84.9711	C12orf75|387882	269.5542
C12orf76|400073	132.94799999999998	C12orf76|400073	108.9151
C13orf15|28984	173.9884	C13orf15|28984	887.3003
C13orf18|80183	18.4971	C13orf18|80183	97.561
C13orf1|57213	270.5202	C13orf1|57213	227.5021
C13orf23|80209	1133.237	C13orf23|80209	751.0513
C13orf27|93081	171.6763	C13orf27|93081	94.6173
C13orf29|283487	80.9249	C13orf29|283487	129.1001
C13orf31|144811	205.2023	C13orf31|144811	291.0008
C13orf33|84935	36.4162	C13orf33|84935	1391.0849
C13orf34|79866	179.2341	C13orf34|79866	100.9336
lowly_expressed	lowly_expressed	C13orf36|400120	8.831
C13orf37|440145	682.659	C13orf37|440145	237.5946
lowly_expressed	lowly_expressed	C13orf38|728591	5.0463
C14orf101|54916	552.8902	C14orf101|54916	425.1472
C14orf102|55051	299.422	C14orf102|55051	324.222
C14orf104|55172	325.7225	C14orf104|55172	235.0715
C14orf106|55320	636.7052	C14orf106|55320	521.4466
C14orf109|26175	297.1098	C14orf109|26175	258.6207
C14orf118|55668	232.65900000000002	C14orf118|55668	240.9588
C14orf119|55017	763.2948	C14orf119|55017	757.3591
C14orf126|112487	431.2919	C14orf126|112487	481.0261
C14orf128|84837	26.8786	C14orf128|84837	87.4685
C14orf129|51527	622.2543	C14orf129|51527	375.9462
C14orf132|56967	304.3353	C14orf132|56967	814.1295
C14orf135|64430	797.1098	C14orf135|64430	828.0067
C14orf138|79609	106.0694	C14orf138|79609	136.6695
C14orf139|79686	24.2775	C14orf139|79686	866.2742
C14orf142|84520	297.1098	C14orf142|84520	149.7056
C14orf143|90141	129.4798	C14orf143|90141	70.6476
C14orf145|145508	179.1908	C14orf145|145508	79.8991
C14orf147|171546	953.7572	C14orf147|171546	986.1228
C14orf148|122945	6.0694	C14orf148|122945	7.5694
C14orf149|112849	46.8208	C14orf149|112849	125.3154
C14orf153|84334	348.4249	C14orf153|84334	370.0589
C14orf156|81892	593.9306	C14orf156|81892	380.5719
C14orf159|80017	666.185	C14orf159|80017	1150.5467
C14orf162|56936	13.2948	lowly_expressed	lowly_expressed
C14orf166|51637	1581.5029	C14orf166|51637	1735.0715
C14orf167|55449	1494.4277	C14orf167|55449	679.4491
C14orf169|79697	415.3179	C14orf169|79697	235.9125
C14orf174|161394	95.6647	C14orf174|161394	39.1085
lowly_expressed	lowly_expressed	C14orf176|643382	15.9798
C14orf179|112752	317.6301	C14orf179|112752	229.6047
C14orf180|400258	7.8035	C14orf180|400258	1013.4567
C14orf181|400223	8.9595	C14orf181|400223	26.0723
lowly_expressed	lowly_expressed	C14orf182|283551	5.8873
C14orf1|11161	1249.711	C14orf1|11161	608.4945
C14orf21|161424	469.9422	C14orf21|161424	270.8158
C14orf28|122525	47.9769	C14orf28|122525	121.5307
C14orf2|9556	932.0809	C14orf2|9556	630.7822
C14orf33|100129075	168.4971	C14orf33|100129075	73.1707
C14orf37|145407	15.6069	C14orf37|145407	95.8789
C14orf43|91748	3014.4509	C14orf43|91748	1442.3886
C14orf45|80127	360.3613	C14orf45|80127	313.1707
C14orf49|161176	30.9249	C14orf49|161176	422.2035
C14orf4|64207	2433.526	C14orf4|64207	1765.349
C14orf50|145376	59.5376	C14orf50|145376	33.6417
C14orf53|440184	35.8382	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C14orf64|388011	28.5955
C14orf73|91828	5.4913	lowly_expressed	lowly_expressed
C14orf79|122616	352.6012	C14orf79|122616	247.2666
C14orf80|283643	180.0578	lowly_expressed	lowly_expressed
C14orf93|60686	250.28900000000002	C14orf93|60686	207.3171
C15orf17|57184	683.237	C15orf17|57184	1496.6358
C15orf21|283651	62.4277	C15orf21|283651	25.6518
C15orf23|90417	522.8324	C15orf23|90417	128.259
C15orf24|56851	1130.0578	C15orf24|56851	973.9277
C15orf27|123591	5.2023	C15orf27|123591	11.3541
C15orf29|79768	195.9538	C15orf29|79768	373.0025
C15orf33|196951	6.9971	C15orf33|196951	24.8108
lowly_expressed	lowly_expressed	C15orf34|80072	17.2414
C15orf37|283687	12.7601	C15orf37|283687	34.1421
C15orf38|348110	278.1329	C15orf38|348110	319.0496
C15orf39|56905	685.5491	C15orf39|56905	888.5618
C15orf40|123207	229.84099999999998	C15orf40|123207	230.1177
C15orf41|84529	69.9422	C15orf41|84529	118.587
C15orf42|90381	189.6994	C15orf42|90381	33.3347
C15orf44|81556	990.1734	C15orf44|81556	774.18
C15orf48|84419	92.1965	C15orf48|84419	122.3717
lowly_expressed	lowly_expressed	C15orf51|196968	7.9899
C15orf52|388115	76.0116	C15orf52|388115	645.5004
C15orf56|644809	7.8035	C15orf56|644809	8.831
C15orf57|90416	368.2919	C15orf57|90416	324.9243
C15orf58|390637	41.9075	C15orf58|390637	49.6215
C15orf59|388135	24.8555	C15orf59|388135	66.0219
C15orf61|145853	119.3642	C15orf61|145853	86.2069
C15orf62|643338	18.4971	C15orf62|643338	43.7342
C15orf63|25764	914.4509	C15orf63|25764	565.1808
C16orf13|84326	764.1618	C16orf13|84326	296.8881
C16orf42|115939	1026.1821	C16orf42|115939	660.0715
C16orf45|89927	917.6301	C16orf45|89927	599.6636
C16orf46|123775	27.4566	C16orf46|123775	82.8427
C16orf48|84080	174.2775	C16orf48|84080	273.3389
C16orf52|730094	618.4971	C16orf52|730094	367.9563
C16orf53|79447	2275.0462	C16orf53|79447	637.0185
C16orf54|283897	15.0289	C16orf54|283897	80.3196
C16orf55|124045	137.5723	C16orf55|124045	85.7864
C16orf57|79650	375.1445	C16orf57|79650	738.0151
C16orf58|64755	3413.763	C16orf58|64755	1781.2658
C16orf59|80178	152.6012	C16orf59|80178	16.8209
C16orf5|29965	341.9075	C16orf5|29965	836.8377
C16orf61|56942	220.7919	C16orf61|56942	194.1463
C16orf62|57020	733.5260000000001	C16orf62|57020	1227.9226
C16orf63|123811	1590.7514	C16orf63|123811	754.4155
C16orf68|79091	243.3526	C16orf68|79091	216.5685
C16orf70|80262	626.737	C16orf70|80262	477.6955
