gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
lowly_expressed	lowly_expressed	CMTM5|116173	20.8078
CMTM6|54918	3462.7379	CMTM6|54918	2866.2791
CMTM7|112616	1071.5131	CMTM7|112616	1087.8213
CMTM8|152189	176.5781	CMTM8|152189	209.3023
CMYA5|202333	182.1701	CMYA5|202333	1360.1591
CN5H6.4|150384	7.9578	CN5H6.4|150384	11.0159
CNBP|7555	6809.1193	CNBP|7555	8752.754
CNDP2|55748	2930.2075	CNDP2|55748	2754.8959999999997
CNFN|84518	6.8825	CNFN|84518	34.5777
CNGA1|1259	8.6031	CNGA1|1259	43.4517
CNGA3|1261	15.4855	CNGA3|1261	8.2619
CNGB1|1258	6.4523	lowly_expressed	lowly_expressed
CNIH2|254263	6.8825	lowly_expressed	lowly_expressed
CNIH3|149111	46.6717	CNIH3|149111	52.3256
CNIH4|29097	1114.0983	CNIH4|29097	694.0024
CNIH|10175	1126.1426	CNIH|10175	1125.765
CNKSR1|10256	248.4138	CNKSR1|10256	313.6475
CNKSR2|22866	8.8182	CNKSR2|22866	73.4394
CNKSR3|154043	1078.3955	CNKSR3|154043	241.1261
CNN1|1264	390.3646	CNN1|1264	4336.5973
CNN2|1265	2458.3289	CNN2|1265	3101.8972
CNN3|1266	4781.8045	CNN3|1266	6256.7319
CNNM1|26507	8.6031	CNNM1|26507	43.4517
CNNM2|54805	161.9529	CNNM2|54805	148.1028
CNNM3|26505	709.7537	CNNM3|26505	806.9155
CNNM4|26504	881.6002	CNNM4|26504	842.7173
CNOT10|25904	588.2353	CNOT10|25904	549.2656
CNOT1|23019	5234.9651	CNOT1|23019	3925.612
CNOT2|4848	1275.1909	CNOT2|4848	1517.1359
CNOT3|4849	683.0842	CNOT3|4849	771.1138
CNOT4|4850	649.9624	CNOT4|4850	567.0135
CNOT6L|246175	2268.416	CNOT6L|246175	1538.8617
CNOT6|57472	1472.6315	CNOT6|57472	842.7173
CNOT7|29883	1488.7622	CNOT7|29883	1824.6634
CNOT8|9337	1669.6419	CNOT8|9337	1852.8152
CNO|55330	151.1991	CNO|55330	221.8482
CNPY2|10330	1171.5238	CNPY2|10330	975.5202
CNPY3|10695	1421.2281	CNPY3|10695	735.3121
CNPY4|245812	283.2326	CNPY4|245812	230.101
CNP|1267	3277.8643	CNP|1267	1704.2809
CNR1|1268	157.6514	CNR1|1268	210.5263
CNR2|1269	30.5409	CNR2|1269	9.7919
CNRIP1|25927	265.4049	CNRIP1|25927	552.6316
CNST|163882	674.6962	CNST|163882	802.9376
CNTD1|124817	53.751999999999995	CNTD1|124817	50.9578
CNTD2|79935	51.6185	CNTD2|79935	8.2619
CNTFR|1271	166.4695	CNTFR|1271	798.3476
CNTF|1270	14.4747	CNTF|1270	22.805999999999997
CNTLN|54875	188.6224	CNTLN|54875	347.9192
CNTN1|1272	76.9975	CNTN1|1272	344.2472
lowly_expressed	lowly_expressed	CNTN2|6900	19.5838
CNTN3|5067	27.3148	CNTN3|5067	113.8311
CNTN4|152330	39.7892	CNTN4|152330	245.41
CNTN5|53942	16.1308	lowly_expressed	lowly_expressed
CNTNAP1|8506	186.6867	CNTNAP1|8506	179.6206
CNTNAP2|26047	5.8071	CNTNAP2|26047	16.5239
CNTNAP3|79937	67.3191	CNTNAP3|79937	306.9155
CNTROB|116840	784.8156	CNTROB|116840	675.9486
COASY|80347	1687.2782	COASY|80347	1162.4847
COBLL1|22837	1379.2881	COBLL1|22837	1760.7099
COBL|23242	2226.2609	COBL|23242	718.4823
COBRA1|25920	1242.9293	COBRA1|25920	1044.3696
COCH|1690	48.36	COCH|1690	29.0545
COG1|9382	626.5061	COG1|9382	867.8397
COG2|22796	1085.4931	COG2|22796	686.9645
COG3|83548	840.9506	COG3|83548	897.1848
COG4|25839	796.2146	COG4|25839	1039.4737
COG5|10466	1602.5121	COG5|10466	1022.448
COG6|57511	791.0528	COG6|57511	769.2778
COG7|91949	592.967	COG7|91949	611.3831
COG8|84342	303.1638	COG8|84342	380.9211
COIL|8161	482.2024	COIL|8161	532.4357
COL10A1|1300	381.3313	lowly_expressed	lowly_expressed
COL11A1|1301	794.279	COL11A1|1301	12.2399
COL11A2|1302	15.9157	COL11A2|1302	24.1738
COL12A1|1303	2820.0882	COL12A1|1303	2764.0759
COL13A1|1305	55.92	COL13A1|1305	8.8739
COL14A1|7373	4521.7765	COL14A1|7373	7942.7785
COL15A1|1306	4735.563	COL15A1|1306	3110.1591
COL16A1|1307	1172.8143	COL16A1|1307	1630.967
COL17A1|1308	1131.3044	COL17A1|1308	4282.4357
COL18A1|80781	2805.678	COL18A1|80781	3070.3794
COL19A1|1310	22.368000000000002	lowly_expressed	lowly_expressed
COL1A1|1277	50410.3667	COL1A1|1277	23070.3794
COL1A2|1278	48795.7845	COL1A2|1278	31296.8176
COL21A1|81578	18.4966	COL21A1|81578	76.8054
COL22A1|169044	16.1308	lowly_expressed	lowly_expressed
COL23A1|91522	13.7649	COL23A1|91522	37.9437
COL24A1|255631	36.1329	COL24A1|255631	5.507999999999999
COL25A1|84570	90.3323	COL25A1|84570	46.8176
COL27A1|85301	341.327	COL27A1|85301	198.8984
COL28A1|340267	31.8314	COL28A1|340267	16.2179
COL29A1|256076	9.8935	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	COL2A1|1280	43.4517
COL3A1|1281	50990.6442	COL3A1|1281	22052.6316
COL4A1|1282	12754.7048	COL4A1|1282	9203.1824
COL4A2|1284	10288.203000000001	COL4A2|1284	10937.5765
COL4A3BP|10087	916.0125	COL4A3BP|10087	1835.9853
COL4A3|1285	94.8489	COL4A3|1285	33.0477
COL4A4|1286	507.7965	COL4A4|1286	67.6255
COL4A5|1287	270.9969	COL4A5|1287	704.7124
COL4A6|1288	45.8114	COL4A6|1288	240.2081
COL5A1|1289	3306.1620000000003	COL5A1|1289	1585.6793
COL5A2|1290	5461.2324	COL5A2|1290	2029.9878
COL5A3|50509	477.2556	COL5A3|50509	481.3341
COL6A1|1291	8161.9529	COL6A1|1291	7410.0367
COL6A2|1292	8974.0832	COL6A2|1292	11454.7124
COL6A3|1293	20300.2473	COL6A3|1293	10757.0379
COL6A6|131873	117.6471	COL6A6|131873	469.7062
COL7A1|1294	187.332	COL7A1|1294	492.6561
COL8A1|1295	264.7597	COL8A1|1295	615.0551
COL8A2|1296	822.2389999999999	COL8A2|1296	740.2081
COL9A2|1298	111.4098	COL9A2|1298	327.4174
COL9A3|1299	151.6292	COL9A3|1299	41.6157
COLEC11|78989	17.2062	COLEC11|78989	27.2338
COLEC12|81035	1184.2134	COLEC12|81035	905.4468
COLQ|8292	38.0686	COLQ|8292	56.6371
COMMD10|51397	279.6	COMMD10|51397	394.7368
COMMD1|150684	288.4181	COMMD1|150684	253.672
COMMD2|51122	1450.9087	COMMD2|51122	1052.6316
COMMD3|23412	602.7702	COMMD3|23412	640.2111
COMMD4|54939	571.8895	COMMD4|54939	635.8629
COMMD5|28991	437.0965	COMMD5|28991	361.4688
COMMD6|170622	974.2983	COMMD6|170622	1777.5398
COMMD7|149951	1244.865	COMMD7|149951	956.8543
COMMD8|54951	279.6	COMMD8|54951	301.1016
COMMD9|29099	1016.0232	COMMD9|29099	738.0661
COMP|1311	495.9673	COMP|1311	48.3476
COMTD1|118881	52.0486	COMTD1|118881	44.9816
COMT|1312	1367.6739	COMT|1312	1395.9608
COPA|1314	13070.442	COPA|1314	4801.4474
COPB1|1315	4166.8997	COPB1|1315	3128.5526
COPB2|9276	6208.1944	COPB2|9276	2998.164
COPE|11316	1053.3239999999998	COPE|11316	1147.1848
COPG2|26958	549.5215	COPG2|26958	614.7491
COPG|22820	5312.6143	COPG|22820	2790.3917
COPS2|9318	1938.0579	COPS2|9318	2088.4333
COPS3|8533	1029.5731	COPS3|8533	973.0722
COPS4|51138	960.5334	COPS4|51138	985.0061
COPS5|10987	1298.4192	COPS5|10987	973.9902
COPS6|10980	1425.7447	COPS6|10980	1432.9865
COPS7A|50813	763.738	COPS7A|50813	1215.4223
COPS7B|64708	675.7716	COPS7B|64708	550.7956
COPS8|10920	931.0399	COPS8|10920	1073.4333
COPZ1|22818	2687.6008	COPZ1|22818	2846.3892
COPZ2|51226	170.3409	COPZ2|51226	598.2252
COQ10A|93058	72.2658	COQ10A|93058	134.9449
COQ10B|80219	960.1032	COQ10B|80219	996.328
COQ2|27235	554.8984	COQ2|27235	153.3048
COQ3|51805	162.5981	COQ3|51805	168.2987
COQ4|51117	359.3935	COQ4|51117	602.8152
COQ5|84274	470.1581	COQ5|84274	645.9608
COQ6|51004	168.2288	COQ6|51004	322.8397
COQ7|10229	290.1387	COQ7|10229	559.6695
COQ9|57017	668.6741	COQ9|57017	629.437
CORIN|10699	66.2437	CORIN|10699	12.5459
CORO1A|11151	2025.5941	CORO1A|11151	483.1701
CORO1B|57175	1068.0718	CORO1B|57175	1052.9376
CORO1C|23603	3484.8908	CORO1C|23603	2683.2925
CORO2A|7464	796.8599	CORO2A|7464	364.1371
CORO2B|10391	92.6981	CORO2B|10391	260.4039
CORO6|84940	9.4634	CORO6|84940	42.2277
CORO7|79585	671.6507	CORO7|79585	333.1793
lowly_expressed	lowly_expressed	CORT|1325	6.0006
COTL1|23406	4675.9867	COTL1|23406	1736.8421
COX10|1352	249.05900000000003	COX10|1352	295.5936
COX11|1353	637.0771	COX11|1353	883.5098
COX15|1355	768.2697	COX15|1355	1041.7258
COX16|51241	677.7073	COX16|51241	712.9743
COX17|10063	322.4003	COX17|10063	343.3293
COX18|285521	441.1227	COX18|285521	422.5826
COX19|90639	251.2786	COX19|90639	271.5545
COX4I1|1327	2729.3257	COX4I1|1327	3921.3586
COX4I2|84701	28.6052	COX4I2|84701	38.5557
COX4NB|10328	400.6882	COX4NB|10328	358.0171
COX5A|9377	1532.8529999999998	COX5A|9377	954.7124
COX5B|1329	1139.9075	COX5B|1329	1017.7479
COX6A1|1337	1138.6171	COX6A1|1337	1316.0955
COX6B1|1340	2289.0633	COX6B1|1340	1888.6169
lowly_expressed	lowly_expressed	COX6B2|125965	10.0979
COX6C|1345	2307.775	COX6C|1345	1431.1506
COX7A1|1346	81.2991	COX7A1|1346	593.6353
COX7A2L|9167	1524.8952	COX7A2L|9167	1907.2827
COX7A2|1347	1293.6875	COX7A2|1347	1168.9106
COX7B|1349	1330.4656	COX7B|1349	1216.9523
COX7C|1350	1951.6077	COX7C|1350	2504.896
COX8A|1351	1273.0401	COX8A|1351	1042.8397
CP110|9738	776.4276	CP110|9738	727.3562
CPA1|1357	9.4634	CPA1|1357	138.9229
lowly_expressed	lowly_expressed	CPA2|1358	18.0539
CPA3|1359	232.9283	CPA3|1359	250.30599999999998
CPA4|51200	370.3624	CPA4|51200	60.2815
CPAMD8|27151	363.9101	CPAMD8|27151	642.2889
lowly_expressed	lowly_expressed	CPB1|1360	350.3672
CPD|1362	3400.5807	CPD|1362	3059.9755
CPEB1|64506	17.6363	CPEB1|64506	47.1236
CPEB2|132864	547.8008	CPEB2|132864	1134.9449
CPEB3|22849	235.2941	CPEB3|22849	237.4541
CPEB4|80315	1170.6635	CPEB4|80315	1503.06
CPE|1363	1307.0223	CPE|1363	3724.9082
CPLX1|10815	12.4745	CPLX1|10815	69.1554
CPM|1368	1498.8708	CPM|1368	3323.1334
CPNE1|8904	2703.3229	CPNE1|8904	1599.5318
CPNE2|221184	994.3005	CPNE2|221184	898.1028
CPNE3|8895	3864.7166	CPNE3|8895	3224.2962
CPNE5|57699	350.1452	CPNE5|57699	89.0453
CPNE7|27132	35.4877	CPNE7|27132	6.12
CPNE8|144402	271.427	CPNE8|144402	313.3415
CPNE9|151835	9.8935	lowly_expressed	lowly_expressed
CPOX|1371	500.0538	CPOX|1371	342.4113
CPPED1|55313	1105.0651	CPPED1|55313	605.2632
CPS1|1373	73.5563	CPS1|1373	217.5643
CPSF1|29894	1011.7217	CPSF1|29894	904.5288
CPSF2|53981	1740.4022	CPSF2|53981	1107.4051
CPSF3L|54973	713.195	CPSF3L|54973	988.0661
CPSF3|51692	1196.0426	CPSF3|51692	749.694
CPSF4|10898	397.6772	CPSF4|10898	410.3427
CPSF6|11052	1815.8942	CPSF6|11052	1476.7442
CPSF7|79869	1762.125	CPSF7|79869	2028.4578
CPT1A|1374	2242.3917	CPT1A|1374	2396.2668
CPT1B|1375	127.0094	CPT1B|1375	373.06300000000005
CPT1C|126129	66.8889	CPT1C|126129	69.4614
CPT2|1376	578.1267	CPT2|1376	594.5532
CPVL|54504	1215.8297	CPVL|54504	516.5239
CPXM1|56265	1208.302	CPXM1|56265	1277.2338
CPXM2|119587	899.8817	CPXM2|119587	1526.9278
CPZ|8532	292.2895	CPZ|8532	502.142
CP|1356	1511.7884	CP|1356	2566.5881
CR1L|1379	9.0332	lowly_expressed	lowly_expressed
CR1|1378	374.0187	lowly_expressed	lowly_expressed
CR2|1380	537.9073	CR2|1380	133.4149
CRABP1|1381	47.7471	CRABP1|1381	145.3488
CRABP2|1382	9217.1201	CRABP2|1382	2983.4761
CRADD|8738	84.0951	CRADD|8738	175.9486
CRAMP1L|57585	756.2405	CRAMP1L|57585	869.6726
CRAT|1384	457.6836	CRAT|1384	740.2081
lowly_expressed	lowly_expressed	CRB1|23418	12.2399
CRB2|286204	27.3148	CRB2|286204	62.4235
CRB3|92359	112.9154	CRB3|92359	94.5532
CRBN|51185	717.2857	CRBN|51185	1134.9388
CRCP|27297	1055.8125	CRCP|27297	901.4688
CREB1|1385	1573.5025	CREB1|1385	1420.1346
CREB3L1|90993	284.3316	CREB3L1|90993	264.6879
CREB3L2|64764	6696.8491	CREB3L2|64764	2932.3745
CREB3L4|148327	690.1817	CREB3L4|148327	594.2472
CREB3|10488	1592.767	CREB3|10488	969.1616
CREB5|9586	202.3874	CREB5|9586	349.7552
CREBBP|1387	2307.1298	CREBBP|1387	2735.6181
CREBL2|1389	1952.8982	CREBL2|1389	3029.9878
CREBZF|58487	1037.1008	CREBZF|58487	1180.5386
CREG1|8804	5808.1514	CREG1|8804	3793.7576
CRELD1|78987	289.9236	CRELD1|78987	560.8935
CRELD2|79174	555.3285	CRELD2|79174	399.6328
CREM|1390	494.2467	CREM|1390	384.6389
CRHBP|1393	36.9932	CRHBP|1393	269.2778
CRHR1|1394	24.0886	CRHR1|1394	26.4137
CRIM1|51232	4442.6282	CRIM1|51232	10600.9792
CRIP1|1396	537.6922	CRIP1|1396	979.4982
CRIP2|1397	665.8781	CRIP2|1397	2009.1799
CRIPAK|285464	80.8689	CRIPAK|285464	262.2399
CRIPT|9419	690.6119	CRIPT|9419	511.3219
CRISP3|10321	7.0975	lowly_expressed	lowly_expressed
CRISPLD1|83690	542.639	CRISPLD1|83690	1043.7576
CRISPLD2|83716	1578.8794	CRISPLD2|83716	1197.6744
CRKL|1399	2004.7317	CRKL|1399	1974.9082
CRK|1398	1040.9721	CRK|1398	1208.0783
CRLF1|9244	28.8203	CRLF1|9244	78.3354
CRLF3|51379	933.6488	CRLF3|51379	406.9767
CRLS1|54675	511.88300000000004	CRLS1|54675	1350.9792
CRMP1|1400	70.0742	CRMP1|1400	140.9088
CRNKL1|51340	876.8685	CRNKL1|51340	954.7124
CROCCL1|84809	206.2007	CROCCL1|84809	337.8121
CROCCL2|114819	35.7028	CROCCL2|114819	66.4015
CROCC|9696	207.3341	CROCC|9696	390.1469
CROT|54677	185.6114	CROT|54677	626.377
CRTAC1|55118	28.1751	CRTAC1|55118	251.53
CRTAM|56253	91.1926	CRTAM|56253	21.1138
CRTAP|10491	3474.5672	CRTAP|10491	7448.2864
CRTC1|23373	137.6492	CRTC1|23373	380.967
CRTC2|200186	1187.8697	CRTC2|200186	883.4149
CRTC3|64784	1346.1663	CRTC3|64784	1529.0698
CRY1|1407	707.3879	CRY1|1407	519.8898
CRY2|1408	739.8645	CRY2|1408	2341.4933
CRYAB|1410	1226.7986	CRYAB|1410	5871.481
CRYBB1|1414	14.4102	CRYBB1|1414	8.2619
CRYBG3|131544	731.2442	CRYBG3|131544	980.4896
lowly_expressed	lowly_expressed	CRYGN|155051	8.2619
CRYGS|1427	7.5277	CRYGS|1427	12.2399
CRYL1|51084	472.5239	CRYL1|51084	562.7295
lowly_expressed	lowly_expressed	CRYM|1428	18.0539
CRYZL1|9946	237.6212	CRYZL1|9946	420.7099
CRYZ|1429	1260.2947	CRYZ|1429	1041.6983
CSAD|51380	141.9507	CSAD|51380	536.1077
CSAG1|158511	151.6292	lowly_expressed	lowly_expressed
CSAG2|728461	20.8388	lowly_expressed	lowly_expressed
CSAG3|389903	191.6572	lowly_expressed	lowly_expressed
CSDAP1|440359	43.6606	CSDAP1|440359	51.1016
CSDA|8531	2570.1688	CSDA|8531	3739.2901
CSDC2|27254	20.8625	CSDC2|27254	27.5398
CSDE1|7812	16775.5673	CSDE1|7812	21733.7821
CSE1L|1434	4029.2505	CSE1L|1434	1747.5520000000001
CSF1R|1436	3793.5262	CSF1R|1436	1032.7417
CSF1|1435	1603.8284	CSF1|1435	1182.3745
CSF2RA|1438	559.8451	CSF2RA|1438	329.5594
CSF2RB|1439	1112.1626	CSF2RB|1439	319.4614
CSF3R|1441	310.57099999999997	CSF3R|1441	265.2999
lowly_expressed	lowly_expressed	CSF3|1440	33.9657
CSGALNACT1|55790	488.0095	CSGALNACT1|55790	839.6573
CSGALNACT2|55454	1020.3248	CSGALNACT2|55454	736.5361
CSK|1445	1633.7241	CSK|1445	743.2681
CSMD1|64478	31.4012	CSMD1|64478	43.1457
CSMD2|114784	22.368000000000002	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CSN1S1|1446	67.3195
CSN3|1448	305.1941	lowly_expressed	lowly_expressed
CSNK1A1|1452	5257.1244	CSNK1A1|1452	6132.1909
CSNK1D|1453	2693.623	CSNK1D|1453	2604.0392
CSNK1E|1454	1377.8256	CSNK1E|1454	2196.9645
CSNK1G1|53944	913.6466	CSNK1G1|53944	564.5655
CSNK1G2|1455	717.2814	CSNK1G2|1455	680.2326
CSNK1G3|1456	640.7141	CSNK1G3|1456	869.033
CSNK2A1P|283106	389.7193	CSNK2A1P|283106	426.8666
CSNK2A1|1457	1020.5398	CSNK2A1|1457	1147.1848
CSNK2A2|1459	501.7744	CSNK2A2|1459	619.951
CSNK2B|1460	2337.1653	CSNK2B|1460	2015.8201
CSPG4|1464	865.0393	CSPG4|1464	1101.2852
CSPG5|10675	47.9621	CSPG5|10675	18.9718
CSPP1|79848	322.553	CSPP1|79848	349.3727
CSRNP1|64651	1274.1155	CSRNP1|64651	5092.1053
CSRNP2|81566	816.0017	CSRNP2|81566	1015.6059
CSRNP3|80034	12.0443	CSRNP3|80034	12.5459
CSRP1|1465	3918.9159999999997	CSRP1|1465	15640.7589
CSRP2BP|57325	548.4461	CSRP2BP|57325	740.5141
CSRP2|1466	299.387	CSRP2|1466	473.0722
CST1|1469	30.9711	lowly_expressed	lowly_expressed
CST3|1471	3616.0878	CST3|1471	4115.3611
CST6|1474	50.9732	CST6|1474	6.12
CST7|8530	251.4249	CST7|8530	65.1775
CSTA|1475	160.4474	CSTA|1475	197.0624
CSTB|1476	3219.7009999999996	CSTB|1476	1692.1665
CSTF1|1477	738.7891	CSTF1|1477	576.4994
CSTF2T|23283	763.738	CSTF2T|23283	1077.1114
CSTF2|1478	299.387	CSTF2|1478	207.1603
CSTF3|1479	1103.9703	CSTF3|1479	466.2576
CS|1431	3830.0893	CS|1431	4571.2974
lowly_expressed	lowly_expressed	CT62|196993	33.3537
CTAG1B|1485	732.5519	lowly_expressed	lowly_expressed
CTAG2|30848	254.65099999999998	lowly_expressed	lowly_expressed
CTAGE1|64693	8.388	lowly_expressed	lowly_expressed
CTAGE4|100128553	48.1772	CTAGE4|100128553	46.5116
CTAGE5|4253	865.5877	CTAGE5|4253	787.7938
lowly_expressed	lowly_expressed	CTAGE6|340307	9.4859
CTAGE9|643854	103.8821	CTAGE9|643854	119.95100000000001
CTBP1|1487	1209.0698	CTBP1|1487	1735.8874
CTBP2|1488	1751.156	CTBP2|1488	1700.4284
CTBS|1486	662.2024	CTBS|1486	587.1756
CTCFL|140690	13.3197	CTCFL|140690	7.1481
CTCF|10664	1381.6539	CTCF|10664	1570.0734
CTDP1|9150	308.4203	CTDP1|9150	387.6989
CTDSP1|58190	1824.9274	CTDSP1|58190	3149.3268
CTDSP2|10106	4754.2747	CTDSP2|10106	7361.6891
CTDSPL2|51496	954.7263	CTDSPL2|51496	776.0098
CTDSPL|10217	727.39	CTDSPL|10217	2033.6597
CTF1|1489	62.5874	CTF1|1489	211.7503
CTGF|1490	8361.7593	CTGF|1490	11769.5838
CTHRC1|115908	1571.3518	CTHRC1|115908	894.7368
CTH|1491	101.7314	CTH|1491	119.03299999999999
CTLA4|1493	167.9751	CTLA4|1493	13.1579
CTNNA1|1495	5333.6918	CTNNA1|1495	9344.8592
lowly_expressed	lowly_expressed	CTNNA3|29119	5.814
CTNNAL1|8727	408.6461	CTNNAL1|8727	1004.59
CTNNB1|1499	12110.4807	CTNNB1|1499	9838.3782
CTNNBIP1|56998	719.002	CTNNBIP1|56998	1176.5606
CTNNBL1|56259	949.9946	CTNNBL1|56259	968.7882
CTNND1|1500	10144.3166	CTNND1|1500	7990.8201
CTNND2|1501	103.2369	CTNND2|1501	109.5471
CTNS|1497	455.3414	CTNS|1497	414.0606
CTPS2|56474	828.6913	CTPS2|56474	495.10400000000004
CTPS|1503	1335.8426	CTPS|1503	306.6095
CTR9|9646	1403.1616	CTR9|9646	1577.1114
CTRL|1506	9.6785	CTRL|1506	7.9559
CTSA|5476	3133.6359	CTSA|5476	1708.4517
CTSB|1508	39267.6632	CTSB|1508	11145.0428
CTSC|1075	5588.5579	CTSC|1075	1691.5545
CTSD|1509	19896.548	CTSD|1509	7161.5667
CTSF|8722	557.4793	CTSF|8722	2123.929
CTSG|1511	92.0529	CTSG|1511	115.0551
CTSH|1512	2441.3378	CTSH|1512	1350.0612
CTSK|1513	4772.3411	CTSK|1513	5184.8225
CTSL1|1514	6438.7569	CTSL1|1514	2104.3452
CTSL2|1515	208.4095	CTSL2|1515	79.5594
CTSO|1519	1151.7367	CTSO|1519	1902.0808
CTSS|1520	8420.6904	CTSS|1520	1702.8764
CTSW|1521	218.303	CTSW|1521	105.5692
CTSZ|1522	8501.5593	CTSZ|1522	3899.6328
CTTNBP2NL|55917	1303.1509	CTTNBP2NL|55917	1062.1175
CTTNBP2|83992	66.6738	CTTNBP2|83992	195.8384
CTTN|2017	3970.1043	CTTN|2017	4107.0991
CTU1|90353	29.6806	CTU1|90353	19.5838
CTU2|348180	135.6619	CTU2|348180	123.2956
CTXN1|404217	18.9268	CTXN1|404217	38.2497
CUBN|8029	80.0086	CUBN|8029	109.8531
CUEDC1|404093	221.9594	CUEDC1|404093	301.4076
CUEDC2|79004	562.8562	CUEDC2|79004	624.5409999999999
CUL1|8454	2218.5181	CUL1|8454	1645.9945
CUL2|8453	1155.3931	CUL2|8453	809.3635
CUL3|8452	1949.2419	CUL3|8452	2164.9327
CUL4A|8451	1760.4043	CUL4A|8451	1756.12
CUL4B|8450	2056.7803	CUL4B|8450	1932.9865
CUL5|8065	1231.9604	CUL5|8065	1302.3256
CUL7|9820	845.6694	CUL7|9820	985.5477
CUL9|23113	425.207	CUL9|23113	667.9927
CUTA|51596	1674.3736	CUTA|51596	1492.3501
CUTC|51076	306.2222	CUTC|51076	518.3078
CUX1|1523	723.0885	CUX1|1523	997.8580000000001
CUX2|23316	15.0554	lowly_expressed	lowly_expressed
CUZD1|50624	7.8503	CUZD1|50624	23.9137
CWC15|51503	966.3405	CWC15|51503	858.9351
CWC22|57703	977.9546	CWC22|57703	943.0845
CWC25|54883	992.7949	CWC25|54883	551.4076
CWC27|10283	377.4599	CWC27|10283	508.8739
CWF19L1|55280	550.3818	CWF19L1|55280	604.0392
CWF19L2|143884	551.8873	CWF19L2|143884	762.5459
CX3CL1|6376	3244.865	CX3CL1|6376	9298.0416
CX3CR1|1524	138.5095	CX3CR1|1524	596.0832
lowly_expressed	lowly_expressed	CXADRP3|440224	5.202000000000001
CXADR|1525	602.4304	CXADR|1525	230.1102
CXCL10|3627	8261.3184	CXCL10|3627	181.4565
CXCL11|6373	2504.3553	CXCL11|6373	64.2595
CXCL12|6387	7531.3475	CXCL12|6387	13506.7319
CXCL13|10563	2805.8931	CXCL13|10563	203.1824
CXCL14|9547	1974.836	CXCL14|9547	8548.0416
CXCL16|58191	4221.5292	CXCL16|58191	1335.0673
CXCL17|284340	263.4692	CXCL17|284340	151.4688
CXCL1|2919	559.1999	CXCL1|2919	31.5177
CXCL2|2920	505.4307	CXCL2|2920	720.0122
CXCL3|2921	106.4631	CXCL3|2921	29.3758
CXCL5|6374	128.1858	CXCL5|6374	6.7319
CXCL6|6372	32.4766	lowly_expressed	lowly_expressed
CXCL9|4283	2867.8353	CXCL9|4283	402.3868
CXCR2P1|3580	599.2042	CXCR2P1|3580	6.7319
CXCR2|3579	11.6142	CXCR2|3579	17.1359
CXCR3|2833	165.6092	CXCR3|2833	29.9878
CXCR4|7852	5046.7792	CXCR4|7852	695.2264
CXCR5|643	142.596	CXCR5|643	35.510999999999996
CXCR6|10663	331.2184	CXCR6|10663	40.6977
CXCR7|57007	1061.8346	CXCR7|57007	1937.8825
CXXC1|30827	487.5793	CXXC1|30827	681.1506
lowly_expressed	lowly_expressed	CXXC4|80319	9.1799
CXXC5|51523	156.576	CXXC5|51523	371.481
CXorf21|80231	304.3338	CXorf21|80231	55.6916
CXorf23|256643	237.66	CXorf23|256643	260.4039
CXorf26|51260	680.7184	CXorf26|51260	474.2962
CXorf36|79742	916.4426	CXorf36|79742	2166.4627
CXorf38|159013	395.9566	CXorf38|159013	232.8641
CXorf40A|91966	312.2916	CXorf40A|91966	331.3953
CXorf40B|541578	373.3735	CXorf40B|541578	408.2007
CXorf42|158801	16.776	CXorf42|158801	36.7197
CXorf56|63932	239.8107	CXorf56|63932	294.3696
CXorf57|55086	24.5188	CXorf57|55086	65.4835
CXorf61|203413	88.3966	lowly_expressed	lowly_expressed
CXorf65|158830	5.1618	lowly_expressed	lowly_expressed
CYB561D1|284613	364.9855	CYB561D1|284613	485.9241
CYB561D2|11068	376.4426	CYB561D2|11068	228.00799999999998
CYB561|1534	1169.5881	CYB561|1534	1600.0612
CYB5A|1528	498.5482	CYB5A|1528	2133.4149
CYB5B|80777	1225.7232	CYB5B|80777	1584.4553
CYB5D1|124637	623.0778	CYB5D1|124637	716.6463
CYB5D2|124936	157.4363	CYB5D2|124936	610.1591
CYB5R1|51706	949.9946	CYB5R1|51706	1382.8029
CYB5R2|51700	714.4854	CYB5R2|51700	171.9706
CYB5R3|1727	2810.4097	CYB5R3|1727	6117.1971
CYB5R4|51167	666.9534	CYB5R4|51167	330.1714
CYB5RL|606495	95.7092	CYB5RL|606495	81.0894
CYBASC3|220002	1130.6592	CYBASC3|220002	944.0024
CYBA|1535	1489.1924	CYBA|1535	550.7956
CYBB|1536	5377.9976	CYBB|1536	829.2534
CYBRD1|79901	3629.2074	CYBRD1|79901	12899.9388
CYC1|1537	1432.4121	CYC1|1537	1089.0453
CYCS|54205	2581.3528	CYCS|54205	2010.7099
CYFIP1|23191	3240.9937	CYFIP1|23191	3193.3905
CYFIP2|26999	745.6716	CYFIP2|26999	339.9633
CYGB|114757	351.8249	CYGB|114757	670.9149
CYHR1|50626	444.9941	CYHR1|50626	521.7258
CYLD|1540	1736.5308	CYLD|1540	1345.4712
CYP11A1|1583	30.1108	CYP11A1|1583	48.9596
CYP19A1|1588	605.8716	CYP19A1|1588	22.3378
lowly_expressed	lowly_expressed	CYP1A1|1543	11.0159
