gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
CCT2|10576	4407.2816	CCT2|10576	2691.3137
CCT3|7203	7403.4548	CCT3|7203	3749.9402
CCT4|10575	3922.6065	CCT4|10575	3798.5164
CCT5|22948	4467.3653	CCT5|22948	4126.1067
CCT6A|908	4584.6715	CCT6A|908	3049.5334
CCT6B|10693	37.1947	CCT6B|10693	56.9514
CCT6P1|643253	62.9448	CCT6P1|643253	50.9691
CCT7|10574	3371.5532	CCT7|10574	4028.2364
CCT8|10694	3178.1409999999996	CCT8|10694	3018.9040000000005
CD101|9398	36.0502	CD101|9398	21.7755
CD109|135228	1467.7358	CD109|135228	1672.4097
CD14|929	1379.6359	CD14|929	5513.52
CD151|977	2971.5675	CD151|977	11940.1771
CD160|11126	8.0112	CD160|11126	16.2718
CD163L1|283316	45.778	CD163L1|283316	407.0352
CD163|9332	2042.2732	CD163|9332	4627.9014
CD164L2|388611	10.8723	lowly_expressed	lowly_expressed
CD164|8763	17092.9509	CD164|8763	12737.9756
CD177|57126	390.2579	CD177|57126	5.9823
CD180|4064	234.6125	CD180|4064	259.3922
CD1A|909	38.9113	lowly_expressed	lowly_expressed
CD1B|910	5.15	CD1B|910	5.9823
CD1C|911	48.067	CD1C|911	187.84400000000002
CD1D|912	33.1891	CD1D|912	69.6339
CD1E|913	37.7669	CD1E|913	41.3975
CD200R1|131450	40.0558	CD200R1|131450	180.9045
CD200|4345	417.7247	CD200|4345	671.4525
CD207|50489	68.6671	lowly_expressed	lowly_expressed
CD209|30835	102.4284	CD209|30835	1642.2589
CD226|10666	38.3391	CD226|10666	22.7327
CD22|933	181.3955	CD22|933	112.9457
CD244|51744	10.8723	CD244|51744	36.133
CD247|919	32.6169	CD247|919	107.6813
CD248|57124	1278.9242	CD248|57124	8652.0699
CD24|100133941	74878.5809	CD24|100133941	536.0134
CD274|29126	18.8834	CD274|29126	20.1005
CD276|80381	3562.6766	CD276|80381	3423.3070000000002
CD27|939	76.9758	CD27|939	47.9325
CD28|940	172.8121	CD28|940	178.7509
CD2AP|23607	1971.3172	CD2AP|23607	921.5123
CD2BP2|10421	1038.5895	CD2BP2|10421	1500.3589
CD2|914	242.0514	CD2|914	145.7286
CD300A|11314	202.5679	CD300A|11314	358.459
CD300C|10871	61.8004	CD300C|10871	117.9708
CD300LB|124599	28.0391	CD300LB|124599	175.4008
CD300LF|146722	59.5115	CD300LF|146722	43.5511
CD300LG|146894	13.7334	CD300LG|146894	4111.7492
CD302|9936	836.302	CD302|9936	3541.5171
CD320|51293	330.1742	CD320|51293	1450.8256
CD33|945	105.8617	CD33|945	264.4173
CD34|947	1807.6607	CD34|947	13368.0306
CD36|948	1886.6278	CD36|948	63644.6518
CD37|951	358.2132	CD37|951	434.793
CD38|952	8.0112	CD38|952	23.2113
CD3D|915	51.5003	CD3D|915	47.619
CD3EAP|10849	480.6695	CD3EAP|10849	206.5087
CD3E|916	180.2511	CD3E|916	140.7035
CD3G|917	37.1947	CD3G|917	15.554
CD40LG|959	25.7502	CD40LG|959	27.5185
CD40|958	266.6571	CD40|958	625.7478
CD44|960	21506.5269	CD44|960	10145.4894
CD46|4179	7569.4002	CD46|4179	4785.5946
CD47|961	4407.8538	CD47|961	2368.7485
CD48|962	261.5071	CD48|962	426.1785
CD4|920	2014.2341	CD4|920	2450.1077
CD52|1043	372.5189	CD52|1043	1483.1299
CD53|963	1278.9242	CD53|963	1659.4879
CD55|1604	3333.2141	CD55|1604	4433.5966
CD58|965	289.5462	CD58|965	504.4269
CD59|966	16904.1164	CD59|966	22651.1127
CD5|921	85.8338	CD5|921	37.5688
CD63|967	7029.2193	CD63|967	22777.4587
CD68|968	4297.4143	CD68|968	8477.8655
CD69|969	101.2839	CD69|969	396.7456
CD6|923	97.8506	CD6|923	55.9943
CD70|970	24.6057	CD70|970	134.4819
CD72|971	29.7557	CD72|971	31.1079
CD74|972	51484.2817	CD74|972	39887.5329
CD79A|973	9.7278	CD79A|973	12.9218
CD79B|974	17.739	CD79B|974	221.8234
CD7|924	20.0279	CD7|924	37.0902
CD80|941	37.1947	CD80|941	5.5037
CD81|975	12079.6824	CD81|975	19818.6169
CD82|3732	1262.3297	CD82|3732	493.4195
CD83|9308	636.8871	CD83|9308	1628.38
CD84|8832	496.1196	CD84|8832	163.1969
CD86|942	349.0576	CD86|942	425.2213
CD8A|925	118.4507	CD8A|925	91.88799999999999
CD8B|926	26.8946	CD8B|926	25.6042
CD93|22918	3648.5104	CD93|22918	8033.7401
CD96|10225	116.734	CD96|10225	81.5985
CD97|976	518.4364	CD97|976	1751.3759
CD99L2|83692	949.3223	CD99L2|83692	3480.737
CD99|4267	1995.9229	CD99|4267	5095.4774
CD9|928	6980.0079	CD9|928	3194.0656
CDADC1|81602	149.9231	CDADC1|81602	269.921
CDAN1|146059	276.9572	CDAN1|146059	197.6549
CDA|978	29.1835	CDA|978	111.0313
CDC123|8872	702.693	CDC123|8872	1143.5774
CDC14A|8556	129.32299999999998	CDC14A|8556	195.262
CDC14B|8555	469.7972	CDC14B|8555	684.135
lowly_expressed	lowly_expressed	CDC14C|168448	13.8789
CDC16|8881	1416.8306	CDC16|8881	1862.6466
CDC20B|166979	14.3056	lowly_expressed	lowly_expressed
CDC20|991	203.1401	CDC20|991	55.0371
CDC23|8697	866.3496	CDC23|8697	716.9179
CDC25A|993	42.3447	CDC25A|993	22.7327
CDC25B|994	508.1363	CDC25B|994	925.5803
CDC25C|995	56.0781	CDC25C|995	5.0251
CDC26|246184	77.4908	CDC26|246184	218.8275
CDC27|996	2043.4176	CDC27|996	1832.7351
CDC34|997	321.0186	CDC34|997	603.7330000000001
CDC37L1|55664	381.6745	CDC37L1|55664	510.8878
CDC37|11140	1300.0966	CDC37|11140	3444.6040000000003
CDC40|51362	1144.4512	CDC40|51362	644.4125
CDC42BPA|8476	3068.2737	CDC42BPA|8476	1845.8961
CDC42BPB|9578	3251.3859	CDC42BPB|9578	3308.6863
CDC42BPG|55561	303.8518	lowly_expressed	lowly_expressed
CDC42EP1|11135	932.7277	CDC42EP1|11135	1535.0562
CDC42EP2|10435	152.21200000000002	CDC42EP2|10435	1484.5657
CDC42EP3|10602	1618.8262	CDC42EP3|10602	652.5485
CDC42EP4|23580	1502.0922	CDC42EP4|23580	2161.7612
CDC42EP5|148170	38.9113	CDC42EP5|148170	147.643
CDC42SE1|56882	2974.9894	CDC42SE1|56882	2139.4161
CDC42SE2|56990	1868.8888	CDC42SE2|56990	1108.1598
CDC42|998	8786.5241	CDC42|998	7675.999
CDC45|8318	66.3782	CDC45|8318	9.0931
CDC5L|988	1263.4741	CDC5L|988	983.7282
CDC6|990	227.7458	CDC6|990	58.6265
CDC73|79577	1692.0711	CDC73|79577	1115.5779
CDC7|8317	161.9398	CDC7|8317	105.7669
CDCA2|157313	72.6727	CDCA2|157313	15.7933
CDCA3|83461	100.1395	CDCA3|83461	23.2113
CDCA4|55038	362.791	CDCA4|55038	189.9976
CDCA5|113130	278.6739	CDCA5|113130	44.9868
CDCA7L|55536	312.4123	CDCA7L|55536	252.1728
CDCA7|83879	213.4401	CDCA7|83879	23.2113
CDCA8|55143	204.2845	CDCA8|55143	34.6973
CDCP1|64866	1392.7971	CDCP1|64866	104.8098
CDH11|1009	8604.5563	CDH11|1009	1248.1455
CDH13|1012	521.8697	CDH13|1012	1066.7624
CDH19|28513	12.589	CDH19|28513	5.2644
CDH1|999	14767.4261	CDH1|999	15.0754
lowly_expressed	lowly_expressed	CDH20|28316	20.5791
CDH23|64072	150.4953	CDH23|64072	415.42
CDH24|64403	62.9448	CDH24|64403	130.414
lowly_expressed	lowly_expressed	CDH26|60437	32.783
CDH2|1000	132.1841	CDH2|1000	8.8538
CDH3|1001	1013.9838	lowly_expressed	lowly_expressed
CDH5|1003	1339.5801	CDH5|1003	5603.733
CDH6|1004	147.6342	CDH6|1004	197.8942
CDH8|1006	5.7223	CDH8|1006	5.5037
CDHR3|222256	13.2127	CDHR3|222256	22.9576
CDIPT|10423	1649.7264	CDIPT|10423	2598.7078
CDK10|8558	181.3955	CDK10|8558	402.2493
CDK11A|728642	130.1127	CDK11A|728642	208.4805
CDK11B|984	501.6244	CDK11B|984	820.7131
CDK12|51755	1643.4319	CDK12|51755	786.3125
CDK13|8621	1407.675	CDK13|8621	713.5678
CDK14|5218	1246.8796	CDK14|5218	617.3726
CDK15|65061	26.3224	CDK15|65061	14.8361
CDK16|5127	1707.5212	CDK16|5127	1611.151
CDK17|5128	669.5039999999999	CDK17|5128	1141.4214
CDK18|5129	144.7731	CDK18|5129	97.1524
CDK19|23097	1398.5651	CDK19|23097	581.3281
CDK1|983	356.4965	CDK1|983	142.8571
CDK20|23552	173.3844	CDK20|23552	61.498000000000005
CDK2AP1|8099	1520.9756	CDK2AP1|8099	3284.7571
CDK2AP2|10263	544.1865	CDK2AP2|10263	742.0436
CDK2|1017	538.4643	CDK2|1017	430.0072
CDK3|1018	30.1162	CDK3|1018	68.0211
CDK4|1019	1111.8343	CDK4|1019	2370.9021
CDK5R1|8851	105.8617	CDK5R1|8851	44.9868
CDK5RAP1|51654	357.64099999999996	CDK5RAP1|51654	377.6023
CDK5RAP2|55755	1625.6929	CDK5RAP2|55755	997.8464
CDK5RAP3|80279	852.0439	CDK5RAP3|80279	1007.8966
CDK5|1020	263.2238	lowly_expressed	lowly_expressed
CDK6|1021	2232.8243	CDK6|1021	689.6387
CDK7|1022	563.6422	CDK7|1022	322.0866
CDK8|1024	168.2343	CDK8|1024	159.3683
CDK9|1025	799.3992	CDK9|1025	1206.0302
CDKAL1|54901	333.0353	CDKAL1|54901	275.664
CDKL1|8814	31.4724	CDKL1|8814	32.3044
CDKL3|51265	24.434	CDKL3|51265	45.3697
CDKL5|6792	198.5623	CDKL5|6792	7.8966
CDKN1A|1026	2093.2012	CDKN1A|1026	4149.5573
CDKN1B|1027	475.5195	CDKN1B|1027	1631.4908
CDKN1C|1028	145.9175	CDKN1C|1028	1836.0852
CDKN2AIPNL|91368	381.1022	CDKN2AIPNL|91368	354.8696
CDKN2AIP|55602	622.5815	CDKN2AIP|55602	495.0945
CDKN2A|1029	73.2449	CDKN2A|1029	41.6368
CDKN2B|1030	662.6372	CDKN2B|1030	2441.0146
CDKN2C|1031	231.1791	CDKN2C|1031	1075.3769
CDKN2D|1032	136.1897	CDKN2D|1032	219.6698
CDKN3|1033	101.8562	CDKN3|1033	83.5128
CDNF|441549	13.1612	CDNF|441549	30.6293
CDO1|1036	111.584	CDO1|1036	2854.2714
CDON|50937	283.8239	CDON|50937	1336.6834
CDR1|1038	18.2311	CDR1|1038	34.6183
CDR2L|30850	458.9249	CDR2L|30850	519.7416
CDR2|1039	843.4605	CDR2|1039	658.77
CDRT15P|94158	5.7223	lowly_expressed	lowly_expressed
CDRT4|284040	105.0206	CDRT4|284040	211.2491
CDS1|1040	1806.5162	CDS1|1040	116.7743
CDS2|8760	1020.2782	CDS2|8760	847.0926
CDSN|1041	2447.9811	CDSN|1041	5.9823
CDT1|81620	100.1395	CDT1|81620	17.7076
CDV3|55573	5596.3664	CDV3|55573	5913.855
CDX1|1044	7.4389	lowly_expressed	lowly_expressed
CDYL2|124359	161.9398	CDYL2|124359	19.3826
CDYL|9425	861.7718	CDYL|9425	559.9426
CEACAM19|56971	14.8779	CEACAM19|56971	18.4255
CEACAM1|634	858.9106	CEACAM1|634	173.4865
CEACAM21|90273	16.0223	CEACAM21|90273	50.9691
lowly_expressed	lowly_expressed	CEACAM3|1084	16.0325
lowly_expressed	lowly_expressed	CEACAM4|1089	5.2644
CEACAM5|1048	50.3559	lowly_expressed	lowly_expressed
CEACAM6|4680	4314.0088	lowly_expressed	lowly_expressed
CEBPA|1050	573.9423	CEBPA|1050	4893.2759
CEBPB|1051	707.8431	CEBPB|1051	1648.9591
CEBPD|1052	1509.5311	CEBPD|1052	1273.2711
CEBPG|1054	1179.9292	CEBPG|1054	1610.4331
CEBPZ|10153	1095.2398	CEBPZ|10153	1200.7657
CECR1|51816	1342.4413	CECR1|51816	1623.3549
CECR2|27443	60.0837	CECR2|27443	8.3752
CECR5|27440	300.4184	CECR5|27440	487.6765
CECR6|27439	15.4501	CECR6|27439	21.296999999999997
lowly_expressed	lowly_expressed	CECR7|100130418	17.229
CELF1|10658	2231.1076	CELF1|10658	1220.1484
CELF2|10659	1368.1914	CELF2|10659	2826.0349
lowly_expressed	lowly_expressed	CELF4|56853	8.3752
CELF5|60680	168.2343	lowly_expressed	lowly_expressed
CELF6|60677	9.2815	CELF6|60677	25.5635
CELSR1|9620	1568.4704	CELSR1|9620	162.0005
CELSR2|1952	1961.0171	CELSR2|1952	106.2455
CELSR3|1951	169.951	CELSR3|1951	14.3575
CEL|1056	5.15	CEL|1056	5.742999999999999
CEMP1|752014	89.0211	CEMP1|752014	138.8514
CENPA|1058	61.8004	CENPA|1058	11.9646
CENPBD1|92806	219.7346	CENPBD1|92806	252.4527
CENPB|1059	1252.6018	CENPB|1059	2224.9342
CENPC1|1060	409.1413	CENPC1|1060	361.3305
CENPE|1062	296.4129	CENPE|1062	52.8835
CENPF|1063	2073.7456	CENPF|1063	92.3666
CENPH|64946	216.3013	CENPH|64946	100.7418
CENPI|2491	53.7892	CENPI|2491	16.7504
CENPJ|55835	164.2287	CENPJ|55835	152.6681
CENPK|64105	99.5673	CENPK|64105	22.971999999999998
CENPL|91687	191.1234	CENPL|91687	76.5733
CENPM|79019	61.8004	CENPM|79019	17.7076
CENPN|55839	210.23	CENPN|55839	200.3398
CENPO|79172	82.7324	CENPO|79172	45.6473
CENPP|401541	280.6995	CENPP|401541	95.4774
CENPQ|55166	153.9287	CENPQ|55166	164.872
CENPT|80152	136.1897	CENPT|80152	354.8696
CENPV|201161	16.5945	CENPV|201161	68.6767
CENPW|387103	73.8171	CENPW|387103	84.9486
CEP110|11064	541.3254	CEP110|11064	350.32300000000004
CEP120|153241	696.3986	CEP120|153241	636.0373
CEP135|9662	277.5294	CEP135|9662	139.7464
CEP152|22995	64.0893	CEP152|22995	128.7389
CEP164|22897	321.0186	CEP164|22897	337.162
CEP170|9859	1590.2149	CEP170|9859	1038.0474
CEP192|55125	526.4476	CEP192|55125	362.0483
CEP250|11190	467.5083	CEP250|11190	355.5875
CEP290|80184	188.4282	CEP290|80184	151.766
CEP350|9857	2599.0487	CEP350|9857	853.3142
CEP55|55165	246.6292	CEP55|55165	62.6944
CEP57|9702	1135.2956	CEP57|9702	870.5432
CEP63|80254	726.1085	CEP63|80254	668.6217
CEP68|23177	825.7215	CEP68|23177	1746.8318
CEP70|80321	270.0905	CEP70|80321	162.4791
CEP72|55722	47.4947	CEP72|55722	19.6219
CEP76|79959	132.7563	CEP76|79959	137.5927
CEP78|84131	458.9249	CEP78|84131	201.2443
CEP97|79598	210.579	CEP97|79598	61.7373
CEPT1|10390	883.5163	CEPT1|10390	997.3678
CERCAM|51148	2992.1677	CERCAM|51148	2626.4657
CERKL|375298	58.6417	CERKL|375298	47.8847
CERK|64781	782.2324	CERK|64781	1206.748
CES1|1066	88.1227	CES1|1066	7419.2391
CES2|8824	986.5169	CES2|8824	1040.4403
CES3|23491	9.7278	CES3|23491	19.3826
lowly_expressed	lowly_expressed	CES4|51716	60.7801
CES8|283848	63.516999999999996	CES8|283848	28.2364
CETN2|1069	1467.1864	CETN2|1069	1086.6236
CETN3|1070	274.6683	CETN3|1070	392.6777
lowly_expressed	lowly_expressed	CETN4P|729338	11.7253
CETP|1071	9.1556	CETP|1071	518.5451
CFB|629	2893.3786	CFB|629	1169.7296
CFDP1|10428	421.158	CFDP1|10428	1150.7538
CFD|1675	244.9126	CFD|1675	12224.6949
lowly_expressed	lowly_expressed	CFHR3|10878	13.161
CFH|3075	2519.5093	CFH|3075	8479.3013
CFI|3426	453.2027	CFI|3426	1105.0491
CFL1|1072	16761.06	CFL1|1072	13559.9426
CFL2|1073	322.7352	CFL2|1073	1684.3743
CFLAR|8837	746.7544	CFLAR|8837	1305.0969
CFP|5199	5.15	CFP|5199	431.4429
CG030|116828	18.3112	CG030|116828	18.6648
CGGBP1|8545	2797.611	CGGBP1|8545	2438.3824
CGNL1|84952	436.6081	CGNL1|84952	273.0318
CGN|57530	1131.29	lowly_expressed	lowly_expressed
CGREF1|10669	193.767	CGREF1|10669	268.2867
CGRRF1|10668	191.6956	CGRRF1|10668	403.9244
CH25H|9023	88.695	CH25H|9023	415.889
CHAC1|79094	8.0112	CHAC1|79094	9.811
CHAC2|494143	33.1891	CHAC2|494143	73.9411
CHADL|150356	13.7334	CHADL|150356	62.2158
CHAD|1101	86.9783	CHAD|1101	8.1359
CHAF1A|10036	246.05700000000002	CHAF1A|10036	170.8543
CHAF1B|8208	185.9733	CHAF1B|8208	54.5585
CHCHD10|400916	296.4129	CHCHD10|400916	556.3532
CHCHD1|118487	224.8847	CHCHD1|118487	582.9146
CHCHD2|51142	3182.7188	CHCHD2|51142	3728.4039
CHCHD3|54927	840.5994	CHCHD3|54927	1001.9143
CHCHD4|131474	253.4959	CHCHD4|131474	350.5623
CHCHD5|84269	182.54	CHCHD5|84269	246.949
CHCHD6|84303	89.8394	CHCHD6|84303	96.9131
CHCHD7|79145	339.902	CHCHD7|79145	498.4446
CHCHD8|51287	600.8369	CHCHD8|51287	637.7124
CHD1L|9557	580.809	CHD1L|9557	666.9060000000001
CHD1|1105	1203.3904	CHD1|1105	872.2182
CHD2|1106	1773.8994	CHD2|1106	1300.5504
CHD3|1107	3397.3034	CHD3|1107	2612.3475
CHD4|1108	6378.4786	CHD4|1108	3830.0311
CHD6|84181	2019.9564	CHD6|84181	668.1024
CHD7|55636	433.74699999999996	CHD7|55636	308.6863
CHD8|57680	2245.9855	CHD8|57680	1176.358
CHD9|80205	1364.7581	CHD9|80205	984.6853
CHDH|55349	266.6571	CHDH|55349	26.3221
CHEK1|1111	154.5009	CHEK1|1111	73.4626
CHEK2|11200	147.6342	CHEK2|11200	142.6179
CHERP|10523	1133.5846	CHERP|10523	671.3639999999999
CHFR|55743	365.0799	CHFR|55743	401.7708
CHI3L1|1116	912.1276	CHI3L1|1116	487.6765
CHI3L2|1117	3051.1069	CHI3L2|1117	146.4465
CHIC1|53344	461.7861	CHIC1|53344	314.4293
CHIC2|26511	171.0955	CHIC2|26511	347.9301
CHID1|66005	1068.3452	CHID1|66005	1329.5047
CHIT1|1118	217.4457	CHIT1|1118	357.2625
CHKA|1119	528.7365	CHKA|1119	279.2534
CHKB-CPT1B|386593	81.2503	CHKB-CPT1B|386593	127.9995
CHKB|1120	184.9834	CHKB|1120	376.3652
CHL1|10752	563.6422	CHL1|10752	1437.1859
CHML|1122	758.1989	CHML|1122	189.9976
CHMP1A|5119	1185.6514	CHMP1A|5119	1639.6267
CHMP1B|57132	1245.1629	CHMP1B|57132	1829.385
CHMP2A|27243	1195.3793	CHMP2A|27243	2256.2814
CHMP2B|25978	1277.2075	CHMP2B|25978	1317.3008
CHMP4A|29082	667.0262	CHMP4A|29082	1482.3953
CHMP4B|128866	3144.9519	CHMP4B|128866	3226.6092
CHMP4C|92421	1167.3402	CHMP4C|92421	39.7224
CHMP5|51510	1270.3408	CHMP5|51510	1899.3802
CHMP6|79643	263.2238	CHMP6|79643	421.3927
CHMP7|91782	873.7885	CHMP7|91782	1189.519
CHM|1121	874.9329	CHM|1121	592.7255
CHN1|1123	200.27900000000002	CHN1|1123	399.1385
CHN2|1124	76.10600000000001	CHN2|1124	180.9045
CHODL|140578	8.5834	CHODL|140578	24.4078
CHORDC1|26973	874.9329	CHORDC1|26973	471.4046
CHPF2|54480	1108.9732	CHPF2|54480	851.6391
CHPF|79586	3007.0341	CHPF|79586	956.6882
CHPT1|56994	1532.3458	CHPT1|56994	1818.3776
CHP|11261	2156.7183	CHP|11261	3100.9811
CHRAC1|54108	1192.5182	CHRAC1|54108	670.2560000000001
CHRDL1|91851	527.592	CHRDL1|91851	12493.8981
CHRD|8646	403.41900000000004	CHRD|8646	287.8679
CHRFAM7A|89832	28.6113	CHRFAM7A|89832	17.9469
CHRM3|1131	8.0112	lowly_expressed	lowly_expressed
CHRM4|1132	13.1612	lowly_expressed	lowly_expressed
CHRNA10|57053	7.4389	lowly_expressed	lowly_expressed
CHRNA1|1134	52.0725	CHRNA1|1134	13.8789
CHRNA3|1136	5.7223	lowly_expressed	lowly_expressed
CHRNA5|1138	7.4389	CHRNA5|1138	10.7681
CHRNA6|8973	49.7836	lowly_expressed	lowly_expressed
CHRNA9|55584	10.8723	lowly_expressed	lowly_expressed
CHRNB1|1140	113.3007	CHRNB1|1140	195.0227
CHRNE|1145	12.2342	CHRNE|1145	32.1441
CHST10|9486	261.5071	CHST10|9486	222.7806
CHST11|50515	275.8127	CHST11|50515	122.5173
CHST12|55501	222.0235	CHST12|55501	363.9627
CHST13|166012	17.1668	CHST13|166012	28.2364
CHST14|113189	470.3694	CHST14|113189	683.8957
CHST15|51363	2174.4573	CHST15|51363	869.3467
CHST1|8534	148.7787	CHST1|8534	87.3415
CHST2|9435	108.1506	CHST2|9435	472.3618
CHST3|9469	549.9088	CHST3|9469	866.2359
CHST6|4166	179.1066	CHST6|4166	34.6973
CHST7|56548	42.9169	CHST7|56548	283.3214
CHSY1|22856	1914.0946	CHSY1|22856	1646.0876
CHSY3|337876	294.124	CHSY3|337876	179.7081
CHTF18|63922	114.4451	CHTF18|63922	45.2261
CHTF8|54921	2279.7468	CHTF8|54921	2385.9775
CHUK|1147	595.1146	CHUK|1147	684.6135
CHURC1|91612	1609.0469	CHURC1|91612	1985.7071
CIAO1|9391	1722.3991	CIAO1|9391	1807.3702
CIAPIN1|57019	658.6317	CIAPIN1|57019	831.5386
CIB1|10519	900.6831	CIB1|10519	1533.3812
CIB2|10518	37.7669	CIB2|10518	140.7035
CIC|23152	1507.2422	CIC|23152	1008.8538
CIDEA|1149	13.1612	CIDEA|1149	4156.9754
CIDEB|27141	210.8022	CIDEB|27141	423.6588
CIDECP|152302	97.8506	CIDECP|152302	120.3637
CIDEC|63924	31.4724	CIDEC|63924	12826.9921
CIITA|4261	272.9516	CIITA|4261	188.3226
CILP2|148113	370.8022	CILP2|148113	122.7566
CILP|8483	16584.8146	CILP|8483	14247.1883
CINP|51550	326.1686	CINP|51550	528.5954
CIR1|9541	694.1097	CIR1|9541	1108.1598
CIRBP|1153	3120.9184	CIRBP|1153	4155.5396
CIRH1A|84916	635.7426	CIRH1A|84916	1056.2335
CISD1|55847	377.0967	CISD1|55847	379.038
CISD2|493856	493.2527	CISD2|493856	652.7854
CISD3|284106	351.707	CISD3|284106	879.318
CISH|1154	262.0793	CISH|1154	129.4568
lowly_expressed	lowly_expressed	CITED1|4435	7.1788
CITED2|10370	1081.5064	CITED2|10370	2751.3759
CITED4|163732	768.4989999999999	CITED4|163732	106.2455
CIT|11113	220.3069	CIT|11113	51.4477
CIZ1|25792	1257.1796	CIZ1|25792	1851.1606
CKAP2L|150468	134.47299999999998	CKAP2L|150468	14.3575
CKAP2|26586	681.5207	CKAP2|26586	342.4264
CKAP4|10970	2006.7952	CKAP4|10970	2085.6664
CKAP5|9793	3776.1167	CKAP5|9793	1529.0739
CKB|1152	117.8785	CKB|1152	1189.2797
CKLF|51192	319.8741	CKLF|51192	392.917
CKMT1A|548596	8.0112	lowly_expressed	lowly_expressed
CKMT1B|1159	16.0223	CKMT1B|1159	7.6573
CKMT2|1160	6.8667	CKMT2|1160	185.2118
CKS1B|1163	491.5418	CKS1B|1163	710.2178
CKS2|1164	270.6627	CKS2|1164	152.1895
CLASP1|23332	1470.6198	CLASP1|23332	1047.8583
CLASP2|23122	1403.0972	CLASP2|23122	1069.6339
CLCA2|9635	19.4557	CLCA2|9635	50.7298
CLCC1|23155	803.7481	CLCC1|23155	736.9897
CLCF1|23529	61.2281	CLCF1|23529	279.4927
CLCN2|1181	74.9616	CLCN2|1181	31.5865
CLCN3|1182	1891.7778	CLCN3|1182	830.3422
CLCN4|1183	137.9064	CLCN4|1183	274.2283
CLCN5|1184	261.5071	CLCN5|1184	225.4128
CLCN6|1185	371.3744	CLCN6|1185	463.0294
CLCN7|1186	1542.148	CLCN7|1186	1006.2216
lowly_expressed	lowly_expressed	CLCNKA|1187	7.8966
lowly_expressed	lowly_expressed	CLC|1178	7.417999999999999
CLDN10|9071	5.3732	CLDN10|9071	47.7148
CLDN11|5010	100.1395	CLDN11|5010	485.5229
CLDN12|9069	1221.1294	CLDN12|9069	417.3247
CLDN14|23562	20.0279	lowly_expressed	lowly_expressed
CLDN15|24146	60.6559	CLDN15|24146	266.0924
lowly_expressed	lowly_expressed	CLDN18|51208	5.0251
CLDN1|9076	889.8108	CLDN1|9076	44.5083
CLDN23|137075	67.5226	CLDN23|137075	214.6447
lowly_expressed	lowly_expressed	CLDN2|9075	68.033
CLDN3|1365	255.7848	lowly_expressed	lowly_expressed
CLDN4|1364	2969.8509	CLDN4|1364	17.9469
CLDN5|7122	95.5617	CLDN5|7122	2192.1512
CLDN7|1366	801.6881	CLDN7|1366	39.7224
CLDN8|9073	109.2951	lowly_expressed	lowly_expressed
CLDN9|9080	12.0167	lowly_expressed	lowly_expressed
CLDND1|56650	938.45	CLDND1|56650	1691.7923
lowly_expressed	lowly_expressed	CLDND2|125875	27.04
CLEC10A|10462	61.2281	CLEC10A|10462	789.4233
CLEC11A|6320	241.4792	CLEC11A|6320	206.2694
CLEC12A|160364	24.6057	CLEC12A|160364	144.5322
CLEC14A|161198	516.1475	CLEC14A|161198	2454.4149
CLEC16A|23274	716.9987	CLEC16A|23274	421.3927
CLEC1A|51267	55.5059	CLEC1A|51267	234.2666
CLEC2B|9976	354.2076	CLEC2B|9976	1166.3077
CLEC2D|29121	385.6801	CLEC2D|29121	255.0849
lowly_expressed	lowly_expressed	CLEC2L|154790	14.1182
CLEC3A|10143	1153.6068	lowly_expressed	lowly_expressed
CLEC3B|7123	89.8394	CLEC3B|7123	11699.4496
CLEC4A|50856	62.3726	CLEC4A|50856	147.8823
lowly_expressed	lowly_expressed	CLEC4D|338339	5.9823
CLEC4E|26253	7.4389	CLEC4E|26253	79.4448
lowly_expressed	lowly_expressed	CLEC4F|165530	5.5037
lowly_expressed	lowly_expressed	CLEC4GP1|440508	15.3147
lowly_expressed	lowly_expressed	CLEC4G|339390	49.7727
CLEC5A|23601	505.8474	CLEC5A|23601	18.904
CLEC7A|64581	307.8574	CLEC7A|64581	109.3563
lowly_expressed	lowly_expressed	CLEC9A|283420	10.5288
CLECL1|160365	14.8779	CLECL1|160365	27.9971
CLGN|1047	5.7223	CLGN|1047	25.6042
CLIC1|1192	5483.6379	CLIC1|1192	9600.8615
CLIC2|1193	458.3527	CLIC2|1193	1570.4714
CLIC3|9022	14.3056	CLIC3|9022	9.811
CLIC4|25932	10845.964	CLIC4|25932	8547.2601
CLIC5|53405	171.0955	CLIC5|53405	1022.972
CLIC6|54102	9147.0262	CLIC6|54102	320.4116
CLINT1|9685	2294.6247	CLINT1|9685	1680.3063
CLIP1|6249	2391.903	CLIP1|6249	1950.7059
CLIP2|7461	592.8257	CLIP2|7461	545.3458
CLIP3|25999	529.8809	CLIP3|25999	622.3977
CLIP4|79745	1078.073	CLIP4|79745	1264.8959
CLK1|1195	1687.4933	CLK1|1195	1776.5016
CLK2P|1197	12.0167	CLK2P|1197	7.8966
CLK2|1196	692.9652	CLK2|1196	453.9363
CLK3|1198	326.1686	CLK3|1198	642.9768
CLK4|57396	436.0359	CLK4|57396	432.4001
lowly_expressed	lowly_expressed	CLLU1OS|574016	7.1788
CLMN|79789	1176.4958	CLMN|79789	866.9538
CLN3|1201	1562.1759	CLN3|1201	760.4618
CLN5|1203	1644.0041	CLN5|1203	1199.33
