gene_id	TCGA-BH-A0H5-01A-21R-A115-07	gene_id	TCGA-BH-A0H5-11A-62R-A115-07
lowly_expressed	lowly_expressed	?|100133144	27.5073
lowly_expressed	lowly_expressed	?|100134869	6.9755
?|10357	72.1588	?|10357	73.2821
?|10431	836.9287	?|10431	550.0623
?|155060	149.7741	?|155060	402.9913
?|390284	10.1606	?|390284	5.8164
lowly_expressed	lowly_expressed	?|553137	6.6473
?|57714	908.8053	?|57714	580.806
lowly_expressed	lowly_expressed	?|645851	9.9709
?|652919	32.2579	?|652919	69.8587
?|653553	117.0345	?|653553	56.9173
lowly_expressed	lowly_expressed	?|728788	6.6473
lowly_expressed	lowly_expressed	?|729884	9.5555
?|8225	573.1306	?|8225	487.3286
?|90288	56.4475	?|90288	14.9564
A1BG|1	169.8393	A1BG|1	125.4591
A2LD1|87769	142.2515	A2LD1|87769	108.2177
lowly_expressed	lowly_expressed	A2ML1|144568	10.3864
A2M|2	15515.4506	A2M|2	28177.2829
A4GALT|53947	256.2718	A4GALT|53947	216.452
AAAS|8086	693.552	AAAS|8086	662.2351
AACS|65985	873.8078	AACS|65985	1186.9547
AADAT|51166	17.3106	AADAT|51166	69.7964
AAGAB|79719	1751.755	AAGAB|79719	1043.2073
AAK1|22848	1001.7555	AAK1|22848	1062.3182
AAMP|14	2594.7048	AAMP|14	2084.7528
AARS2|57505	436.9001	AARS2|57505	495.2181
AARSD1|80755	484.3198	AARSD1|80755	491.0677
AARS|16	2478.7992	AARS|16	2247.1957
AASDHPPT|60496	944.179	AASDHPPT|60496	969.6718
AASDH|132949	327.772	AASDH|132949	554.6323
AASS|10157	450.8276	AASS|10157	747.8189
AATF|26574	1207.6008	AATF|26574	891.1508
AATK|9625	22.2027	AATK|9625	81.0137
ABAT|18	1584.6704	ABAT|18	825.5089
ABCA10|10349	61.716	ABCA10|10349	286.7345
ABCA11P|79963	113.4219	ABCA11P|79963	139.273
ABCA12|26154	613.0202	ABCA12|26154	101.7865
ABCA13|154664	30.4817	ABCA13|154664	94.3083
lowly_expressed	lowly_expressed	ABCA17P|650655	15.3718
ABCA1|19	911.3943	ABCA1|19	1683.7516
ABCA2|20	1051.053	ABCA2|20	1417.5322
ABCA3|21	2502.5072	ABCA3|21	1152.0565
ABCA4|24	225.0375	ABCA4|24	72.2892
ABCA5|23461	345.8352	ABCA5|23461	1670.8891
ABCA6|23460	290.1403	ABCA6|23460	254.6739
ABCA7|10347	658.1782	ABCA7|10347	316.1612
ABCA8|10351	231.4349	ABCA8|10351	517.6568
ABCA9|10350	360.8879	ABCA9|10350	417.1167
ABCB10|23456	573.1306	ABCB10|23456	488.575
ABCB11|8647	7.15	lowly_expressed	lowly_expressed
ABCB1|5243	331.5352	ABCB1|5243	608.226
ABCB4|5244	68.4897	ABCB4|5244	14.1255
