gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
EPOR|2057	58.7836	EPOR|2057	78.1201
EPPK1|83481	421.0737	EPPK1|83481	449.6572
EPR1|8475	733.9356	EPR1|8475	42.4977
EPRS|2058	4949.9089	EPRS|2058	4078.6322
EPS15L1|58513	1015.5797	EPS15L1|58513	723.5484
EPS15|2060	1452.4958	EPS15|2060	2186.8341
EPS8L1|54869	730.8339	EPS8L1|54869	218.7164
EPS8L2|64787	987.2302	EPS8L2|64787	862.6414
EPS8|2059	1139.4004	EPS8|2059	1737.5072
EPSTI1|94240	356.4535	EPSTI1|94240	46.2542
EPT1|85465	1239.4575	EPT1|85465	1610.622
EPYC|1833	185.9395	lowly_expressed	lowly_expressed
ERAL1|26284	1265.7225	ERAL1|26284	764.186
ERAP1|51752	1787.3828	ERAP1|51752	2184.2438
ERAP2|64167	1898.1669	ERAP2|64167	1830.0157
ERBB2IP|55914	2245.8653	ERBB2IP|55914	2814.9005
ERBB2|2064	4630.5599	ERBB2|2064	6062.6084
ERBB3|2065	9432.4677	ERBB3|2065	9289.1716
ERBB4|2066	689.9772	ERBB4|2066	2478.2357
ERC1|23085	1462.9184	ERC1|23085	2015.3629999999998
ERC2|26059	5.4198	ERC2|26059	16.189
ERCC1|2067	1113.0312	ERCC1|2067	817.5931
ERCC2|2068	523.6322	ERCC2|2068	315.629
ERCC3|2071	938.4524	ERCC3|2071	1161.3116
ERCC4|2072	372.7128	ERCC4|2072	422.2351
ERCC5|2073	1417.8927	ERCC5|2073	1854.4644
ERCC6L|54821	117.5671	ERCC6L|54821	37.0034
ERCC6|2074	318.2066	ERCC6|2074	648.3489
ERCC8|1161	132.5757	ERCC8|1161	219.3772
EREG|2069	24.1805	EREG|2069	12.8851
ERF|2077	711.6562	ERF|2077	543.1569
ERGIC1|57222	11042.1366	ERGIC1|57222	3665.9784
ERGIC2|51290	672.0503	ERGIC2|51290	659.7836
ERGIC3|51614	4612.633	ERGIC3|51614	4071.0333
ERG|2078	377.7156	ERG|2078	688.1969
ERH|2079	1957.7842	ERH|2079	1293.797
ERI1|90459	216.7904	ERI1|90459	347.5675
ERI2|112479	434.3855	ERI2|112479	567.0637
ERI3|79033	978.4752	ERI3|79033	603.6177
ERICH1|157697	82.1302	ERICH1|157697	302.9652
ERLEC1|27248	1438.7379	ERLEC1|27248	1683.9845
ERLIN1|10613	876.7505	ERLIN1|10613	1404.1464
ERLIN2|11160	1093.5409	ERLIN2|11160	2767.6551
ERMAP|114625	324.3518	ERMAP|114625	674.9814
ERMN|57471	55.0314	lowly_expressed	lowly_expressed
ERMP1|79956	2310.1979	ERMP1|79956	2278.2027
ERN1|2081	335.1913	ERN1|2081	406.0461
ERO1LB|56605	218.8749	ERO1LB|56605	676.303
ERO1L|30001	811.7134	ERO1L|30001	614.8509
ERP27|121506	586.1679	ERP27|121506	233.5839
ERP29|10961	2203.3411	ERP29|10961	2706.203
ERP44|23071	1288.6523	ERP44|23071	1416.7011
ERRFI1|54206	745.8424	ERRFI1|54206	3399.6861
lowly_expressed	lowly_expressed	ERVFRDE1|405754	6.2774
ESAM|90952	1063.9407	ESAM|90952	618.1548
ESCO1|114799	462.7642	ESCO1|114799	676.9637
ESCO2|157570	52.9469	ESCO2|157570	30.726
ESD|2098	1281.5649	ESD|2098	2130.0074
ESF1|51575	281.4106	ESF1|51575	625.4233
ESM1|11082	147.1673	ESM1|11082	32.7084
ESPL1|9700	343.1125	ESPL1|9700	105.72399999999999
lowly_expressed	lowly_expressed	ESPNL|339768	17.5105
ESPN|83715	461.5134	ESPN|83715	88.5438
ESR1|2099	4270.7712	ESR1|2099	3302.2219
ESR2|2100	12.0902	ESR2|2100	17.5105
ESRP1|54845	2611.4907	ESRP1|54845	2120.7566
ESRP2|80004	1721.3993	ESRP2|80004	1155.3647
ESRRA|2101	262.6499	ESRRA|2101	349.8802
lowly_expressed	lowly_expressed	ESRRB|2103	70.3725
ESRRG|2104	73.7921	ESRRG|2104	290.4105
ESYT1|23344	3671.2623	ESYT1|23344	4017.5105
ESYT2|57488	2629.0007	ESYT2|57488	4493.5987
ESYT3|83850	9.1719	ESYT3|83850	89.2046
ETAA1|54465	310.1771	ETAA1|54465	542.8265
ETF1|2107	2275.4656	ETF1|2107	3036.26
ETFA|2108	1213.1925	ETFA|2108	943.5864
ETFB|2109	459.4289	ETFB|2109	724.2091
ETFDH|2110	271.776	ETFDH|2110	504.8319
ETHE1|23474	595.3398	ETHE1|23474	430.8251
ETNK1|55500	721.6619	ETNK1|55500	1821.0952
ETNK2|55224	508.6237	ETNK2|55224	467.1678
ETS1|2113	3142.6272	ETS1|2113	2749.4838
ETS2|2114	950.1257	ETS2|2114	1796.977
ETV1|2115	463.598	ETV1|2115	870.5707
ETV2|2116	12.924000000000001	lowly_expressed	lowly_expressed
ETV3L|440695	15.0086	ETV3L|440695	48.2366
ETV3|2117	370.6282	ETV3|2117	468.1589
ETV4|2118	116.3164	ETV4|2118	284.7939
ETV5|2119	506.5391	ETV5|2119	1636.0783
ETV6|2120	1350.7711	ETV6|2120	3290.9887
ETV7|51513	58.7836	ETV7|51513	29.7349
EVC2|132884	111.7304	EVC2|132884	156.6036
EVC|2121	1569.0748	EVC|2121	998.6025
EVI2A|2123	288.498	EVI2A|2123	162.5506
EVI2B|2124	513.6265	EVI2B|2124	427.5213
EVI5L|115704	302.6728	EVI5L|115704	203.84900000000002
EVI5|7813	252.2273	EVI5|7813	375.6505
EVL|51466	3886.3851	EVL|51466	2594.5321
EVPL|2125	1790.6055	EVPL|2125	453.9523
EWSR1|2130	3472.3988	EWSR1|2130	3282.7290000000003
EXD2|55218	1221.9475	EXD2|55218	1019.9058
EXD3|54932	175.1	EXD3|54932	117.2875
EXO1|9156	189.6916	EXO1|9156	34.6907
EXOC1|55763	741.2565	EXOC1|55763	1259.7671
EXOC2|55770	959.2976	EXOC2|55770	1161.3116
EXOC3L2|90332	96.7219	EXOC3L2|90332	15.1978
EXOC3L|283849	62.1188	EXOC3L|283849	27.3594
EXOC3|11336	1045.5969	EXOC3|11336	1288.8412
EXOC4|60412	1126.8933	EXOC4|60412	1653.2584
EXOC5|10640	1129.8116	EXOC5|10640	1601.0572
EXOC6B|23233	169.6802	EXOC6B|23233	327.4139
EXOC6|54536	663.7122	EXOC6|54536	568.5967
EXOC7|23265	5166.1907	EXOC7|23265	2728.937
EXOC8|149371	539.0577	EXOC8|149371	699.0997
EXOG|9941	127.1559	EXOG|9941	124.2257
EXOSC10|5394	1470.0058	EXOSC10|5394	1725.6133
EXOSC1|51013	457.3444	EXOSC1|51013	291.7321
EXOSC2|23404	388.972	EXOSC2|23404	495.5811
EXOSC3|51010	229.7145	EXOSC3|51010	226.9761
EXOSC4|54512	273.4895	EXOSC4|54512	112.6621
EXOSC5|56915	293.084	EXOSC5|56915	269.9265
EXOSC6|118460	346.8647	EXOSC6|118460	289.7497
EXOSC7|23016	292.6671	EXOSC7|23016	478.7313
EXOSC8|11340	240.9917	EXOSC8|11340	285.6364
EXOSC9|5393	422.6037	EXOSC9|5393	462.4994
EXPH5|23086	188.8578	EXPH5|23086	607.5824
EXT1|2131	1013.9121	EXT1|2131	1018.2539
EXT2|2132	2691.5364	EXT2|2132	1967.7872
EXTL1|2134	27.9326	EXTL1|2134	160.5683
EXTL2|2135	333.5237	EXTL2|2135	576.526
EXTL3|2137	822.1360000000001	EXTL3|2137	1214.8344
EYA1|2138	10.4226	EYA1|2138	14.537
EYA2|2139	287.6642	EYA2|2139	750.9705
EYA3|2140	95.8881	EYA3|2140	250.4336
EYA4|2070	19.5945	lowly_expressed	lowly_expressed
EYS|346007	7.0874	EYS|346007	31.7172
EZH1|2145	661.2108	EZH1|2145	1782.7703
EZH2|2146	381.8847	EZH2|2146	143.7185
EZR|7430	7191.1883	EZR|7430	3945.4861
F10|2159	58.7836	F10|2159	73.6764
F11R|50848	7125.3174	F11R|50848	4043.6111
F12|2161	68.3724	F12|2161	18.1713
F13A1|2162	2084.9402	F13A1|2162	688.1969
F2RL1|2150	188.4409	F2RL1|2150	401.4207
F2RL2|2151	338.1097	F2RL2|2151	231.6016
F2RL3|9002	85.4655	F2RL3|9002	18.8321
F2R|2149	2430.971	F2R|2149	1257.7848
F3|2152	317.2644	F3|2152	1049.6407
F5|2153	80.0457	F5|2153	6.6077
F7|2155	187.1902	F7|2155	12.8851
F8A1|8263	180.5197	F8A1|8263	47.9062
F8|2157	322.2673	F8|2157	761.5561
FA2H|79152	357.7042	FA2H|79152	106.7151
FAAH2|158584	311.4278	FAAH2|158584	255.3894
FAAH|2166	1251.5478	FAAH|2166	369.3731
FABP3|2170	122.57	FABP3|2170	132.8157
FABP4|2167	2629.0007	FABP4|2167	3570.4964
FABP5|2171	165.9281	FABP5|2171	86.2311
FABP7|2173	16.6762	FABP7|2173	296.3575
FADD|8772	684.5574	FADD|8772	447.0141
FADS1|3992	858.6193	FADS1|3992	344.594
FADS2|9415	12002.4722	FADS2|9415	297.3486
FADS3|3995	204.7002	FADS3|3995	187.9904
FAF1|11124	565.7396	FAF1|11124	1021.5578
FAF2|23197	2312.1532	FAF2|23197	1659.2054
FAHD1|81889	554.9001	FAHD1|81889	366.73
FAHD2A|51011	227.213	FAHD2A|51011	322.7885
FAHD2B|151313	167.5957	FAHD2B|151313	315.8503
FAH|2184	867.1617	FAH|2184	466.1766
FAIM2|23017	57.1159	FAIM2|23017	128.8511
FAIM3|9214	423.5751	FAIM3|9214	159.5936
FAIM|55179	221.7933	FAIM|55179	215.4126
FAM100A|124402	332.6899	FAM100A|124402	159.5771
FAM100B|283991	1215.694	FAM100B|283991	345.2548
FAM101A|144347	132.9926	FAM101A|144347	121.5826
FAM101B|359845	761.6848	FAM101B|359845	350.8714
FAM102A|399665	4811.0797	FAM102A|399665	2369.2079
FAM102B|284611	526.1337	FAM102B|284611	1240.935
FAM103A1|83640	406.0651	FAM103A1|83640	350.1875
FAM104A|84923	1559.5402	FAM104A|84923	647.2124
FAM104B|90736	214.28900000000002	FAM104B|90736	227.3065
FAM105A|54491	393.1411	FAM105A|54491	325.1012
FAM105B|90268	427.7442	FAM105B|90268	529.2806
FAM106A|80039	20.8452	FAM106A|80039	31.3868
FAM106C|100129396	9.5888	FAM106C|100129396	22.4663
FAM107A|11170	79.6288	FAM107A|11170	449.6572
FAM107B|83641	1760.1714	FAM107B|83641	1705.1293
FAM108A1|81926	424.8258	FAM108A1|81926	157.2644
FAM108B1|51104	253.8949	FAM108B1|51104	419.9224
FAM108C1|58489	593.2553	FAM108C1|58489	393.8218
FAM109A|144717	328.9378	FAM109A|144717	227.9673
FAM109B|150368	356.8704	FAM109B|150368	209.1352
FAM10A4|145165	286.4135	FAM10A4|145165	485.6694
FAM110A|83541	956.3793	FAM110A|83541	208.8048
FAM110B|90362	529.052	FAM110B|90362	410.0107
FAM110C|642273	14.5917	FAM110C|642273	9.2508
FAM111A|63901	1026.4192	FAM111A|63901	1223.4245
FAM111B|374393	271.8218	FAM111B|374393	103.4112
FAM113A|64773	583.6665	FAM113A|64773	402.0814
FAM113B|91523	216.7946	FAM113B|91523	139.7539
FAM114A1|92689	971.8047	FAM114A1|92689	619.4763
FAM114A2|10827	342.2787	FAM114A2|10827	484.0175
FAM115A|9747	683.7236	FAM115A|9747	882.7951
FAM115C|285966	600.7096	FAM115C|285966	764.6122
FAM116A|201627	404.8144	FAM116A|201627	1062.8562
FAM116B|414918	228.4637	FAM116B|414918	145.0401
FAM117A|81558	455.2599	FAM117A|81558	624.4321
FAM117B|150864	662.8784	FAM117B|150864	630.3791
FAM118A|55007	277.6585	FAM118A|55007	418.2704
FAM118B|79607	232.6328	FAM118B|79607	197.5717
FAM119A|151194	203.8664	FAM119A|151194	168.1672
FAM119B|25895	187.1902	FAM119B|25895	482.3656
FAM120AOS|158293	1296.0815	FAM120AOS|158293	1162.055
FAM120A|23196	5276.8372	FAM120A|23196	4763.773
FAM120B|84498	1036.8419	FAM120B|84498	1299.0832
FAM120C|54954	215.9566	FAM120C|54954	455.9346
FAM122A|116224	505.7053	FAM122A|116224	1136.863
FAM122B|159090	526.5506	FAM122B|159090	765.8379
FAM122C|159091	17.51	FAM122C|159091	38.3249
FAM123B|139285	199.2804	FAM123B|139285	317.8327
FAM124A|220108	42.9412	FAM124A|220108	42.62
FAM124B|79843	86.7162	FAM124B|79843	88.5438
FAM125A|93343	458.5951	FAM125A|93343	330.05699999999996
FAM125B|89853	423.5751	FAM125B|89853	343.9333
FAM126A|84668	407.7327	FAM126A|84668	1632.1137
FAM126B|285172	327.6871	FAM126B|285172	802.8413
FAM127A|8933	2040.3314	FAM127A|8933	840.8359
FAM127B|26071	1427.8984	FAM127B|26071	560.337
FAM127C|441518	615.7682	FAM127C|441518	394.8129
FAM128A|653784	548.6465	FAM128A|653784	175.7661
FAM128B|80097	1030.1714	FAM128B|80097	373.6681
FAM129A|116496	1181.9247	FAM129A|116496	6005.4514
FAM129B|64855	4014.3749	FAM129B|64855	2978.1118
FAM129C|199786	15.8424	lowly_expressed	lowly_expressed
FAM131A|131408	277.2416	FAM131A|131408	260.0149
FAM131B|9715	44.6088	FAM131B|9715	90.8565
lowly_expressed	lowly_expressed	FAM131C|348487	6.9381
FAM132A|388581	15.0086	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FAM133A|286499	7.2685
FAM133B|257415	59.2005	FAM133B|257415	157.9252
FAM134A|79137	2921.2509	FAM134A|79137	2872.7183
FAM134B|54463	1610.9196	FAM134B|54463	622.4498
FAM134C|162427	1693.4667	FAM134C|162427	2130.6682
FAM135A|57579	152.5871	FAM135A|57579	465.5158
FAM136A|84908	785.8653	FAM136A|84908	722.2268
FAM13AOS|285512	27.7658	FAM13AOS|285512	72.3383
FAM13A|10144	500.8692	FAM13A|10144	1768.5802
FAM13B|51306	797.8638	FAM13B|51306	2122.3656
FAM13C|220965	91.5064	FAM13C|220965	357.8492
FAM149A|25854	75.8766	FAM149A|25854	117.6179
FAM149B1|317662	364.3747	FAM149B1|317662	723.5484
FAM150B|285016	5.0029	FAM150B|285016	65.0863
FAM151B|167555	31.6848	FAM151B|167555	20.484
FAM154B|283726	32.9355	FAM154B|283726	159.5771
FAM155A|728215	52.1131	FAM155A|728215	13.8763
FAM155B|27112	130.4912	FAM155B|27112	30.3956
FAM156A|29057	416.0708	FAM156A|29057	541.1745
FAM157A|728262	39.6059	FAM157A|728262	22.4663
FAM158A|51016	293.9178	FAM158A|51016	45.2631
FAM159A|348378	9.1719	lowly_expressed	lowly_expressed
FAM160A1|729830	170.9309	FAM160A1|729830	473.4451
FAM160A2|84067	706.2365	FAM160A2|84067	757.9086
FAM160B1|57700	761.6848	FAM160B1|57700	1033.4517
FAM160B2|64760	969.7202	FAM160B2|64760	955.1499
FAM161A|84140	50.4455	FAM161A|84140	137.4411
FAM161B|145483	177.4513	FAM161B|145483	379.2352
FAM162A|26355	982.6443	FAM162A|26355	611.8774
FAM162B|221303	15.4255	FAM162B|221303	28.7437
FAM164A|51101	183.0211	FAM164A|51101	577.8475
FAM164C|79696	77.9612	FAM164C|79696	74.9979
FAM165B|54065	267.6528	FAM165B|54065	335.0128
lowly_expressed	lowly_expressed	FAM166B|730112	9.9116
FAM167A|83648	181.3535	FAM167A|83648	179.7307
FAM167B|84734	65.8709	FAM167B|84734	31.0564
FAM168A|23201	556.5677	FAM168A|23201	517.0562
FAM168B|130074	1916.9276	FAM168B|130074	4160.5683
FAM169A|26049	80.4626	FAM169A|26049	181.7131
FAM171A1|221061	462.7642	FAM171A1|221061	783.0181
FAM171A2|284069	88.3838	FAM171A2|284069	9.9116
FAM171B|165215	385.6368	FAM171B|165215	830.9243
FAM172A|83989	401.8961	FAM172A|83989	1068.1424
FAM173A|65990	113.815	FAM173A|65990	26.7614
FAM173B|134145	253.0611	FAM173B|134145	178.0788
FAM174A|345757	255.1456	FAM174A|345757	247.1298
FAM174B|400451	1910.2571	FAM174B|400451	1148.0961
FAM175A|84142	224.0404	FAM175A|84142	535.5381
FAM175B|23172	565.7396	FAM175B|23172	640.9515
FAM176A|84141	91.3021	FAM176A|84141	87.5527
FAM176B|55194	894.3605	FAM176B|55194	107.4816
FAM177A1|283635	1197.3502	FAM177A1|283635	806.1452
FAM177B|400823	58.3667	lowly_expressed	lowly_expressed
FAM178A|55719	817.55	FAM178A|55719	1304.039
FAM178B|51252	10.4226	FAM178B|51252	6.2774
FAM179B|23116	361.4563	FAM179B|23116	1072.7678
FAM180A|389558	72.9583	FAM180A|389558	72.0244
lowly_expressed	lowly_expressed	FAM180B|399888	7.9293
FAM181B|220382	60.0343	FAM181B|220382	18.5017
lowly_expressed	lowly_expressed	FAM182A|284800	8.9205
FAM182B|728882	28.7664	FAM182B|728882	25.1094
FAM184A|79632	31.2678	FAM184A|79632	150.987
FAM184B|27146	15.3254	FAM184B|27146	21.0589
FAM185A|222234	76.7105	FAM185A|222234	126.5384
lowly_expressed	lowly_expressed	FAM186A|121006	6.2774
FAM186B|84070	10.0057	FAM186B|84070	20.8144
FAM188A|80013	413.9863	FAM188A|80013	577.1868
FAM188B|84182	96.3217	FAM188B|84182	191.1687
FAM189A1|23359	36.2707	lowly_expressed	lowly_expressed
FAM189A2|9413	188.4409	FAM189A2|9413	1450.0702
FAM189B|10712	1524.2034	FAM189B|10712	499.5457
FAM18A|780776	16.5303	FAM18A|780776	27.138
FAM18B2|201158	184.6888	FAM18B2|201158	253.8399
FAM18B|51030	651.622	FAM18B|51030	749.3186
FAM190A|401145	58.3667	FAM190A|401145	148.0135
FAM190B|54462	1108.1326	FAM190B|54462	1968.7784
FAM192A|80011	1357.0246	FAM192A|80011	1300.0743
FAM193A|8603	960.1314	FAM193A|8603	937.9698
FAM193B|54540	558.2353	FAM193B|54540	662.0963
FAM195A|84331	226.3792	FAM195A|84331	67.7294
FAM195B|348262	1662.1988	FAM195B|348262	735.7727
FAM196A|642938	19.1776	FAM196A|642938	8.2597
FAM196B|100131897	42.9412	FAM196B|100131897	466.1766
FAM198A|729085	55.0314	FAM198A|729085	181.3827
FAM198B|51313	4623.8895	FAM198B|51313	5235.3184
FAM199X|139231	668.7151	FAM199X|139231	737.0942
FAM19A2|338811	8.755	FAM19A2|338811	29.7349
FAM19A5|25817	85.8824	FAM19A5|25817	19.8232
FAM200A|221786	186.7733	FAM200A|221786	254.7287
FAM200B|285550	337.2759	FAM200B|285550	525.6463
FAM20A|54757	259.7316	FAM20A|54757	295.0359
FAM20B|9917	1766.425	FAM20B|9917	2032.5432
FAM20C|56975	597.4244	FAM20C|56975	489.6341
FAM21A|387680	582.8327	FAM21A|387680	707.3594
FAM21B|55747	303.0897	FAM21B|55747	876.1873
FAM21C|253725	1257.3844	FAM21C|253725	2376.8068
FAM22A|728118	31.2678	FAM22A|728118	67.399
FAM22D|728130	88.3796	FAM22D|728130	220.03799999999998
FAM24B|196792	9.076	FAM24B|196792	12.7629
FAM26E|254228	388.972	FAM26E|254228	139.0931
FAM26F|441168	67.5386	FAM26F|441168	68.7206
FAM32A|26017	1656.7791	FAM32A|26017	1254.4809
FAM35A|54537	513.6265	FAM35A|54537	777.0711
FAM35B2|439965	49.6117	FAM35B2|439965	88.5438
FAM35B|414241	162.5928	FAM35B|414241	261.3364
FAM36A|116228	1377.3738	FAM36A|116228	744.5511
FAM38A|9780	3931.5693	FAM38A|9780	1826.92
FAM38B|63895	224.7116	FAM38B|63895	50.5493
FAM3A|60343	535.7225	FAM3A|60343	426.1997
FAM3B|54097	42.1074	FAM3B|54097	457.9169
FAM3C|10447	622.8555	FAM3C|10447	998.1003
FAM3D|131177	12.0902	FAM3D|131177	199.554
FAM40A|85369	608.2639	FAM40A|85369	859.9983
FAM40B|57464	20.0114	FAM40B|57464	27.7525
FAM41C|284593	13.7579	FAM41C|284593	11.2332
FAM43A|131583	167.1788	FAM43A|131583	235.2358
FAM43B|163933	18.3438	FAM43B|163933	7.9293
FAM45A|404636	361.4563	FAM45A|404636	365.4084
FAM45B|55855	164.6773	FAM45B|55855	175.1053
FAM46A|55603	412.7356	FAM46A|55603	1012.9677
FAM46B|115572	88.8007	FAM46B|115572	635.0045
FAM46C|54855	525.7168	FAM46C|54855	1182.7868
FAM47E|100129583	43.133	FAM47E|100129583	225.3539
FAM48A|55578	912.1665	FAM48A|55578	1139.3244
FAM49A|81553	94.2205	FAM49A|81553	224.0026
FAM49B|51571	932.1988	FAM49B|51571	719.2533
FAM50A|9130	745.4255	FAM50A|9130	473.7755
FAM50B|26240	128.4066	FAM50B|26240	162.881
FAM53A|152877	17.9269	FAM53A|152877	18.1713
FAM53B|9679	817.8043	FAM53B|9679	664.6205
FAM53C|51307	1074.3633	FAM53C|51307	1709.4243
FAM54A|113115	62.5357	FAM54A|113115	17.1801
FAM54B|56181	614.876	FAM54B|56181	1065.9024
FAM55C|91775	725.4141	FAM55C|91775	908.8957
FAM57A|79850	311.4278	FAM57A|79850	178.4092
FAM58A|92002	315.1799	FAM58A|92002	139.4235
FAM59A|64762	283.0783	FAM59A|64762	307.2603
FAM5B|57795	25.0143	FAM5B|57795	17.1801
FAM5C|339479	9.1719	lowly_expressed	lowly_expressed
FAM60A|58516	844.2319	FAM60A|58516	1721.3182
FAM63A|55793	1761.0052	FAM63A|55793	973.3212
FAM63B|54629	268.4866	FAM63B|54629	759.8910000000001
FAM64A|54478	188.4409	FAM64A|54478	43.6111
FAM65A|79567	1343.6837	FAM65A|79567	1069.4639
FAM65B|9750	269.3204	FAM65B|9750	163.5418
FAM65C|140876	54.6145	FAM65C|140876	64.7559
lowly_expressed	lowly_expressed	FAM66A|100133172	8.0218
FAM66C|440078	19.1776	FAM66C|440078	39.6465
lowly_expressed	lowly_expressed	FAM66D|100132923	12.7926
FAM69A|388650	318.5152	FAM69A|388650	320.1454
FAM69B|138311	125.2882	FAM69B|138311	161.0374
FAM70A|55026	77.9612	FAM70A|55026	328.4051
FAM70B|348013	78.795	FAM70B|348013	33.0387
FAM71D|161142	38.7721	FAM71D|161142	12.2243
FAM71E1|112703	33.0564	FAM71E1|112703	34.0861
FAM71F2|346653	5.8367	FAM71F2|346653	14.8674
FAM72A|729533	46.6933	FAM72A|729533	5.947
FAM72B|653820	53.7807	FAM72B|653820	26.1006
FAM72D|728833	27.9326	FAM72D|728833	15.5282
FAM73A|374986	571.9932	FAM73A|374986	1128.2729
FAM73B|84895	321.8504	FAM73B|84895	323.7796
FAM76A|199870	148.0012	FAM76A|199870	306.2691
FAM76B|143684	138.4123	FAM76B|143684	479.3921
FAM78A|286336	304.7573	FAM78A|286336	148.6743
FAM78B|149297	17.0931	FAM78B|149297	22.7967
FAM7A3|89837	5.0029	FAM7A3|89837	7.2685
FAM81A|145773	24.1805	FAM81A|145773	70.0421
FAM81B|153643	8.3381	FAM81B|153643	22.4663
FAM82A1|151393	50.8624	FAM82A1|151393	119.2698
FAM82A2|55177	820.0514	FAM82A2|55177	856.0337
FAM82B|51115	524.883	FAM82B|51115	888.7421
FAM83A|84985	149.2519	lowly_expressed	lowly_expressed
FAM83B|222584	248.8921	FAM83B|222584	145.0401
FAM83D|81610	301.839	FAM83D|81610	44.2719
FAM83E|54854	200.5311	FAM83E|54854	52.861999999999995
FAM83F|113828	296.8361	FAM83F|113828	186.9993
FAM83G|644815	177.5722	FAM83G|644815	124.5362
FAM83H|286077	1287.4016	FAM83H|286077	1024.8617
FAM84A|151354	201.3649	FAM84A|151354	256.3806
FAM84B|157638	1827.2931	FAM84B|157638	2632.5266
FAM86A|196483	518.4334	FAM86A|196483	209.94799999999998
FAM86B1|85002	60.0343	FAM86B1|85002	262.3276
FAM86C|55199	333.5237	FAM86C|55199	155.6125
FAM86D|692099	140.9138	FAM86D|692099	306.2691
FAM89A|375061	88.8007	FAM89A|375061	129.5119
FAM89B|23625	2168.3211	FAM89B|23625	449.6572
FAM8A1|51439	1000.9881	FAM8A1|51439	1978.0292
lowly_expressed	lowly_expressed	FAM90A1|55138	14.8674
FAM91A1|157769	845.4826	FAM91A1|157769	1293.797
FAM92A1|137392	55.8652	FAM92A1|137392	119.6002
FAM95B1|100133036	5.8367	FAM95B1|100133036	10.242
FAM96A|84191	597.4244	FAM96A|84191	554.39
FAM96B|51647	594.506	FAM96B|51647	293.7144
FAM98A|25940	909.2689999999999	FAM98A|25940	724.5395
FAM98B|283742	265.9852	FAM98B|283742	421.5743
FAM98C|147965	180.9366	FAM98C|147965	189.6424
FANCA|2175	328.9461	FANCA|2175	108.2547
FANCB|2187	15.4255	FANCB|2187	27.4222
FANCC|2176	403.9806	FANCC|2176	296.6879
FANCD2|2177	269.7373	FANCD2|2177	280.4989
FANCE|2178	59.2005	FANCE|2178	129.5119
FANCF|2188	724.1634	FANCF|2188	473.7755
FANCG|2189	364.7916	FANCG|2189	327.7443
FANCI|55215	775.1675	FANCI|55215	428.334
FANCL|55120	234.2796	FANCL|55120	402.088
FANCM|57697	100.0571	FANCM|57697	273.8911
FANK1|92565	90.4683	FANK1|92565	151.3174
FAP|2191	2736.9790000000003	FAP|2191	354.5057
FAR1|84188	1261.5535	FAR1|84188	1698.5215
FAR2|55711	477.2516	FAR2|55711	61.6239
FARP1|10160	4347.8986	FARP1|10160	3298.5876
FARP2|9855	494.8658	FARP2|9855	418.9312
FARS2|10667	230.5483	FARS2|10667	216.0733
FARSA|2193	1075.614	FARSA|2193	650.5327
FARSB|10056	726.2479	FARSB|10056	876.5177
FASLG|356	11.6733	FASLG|356	26.430999999999997
FASN|2194	13196.2829	FASN|2194	6111.5057
FASTKD1|79675	186.7733	FASTKD1|79675	352.5233
FASTKD2|22868	727.9155	FASTKD2|22868	1144.1315
FASTKD3|79072	135.0771	FASTKD3|79072	197.90200000000002
FASTKD5|60493	901.7648	FASTKD5|60493	446.5483
FASTK|10922	1123.9749	FASTK|10922	482.3656
FAS|355	206.3678	FAS|355	351.965
FAT1|2195	6868.920999999999	FAT1|2195	10480.8788
FAT2|2196	332.273	FAT2|2196	2294.5403
FAT3|120114	73.3752	FAT3|120114	41.6288
FAT4|79633	458.1782	FAT4|79633	895.6802
FAU|2197	4940.737	FAU|2197	5447.4271
FBF1|85302	223.1107	FBF1|85302	107.8219
FBLIM1|54751	1056.8533	FBLIM1|54751	1060.5435
lowly_expressed	lowly_expressed	FBLL1|345630	14.8674
FBLN1|2192	7405.0604	FBLN1|2192	4115.6356
FBLN2|2199	7186.6024	FBLN2|2199	1785.0829999999999
FBLN5|10516	1726.4022	FBLN5|10516	2402.577
FBLN7|129804	280.5768	FBLN7|129804	258.3629
FBL|2091	1862.73	FBL|2091	3527.2157
FBN1|2200	20621.3547	FBN1|2200	3088.4612
FBN2|2201	206.7847	FBN2|2201	27.7525
lowly_expressed	lowly_expressed	FBN3|84467	9.5812
FBP1|2203	2189.5832	FBP1|2203	1029.1567
FBRSL1|57666	670.3827	FBRSL1|57666	361.1134
FBRS|64319	1710.9767	FBRS|64319	931.362
FBXL12|54850	323.9349	FBXL12|54850	267.2834
FBXL13|222235	8.3381	FBXL13|222235	22.4663
FBXL14|144699	486.1108	FBXL14|144699	701.082
FBXL15|79176	145.4997	FBXL15|79176	43.9415
FBXL16|146330	51.6962	FBXL16|146330	207.8137
FBXL17|64839	511.1251	FBXL17|64839	975.3035
FBXL18|80028	248.0583	FBXL18|80028	445.6926
FBXL19|54620	672.0503	FBXL19|54620	231.9319
FBXL20|84961	107.9783	FBXL20|84961	269.2657
FBXL22|283807	36.6668	FBXL22|283807	72.1797
FBXL2|25827	142.9983	FBXL2|25827	200.5451
FBXL3|26224	1117.7214	FBXL3|26224	2534.0712
FBXL4|26235	312.2616	FBXL4|26235	475.0971
