gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
CROCCL2|114819	73.5048	CROCCL2|114819	59.9511
CROCC|9696	654.8613	CROCC|9696	1094.2088
CROT|54677	264.6174	CROT|54677	511.0114
CRTAC1|55118	8.6869	CRTAC1|55118	205.5465
lowly_expressed	lowly_expressed	CRTAM|56253	16.3132
CRTAP|10491	1842.6328	CRTAP|10491	5398.0424
CRTC1|23373	596.7257	CRTC1|23373	581.5661
CRTC2|200186	1079.1848	CRTC2|200186	1166.8026
CRTC3|64784	975.2756	CRTC3|64784	899.6737
CRY1|1407	552.6228	CRY1|1407	479.2007
CRY2|1408	1184.7645	CRY2|1408	1975.9379999999999
CRYAB|1410	185.7668	CRYAB|1410	10235.7259
lowly_expressed	lowly_expressed	CRYBB1|1414	20.3915
lowly_expressed	lowly_expressed	CRYBB3|1417	5.7096
CRYBG3|131544	74.1731	CRYBG3|131544	137.1085
lowly_expressed	lowly_expressed	CRYGN|155051	5.7096
CRYGS|1427	13.0304	CRYGS|1427	14.2741
CRYL1|51084	548.2793	CRYL1|51084	893.5563
lowly_expressed	lowly_expressed	CRYM|1428	25.2855
CRYZL1|9946	340.3107	CRYZL1|9946	415.5669
CRYZ|1429	333.1173	CRYZ|1429	763.3279
CSAD|51380	539.5924	CSAD|51380	604.4046
CSDAP1|440359	20.3809	CSDAP1|440359	55.0571
CSDA|8531	1604.0762	CSDA|8531	5875.6117
CSDC2|27254	12.6963	CSDC2|27254	94.6166
CSDE1|7812	5506.8493	CSDE1|7812	11260.1958
CSE1L|1434	2569.3284	CSE1L|1434	1309.9511
CSF1R|1436	521.8844	CSF1R|1436	2340.9462
CSF1|1435	135.3157	CSF1|1435	702.2838
CSF2RA|1438	43.4347	CSF2RA|1438	157.4225
CSF2RB|1439	99.2315	CSF2RB|1439	169.6574
CSF3R|1441	165.3859	CSF3R|1441	698.2055
lowly_expressed	lowly_expressed	CSF3|1440	54.6493
CSGALNACT1|55790	223.1874	CSGALNACT1|55790	530.9951
CSGALNACT2|55454	593.0505	CSGALNACT2|55454	348.6949
CSK|1445	1223.1874	CSK|1445	1621.5334
lowly_expressed	lowly_expressed	CSMD1|64478	40.3752
CSMD2|114784	6.6823	lowly_expressed	lowly_expressed
CSMD3|114788	99.8998	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CSN1S1|1446	12.6427
CSNK1A1L|122011	6.013999999999999	lowly_expressed	lowly_expressed
CSNK1A1|1452	9099.2315	CSNK1A1|1452	5254.4861
CSNK1D|1453	6798.8640000000005	CSNK1D|1453	4370.31
CSNK1E|1454	2233.3745	CSNK1E|1454	3077.6998
CSNK1G1|53944	790.1771	CSNK1G1|53944	290.783
CSNK1G2|1455	1202.4724	CSNK1G2|1455	1983.6868
CSNK1G3|1456	644.5038	CSNK1G3|1456	414.7635
CSNK2A1P|283106	569.6625	CSNK2A1P|283106	118.6786
CSNK2A1|1457	1671.567	CSNK2A1|1457	706.3622
CSNK2A2|1459	259.6057	CSNK2A2|1459	504.4861
CSNK2B|1460	2126.9429	CSNK2B|1460	3592.5775
CSPG4|1464	672.9034	CSPG4|1464	524.4698
CSPG5|10675	27.0631	CSPG5|10675	28.5481
CSPP1|79848	1087.2837	CSPP1|79848	177.3083
CSRNP1|64651	1002.6729	CSRNP1|64651	4360.9299
CSRNP2|81566	1081.8577	CSRNP2|81566	511.8271
CSRP1|1465	4574.005999999999	CSRP1|1465	34664.3556
CSRP2BP|57325	958.2359	CSRP2BP|57325	631.3214
CSRP2|1466	71.8343	CSRP2|1466	553.0179
CST1|1469	97.561	lowly_expressed	lowly_expressed
CST2|1470	28.3996	lowly_expressed	lowly_expressed
CST3|1471	5025.0585	CST3|1471	13862.969
lowly_expressed	lowly_expressed	CST6|1474	68.1077
CST7|8530	17.0398	CST7|8530	109.7064
CST9|128822	36.7524	CST9|128822	6.1175
CSTA|1475	20.3809	CSTA|1475	362.1533
CSTB|1476	1346.4751	CSTB|1476	3300.9788
CSTF1|1477	538.9242	CSTF1|1477	609.7064
CSTF2T|23283	977.9485	CSTF2T|23283	907.0147
CSTF2|1478	411.293	CSTF2|1478	287.9282
CSTF3|1479	780.725	CSTF3|1479	566.0685
CS|1431	3346.8092	CS|1431	3103.5889
CT45A1|541466	9.3552	lowly_expressed	lowly_expressed
CT62|196993	507.1834	CT62|196993	21.2072
CTAGE1|64693	7.3505	lowly_expressed	lowly_expressed
CTAGE4|100128553	100.2339	CTAGE4|100128553	152.9364
CTAGE5|4253	969.6158	CTAGE5|4253	629.3556
CTAGE6|340307	16.0374	CTAGE6|340307	12.6427
CTAGE9|643854	291.3465	CTAGE9|643854	423.7357
CTBP1|1487	3621.8677	CTBP1|1487	3388.6664
CTBP2|1488	2376.2112	CTBP2|1488	1665.5791
CTBS|1486	357.4875	CTBS|1486	290.7708
CTCFL|140690	18.3428	CTCFL|140690	8.4176
CTCF|10664	1582.0247	CTCF|10664	975.938
CTDP1|9150	965.9205	CTDP1|9150	799.7553
CTDSP1|58190	2399.265	CTDSP1|58190	4743.4747
CTDSP2|10106	6880.3876	CTDSP2|10106	4959.6248
CTDSPL2|51496	616.1042	CTDSPL2|51496	283.8499
CTDSPL|10217	1169.0611	CTDSPL|10217	1541.1909
CTF1|1489	13.3645	CTF1|1489	412.3165
CTGF|1490	5219.1781	CTGF|1490	7923.3279
CTHRC1|115908	292.3488	CTHRC1|115908	223.49099999999999
CTH|1491	10.6916	CTH|1491	64.0294
CTLA4|1493	8.3528	CTLA4|1493	13.4584
CTNNA1|1495	8467.0899	CTNNA1|1495	8677.814
CTNNAL1|8727	200.8019	CTNNAL1|8727	678.6297
CTNNB1|1499	7196.3916	CTNNB1|1499	9954.7268
CTNNBIP1|56998	911.7942	CTNNBIP1|56998	1676.5905
CTNNBL1|56259	878.0488	CTNNBL1|56259	1130.5057
CTNND1|1500	4527.8984	CTNND1|1500	4982.0555
CTNND2|1501	546.6088	CTNND2|1501	171.6966
CTNS|1497	437.0364	CTNS|1497	553.075
CTPS2|56474	712.3288	CTPS2|56474	434.7471
CTPS|1503	198.7972	CTPS|1503	313.6215
CTR9|9646	3467.4240000000004	CTR9|9646	1203.5073
lowly_expressed	lowly_expressed	CTRL|1506	10.6036
CTSA|5476	1752.9135	CTSA|5476	2350.6281
CTSB|1508	29560.9756	CTSB|1508	14655.3834
CTSC|1075	548.2793	CTSC|1075	1141.1093
CTSD|1509	15250.5847	CTSD|1509	18084.0131
CTSF|8722	2502.5058	CTSF|8722	4281.4029
CTSG|1511	49.4487	CTSG|1511	305.0571
CTSH|1512	969.9298	CTSH|1512	3033.8499
CTSK|1513	720.6816	CTSK|1513	3340.5383
CTSL1|1514	893.0839	CTSL1|1514	1535.8891
CTSL2|1515	19.7127	CTSL2|1515	148.4502
CTSO|1519	943.2008	CTSO|1519	1058.7276
CTSS|1520	497.16	CTSS|1520	1067.6998
CTSW|1521	23.3879	CTSW|1521	151.7129
CTSZ|1522	1590.3775	CTSZ|1522	7654.5677
CTTNBP2NL|55917	394.9215	CTTNBP2NL|55917	391.5171
CTTNBP2|83992	123.2877	CTTNBP2|83992	99.9184
CTTN|2017	3985.9673	CTTN|2017	5845.0245
CTU1|90353	74.5072	CTU1|90353	95.0245
CTU2|348180	224.2399	CTU2|348180	402.5449
CTXN1|404217	871.0324	CTXN1|404217	570.1468
CUBN|8029	13.6986	CUBN|8029	34.2577
CUEDC1|404093	582.3588	CUEDC1|404093	421.6966
CUEDC2|79004	819.579	CUEDC2|79004	1640.2936
CUL1|8454	1091.8811	CUL1|8454	1407.7121
CUL2|8453	721.3498	CUL2|8453	475.5302
CUL3|8452	1336.1176	CUL3|8452	1393.9641
CUL4A|8451	2478.1156	CUL4A|8451	1320.9625
CUL4B|8450	1538.2559	CUL4B|8450	1146.4111
CUL5|8065	835.2823	CUL5|8065	645.5954
CUL7|9820	1459.7026	CUL7|9820	1493.4379999999999
CUL9|23113	892.4156	CUL9|23113	778.1403
CUTA|51596	2738.3896	CUTA|51596	4284.6656
CUTC|51076	215.1086	CUTC|51076	403.5604
CUX1|1523	3695.6231	CUX1|1523	1517.9445
CUX2|23316	13.6986	CUX2|23316	51.7945
CUZD1|50624	9.6124	CUZD1|50624	19.4902
CWC15|51503	475.4427	CWC15|51503	1002.447
CWC22|57703	268.2927	CWC22|57703	495.9217
CWC25|54883	706.6488	CWC25|54883	480.0163
CWC27|10283	351.8209	CWC27|10283	370.31
CWF19L1|55280	573.6719	CWF19L1|55280	710.8483
CWF19L2|143884	220.5145	CWF19L2|143884	339.7227
CX3CL1|6376	555.9639	CX3CL1|6376	11545.677
CX3CR1|1524	52.7898	CX3CR1|1524	937.602
CXADR|1525	39.4253	CXADR|1525	47.7162
CXCL10|3627	81.8577	CXCL10|3627	34.2577
CXCL11|6373	19.3785	CXCL11|6373	7.7488
CXCL12|6387	3836.9529	CXCL12|6387	8720.2284
CXCL13|10563	19.7127	CXCL13|10563	9.7879
CXCL14|9547	1240.2272	CXCL14|9547	8647.2268
CXCL16|58191	605.7467	CXCL16|58191	2374.3883
CXCL17|284340	19.0444	CXCL17|284340	190.8646
lowly_expressed	lowly_expressed	CXCL1|2919	88.90700000000001
CXCL2|2920	10.0234	CXCL2|2920	364.1925
lowly_expressed	lowly_expressed	CXCL3|2921	17.9445
lowly_expressed	lowly_expressed	CXCL5|6374	20.7993
lowly_expressed	lowly_expressed	CXCL6|6372	21.2072
CXCL9|4283	374.8747	CXCL9|4283	26.9168
CXCR1|3577	17.0398	CXCR1|3577	54.6493
lowly_expressed	lowly_expressed	CXCR2|3579	71.3703
CXCR3|2833	26.3949	CXCR3|2833	63.2137
CXCR4|7852	402.9402	CXCR4|7852	466.5579
lowly_expressed	lowly_expressed	CXCR5|643	6.9331
CXCR6|10663	24.7244	CXCR6|10663	61.1746
CXCR7|57007	809.5556	CXCR7|57007	1139.478
CXXC1|30827	679.9198	CXXC1|30827	1555.0571
CXXC4|80319	5.0117	lowly_expressed	lowly_expressed
CXXC5|51523	2831.9412	CXXC5|51523	1090.1305
CXorf21|80231	18.7103	CXorf21|80231	73.8173
CXorf23|256643	243.9024	CXorf23|256643	128.8744
CXorf26|51260	463.0805	CXorf26|51260	745.5139
CXorf36|79742	394.9215	CXorf36|79742	697.7977
CXorf38|159013	205.1453	CXorf38|159013	82.3817
CXorf40A|91966	2469.4287	CXorf40A|91966	706.3622
CXorf40B|541578	3562.6462	CXorf40B|541578	763.0506
CXorf42|158801	16.7056	CXorf42|158801	35.8891
lowly_expressed	lowly_expressed	CXorf49B|100132994	9.7879
CXorf50B|653687	5.0117	CXorf50B|653687	8.5644
CXorf56|63932	312.3956	CXorf56|63932	228.7928
CXorf57|55086	5.3458	CXorf57|55086	38.7439
CYB561D1|284613	391.5804	CYB561D1|284613	489.8042
CYB561D2|11068	972.2386	CYB561D2|11068	619.009
CYB561|1534	5010.0234	CYB561|1534	2934.3393
CYB5A|1528	518.2092	CYB5A|1528	2066.0685
CYB5B|80777	997.9953	CYB5B|80777	1477.9772
CYB5D1|124637	426.9963	CYB5D1|124637	598.2871
CYB5D2|124936	530.5713	CYB5D2|124936	960.0326
CYB5R1|51706	2702.9736	CYB5R1|51706	1840.5383
CYB5R2|51700	171.3999	CYB5R2|51700	375.2039
CYB5R3|1727	3468.7604	CYB5R3|1727	8333.6052
CYB5R4|51167	377.5476	CYB5R4|51167	218.5971
CYB5RL|606495	95.2222	CYB5RL|606495	25.6933
CYBASC3|220002	446.709	CYBASC3|220002	1492.2512
CYBA|1535	309.0545	CYBA|1535	2200.2447
CYBB|1536	290.3441	CYBB|1536	668.0261
CYBRD1|79901	967.2569	CYBRD1|79901	6718.5971
CYC1|1537	4375.877	CYC1|1537	2429.4454
CYCS|54205	2123.2877	CYCS|54205	2055.4649
CYFIP1|23191	3479.7862	CYFIP1|23191	3248.7765
CYFIP2|26999	405.6131	CYFIP2|26999	308.7276
CYGB|114757	443.0337	CYGB|114757	1081.1582
CYHR1|50626	1798.5299	CYHR1|50626	1532.2186
CYLD|1540	839.2917	CYLD|1540	694.1272
lowly_expressed	lowly_expressed	CYP11A1|1583	72.186
CYP19A1|1588	5.0117	lowly_expressed	lowly_expressed
CYP1B1|1545	793.8523	CYP1B1|1545	564.0294
CYP20A1|57404	341.1293	CYP20A1|57404	645.5954
CYP21A2|1589	26.6355	CYP21A2|1589	293.5481
CYP26A1|1592	5.0117	CYP26A1|1592	235.7259
CYP26B1|56603	85.1988	CYP26B1|56603	161.9086
CYP27A1|1593	105.9138	CYP27A1|1593	1584.4209
CYP27B1|1594	5.6799	CYP27B1|1594	42.0065
lowly_expressed	lowly_expressed	CYP27C1|339761	9.3801
lowly_expressed	lowly_expressed	CYP2A6|1548	180.261
lowly_expressed	lowly_expressed	CYP2A7|1549	8.1566
CYP2B7P1|1556	63.1473	CYP2B7P1|1556	70.5546
CYP2C8|1558	5.6799	CYP2C8|1558	6.1175
CYP2D6|1565	7.0164	CYP2D6|1565	18.7602
CYP2D7P1|1564	7.3505	CYP2D7P1|1564	21.615
CYP2E1|1571	42.6328	CYP2E1|1571	41.2398
CYP2J2|1573	104.5773	CYP2J2|1573	196.1664
CYP2R1|120227	392.2486	CYP2R1|120227	210.0326
CYP2S1|29785	26.3949	CYP2S1|29785	66.0685
CYP2U1|113612	95.2222	CYP2U1|113612	223.49099999999999
CYP39A1|51302	7.6846	CYP39A1|51302	137.031
CYP3A5|1577	6.013999999999999	CYP3A5|1577	16.3132
CYP46A1|10858	10.6916	CYP46A1|10858	32.2186
CYP4B1|1580	14.3669	CYP4B1|1580	352.7732
CYP4F11|57834	101.9044	CYP4F11|57834	91.7618
lowly_expressed	lowly_expressed	CYP4F12|66002	35.0734
CYP4F22|126410	146.0074	CYP4F22|126410	1117.4551
CYP4F2|8529	10.6916	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CYP4F8|11283	21.2072
CYP4V2|285440	412.6295	CYP4V2|285440	706.77
CYP4X1|260293	258.2693	CYP4X1|260293	591.7618
lowly_expressed	lowly_expressed	CYP4Z1|199974	176.5905
CYP4Z2P|163720	60.4744	CYP4Z2P|163720	42.4144
CYP51A1|1595	1536.9195	CYP51A1|1595	1566.8842
CYP7B1|9420	27.3973	CYP7B1|9420	66.4763
CYR61|3491	2180.0869	CYR61|3491	18955.9543
CYS1|192668	34.0795	CYS1|192668	273.6542
CYSLTR1|10800	18.0421	CYSLTR1|10800	14.2741
CYTH1|9267	1099.8998	CYTH1|9267	1154.5677
CYTH2|9266	2099.5657	CYTH2|9266	2933.1158
CYTH3|9265	2554.2934	CYTH3|9265	995.5139
CYTH4|27128	131.9746	CYTH4|27128	513.4584
CYTIP|9595	41.43	CYTIP|9595	105.6281
CYTL1|54360	18.7103	CYTL1|54360	59.1354
CYTSA|23384	2111.2596	CYTSA|23384	1406.1989999999998
CYTSB|92521	427.3304	CYTSB|92521	250.0
CYYR1|116159	289.6759	CYYR1|116159	670.8809
D2HGDH|728294	549.6158	D2HGDH|728294	681.0767
D4S234E|27065	16.0374	D4S234E|27065	539.1517
DAAM1|23002	846.9763	DAAM1|23002	197.3899
DAAM2|23500	302.3588	DAAM2|23500	384.6941
DAB2IP|153090	1542.2653	DAB2IP|153090	3176.9984
DAB2|1601	629.1346	DAB2|1601	1453.5073
DACH1|1602	1837.287	DACH1|1602	278.95599999999996
DACT1|51339	138.3228	DACT1|51339	148.8581
lowly_expressed	lowly_expressed	DACT2|168002	62.398
DACT3|147906	55.1286	DACT3|147906	138.2545
DAD1|1603	3375.5429	DAD1|1603	3493.4747
DAG1|1605	5276.3114	DAG1|1605	3562.8059
DAGLA|747	122.6194	DAGLA|747	283.0343
DAGLB|221955	660.8754	DAGLB|221955	536.2969
DAK|26007	888.0722	DAK|26007	1575.8564
DALRD3|55152	2166.3281	DALRD3|55152	1349.1803
lowly_expressed	lowly_expressed	DAND5|199699	5.3018
DAP3|7818	2173.0705	DAP3|7818	1965.3344
DAPK1|1612	107.5844	DAPK1|1612	140.7015
DAPK2|23604	79.1848	DAPK2|23604	565.6607
DAPK3|1613	1612.4289999999999	DAPK3|1613	1999.1843
lowly_expressed	lowly_expressed	DAPL1|92196	14.6819
DAPP1|27071	14.0327	DAPP1|27071	159.8695
DAP|1611	2444.7043	DAP|1611	4814.845
DARC|2532	165.0518	DARC|2532	3375.6117
DARS2|55157	634.4805	DARS2|55157	219.0049
DARS|1615	1036.7524	DARS|1615	1607.2594
DAXX|1616	1523.2208	DAXX|1616	2444.1272
DAZAP1|26528	2023.3879	DAZAP1|26528	2274.4698
DAZAP2|9802	10982.6261	DAZAP2|9802	7168.8418
DBC1|1620	122.2853	DBC1|1620	583.1974
DBF4B|80174	322.0849	DBF4B|80174	125.2039
DBF4|10926	197.7949	DBF4|10926	107.6672
DBI|1622	1060.1403	DBI|1622	3700.6525
DBN1|1627	2786.836	DBN1|1627	2284.2577
DBNDD1|79007	996.993	DBNDD1|79007	766.721
DBNDD2|55861	1385.0785	DBNDD2|55861	1649.8695
DBNL|28988	2957.2335	DBNL|28988	3224.7145
DBP|1628	493.134	DBP|1628	459.9388
DBR1|51163	444.0361	DBR1|51163	312.8059
DBT|1629	643.1674	DBT|1629	473.8989
DBX2|440097	11.0257	DBX2|440097	11.4192
DCAF10|79269	3589.7093	DCAF10|79269	577.4878
DCAF11|80344	4530.5212	DCAF11|80344	2364.8654
lowly_expressed	lowly_expressed	DCAF12L2|340578	8.1566
DCAF12|25853	2663.5483	DCAF12|25853	883.3605
DCAF13|25879	1344.1831	DCAF13|25879	645.6525
DCAF15|90379	934.1798	DCAF15|90379	711.6639
DCAF16|54876	1330.4377	DCAF16|54876	699.429
DCAF17|80067	201.136	DCAF17|80067	190.8646
DCAF4L1|285429	11.694	DCAF4L1|285429	6.1175
DCAF4|26094	393.2509	DCAF4|26094	262.6427
DCAF5|8816	2707.3171	DCAF5|8816	1184.3393
DCAF6|55827	1313.3979	DCAF6|55827	1435.5628
DCAF7|10238	3210.4911	DCAF7|10238	1390.7015
DCAF8|50717	2557.4841	DCAF8|50717	2081.2235
DCAKD|79877	1174.0728	DCAKD|79877	1331.1582
DCBLD1|285761	201.4701	DCBLD1|285761	124.7961
DCBLD2|131566	570.999	DCBLD2|131566	780.1794
DCDC1|341019	6.7992	lowly_expressed	lowly_expressed
DCDC2|51473	112.9769	DCDC2|51473	510.8279
DCHS1|8642	521.5503	DCHS1|8642	709.217
lowly_expressed	lowly_expressed	DCHS2|54798	27.3246
DCI|1632	1160.3742	DCI|1632	1511.4192
DCK|1633	808.2192	DCK|1633	266.721
DCLK1|9201	387.2369	DCLK1|9201	300.1631
DCLK2|166614	50.4511	DCLK2|166614	64.845
DCLK3|85443	75.1754	DCLK3|85443	6.1175
DCLRE1A|9937	165.3859	DCLRE1A|9937	161.5008
DCLRE1B|64858	135.6498	DCLRE1B|64858	128.8744
DCLRE1C|64421	297.0264	DCLRE1C|64421	170.8809
DCN|1634	3777.4808	DCN|1634	44313.6215
DCP1A|55802	903.1073	DCP1A|55802	556.6884
DCP1B|196513	403.6084	DCP1B|196513	454.7308
DCP2|167227	612.7631	DCP2|167227	669.6574
DCPS|28960	146.6756	DCPS|28960	451.876
DCST2|127579	10.0234	DCST2|127579	48.9396
DCTD|1635	744.7377	DCTD|1635	1766.721
DCTN1|1639	3465.1721	DCTN1|1639	4738.7031
DCTN2|10540	2637.8216	DCTN2|10540	3488.1729
DCTN3|11258	1434.0127	DCTN3|11258	1686.3785
DCTN4|51164	2288.0053	DCTN4|51164	1149.6737
DCTN5|84516	1529.9031	DCTN5|84516	1105.2202
DCTN6|10671	1425.6599	DCTN6|10671	724.7145
DCTPP1|79077	1745.0718	DCTPP1|79077	1254.4861
lowly_expressed	lowly_expressed	DCT|1638	6.9331
DCUN1D1|54165	424.6575	DCUN1D1|54165	222.2675
DCUN1D2|55208	397.9285	DCUN1D2|55208	278.5481
DCUN1D3|123879	192.449	DCUN1D3|123879	230.0163
DCUN1D4|23142	652.8567	DCUN1D4|23142	511.8271
DCUN1D5|84259	167.3906	DCUN1D5|84259	424.9592
DCXR|51181	2711.3264	DCXR|51181	2089.7227
DCX|1641	22.0515	DCX|1641	59.5432
DDA1|79016	2229.5356	DDA1|79016	1120.31
DDAH1|23576	766.4551	DDAH1|23576	720.6362
DDAH2|23564	2129.9699	DDAH2|23564	4403.3442
DDB1|1642	4445.3725	DDB1|1642	5197.3899
DDB2|1643	585.7	DDB2|1643	808.3197
DDHD1|80821	414.9683	DDHD1|80821	163.1321
DDHD2|23259	2230.2038	DDHD2|23259	582.7896
DDI2|84301	140.5413	DDI2|84301	11.1623
DDIT3|1649	488.3896	DDIT3|1649	625.0326
DDIT4L|115265	6.3481	DDIT4L|115265	40.3752
DDIT4|54541	959.5723	DDIT4|54541	1376.4274
DDOST|1650	2819.2449	DDOST|1650	5470.2284
DDO|8528	14.0327	DDO|8528	90.5383
DDR1|780	10485.4661	DDR1|780	9040.3752
DDR2|4921	103.575	DDR2|4921	44.8613
DDRGK1|65992	2396.9262	DDRGK1|65992	1761.4192
DDTL|100037417	243.1073	DDTL|100037417	464.5759
DDT|1652	437.0231	DDT|1652	1185.1305
DDX10|1662	349.8162	DDX10|1662	460.4405
DDX11|1663	843.9693	DDX11|1663	592.1697
DDX12|440081	118.9442	DDX12|440081	55.8728
DDX17|10521	6243.2342	DDX17|10521	8579.9347
DDX18|8886	1240.2272	DDX18|8886	1294.8613
DDX19A|55308	550.6181	DDX19A|55308	840.9462
DDX19B|11269	373.2041	DDX19B|11269	922.8956
DDX1|1653	1361.8443	DDX1|1653	2033.0343
DDX20|11218	312.0615	DDX20|11218	402.5285
DDX21|9188	1746.4083	DDX21|9188	728.385
DDX23|9416	4112.5961	DDX23|9416	2405.3834
DDX24|57062	3922.1517	DDX24|57062	3710.4405
lowly_expressed	lowly_expressed	DDX25|29118	10.1958
DDX26B|203522	17.3739	DDX26B|203522	239.8042
DDX27|55661	1328.433	DDX27|55661	1648.0424
DDX28|55794	263.6151	DDX28|55794	473.8989
DDX31|64794	301.3699	DDX31|64794	362.1533
DDX39|10212	2415.9706	DDX39|10212	684.7471
DDX3X|1654	8509.1881	DDX3X|1654	6625.2039
DDX41|51428	1832.2753	DDX41|51428	1506.5253
DDX42|11325	3871.7006	DDX42|11325	2568.1077
lowly_expressed	lowly_expressed	DDX43|55510	23.1158
DDX46|9879	1716.6722	DDX46|9879	946.9821
DDX47|51202	429.3351	DDX47|51202	1201.4682
DDX49|54555	822.586	DDX49|54555	1435.155
DDX50|79009	855.3291	DDX50|79009	1052.6101
DDX51|317781	1002.6729	DDX51|317781	803.0179
DDX52|11056	725.6933	DDX52|11056	383.7684
DDX54|79039	3098.2259	DDX54|79039	2409.7471
DDX55|57696	683.5951	DDX55|57696	361.3377
DDX56|54606	1877.0464	DDX56|54606	1579.9347
DDX58|23586	496.4918	DDX58|23586	443.7194
DDX59|83479	485.4661	DDX59|83479	345.4323
DDX5|1655	12803.5416	DDX5|1655	14597.8793
DDX60L|91351	440.3608	DDX60L|91351	204.7308
DDX60|55601	830.6047	DDX60|55601	315.2529
DDX6|1656	1736.0508	DDX6|1656	2035.4812
DEAF1|10522	1081.704	DEAF1|10522	1307.5041
DECR1|1666	343.8022	DECR1|1666	1318.9233
DECR2|26063	322.7531	DECR2|26063	659.4617
DEDD2|162989	590.7117	DEDD2|162989	775.2855
DEDD|9191	683.7254	DEDD|9191	814.3067
DEF6|50619	167.7247	DEF6|50619	650.4894
DEF8|54849	565.3191	DEF8|54849	1173.7357
DEFB132|400830	6.6823	DEFB132|400830	53.4258
DEFB1|1672	8.6869	DEFB1|1672	809.5432
DEGS1|8560	562.6462	DEGS1|8560	1513.0506
DEGS2|123099	1821.5837	DEGS2|123099	1427.8139999999999
DEK|7913	1584.6976	DEK|7913	1685.5628
DEM1|64789	105.9138	DEM1|64789	160.2773
DENND1A|57706	523.8891	DENND1A|57706	706.77
DENND1B|163486	83.5282	DENND1B|163486	22.0228
DENND1C|79958	501.1694	DENND1C|79958	137.8467
DENND2A|27147	126.6288	DENND2A|27147	363.7847
DENND2C|163259	25.0451	DENND2C|163259	22.6223
DENND2D|79961	392.9168	DENND2D|79961	621.5334
DENND3|22898	416.3047	DENND3|22898	397.2268
DENND4A|10260	465.7367	DENND4A|10260	186.2602
DENND4B|9909	951.1293	DENND4B|9909	710.832
DENND4C|55667	1765.1186	DENND4C|55667	664.7635
DENND5A|23258	1468.7604	DENND5A|23258	1241.4356
DENND5B|160518	285.3324	DENND5B|160518	141.5171
DENR|8562	2265.6198	DENR|8562	1289.1517
DEPDC1B|55789	115.6031	lowly_expressed	lowly_expressed
DEPDC1|55635	121.6171	DEPDC1|55635	5.7096
DEPDC4|120863	8.3528	lowly_expressed	lowly_expressed
DEPDC5|9681	261.2763	DEPDC5|9681	269.168
DEPDC6|64798	284.9983	DEPDC6|64798	1008.1566
lowly_expressed	lowly_expressed	DEPDC7|91614	12.2349
DERA|51071	156.69899999999998	DERA|51071	556.6884
DERL1|79139	4512.1951	DERL1|79139	1447.7977
DERL2|51009	519.8797	DERL2|51009	758.5644
DERL3|91319	43.1006	DERL3|91319	435.5628
lowly_expressed	lowly_expressed	DES|1674	327.8956
DET1|55070	183.7621	DET1|55070	174.5514
DEXI|28955	440.0267	DEXI|28955	1061.1746
DFFA|1676	322.41900000000004	DFFA|1676	462.0718
DFFB|1677	100.9021	DFFB|1677	110.1142
DFNA5|1687	77.1801	DFNA5|1687	365.0082
DFNB31|25861	687.9385	DFNB31|25861	435.155
DFNB59|494513	5.0117	DFNB59|494513	51.3866
DGAT1|8694	1940.3241	DGAT1|8694	1350.8891
DGAT2|84649	1002.6729	DGAT2|84649	4666.3948
DGCR11|25786	22.0515	DGCR11|25786	22.4307
DGCR14|8220	343.134	DGCR14|8220	699.0212
DGCR2|9993	2290.01	DGCR2|9993	4187.1941
lowly_expressed	lowly_expressed	DGCR5|26220	20.7993
DGCR6L|85359	729.3685	DGCR6L|85359	1630.5057
DGCR6|8214	282.6595	DGCR6|8214	998.7765
DGCR8|54487	793.5182	DGCR8|54487	950.2447
DGCR9|25787	11.3598	lowly_expressed	lowly_expressed
DGKA|1606	141.998	DGKA|1606	585.6444
DGKD|8527	2227.865	DGKD|8527	836.0522
DGKE|8526	466.7558	DGKE|8526	165.1713
lowly_expressed	lowly_expressed	DGKG|1608	15.4976
DGKH|160851	48.1123	DGKH|160851	11.0114
lowly_expressed	lowly_expressed	DGKI|9162	26.1011
DGKQ|1609	1418.3094	DGKQ|1609	513.0506
DGKZ|8525	2083.5282	DGKZ|8525	1390.2936
DGUOK|1716	546.2746	DGUOK|1716	1158.646
DHCR24|1718	12053.4581	DHCR24|1718	12767.1289
DHCR7|1717	666.5553	DHCR7|1717	1730.0163
DHDDS|79947	787.5042	DHDDS|79947	1032.2186
lowly_expressed	lowly_expressed	DHDH|27294	15.9054
DHDPSL|112817	71.3632	DHDPSL|112817	55.0571
DHFRL1|200895	357.8349	DHFRL1|200895	187.1941
DHFR|1719	473.6452	DHFR|1719	167.5775
DHH|50846	11.3598	DHH|50846	11.4192
DHODH|1723	100.568	DHODH|1723	216.9657
DHPS|1725	1370.8654	DHPS|1725	1501.2235
DHRS11|79154	393.9191	DHRS11|79154	322.186
DHRS12|79758	179.4186	DHRS12|79758	649.6737
DHRS13|147015	455.4293	DHRS13|147015	279.73900000000003
DHRS1|115817	679.9198	DHRS1|115817	1245.5139
DHRS2|10202	20312.3956	DHRS2|10202	281.8108
DHRS3|9249	632.8099	DHRS3|9249	3010.1958
DHRS4L1|728635	16.3715	DHRS4L1|728635	33.0343
