gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
CCHCR1|54535	964.8238	CCHCR1|54535	267.3531
CCIN|881	11.1208	lowly_expressed	lowly_expressed
CCL11|6356	57.1378	lowly_expressed	lowly_expressed
CCL13|6357	8.052999999999999	CCL13|6357	8.0286
CCL14|6358	217.4267	CCL14|6358	1769.4922
lowly_expressed	lowly_expressed	CCL16|6360	6.0215
CCL17|6361	8.4365	lowly_expressed	lowly_expressed
CCL18|6362	26.0763	CCL18|6362	36.9317
CCL19|6363	296.8099	CCL19|6363	59.0104
lowly_expressed	lowly_expressed	CCL20|6364	6.0215
CCL21|6366	120.0278	CCL21|6366	669.1856
CCL22|6367	130.3816	CCL22|6367	66.2361
CCL28|56477	63.2734	CCL28|56477	1399.7903
CCL2|6347	520.376	CCL2|6347	427.9256
CCL3L1|6349	9.7441	CCL3L1|6349	23.849
lowly_expressed	lowly_expressed	CCL3L3|414062	5.053999999999999
CCL3|6348	55.6039	CCL3|6348	87.9134
CCL4L2|388372	34.5128	CCL4L2|388372	32.9174
CCL4|6351	62.8899	CCL4|6351	51.7846
CCL5|6352	1247.4451	CCL5|6352	480.9145
CCL8|6355	98.9366	CCL8|6355	34.5231
CCM2|83605	1035.3833	CCM2|83605	640.684
CCNA1|8900	15.7225	CCNA1|8900	30.1073
CCNA2|890	179.3552	CCNA2|890	46.5419
CCNB1IP1|57820	777.6879	CCNB1IP1|57820	884.7541
CCNB1|891	415.3037	CCNB1|891	215.5685
CCNB2|9133	154.1571	CCNB2|9133	39.7417
CCNB3|85417	7.6695	CCNB3|85417	22.8816
CCNC|892	675.6834	CCNC|892	1685.2078
CCND1|595	4855.3301	CCND1|595	5605.5518
CCND2|894	617.7787	CCND2|894	1741.0067
CCND3|896	785.7409	CCND3|896	1418.6575
CCNDBP1|23582	288.7569	CCNDBP1|23582	1306.6582
CCNE1|898	32.2119	CCNE1|898	15.2544
CCNE2|9134	89.1158	CCNE2|9134	26.1412
CCNF|899	482.4119	CCNF|899	198.30700000000002
CCNG1|900	819.1032	CCNG1|900	2616.5279
CCNG2|901	1679.2383	CCNG2|901	3066.9336
CCNH|902	312.4787	CCNH|902	609.545
lowly_expressed	lowly_expressed	CCNI2|645121	17.4301
CCNI|10983	2862.2595	CCNI|10983	8670.5104
CCNJL|79616	229.3182	CCNJL|79616	147.3252
CCNJ|54619	174.0978	CCNJ|54619	233.6329
CCNK|8812	2021.3519	CCNK|8812	851.335
CCNL1|57018	1049.5718	CCNL1|57018	1389.7545
CCNL2|81669	1005.8557	CCNL2|81669	1946.9408
CCNO|10309	78.6124	CCNO|10309	53.7918
CCNT1|904	27.2267	CCNT1|904	256.9159
CCNT2|905	583.2659	CCNT2|905	1016.4235
CCNYL1|151195	327.1044	CCNYL1|151195	377.7467
CCNY|219771	2029.3512	CCNY|219771	1705.2793
CCPG1|9236	1077.0095	CCPG1|9236	2536.3379999999997
CCR1|1230	179.083	CCR1|1230	96.3435
CCR2|729230	49.4683	CCR2|729230	70.2504
CCR3|1232	5.7521	lowly_expressed	lowly_expressed
CCR4|1233	20.3242	lowly_expressed	lowly_expressed
CCR5|1234	207.4601	CCR5|1234	101.9635
CCR6|1235	29.4892	CCR6|1235	44.3983
CCR7|1236	144.1867	CCR7|1236	26.8959
CCR8|1237	6.9026	lowly_expressed	lowly_expressed
CCRL1|51554	96.6358	CCRL1|51554	41.7488
CCRL2|9034	39.498000000000005	CCRL2|9034	40.1431
CCRN4L|25819	51.3857	CCRN4L|25819	138.0923
CCS|9973	1033.0824	CCS|9973	309.9048
CCT2|10576	2903.2914	CCT2|10576	3100.6538
CCT3|7203	11402.2541	CCT3|7203	4842.8648
CCT4|10575	2263.6546	CCT4|10575	4213.0194
CCT5|22948	2614.5345	CCT5|22948	3494.8592
CCT6A|908	4226.2811	CCT6A|908	3357.9712
CCT6B|10693	132.299	CCT6B|10693	133.6766
CCT6P1|643253	92.801	CCT6P1|643253	66.6376
CCT7|10574	3789.8862	CCT7|10574	4470.3368
CCT8|10694	4156.8721	CCT8|10694	3162.0728
CD101|9398	23.392	CD101|9398	26.4945
CD109|135228	190.5872	CD109|135228	623.0211
CD14|929	493.1492	CD14|929	938.1445
CD151|977	12872.1148	CD151|977	7277.9459
lowly_expressed	lowly_expressed	CD160|11126	12.8458
CD163L1|283316	13.4216	CD163L1|283316	69.84899999999999
CD163|9332	195.1889	CD163|9332	68.2433
CD164L2|388611	12.6547	CD164L2|388611	74.2648
CD164|8763	9742.1896	CD164|8763	12378.128
CD180|4064	62.8899	CD180|4064	87.9134
CD19|930	6.9026	lowly_expressed	lowly_expressed
CD1A|909	118.8773	lowly_expressed	lowly_expressed
CD1C|911	22.2416	CD1C|911	25.2902
CD1D|912	16.4894	CD1D|912	23.6844
CD1E|913	27.6102	CD1E|913	7.6272
CD200R1|131450	12.6547	CD200R1|131450	8.0286
CD200|4345	181.3838	CD200|4345	753.4862
CD207|50489	221.2652	CD207|50489	21.6773
CD209|30835	19.9407	CD209|30835	34.5231
CD226|10666	8.8199	CD226|10666	17.663
CD22|933	70.176	CD22|933	22.4801
lowly_expressed	lowly_expressed	CD244|51744	11.2401
CD247|919	72.0934	CD247|919	56.2004
CD248|57124	1044.9701	CD248|57124	522.6633
CD24|100133941	14173.6299	CD24|100133941	19668.1168
CD274|29126	29.9111	CD274|29126	30.1073
CD276|80381	1550.3906	CD276|80381	1286.5867
CD27|939	94.1892	CD27|939	44.5749
CD28|940	34.1293	CD28|940	8.0286
CD2AP|23607	1842.2153	CD2AP|23607	1635.4303
CD2BP2|10421	3070.4866	CD2BP2|10421	1209.9133
CD2|914	322.5027	CD2|914	150.9381
CD300A|11314	113.5087	CD300A|11314	107.1821
CD300C|10871	24.5424	CD300C|10871	13.2472
CD300LB|124599	9.2034	CD300LB|124599	6.4229
CD300LF|146722	42.1823	CD300LF|146722	26.8959
CD300LG|146894	10.7373	CD300LG|146894	364.9009
CD302|9936	429.4923	CD302|9936	1463.9871
CD320|51293	348.9625	CD320|51293	363.6966
CD33|945	27.6102	CD33|945	31.7131
CD34|947	916.1225	CD34|947	2894.3182
CD36|948	228.1678	CD36|948	1998.7255
CD37|951	262.6806	CD37|951	141.3037
CD38|952	22.2416	lowly_expressed	lowly_expressed
CD3D|915	123.0956	CD3D|915	54.9961
CD3EAP|10849	543.8945	CD3EAP|10849	556.7849
CD3E|916	267.6657	CD3E|916	152.9452
CD3G|917	13.0382	CD3G|917	18.4658
CD40LG|959	23.7755	CD40LG|959	5.62
CD40|958	155.691	CD40|958	251.2959
CD44|960	2715.005	CD44|960	11189.892
CD46|4179	5658.9448	CD46|4179	6600.3302
CD47|961	2164.718	CD47|961	3281.2978
CD48|962	269.5831	CD48|962	105.9778
CD4|920	817.5693	CD4|920	563.6093
CD52|1043	375.8058	CD52|1043	139.69799999999998
CD53|963	470.5242	CD53|963	295.8547
CD55|1604	1026.1799	CD55|1604	1977.851
CD58|965	173.7143	CD58|965	171.8125
CD59|966	10551.7059	CD59|966	25918.8005
CD5|921	84.74799999999999	CD5|921	26.4945
CD63|967	13609.1543	CD63|967	9420.7851
CD68|968	1135.0868	CD68|968	832.9695
CD69|969	76.3116	CD69|969	39.3402
CD6|923	124.6295	CD6|923	52.9889
CD70|970	8.052999999999999	lowly_expressed	lowly_expressed
CD72|971	54.07	CD72|971	35.7274
CD74|972	40842.035	CD74|972	21566.8859
CD79A|973	102.7714	CD79A|973	38.5374
CD79B|974	76.3116	CD79B|974	127.6551
CD7|924	79.7629	CD7|924	37.3331
CD80|941	24.1589	lowly_expressed	lowly_expressed
CD81|975	11487.3856	CD81|975	11289.0454
CD82|3732	2263.2711	CD82|3732	1307.4611
CD83|9308	305.6298	CD83|9308	260.1274
CD84|8832	24.5424	CD84|8832	35.3259
CD86|942	189.0533	CD86|942	73.8633
CD8A|925	216.6635	CD8A|925	171.0096
CD8B|926	87.0489	CD8B|926	44.1574
CD93|22918	1182.2543	CD93|22918	1828.5187
CD96|10225	98.5531	CD96|10225	67.4404
CD97|976	329.4053	CD97|976	531.0933
CD99L2|83692	677.2173	CD99L2|83692	950.5888
CD99|4267	1501.6892	CD99|4267	1686.0106
CD9|928	15990.1524	CD9|928	7766.4875
CDADC1|81602	155.3075	CDADC1|81602	185.0597
CDAN1|146059	263.064	CDAN1|146059	342.4207
CDA|978	27.2267	CDA|978	22.4801
CDC123|8872	1195.4995	CDC123|8872	924.9494
CDC14A|8556	41.7988	CDC14A|8556	341.6179
CDC14B|8555	49.0848	CDC14B|8555	632.6554
lowly_expressed	lowly_expressed	CDC14C|168448	7.2258
CDC16|8881	2774.0602	CDC16|8881	1722.5409
CDC20B|166979	23.392	lowly_expressed	lowly_expressed
CDC20|991	274.1848	CDC20|991	48.5732
CDC23|8697	677.6008	CDC23|8697	882.3456
CDC25A|993	106.2227	CDC25A|993	41.3474
CDC25B|994	388.4605	CDC25B|994	504.1975
CDC25C|995	29.5276	lowly_expressed	lowly_expressed
CDC26|246184	110.0574	CDC26|246184	116.9008
CDC27|996	1105.1758	CDC27|996	1450.3706
CDC34|997	674.533	CDC34|997	410.2626
CDC37L1|55664	692.1729	CDC37L1|55664	516.6418
CDC37|11140	4095.1325	CDC37|11140	2036.8614
CDC40|51362	363.918	CDC40|51362	768.7406
CDC42BPA|8476	350.1129	CDC42BPA|8476	1692.0321
CDC42BPB|9578	3171.7241	CDC42BPB|9578	2995.4789
CDC42BPG|55561	413.3864	CDC42BPG|55561	863.8797
CDC42EP1|11135	805.2981	CDC42EP1|11135	2064.9616
CDC42EP2|10435	228.1678	CDC42EP2|10435	279.7975
CDC42EP3|10602	395.36300000000006	CDC42EP3|10602	870.3026
CDC42EP4|23580	2101.0611	CDC42EP4|23580	2127.9863
CDC42EP5|148170	57.5213	CDC42EP5|148170	52.5875
CDC42SE1|56882	3799.0398	CDC42SE1|56882	3488.6611
CDC42SE2|56990	914.5886	CDC42SE2|56990	1925.2636
CDC42|998	4882.4073	CDC42|998	6563.3985
CDC45|8318	58.2882	CDC45|8318	8.0286
CDC5L|988	1127.8008	CDC5L|988	1026.8608
CDC6|990	225.4835	CDC6|990	56.2004
CDC73|79577	1075.2647	CDC73|79577	1086.2726
CDC7|8317	78.9959	CDC7|8317	63.8275
CDCA2|157313	25.3094	CDCA2|157313	20.0716
CDCA3|83461	190.7483	CDCA3|83461	21.6291
CDCA4|55038	468.9903	CDCA4|55038	261.3316
CDCA5|113130	303.3289	CDCA5|113130	46.566
CDCA7L|55536	119.9511	CDCA7L|55536	706.4666
CDCA7|83879	16.4894	CDCA7|83879	74.6662
CDCA8|55143	239.2886	CDCA8|55143	52.9889
CDCP1|64866	319.4349	CDCP1|64866	852.2382
CDH10|1008	31.8284	lowly_expressed	lowly_expressed
CDH11|1009	1949.9718	CDH11|1009	537.1148
lowly_expressed	lowly_expressed	CDH12|1010	147.7266
CDH13|1012	192.8881	CDH13|1012	576.8565
lowly_expressed	lowly_expressed	CDH19|28513	22.8816
CDH1|999	6434.3318	CDH1|999	15859.3385
CDH22|64405	10.7373	CDH22|64405	14.4515
CDH23|64072	42.9492	CDH23|64072	97.9492
CDH24|64403	157.9918	CDH24|64403	104.7735
lowly_expressed	lowly_expressed	CDH26|60437	8.0286
CDH2|1000	65.9577	CDH2|1000	43.3546
CDH3|1001	1155.7945	CDH3|1001	3203.4202
lowly_expressed	lowly_expressed	CDH4|1002	16.4587
CDH5|1003	745.0925	CDH5|1003	1300.2353
CDH6|1004	38.3475	CDH6|1004	89.1177
lowly_expressed	lowly_expressed	CDHR1|92211	16.4587
CDHR3|222256	33.65	CDHR3|222256	35.7434
CDHR4|389118	10.3538	lowly_expressed	lowly_expressed
CDIPT|10423	3475.4365	CDIPT|10423	1984.6754
CDK10|8558	576.3634	CDK10|8558	583.2794
CDK11A|728642	391.9884	CDK11A|728642	292.4426
CDK11B|984	726.6089999999999	CDK11B|984	599.1359
CDK12|51755	1088.3029	CDK12|51755	1254.8736
CDK13|8621	1044.5867	CDK13|8621	1183.8203
CDK14|5218	162.977	CDK14|5218	629.0425
CDK16|5127	3088.8934	CDK16|5127	1573.2085
CDK17|5128	536.0984	CDK17|5128	894.7899
CDK18|5129	71.3264	CDK18|5129	413.0726
CDK19|23097	221.852	CDK19|23097	772.5341
CDK1|983	249.6424	CDK1|983	77.4762
CDK20|23552	139.2015	CDK20|23552	196.7012
CDK2AP1|8099	4572.1758	CDK2AP1|8099	2563.9404
CDK2AP2|10263	1024.2625	CDK2AP2|10263	683.6372
CDK2|1017	730.1369	CDK2|1017	771.952
CDK3|1018	129.5993	CDK3|1018	106.4395
CDK4|1019	3944.0433	CDK4|1019	2083.8288
CDK5R1|8851	29.1441	CDK5R1|8851	56.2004
CDK5RAP1|51654	1066.8282	CDK5RAP1|51654	497.3731
CDK5RAP2|55755	1445.3183	CDK5RAP2|55755	1660.319
CDK5RAP3|80279	3067.8023	CDK5RAP3|80279	1927.2707
CDK5|1020	515.7743	CDK5|1020	190.6798
CDK6|1021	1244.3773	CDK6|1021	750.6762
CDK7|1022	530.3463	CDK7|1022	468.8715
CDK8|1024	149.9388	CDK8|1024	138.0923
CDK9|1025	1084.8516	CDK9|1025	1103.5341
CDKAL1|54901	423.7402	CDKAL1|54901	350.4494
CDKL1|8814	11.8877	CDKL1|8814	9.6343
lowly_expressed	lowly_expressed	CDKL2|8999	80.2862
CDKL3|51265	17.7779	CDKL3|51265	45.3015
CDKL5|6792	11.5043	CDKL5|6792	54.5946
CDKN1A|1026	664.5627	CDKN1A|1026	1427.8904
CDKN1B|1027	1480.2146	CDKN1B|1027	1464.4207
CDKN1C|1028	127.3138	CDKN1C|1028	444.3842
CDKN2AIPNL|91368	203.6254	CDKN2AIPNL|91368	344.0265
CDKN2AIP|55602	327.1044	CDKN2AIP|55602	674.4043
CDKN2A|1029	121.5617	CDKN2A|1029	40.946
CDKN2B|1030	413.3864	CDKN2B|1030	146.1209
CDKN2C|1031	490.4649	CDKN2C|1031	176.6297
CDKN2D|1032	126.9303	CDKN2D|1032	56.2004
CDKN3|1033	159.9092	CDKN3|1033	16.0572
CDNF|441549	15.7225	CDNF|441549	63.8275
CDO1|1036	25.6928	CDO1|1036	226.0057
CDON|50937	28.7606	CDON|50937	554.3764
CDR2L|30850	591.7024	CDR2L|30850	465.6601
CDR2|1039	806.4485	CDR2|1039	657.1427
CDRT15P|94158	5.3687	CDRT15P|94158	6.8243
CDRT4|284040	447.1705	CDRT4|284040	367.5463
CDS1|1040	787.6582	CDS1|1040	1377.7115
CDS2|8760	1522.7803	CDS2|8760	969.8575
CDSN|1041	50.2353	CDSN|1041	78.6805
CDT1|81620	159.1422	CDT1|81620	51.7846
CDV3|55573	3666.0237	CDV3|55573	3731.3021
CDYL2|124359	42.5658	CDYL2|124359	111.5978
CDYL|9425	786.8913	CDYL|9425	557.9892
CEACAM19|56971	297.9603	CEACAM19|56971	72.65899999999999
CEACAM1|634	816.8024	CEACAM1|634	677.6157
CEACAM21|90273	11.5043	CEACAM21|90273	12.4444
CEACAM5|1048	6.1356	lowly_expressed	lowly_expressed
CEACAM6|4680	175.2482	CEACAM6|4680	117.2179
CEBPA|1050	1498.2379	CEBPA|1050	332.385
CEBPB|1051	847.4804	CEBPB|1051	901.6143
CEBPD|1052	289.9073	CEBPD|1052	389.3882
CEBPG|1054	912.2877	CEBPG|1054	1286.1853
CEBPZ|10153	919.5737	CEBPZ|10153	1428.2919
CECR1|51816	734.7386	CECR1|51816	1211.9205
CECR2|27443	32.5954	CECR2|27443	9.6343
CECR5|27440	559.4904	CECR5|27440	464.4558
CECR6|27439	57.1378	CECR6|27439	25.2902
CECR7|100130418	55.6039	CECR7|100130418	69.4476
CELF1|10658	1580.6851	CELF1|10658	1831.3287
CELF2|10659	272.6509	CELF2|10659	529.0862
CELF4|56853	5.3687	CELF4|56853	10.0358
CELF5|60680	292.5916	CELF5|60680	58.2075
CELF6|60677	21.9118	CELF6|60677	44.5589
CELSR1|9620	3852.7762	CELSR1|9620	3396.1071
CELSR2|1952	2935.1198	CELSR2|1952	3678.3132
CELSR3|1951	92.4175	CELSR3|1951	45.4862
CEL|1056	6.5191	CEL|1056	8.4301
CEMP1|752014	152.8571	CEMP1|752014	106.6281
CENPA|1058	52.9196	lowly_expressed	lowly_expressed
CENPBD1|92806	311.3819	CENPBD1|92806	389.3882
CENPB|1059	2738.0135	CENPB|1059	1633.4232
CENPC1|1060	263.83099999999996	CENPC1|1060	462.8501
CENPE|1062	82.8307	CENPE|1062	21.6773
CENPF|1063	840.1943	CENPF|1063	217.5757
CENPH|64946	114.6591	CENPH|64946	124.8451
CENPI|2491	17.6399	CENPI|2491	7.2258
CENPJ|55835	177.1656	CENPJ|55835	189.4755
CENPK|64105	22.625	CENPK|64105	21.6773
CENPL|91687	106.2227	CENPL|91687	71.0533
CENPM|79019	82.4472	CENPM|79019	16.4587
CENPN|55839	154.6019	CENPN|55839	124.9575
CENPO|79172	56.0487	CENPO|79172	79.2385
CENPP|401541	54.1851	CENPP|401541	30.0752
CENPQ|55166	161.8266	CENPQ|55166	114.4079
CENPT|80152	422.5898	CENPT|80152	500.1832
CENPV|201161	29.9111	CENPV|201161	146.5224
CENPW|387103	74.3942	CENPW|387103	71.4547
CEP110|11064	302.562	CEP110|11064	534.3048
CEP120|153241	205.1593	CEP120|153241	626.634
CEP135|9662	222.0322	CEP135|9662	220.7871
CEP152|22995	31.0615	CEP152|22995	79.4834
CEP164|22897	563.7087	CEP164|22897	665.5728
CEP170|9859	491.9988	CEP170|9859	657.1427
CEP192|55125	465.539	CEP192|55125	790.8193
CEP250|11190	737.423	CEP250|11190	386.1767
CEP290|80184	520.8515	CEP290|80184	462.8099
CEP350|9857	862.8194	CEP350|9857	1096.3083
CEP55|55165	162.977	CEP55|55165	24.8887
CEP57|9702	733.5882	CEP57|9702	989.9291
CEP63|80254	915.808	CEP63|80254	681.341
CEP68|23177	654.9758	CEP68|23177	1345.1956
CEP70|80321	654.2088	CEP70|80321	482.1188
CEP72|55722	26.0763	CEP72|55722	57.8061
CEP76|79959	123.0956	CEP76|79959	126.4508
CEP78|84131	217.047	CEP78|84131	273.776
CEP97|79598	74.3942	CEP97|79598	166.5939
CEPT1|10390	960.9891	CEPT1|10390	889.9728
CERCAM|51148	2341.1166	CERCAM|51148	839.3924
CERKL|375298	56.9768	CERKL|375298	32.2068
CERK|64781	263.4475	CERK|64781	923.693
CES1|1066	57.5213	CES1|1066	211.5542
CES2|8824	930.6945	CES2|8824	1355.6328
CES3|23491	240.8225	CES3|23491	20.0716
CES8|283848	47.5509	CES8|283848	94.3363
CETN2|1069	2898.3062	CETN2|1069	1500.9509
CETN3|1070	335.5409	CETN3|1070	386.9796
CETP|1071	9.5869	lowly_expressed	lowly_expressed
CFB|629	28964.4595	CFB|629	2553.5032
CFDP1|10428	921.4911	CFDP1|10428	728.9989
CFD|1675	275.3353	CFD|1675	1119.1899
CFHR3|10878	5.3687	lowly_expressed	lowly_expressed
CFH|3075	1337.1783	CFH|3075	1343.9913
CFI|3426	947.5674	CFI|3426	915.2629
CFL1|1072	30335.9627	CFL1|1072	11338.02
CFL2|1073	194.422	CFL2|1073	613.7882
CFLAR|8837	409.1681	CFLAR|8837	647.5084
CFP|5199	69.0256	CFP|5199	14.853
lowly_expressed	lowly_expressed	CFTR|1080	11.2401
CG030|116828	33.3623	CG030|116828	55.7989
lowly_expressed	lowly_expressed	CGB7|94027	7.5911
CGGBP1|8545	2379.0807	CGGBP1|8545	2716.5084
CGNL1|84952	933.3788	CGNL1|84952	1830.5258
CGN|57530	2605.3311	CGN|57530	1574.0114
CGREF1|10669	277.8317	CGREF1|10669	112.0474
CGRRF1|10668	238.9051	CGRRF1|10668	327.5678
CH25H|9023	65.1908	CH25H|9023	50.1789
CHAC1|79094	15.7225	CHAC1|79094	27.2973
CHAC2|494143	32.9789	CHAC2|494143	19.2687
CHADL|150356	5.3687	CHADL|150356	91.1249
CHAD|1101	51.0022	CHAD|1101	287.0232
CHAF1A|10036	449.8165	CHAF1A|10036	163.7839
CHAF1B|8208	363.1511	CHAF1B|8208	141.3037
CHCHD10|400916	582.499	CHCHD10|400916	323.5535
CHCHD1|118487	926.4763	CHCHD1|118487	462.8501
CHCHD2|51142	4484.7434	CHCHD2|51142	2909.5726
CHCHD3|54927	1021.5782	CHCHD3|54927	567.2221
CHCHD4|131474	352.7973	CHCHD4|131474	243.6687
CHCHD5|84269	649.6071	CHCHD5|84269	288.629
CHCHD6|84303	227.0174	CHCHD6|84303	142.1066
CHCHD7|79145	663.0288	CHCHD7|79145	479.3087
CHCHD8|51287	1192.2247	CHCHD8|51287	604.5552
CHD1L|9557	1067.9787	CHD1L|9557	747.0633
CHD1|1105	407.2508	CHD1|1105	1298.6296
CHD2|1106	1148.8919	CHD2|1106	2616.9294
CHD3|1107	3855.077	CHD3|1107	4250.3525
CHD4|1108	5694.9914	CHD4|1108	6314.1018
lowly_expressed	lowly_expressed	CHD5|26038	12.0429
CHD6|84181	1521.6299	CHD6|84181	2214.6954
CHD7|55636	606.2744	CHD7|55636	718.5617
CHD8|57680	3222.3428	CHD8|57680	2213.8925
CHD9|80205	436.0114	CHD9|80205	1732.9781
CHDH|55349	1110.5444	CHDH|55349	985.1119
CHEK1|1111	181.7673	CHEK1|1111	68.2433
CHEK2|11200	205.5428	CHEK2|11200	153.7481
CHERP|10523	1325.7277	CHERP|10523	1272.1231
CHFR|55743	529.9628	CHFR|55743	290.2347
lowly_expressed	lowly_expressed	CHGB|1114	32.9174
CHI3L1|1116	504.6535	CHI3L1|1116	3227.1046
CHI3L2|1117	747.0099	CHI3L2|1117	725.7874
CHIC1|53344	219.3479	CHIC1|53344	392.5996
CHIC2|26511	180.2334	CHIC2|26511	327.1663
CHID1|66005	1878.2619	CHID1|66005	1549.1226
CHIT1|1118	152.6232	CHIT1|1118	327.5678
CHKA|1119	1276.2057	CHKA|1119	807.6794
CHKB-CPT1B|386593	135.639	CHKB-CPT1B|386593	387.931
CHKB|1120	251.6902	CHKB|1120	269.5048
CHL1|10752	76.6951	CHL1|10752	1218.3434
CHML|1122	729.7535	CHML|1122	491.3517
CHMP1A|5119	2339.9662	CHMP1A|5119	1848.5902
CHMP1B|57132	1459.8904	CHMP1B|57132	1782.3541
CHMP2A|27243	4156.8721	CHMP2A|27243	1712.1036
CHMP2B|25978	1180.7204	CHMP2B|25978	1120.7956
CHMP4A|29082	970.5491	CHMP4A|29082	898.8725
CHMP4B|128866	5383.226	CHMP4B|128866	2927.2356
CHMP4C|92421	450.5835	CHMP4C|92421	714.1459
CHMP5|51510	1617.5716	CHMP5|51510	1513.335
CHMP6|79643	812.2006	CHMP6|79643	426.3198
CHMP7|91782	456.3356	CHMP7|91782	898.0014
CHM|1121	222.4157	CHM|1121	763.1205
CHN1|1123	152.6232	CHN1|1123	427.5241
CHN2|1124	67.1082	CHN2|1124	55.3975
CHODL|140578	114.6591	CHODL|140578	42.9531
CHORDC1|26973	510.0221	CHORDC1|26973	463.2515
CHPF2|54480	1854.8699	CHPF2|54480	1078.2439
CHPF|79586	2932.052	CHPF|79586	1373.2958
CHPT1|56994	1353.5949	CHPT1|56994	2993.8732
CHP|11261	1811.5372	CHP|11261	2984.2388
CHRAC1|54108	867.0376	CHRAC1|54108	525.8747
CHRDL1|91851	59.4387	CHRDL1|91851	558.7921
CHRDL2|25884	11.5043	CHRDL2|25884	6.8243
CHRD|8646	121.5617	CHRD|8646	80.6877
CHRFAM7A|89832	9.2034	CHRFAM7A|89832	26.8959
CHRM1|1128	74.3942	CHRM1|1128	108.3864
lowly_expressed	lowly_expressed	CHRM3|1131	12.4444
CHRNA10|57053	8.8199	CHRNA10|57053	13.6487
CHRNA1|1134	12.2712	CHRNA1|1134	5.2186
CHRNA2|1135	171.7969	CHRNA2|1135	8.8315
CHRNA5|1138	19.9407	CHRNA5|1138	50.5803
CHRNA6|8973	10.7373	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CHRNA7|1139	8.0286
CHRNB1|1140	454.4182	CHRNB1|1140	282.6075
CHRNB2|1141	143.4198	CHRNB2|1141	90.322
CHRNE|1145	40.6676	CHRNE|1145	21.5287
CHST10|9486	90.8836	CHST10|9486	298.6647
CHST11|50515	103.1549	CHST11|50515	36.9317
CHST12|55501	356.63199999999995	CHST12|55501	148.9309
CHST14|113189	608.9587	CHST14|113189	513.4304
CHST15|51363	1049.1884	CHST15|51363	1079.8497
CHST1|8534	90.1167	CHST1|8534	52.18600000000001
CHST2|9435	57.5213	CHST2|9435	200.3141
CHST3|9469	186.7525	CHST3|9469	1279.7624
lowly_expressed	lowly_expressed	CHST4|10164	8.0286
lowly_expressed	lowly_expressed	CHST5|23563	7.2338
CHST6|4166	14.5721	CHST6|4166	24.8887
CHST7|56548	32.9789	CHST7|56548	53.3903
CHST8|64377	9.9704	CHST8|64377	129.2608
CHST9|83539	14.9555	CHST9|83539	466.4629
CHSY1|22856	808.3659	CHSY1|22856	1646.6704
CHSY3|337876	73.6273	CHSY3|337876	44.1574
CHTF18|63922	600.9058	CHTF18|63922	94.7377
CHTF8|54921	1701.8633	CHTF8|54921	3664.8612
CHUK|1147	348.1956	CHUK|1147	556.7849
CHURC1|91612	1448.1215	CHURC1|91612	1521.5844
CIAO1|9391	1599.4754	CIAO1|9391	1920.8478
CIAPIN1|57019	830.9909	CIAPIN1|57019	853.4425
CIB1|10519	1716.0519	CIB1|10519	1560.7641
CIB2|10518	85.515	CIB2|10518	78.6805
CIB3|117286	9.5869	lowly_expressed	lowly_expressed
CIC|23152	1068.3621	CIC|23152	1809.25
lowly_expressed	lowly_expressed	CIDEA|1149	19.6701
CIDEB|27141	130.4506	CIDEB|27141	335.9737
CIDECP|152302	373.5049	CIDECP|152302	100.3176
CIDEC|63924	9.9704	CIDEC|63924	8.4702
CIITA|4261	246.5746	CIITA|4261	148.5295
CILP2|148113	325.954	CILP2|148113	22.4801
CILP|8483	2836.1832	CILP|8483	217.9771
CINP|51550	916.8894	CINP|51550	392.1982
CIR1|9541	1273.1379	CIR1|9541	924.0944
CIRBP|1153	5128.215	CIRBP|1153	6506.3953
CIRH1A|84916	684.1199	CIRH1A|84916	906.8329
CISD1|55847	217.047	CISD1|55847	268.9588
CISD2|493856	414.9203	CISD2|493856	513.8318
CISD3|284106	1578.7907	CISD3|284106	700.4973
CISH|1154	3598.5321	CISH|1154	681.63
CITED1|4435	14.5721	CITED1|4435	1820.0886
CITED2|10370	1239.0086	CITED2|10370	1649.079
CITED4|163732	2311.2055	CITED4|163732	910.4457
CIT|11113	145.7206	CIT|11113	69.4476
CIZ1|25792	1053.0231	CIZ1|25792	1782.7555
CKAP2L|150468	46.016999999999996	CKAP2L|150468	10.0358
CKAP2|26586	537.2489	CKAP2|26586	380.5567
CKAP4|10970	4347.4593	CKAP4|10970	1778.7412
CKAP5|9793	3034.4399	CKAP5|9793	1929.2779
CKB|1152	132.6824	CKB|1152	334.3921
CKLF|51192	264.5979	CKLF|51192	246.8801
CKMT1A|548596	778.4548	CKMT1A|548596	75.0676
CKMT1B|1159	1023.1121	CKMT1B|1159	316.7291
CKMT2|1160	5.3687	CKMT2|1160	23.6844
CKS1B|1163	1168.4492	CKS1B|1163	458.0329
CKS2|1164	694.8572	CKS2|1164	304.2848
CLASP1|23332	751.2281	CLASP1|23332	1582.4414
CLASP2|23122	755.8298	CLASP2|23122	1730.9709
CLCA2|9635	168.7291	CLCA2|9635	1183.4189
lowly_expressed	lowly_expressed	CLCA4|22802	77.8776
CLCC1|23155	888.3358	CLCC1|23155	1005.898
CLCF1|23529	55.2204	CLCF1|23529	166.1925
