gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
DIO3|1735	25.3445	DIO3|1735	40.5465
DIP2A|23181	484.852	DIP2A|23181	870.4275
DIP2B|57609	2038.5825	DIP2B|57609	1654.0326
DIP2C|22982	942.8903	DIP2C|22982	1587.9242
DIRAS1|148252	105.4186	DIRAS1|148252	164.3896
lowly_expressed	lowly_expressed	DIRAS2|54769	7.933
DIRAS3|9077	78.9721	DIRAS3|9077	104.0106
DIRC2|84925	289.3097	DIRC2|84925	364.7774
DIRC3|729582	13.9579	DIRC3|729582	19.3918
DIS3L2|129563	342.3349	DIS3L2|129563	362.2741
DIS3L|115752	1205.1512	DIS3L|115752	989.8634
DIS3|22894	1162.8993	DIS3|22894	1259.0833
DISC1|27185	116.43799999999999	DISC1|27185	161.7453
DISP1|84976	327.6424	DISP1|84976	348.171
DISP2|85455	108.3571	DISP2|85455	114.5879
DIXDC1|85458	735.3589	DIXDC1|85458	1721.0225
DKC1|1736	1309.1005	DKC1|1736	1026.8841
DKFZP586I1420|222161	231.774	DKFZP586I1420|222161	265.7558
DKFZP686I15217|401232	48.1179	DKFZP686I15217|401232	44.9537
DKFZp434J0226|93429	6.9789	DKFZp434J0226|93429	5.2887
DKFZp686O24166|374383	37.8332	DKFZp686O24166|374383	39.6651
DKFZp761E198|91056	435.6322	DKFZp761E198|91056	505.0683
lowly_expressed	lowly_expressed	DKFZp779M0652|374387	6.6108
DKK1|22943	8.8155	DKK1|22943	9.2552
DKK2|27123	117.9072	DKK2|27123	155.1344
DKK3|27122	946.9307	DKK3|27122	2026.4434
DKKL1|27120	5.1424	DKKL1|27120	7.4923
DLAT|1737	698.995	DLAT|1737	881.0048
DLC1|10395	2695.3366	DLC1|10395	5919.3477
DLD|1738	1458.2293	DLD|1738	1922.8735
lowly_expressed	lowly_expressed	DLEC1|9940	79.3301
DLEU1|10301	105.2166	DLEU1|10301	52.8867
DLEU2L|79469	5.877000000000001	DLEU2L|79469	5.2887
DLEU2|8847	84.3092	DLEU2|8847	25.6677
DLG1|1739	774.294	DLG1|1739	1417.8052
DLG2|1740	55.4641	DLG2|1740	72.7193
DLG3|1741	1150.789	DLG3|1741	865.1388
DLG4|1742	526.4685	DLG4|1742	385.6809
DLG5|9231	3604.0669	DLG5|9231	3346.4081
DLGAP1|9229	12.4886	DLGAP1|9229	21.1547
lowly_expressed	lowly_expressed	DLGAP2|9228	24.2398
DLGAP4|22839	1820.0317	DLGAP4|22839	1609.9603
DLGAP5|9787	246.4665	DLGAP5|9787	48.9202
DLK1|8788	6.2443	DLK1|8788	434.9934
DLK2|65989	16.529	DLK2|65989	149.8457
DLL1|28514	116.8053	DLL1|28514	293.9621
DLL4|54567	338.6618	DLL4|54567	855.4429
DLST|1743	1454.1888	DLST|1743	2309.3874
lowly_expressed	lowly_expressed	DLX1|1745	7.933
DLX2|1746	8.0809	DLX2|1746	7.0516
DLX3|1747	40.037	DLX3|1747	40.1058
DLX4|1748	6.9789	DLX4|1748	13.2217
DLX5|1749	12.4886	lowly_expressed	lowly_expressed
DMAP1|55929	539.2142	DMAP1|55929	612.1639
DMBT1|1755	27.5484	DMBT1|1755	17.6289
lowly_expressed	lowly_expressed	DMC1|11144	6.6108
DMD|1756	303.3998	DMD|1756	1649.1847
DMGDH|29958	27.9157	DMGDH|29958	165.7118
DMKN|93099	337.9272	DMKN|93099	366.2406
DMPK|1760	723.6049	DMPK|1760	658.4398
DMRT2|10655	20.5695	DMRT2|10655	71.3971
DMRT3|58524	9.9174	DMRT3|58524	39.2243
lowly_expressed	lowly_expressed	DMRTA1|63951	15.4253
DMRTC1B|728656	20.5695	DMRTC1B|728656	30.8506
DMRTC2|63946	9.5501	lowly_expressed	lowly_expressed
DMTF1|9988	823.5506	DMTF1|9988	1066.1084
DMWD|1762	536.2757	DMWD|1762	462.7589
DMXL1|1657	1281.1848	DMXL1|1657	1518.29
DMXL2|23312	510.1966	DMXL2|23312	556.1922
DNA2|1763	144.721	DNA2|1763	66.5491
DNAH10|196385	19.8349	DNAH10|196385	22.0361
DNAH14|127602	182.9215	DNAH14|127602	71.3971
DNAH17|8632	18.3656	DNAH17|8632	33.0542
DNAH1|25981	154.2711	DNAH1|25981	353.9004
DNAH2|146754	154.2711	DNAH2|146754	99.6033
DNAH5|1767	321.0308	DNAH5|1767	275.01099999999997
DNAH6|1768	53.2603	DNAH6|1768	93.874
DNAH7|56171	90.3588	DNAH7|56171	92.9925
DNAH9|1770	9.1828	DNAH9|1770	45.3944
DNAJA1|3301	4755.5905	DNAJA1|3301	3688.409
DNAJA2|10294	2182.5688	DNAJA2|10294	1832.9661
DNAJA3|9093	1588.9924	DNAJA3|9093	854.5615
DNAJA4|55466	934.0748	DNAJA4|55466	1012.3402
DNAJB11|51726	896.9763	DNAJB11|51726	827.6774
DNAJB12|54788	1372.6455	DNAJB12|54788	1209.7839999999999
DNAJB14|79982	453.6305	DNAJB14|79982	439.4006
DNAJB1|3337	3773.3978	DNAJB1|3337	5426.1789
DNAJB2|3300	1756.1194	DNAJB2|3300	1921.9921
DNAJB4|11080	582.5571	DNAJB4|11080	1587.0428
DNAJB5|25822	279.8919	DNAJB5|25822	377.6994
DNAJB6|10049	1550.7919	DNAJB6|10049	1606.8753
DNAJB9|4189	848.1238	DNAJB9|4189	788.0123
DNAJC10|54431	3749.8898	DNAJC10|54431	2129.1318
DNAJC11|55735	1057.3044	DNAJC11|55735	967.4218
DNAJC12|56521	994.6813	DNAJC12|56521	204.9361
DNAJC13|23317	1696.9822	DNAJC13|23317	1739.5328
DNAJC14|85406	1282.8965	DNAJC14|85406	1082.0317
DNAJC15|29103	862.8163	DNAJC15|29103	709.5637
DNAJC16|23341	1041.6973	DNAJC16|23341	894.2265
DNAJC17|55192	240.2222	DNAJC17|55192	210.2248
DNAJC18|202052	163.8212	DNAJC18|202052	267.5187
DNAJC19|131118	463.5479	DNAJC19|131118	366.2406
DNAJC1|64215	1233.4342	DNAJC1|64215	475.5399
DNAJC21|134218	1582.3808	DNAJC21|134218	1174.9669
DNAJC22|79962	326.1732	DNAJC22|79962	113.7065
DNAJC24|120526	409.2261	DNAJC24|120526	315.7074
DNAJC25|548645	203.1236	DNAJC25|548645	212.8691
DNAJC27|51277	179.6156	DNAJC27|51277	315.1168
DNAJC28|54943	21.6714	DNAJC28|54943	39.2243
DNAJC2|27000	640.3059	DNAJC2|27000	495.5751
DNAJC30|84277	286.1362	DNAJC30|84277	293.0807
DNAJC3|5611	1530.9571	DNAJC3|5611	1913.6183
DNAJC4|3338	669.8635	DNAJC4|3338	431.2472
DNAJC5|80331	1886.5152	DNAJC5|80331	1832.5253
DNAJC6|9829	307.073	DNAJC6|9829	92.1111
DNAJC7|7266	1841.0677	DNAJC7|7266	1279.3345
DNAJC8|22826	1729.6729	DNAJC8|22826	1732.4813
DNAJC9|23234	591.7399	DNAJC9|23234	483.9136
DNAL1|83544	653.8156	DNAL1|83544	615.6897
DNAL4|10126	398.5337	DNAL4|10126	408.9907
DNALI1|7802	929.2998	DNALI1|7802	653.1512
DNASE1L1|1774	433.25199999999995	DNASE1L1|1774	437.2587
DNASE1L2|1775	8.8155	DNASE1L2|1775	6.1701
DNASE1L3|1776	30.4869	DNASE1L3|1776	299.2508
DNASE1|1773	136.2728	DNASE1|1773	70.9564
DNASE2|1777	1374.1148	DNASE2|1777	1043.6316
DND1|373863	91.053	DND1|373863	60.2644
lowly_expressed	lowly_expressed	DNER|92737	27.3248
DNHD1|144132	137.3747	DNHD1|144132	254.7378
DNLZ|728489	79.7067	DNLZ|728489	67.8713
DNM1L|10059	1766.7715	DNM1L|10059	1566.3288
DNM1P35|100128285	9.1828	DNM1P35|100128285	31.2913
DNM1|1759	305.971	DNM1|1759	377.2587
DNM2|1785	2113.6097	DNM2|1785	2078.2283
DNM3|26052	88.5222	DNM3|26052	114.5879
DNMBP|23268	1343.9842	DNMBP|23268	833.1247
DNMT1|1786	2448.1355	DNMT1|1786	1208.4619
DNMT3A|1788	532.9699	DNMT3A|1788	430.5862
DNMT3B|1789	65.0143	DNMT3B|1789	52.8867
DNPEP|23549	1996.7089	DNPEP|23549	1242.3975
DNTTIP1|116092	399.2683	DNTTIP1|116092	392.2433
DNTTIP2|30836	1358.3204	DNTTIP2|30836	1413.398
DOC2A|8448	49.3227	DOC2A|8448	22.0494
DOC2B|8447	16.529	DOC2B|8447	113.7065
DOCK10|55619	1085.4074	DOCK10|55619	654.4733
DOCK11|139818	553.9067	DOCK11|139818	1615.6897
DOCK1|1793	2626.6492	DOCK1|1793	3222.1243
DOCK2|1794	387.8816	DOCK2|1794	396.2098
DOCK3|1795	13.2232	DOCK3|1795	42.3094
DOCK4|9732	399.6356	DOCK4|9732	789.7752
DOCK5|80005	494.4022	DOCK5|80005	485.2358
DOCK6|57572	573.007	DOCK6|57572	1321.2869
DOCK7|85440	880.4472	DOCK7|85440	1223.8872
DOCK8|81704	859.8778	DOCK8|81704	1319.9647
DOCK9|23348	1665.3933	DOCK9|23348	3111.0621
DOHH|83475	116.43799999999999	DOHH|83475	130.8947
DOK1|1796	333.5194	DOK1|1796	346.8488
DOK2|9046	75.6663	DOK2|9046	157.7788
DOK3|79930	111.2956	DOK3|79930	93.874
DOK4|55715	373.1892	DOK4|55715	378.1401
DOK5|55816	42.2409	DOK5|55816	69.1935
DOK6|220164	50.6891	DOK6|220164	75.8043
DOK7|285489	289.0747	DOK7|285489	76.245
DOLK|22845	342.7022	DOLK|22845	319.9647
DOLPP1|57171	467.2211	DOLPP1|57171	234.0238
DOM3Z|1797	227.1128	DOM3Z|1797	265.96299999999997
DONSON|29980	312.5533	DONSON|29980	155.3724
DOPEY1|23033	750.6465	DOPEY1|23033	961.2517
DOPEY2|9980	1386.6034	DOPEY2|9980	693.2569
DOT1L|84444	519.7467	DOT1L|84444	483.0101
DPAGT1|1798	716.8464	DPAGT1|1798	601.1855
DPCD|25911	280.0498	DPCD|25911	187.6642
DPEP1|1800	12.1213	lowly_expressed	lowly_expressed
DPEP2|64174	32.3235	DPEP2|64174	56.4125
DPF2|5977	1922.8791	DPF2|5977	1231.3795
lowly_expressed	lowly_expressed	DPF3|8110	12.3402
DPH1|1801	668.3502	DPH1|1801	608.4839
DPH2|1802	524.5218	DPH2|1802	356.10400000000004
DPH3B|100132911	20.2022	DPH3B|100132911	24.2398
DPH3|285381	614.8806	DPH3|285381	783.6051
DPH5|51611	308.8581	DPH5|51611	324.8127
DPM1|8813	448.4881	DPM1|8813	443.8078
DPM2|8818	754.4592	DPM2|8818	457.0295
DPM3|54344	119.0091	DPM3|54344	185.985
DPP3|10072	1757.2214	DPP3|10072	566.3288
DPP4|1803	278.4226	DPP4|1803	925.9586
lowly_expressed	lowly_expressed	DPP6|1804	6.6108
DPP7|29952	1207.3551	DPP7|29952	1142.7942
DPP8|54878	603.1266	DPP8|54878	619.6562
DPP9|91039	2103.964	DPP9|91039	1123.8431
DPT|1805	867.5913	DPT|1805	4308.9467
DPY19L1|23333	787.8846	DPY19L1|23333	595.4165
lowly_expressed	lowly_expressed	DPY19L2P1|554236	6.1701
DPY19L2P2|349152	6.9789	DPY19L2P2|349152	18.9511
lowly_expressed	lowly_expressed	DPY19L2P4|442523	13.2217
DPY19L2|283417	12.1213	DPY19L2|283417	87.2631
DPY19L3|147991	415.0627	DPY19L3|147991	425.7382
DPY19L4|286148	782.0076	DPY19L4|286148	935.2138
DPY30|84661	541.8552	DPY30|84661	344.2706
DPYD|1806	557.5799	DPYD|1806	893.7858
DPYSL2|1808	1804.2373	DPYSL2|1808	4855.8836
DPYSL3|1809	5850.1807	DPYSL3|1809	4831.6439
DPYSL4|10570	47.3833	DPYSL4|10570	68.312
DR1|1810	1355.3819	DR1|1810	1089.4667
DRAM1|55332	524.8891	DRAM1|55332	891.1415
DRAM2|128338	992.4774	DRAM2|128338	830.3217
DRAP1|10589	1227.1899	DRAP1|10589	809.1669999999999
lowly_expressed	lowly_expressed	DRD1|1812	5.7294
DRD2|1813	9.5501	DRD2|1813	32.6135
DRD4|1815	20.9368	DRD4|1815	6.1701
DRG1|4733	858.0412	DRG1|4733	961.2164
DRG2|1819	562.3549	DRG2|1819	639.048
DRP2|1821	29.7523	lowly_expressed	lowly_expressed
DSC1|1823	23.4639	DSC1|1823	72.8603
DSC2|1824	1251.0652	DSC2|1824	1034.8171
DSC3|1825	328.3771	DSC3|1825	920.6699
DSCAML1|57453	10.2847	DSCAML1|57453	23.799
DSCC1|79075	156.1077	DSCC1|79075	81.5337
DSCR3|10311	1186.0510000000002	DSCR3|10311	1037.4614
DSCR6|53820	30.1196	DSCR6|53820	7.0516
DSEL|92126	337.1926	DSEL|92126	712.6487
DSE|29940	889.5235	DSE|29940	1212.9088
DSG1|1828	43.7101	DSG1|1828	67.8713
DSG2|1829	5364.5830000000005	DSG2|1829	3646.9546
DSG3|1830	44.8121	DSG3|1830	142.3535
DSN1|79980	355.1909	DSN1|79980	264.8744
DSP|1832	2755.5758	DSP|1832	9666.3729
DSTN|11034	10843.0549	DSTN|11034	7711.7673
DSTYK|25778	1073.2861	DSTYK|25778	1060.379
DST|667	6715.2008	DST|667	23067.4306
DTD1|92675	343.0696	DTD1|92675	341.5602
DTL|51514	684.6699	DTL|51514	126.9282
DTNA|1837	98.0723	DTNA|1837	342.4416
DTNBP1|84062	324.7039	DTNBP1|84062	260.9079
DTNB|1838	498.4426	DTNB|1838	328.7792
DTWD1|56986	397.0644	DTWD1|56986	500.2204
DTWD2|285605	393.024	DTWD2|285605	211.9877
DTX1|1840	123.7842	DTX1|1840	564.5659
DTX2|113878	363.639	DTX2|113878	346.4081
DTX3L|151636	3666.6863	DTX3L|151636	1834.6056
DTX3|196403	607.1669999999999	DTX3|196403	643.4553
DTX4|23220	587.6995	DTX4|23220	699.8678
DTYMK|1841	390.4528	DTYMK|1841	216.3949
DULLARD|23399	1725.9998	DULLARD|23399	1518.29
DUOX1|53905	52.5256	DUOX1|53905	178.9335
DUOX2|50506	11.0194	DUOX2|50506	52.8867
DUOXA1|90527	15.4271	DUOXA1|90527	31.2913
DUS1L|64118	874.2029	DUS1L|64118	962.0978
DUS2L|54920	154.2711	DUS2L|54920	125.60600000000001
DUS3L|56931	243.8953	DUS3L|56931	241.5161
DUS4L|11062	143.3766	DUS4L|11062	104.0546
DUSP10|11221	199.4505	DUSP10|11221	612.1639
DUSP11|8446	381.6373	DUSP11|8446	471.5734
DUSP12|11266	193.2062	DUSP12|11266	206.699
DUSP14|11072	360.3332	DUSP14|11072	625.8264
DUSP15|128853	47.7506	DUSP15|128853	30.8506
DUSP16|80824	1689.6359	DUSP16|80824	2408.9907
DUSP18|150290	106.8805	DUSP18|150290	161.7012
DUSP19|142679	85.5837	DUSP19|142679	102.2477
DUSP1|1843	6135.215	DUSP1|1843	13684.8832
DUSP22|56940	626.2672	DUSP22|56940	1022.0361
DUSP23|54935	319.1943	DUSP23|54935	341.5602
DUSP26|78986	5.1424	DUSP26|78986	7.0516
DUSP27|92235	10.2847	DUSP27|92235	5.7294
DUSP28|285193	67.9527	DUSP28|285193	64.7862
DUSP2|1844	239.8548	DUSP2|1844	303.658
DUSP3|1845	1936.4697	DUSP3|1845	2450.8594
DUSP4|1846	533.7046	DUSP4|1846	1279.859
DUSP5|1847	1562.9132	DUSP5|1847	2376.3773
DUSP6|1848	791.5577	DUSP6|1848	3201.4103
DUSP7|1849	336.0906	DUSP7|1849	494.9317
DUSP8|1850	107.2551	DUSP8|1850	661.5249
DUSP9|1852	5.1424	DUSP9|1852	13.2217
DUT|1854	748.5858	DUT|1854	617.6289
DVL1|1855	755.9284	DVL1|1855	846.1877
DVL2|1856	585.8629	DVL2|1856	748.3473
DVL3|1857	2282.1104	DVL3|1857	2193.0366
DYDC2|84332	6.6116	DYDC2|84332	7.4923
DYM|54808	878.9780000000001	DYM|54808	656.2362
DYNC1H1|1778	11773.4566	DYNC1H1|1778	11341.1194
DYNC1I1|1780	17.9983	DYNC1I1|1780	42.3094
DYNC1I2|1781	1527.6513	DYNC1I2|1781	1679.5945
DYNC1LI1|51143	1151.1563	DYNC1LI1|51143	823.2702
DYNC1LI2|1783	2235.8291	DYNC1LI2|1783	3743.4993
DYNC2H1|79659	1129.8522	DYNC2H1|79659	977.9639
DYNC2LI1|51626	524.5218	DYNC2LI1|51626	402.3799
DYNLL1|8655	3550.4393	DYNLL1|8655	2757.6025
DYNLL2|140735	1337.0162	DYNLL2|140735	1643.0145
DYNLRB1|83658	1239.6785	DYNLRB1|83658	1229.6166
DYNLRB2|83657	16.8964	DYNLRB2|83657	28.647
DYNLT1|6993	1457.8619	DYNLT1|6993	633.7594
DYNLT3|6990	884.1204	DYNLT3|6990	667.695
DYRK1A|1859	1898.6365	DYRK1A|1859	1828.1181
DYRK1B|9149	650.1425	DYRK1B|9149	406.3464
DYRK2|8445	818.3715	DYRK2|8445	639.4888
DYRK3|8444	479.3424	DYRK3|8444	607.316
DYRK4|8798	293.1151	DYRK4|8798	223.0057
DYSF|8291	446.6516	DYSF|8291	623.6227
DYX1C1|161582	133.0919	DYX1C1|161582	45.2402
DZIP1L|199221	78.2375	DZIP1L|199221	146.32
DZIP1|22873	254.4996	DZIP1|22873	421.8731
DZIP3|9666	273.2802	DZIP3|9666	506.2715
E2F1|1869	139.2113	E2F1|1869	63.0234
E2F2|1870	152.4345	E2F2|1870	32.1728
E2F3|1871	413.9608	E2F3|1871	295.2843
E2F4|1874	642.0616	E2F4|1874	884.5306
E2F5|1875	88.6655	E2F5|1875	78.7483
E2F6|1876	318.4596	E2F6|1876	379.903
E2F7|144455	74.5644	E2F7|144455	18.9511
E2F8|79733	117.9072	E2F8|79733	14.1031
E4F1|1877	438.93800000000005	E4F1|1877	357.4262
EAF1|85403	1031.4125	EAF1|85403	799.0304
EAF2|55840	30.4869	EAF2|55840	36.1393
EAPP|55837	732.7878	EAPP|55837	785.8087
EARS2|124454	1247.3921	EARS2|124454	525.7823
EBAG9|9166	464.2826	EBAG9|9166	492.7281
EBF1|1879	333.5194	EBF1|1879	1721.9039
EBF2|64641	29.0177	EBF2|64641	123.8431
EBF3|253738	111.6629	EBF3|253738	540.7669
EBF4|57593	275.4841	EBF4|57593	335.8308
EBI3|10148	30.4869	EBI3|10148	32.1728
EBNA1BP2|10969	1263.5538	EBNA1BP2|10969	822.8294
EBPL|84650	437.4688	EBPL|84650	291.3178
EBP|10682	534.0719	EBP|10682	287.3513
ECD|11319	688.7103	ECD|11319	645.2182
ECE1|1889	13037.0104	ECE1|1889	8873.0718
ECE2|9718	122.3149	ECE2|9718	68.7528
lowly_expressed	lowly_expressed	ECEL1|9427	7.4923
ECH1|1891	2609.7529	ECH1|1891	3023.7990000000004
ECHDC1|55862	739.3994	ECHDC1|55862	1827.6774
ECHDC2|55268	537.745	ECHDC2|55268	1085.5002
ECHDC3|79746	379.0661	ECHDC3|79746	709.123
ECHS1|1892	2343.0842	ECHS1|1892	2603.3495
ECM1|1893	1530.5898	ECM1|1893	473.3363
ECM2|1842	812.1272	ECM2|1842	3007.4923
ECSCR|641700	86.3184	ECSCR|641700	266.1966
ECSIT|51295	465.0172	ECSIT|51295	577.7876
ECT2L|345930	15.0598	ECT2L|345930	13.6624
ECT2|1894	853.2661	ECT2|1894	323.4905
EDA2R|60401	251.9761	EDA2R|60401	300.5729
EDARADD|128178	365.1083	EDARADD|128178	442.045
EDAR|10913	5.5097	EDAR|10913	47.5981
EDA|1896	44.8121	EDA|1896	111.0621
EDC3|80153	795.9654	EDC3|80153	707.8008
EDC4|23644	969.3258	EDC4|23644	1191.0533
EDEM1|9695	1611.7657	EDEM1|9695	1632.4372
EDEM2|55741	489.9944	EDEM2|55741	401.4985
EDEM3|80267	1544.9149	EDEM3|80267	1631.9965
EDF1|8721	2707.0906	EDF1|8721	2559.2772
EDIL3|10085	315.8885	EDIL3|10085	210.6655
EDN1|1906	614.5132	EDN1|1906	673.4244
EDN2|1907	166.0251	EDN2|1907	17.1882
EDN3|1908	110.9283	EDN3|1908	439.8413
EDNRA|1909	1020.3932	EDNRA|1909	826.3552
EDNRB|1910	264.4648	EDNRB|1910	1145.4385
EEA1|8411	998.3544	EEA1|8411	1377.6994
EED|8726	494.7695	EED|8726	383.8695
EEF1A1P9|441032	7504.922	EEF1A1P9|441032	5925.9586
EEF1A1|1915	110699.8031	EEF1A1|1915	86034.8171
EEF1A2|1917	1689.6359	EEF1A2|1917	347.2896
EEF1B2|1933	3016.3674	EEF1B2|1933	2929.0436
EEF1D|1936	9448.3706	EEF1D|1936	5925.9586
EEF1E1|9521	285.7689	EEF1E1|9521	159.5416
EEF1G|1937	25046.2813	EEF1G|1937	17300.5729
EEF2K|29904	1255.473	EEF2K|29904	2171.4412
EEF2|1938	63401.0167	EEF2|1938	55501.5425
EEFSEC|60678	305.1336	EEFSEC|60678	308.907
EEPD1|80820	231.4067	EEPD1|80820	684.0018
EFCAB1|79645	17.2637	EFCAB1|79645	87.2631
EFCAB2|84288	170.8002	EFCAB2|84288	120.3173
EFCAB4A|283229	718.4626	EFCAB4A|283229	757.1617
EFCAB4B|84766	218.1834	EFCAB4B|84766	240.6346
EFCAB6|64800	51.0564	EFCAB6|64800	70.9564
EFCAB7|84455	167.4943	EFCAB7|84455	177.6113
EFEMP1|2202	12909.9204	EFEMP1|2202	7205.3768
EFEMP2|30008	1400.9286	EFEMP2|30008	1517.8493
EFHA1|221154	930.7689999999999	EFHA1|221154	740.855
EFHA2|286097	41.8736	EFHA2|286097	135.3019
lowly_expressed	lowly_expressed	EFHB|151651	13.2217
EFHC1|114327	307.4403	EFHC1|114327	418.6866
EFHC2|80258	7.7136	EFHC2|80258	29.0877
EFHD1|80303	7829.2586	EFHD1|80303	4018.0696
EFHD2|79180	698.2604	EFHD2|79180	827.2367
EFNA1|1942	1720.8575	EFNA1|1942	1590.5685
EFNA3|1944	186.9619	EFNA3|1944	100.4848
EFNA4|1945	314.0519	EFNA4|1945	194.7995
EFNA5|1946	127.8246	EFNA5|1946	427.0604
EFNB1|1947	433.061	EFNB1|1947	959.4535
EFNB2|1948	741.2359	EFNB2|1948	1548.6999
EFNB3|1949	157.2096	EFNB3|1949	308.9467
EFR3A|23167	4097.3671	EFR3A|23167	2072.7193
EFR3B|22979	287.9727	EFR3B|22979	144.1164
EFS|10278	267.0359	EFS|10278	907.0075
EFTUD1|79631	695.3219	EFTUD1|79631	498.8982
EFTUD2|9343	2081.558	EFTUD2|9343	1501.9833
EGFL6|25975	83.7472	EGFL6|25975	59.0569
EGFL7|51162	388.9836	EGFL7|51162	866.0203
EGFL8|80864	60.3788	EGFL8|80864	143.7241
EGFLAM|133584	226.6316	EGFLAM|133584	602.4680000000001
EGFR|1956	445.546	EGFR|1956	1884.5174
EGF|1950	219.2854	EGF|1950	79.7708
EGLN1|54583	1082.4689	EGLN1|54583	1629.7929
EGLN2|112398	2001.1166	EGLN2|112398	1399.3301
EGLN3|112399	950.9712	EGLN3|112399	458.7924
EGOT|100126791	13.2232	EGOT|100126791	29.9691
EGR1|1958	15432.2529	EGR1|1958	44659.3213
EGR2|1959	989.9063	EGR2|1959	5580.8726
EGR3|1960	986.2331	EGR3|1960	9133.9797
EGR4|1961	6.6116	EGR4|1961	52.446000000000005
EHBP1L1|254102	877.1414	EHBP1L1|254102	1174.9669
EHBP1|23301	926.3613	EHBP1|23301	1910.5333
EHD1|10938	2344.9208	EHD1|10938	1244.1604
EHD2|30846	2779.8184	EHD2|30846	6956.3684
EHD3|30845	309.6441	EHD3|30845	506.3905
EHD4|30844	1567.6883	EHD4|30844	1683.1203
EHF|26298	2517.1902	EHF|26298	2065.6677
EHHADH|1962	241.3241	EHHADH|1962	498.4575
EHMT1|79813	1559.6074	EHMT1|79813	1463.1996
EHMT2|10919	1851.2533	EHMT2|10919	1370.2071
EI24|9538	1718.2863	EI24|9538	2200.0881
EID1|23741	2885.6043	EID1|23741	3858.9687
EID2B|126272	30.4869	EID2B|126272	45.8352
EID2|163126	186.2273	EID2|163126	251.6527
EID3|493861	26.4465	EID3|493861	44.513000000000005
EIF1AD|84285	851.7969	EIF1AD|84285	505.509
EIF1AX|1964	1917.3695	EIF1AX|1964	1981.9304
EIF1B|10289	666.3043	EIF1B|10289	917.1441
EIF1|10209	8473.8915	EIF1|10209	12237.5496
EIF2AK1|27102	4422.0233	EIF2AK1|27102	2648.3561
EIF2AK2|5610	962.7252	EIF2AK2|5610	573.8211
EIF2AK3|9451	810.6579	EIF2AK3|9451	924.6364
EIF2AK4|440275	1877.3324	EIF2AK4|440275	1620.9784
EIF2A|83939	2177.0592	EIF2A|83939	1776.1128
EIF2B1|1967	912.0361	EIF2B1|1967	1019.3918
EIF2B2|8892	525.991	EIF2B2|8892	458.7924
EIF2B3|8891	543.9893	EIF2B3|8891	472.8955
EIF2B4|8890	879.7126	EIF2B4|8890	702.9528
EIF2B5|8893	1052.7166	EIF2B5|8893	882.327
EIF2C1|26523	1188.9895	EIF2C1|26523	1319.9647
EIF2C2|27161	219.6527	EIF2C2|27161	279.4182
EIF2C3|192669	214.5103	EIF2C3|192669	205.8175
EIF2C4|192670	371.7199	EIF2C4|192670	554.87
EIF2S1|1965	1811.2162	EIF2S1|1965	1624.0635
EIF2S2|8894	1326.7315	EIF2S2|8894	1112.3843
EIF2S3|1968	6851.1063	EIF2S3|1968	4123.8431
EIF3A|8661	6606.8438	EIF3A|8661	6831.2032
EIF3B|8662	3334.0924	EIF3B|8662	3099.1626
EIF3CL|728689	12469.2156	EIF3CL|728689	6990.2556
EIF3C|8663	493.2304	EIF3C|8663	192.6443
EIF3D|8664	3273.1186	EIF3D|8664	3761.5690000000004
EIF3E|3646	4443.3752	EIF3E|3646	5064.7862
EIF3F|8665	3176.1482	EIF3F|8665	2485.2358
EIF3G|8666	2167.0646	EIF3G|8666	2039.1626
EIF3H|8667	7154.1389	EIF3H|8667	3591.8907
EIF3I|8668	3831.8004	EIF3I|8668	2754.5306
EIF3J|8669	1521.0396	EIF3J|8669	1289.1141
EIF3K|27335	2200.5671	EIF3K|27335	2377.6994
EIF3L|51386	5054.2153	EIF3L|51386	8505.9498
EIF3M|10480	3717.0007	EIF3M|10480	1984.9008
EIF4A1|1973	11870.7943	EIF4A1|1973	8211.0886
EIF4A2|1974	8336.7518	EIF4A2|1974	7481.4588
EIF4A3|9775	2708.9272	EIF4A3|9775	1692.8162
EIF4B|1975	10829.7692	EIF4B|1975	10003.2966
EIF4E2|9470	1367.8705	EIF4E2|9470	1158.2195
EIF4E3|317649	935.9114	EIF4E3|317649	1236.6681
EIF4EBP1|1978	326.9078	EIF4EBP1|1978	283.3848
EIF4EBP2|1979	4419.8672	EIF4EBP2|1979	7197.0031
EIF4EBP3|8637	315.9105	EIF4EBP3|8637	277.2543
EIF4ENIF1|56478	570.8031	EIF4ENIF1|56478	701.19
EIF4E|1977	561.6203	EIF4E|1977	495.3724
EIF4G1|1981	9306.9554	EIF4G1|1981	6998.6778
EIF4G2|1982	28017.4694	EIF4G2|1982	19836.9326
EIF4G3|8672	2362.5518	EIF4G3|8672	1848.3914
EIF4H|7458	4591.402	EIF4H|7458	4669.0172
EIF5A2|56648	175.2079	EIF5A2|56648	213.3098
EIF5AL1|143244	1246.6575	EIF5AL1|143244	750.9916
EIF5A|1984	5709.5002	EIF5A|1984	3368.885
EIF5B|9669	3515.9120000000003	EIF5B|9669	3093.8740000000003
EIF5|1983	4098.469	EIF5|1983	4492.2874
EIF6|3692	1770.4446	EIF6|3692	1242.8383
ELAC1|55520	61.5468	ELAC1|55520	141.5866
ELAC2|60528	1730.0403	ELAC2|60528	1430.1454
lowly_expressed	lowly_expressed	ELANE|1991	6.6108
