gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
CACNA1C|775	358.6544	CACNA1C|775	211.0662
CACNA1D|776	1091.4003	CACNA1D|776	54.0877
CACNA1F|778	41.4228	removed	removed
CACNA1G|8913	22.1265	CACNA1G|8913	15.8533
CACNA1H|8912	172.1232	CACNA1H|8912	118.1225
CACNA2D1|781	109.0886	CACNA2D1|781	448.2437
CACNA2D2|9254	1170.1293	CACNA2D2|9254	95.4305
CACNA2D3|55799	169.8077	CACNA2D3|55799	20.516
CACNA2D4|93589	72.0396	CACNA2D4|93589	74.9145
CACNB1|782	63.5492	CACNB1|782	96.6739
CACNB2|783	201.4537	CACNB2|783	38.5452
CACNB3|784	391.3295	CACNB3|784	219.77
CACNB4|785	53.7724	CACNB4|785	84.24
CACNG1|786	27.0149	removed	removed
CACNG4|27092	2856.6283	CACNG4|27092	120.6093
CACYBP|27101	1954.332	CACYBP|27101	1215.1072
CADM1|23705	616.7106	CADM1|23705	407.8334
CADM2|253559	15.1798	CADM2|253559	94.49799999999999
removed	removed	CADM3|57863	421.8154
CADM4|199731	829.4848	CADM4|199731	250.2331
CADPS2|93664	1027.5937	CADPS2|93664	725.2098
CAD|790	1092.4294	CAD|790	776.4998
CALB2|794	9.7768	CALB2|794	1622.6298
CALCOCO1|57658	1552.9684	CALCOCO1|57658	4141.4361
CALCOCO2|10241	3206.2777	CALCOCO2|10241	4992.5396
CALCRL|10203	991.8312	CALCRL|10203	1576.0025
CALCR|799	5.6603	CALCR|799	9.9472
CALD1|800	4452.3059	CALD1|800	11039.7886
CALHM2|51063	570.1421	CALHM2|51063	1225.9869
CALM1|801	6083.7461	CALM1|801	12783.3385
CALM2|805	12541.8409	CALM2|805	10925.0855
CALM3|808	4598.1861	CALM3|808	4247.1247
CALML3|810	20.5827	CALML3|810	61.8589
CALML4|91860	183.1865	CALML4|91860	327.3236
removed	removed	CALML5|51806	9.6363
removed	removed	CALN1|83698	24.8679
CALR|811	15607.8986	CALR|811	9342.2443
CALU|813	4100.8555	CALU|813	4970.1585
CAMK1D|57118	44.5102	CAMK1D|57118	170.345
CAMK1|8536	203.3884	CAMK1|8536	1031.7439
CAMK2A|815	5.1457	removed	removed
CAMK2B|816	59.9473	CAMK2B|816	16.7858
CAMK2D|817	1482.7298	CAMK2D|817	1498.6012
CAMK2G|818	668.6821	CAMK2G|818	902.3935
CAMK2N1|55450	1226.7318	CAMK2N1|55450	566.0553
CAMK2N2|94032	13.8934	removed	removed
CAMK4|814	5.9175	CAMK4|814	10.258
CAMKK1|84254	204.5411	CAMKK1|84254	189.3068
CAMKK2|10645	1587.1872	CAMKK2|10645	2251.1657
CAMLG|819	1245.2563	CAMLG|819	1125.5828
CAMSAP1L1|23271	1220.8143	CAMSAP1L1|23271	1698.1660000000002
CAMSAP1|157922	674.3423	CAMSAP1|157922	998.7566
CAMTA1|23261	337.8144	CAMTA1|23261	367.1122
CAMTA2|23125	1328.6165	CAMTA2|23125	1122.4744
CAND1|55832	3997.6844	CAND1|55832	2649.3628
CAND2|23066	69.7241	CAND2|23066	81.1315
CANT1|124583	2467.357	CANT1|124583	1029.8415
CANX|821	21887.6954	CANX|821	17811.9366
CAP1|10487	6568.2125	CAP1|10487	7248.368
CAP2|10486	1100.4052	CAP2|10486	1082.3749
CAPG|822	2568.2125	CAPG|822	1752.5645
CAPN10|11132	101.7122	CAPN10|11132	154.8772
removed	removed	CAPN11|11131	82.064
CAPN12|147968	67.6169	CAPN12|147968	47.4883
CAPN13|92291	974.8505	CAPN13|92291	57.1961
CAPN1|823	2792.3072	CAPN1|823	2315.2005
CAPN2|824	12431.9804	CAPN2|824	8847.3733
CAPN3|825	139.2809	CAPN3|825	153.3043
CAPN5|726	100.3409	CAPN5|726	308.051
removed	removed	CAPN6|827	235.6233
CAPN7|23473	1127.9346	CAPN7|23473	1142.0578
CAPN8|388743	1711.9702	CAPN8|388743	151.0724
CAPN9|10753	334.2124	CAPN9|10753	18.0292
CAPNS1|826	9770.631	CAPNS1|826	7971.0911
CAPRIN1|4076	9661.2851	CAPRIN1|4076	6301.2123
CAPRIN2|65981	275.2943	CAPRIN2|65981	531.5511
CAPS2|84698	69.4668	CAPS2|84698	84.8617
CAPSL|133690	7.4612	removed	removed
CAPS|828	69.7241	CAPS|828	119.055
CAPZA1|829	3976.0726	CAPZA1|829	2829.9658
CAPZA2|830	2127.999	CAPZA2|830	3124.0286
CAPZB|832	4458.738	CAPZB|832	4431.7687
CARD10|29775	237.8054	CARD10|29775	434.2555
CARD11|84433	76.4135	CARD11|84433	49.1141
CARD14|79092	114.2343	CARD14|79092	38.5452
CARD16|114769	191.4196	CARD16|114769	173.4535
CARD6|84674	181.1282	CARD6|84674	858.5639
CARD8|22900	855.9851	CARD8|22900	1333.8514
CARD9|64170	12.6069	CARD9|64170	25.8004
CARHSP1|23589	1002.5831	CARHSP1|23589	1546.4439
CARKD|55739	696.2115	CARKD|55739	979.7948
CARM1|10498	1201.0034	CARM1|10498	740.7523
CARNS1|57571	24.6993	CARNS1|57571	26.4221
CARS2|79587	440.9005	CARS2|79587	644.2338
CARS|833	766.6997	CARS|833	1149.5182
CASC1|55259	123.2392	CASC1|55259	22.0703
CASC2|255082	61.2337	CASC2|255082	54.7094
CASC3|22794	3300.7011	CASC3|22794	3436.4315
CASC4|113201	3350.6143	CASC4|113201	3609.5741
CASC5|57082	162.3464	CASC5|57082	23.0028
CASD1|64921	2615.8101	CASD1|64921	802.3003
CASKIN1|57524	35.603	removed	removed
CASKIN2|57513	511.4299	CASKIN2|57513	993.7084
CASK|8573	938.8306	CASK|8573	861.9832
CASP10|843	213.546	CASP10|843	639.1048
removed	removed	CASP12|120329	7.4604
CASP1|834	1078.0215	CASP1|834	598.6944
CASP2|835	1215.154	CASP2|835	757.5381
CASP3|836	886.0873	CASP3|836	487.0998
CASP4|837	1031.7103	CASP4|837	913.2732
CASP6|839	802.7272	CASP6|839	295.9279
CASP7|840	957.8697	CASP7|840	690.0839
CASP8AP2|9994	638.3225	CASP8AP2|9994	654.6472
CASP8|841	942.1753	CASP8|841	567.6096
CASP9|842	427.8639	CASP9|842	244.9487
CASQ1|844	70.4959	CASQ1|844	29.2198
CASQ2|845	52.486000000000004	CASQ2|845	184.0224
CASS4|57091	18.2672	CASS4|57091	36.991
CAST|831	6724.7675	CAST|831	8441.5387
CASZ1|54897	1526.2108	CASZ1|54897	309.9161
CATSPER2P1|440278	35.6648	CATSPER2P1|440278	33.9602
CATSPER2|117155	48.1122	CATSPER2|117155	30.774
CATSPER3|347732	32.1605	CATSPER3|347732	11.5014
CATSPERB|79820	32.9324	CATSPERB|79820	21.4486
CATSPERG|57828	105.7439	CATSPERG|57828	28.9089
CAT|847	1911.6228	CAT|847	13560.1492
CAV1|857	1326.8155	CAV1|857	34219.1483
CAV2|858	323.4064	CAV2|858	7100.4041
CBARA1|10367	1519.7787	CBARA1|10367	1479.6394
CBFA2T2|9139	1060.7834	CBFA2T2|9139	723.0339
CBFA2T3|863	335.7561	CBFA2T3|863	223.81099999999998
CBFB|865	788.8339	CBFB|865	681.0693
CBLB|868	496.5588	CBLB|868	802.3003
CBLC|23624	398.0189	CBLC|23624	42.5863
CBLL1|79872	1032.2249	CBLL1|79872	679.2042
removed	removed	CBLN1|869	50.3575
CBLN2|147381	21.3546	removed	removed
CBLN3|643866	108.574	CBLN3|643866	97.2956
CBLN4|140689	58.1463	CBLN4|140689	23.6245
CBL|867	1042.259	CBL|867	1483.6804
CBR1|873	96.9962	CBR1|873	808.7784
CBR3|874	118.6081	CBR3|874	561.0818
CBR4|84869	766.1928	CBR4|84869	453.839
CBS|875	64.5784	CBS|875	51.29
CBWD1|55871	499.1317	CBWD1|55871	321.4175
CBWD2|150472	1128.4492	CBWD2|150472	422.1324
CBWD3|445571	275.6365	CBWD3|445571	391.0476
CBWD5|220869	5.8326	removed	removed
CBWD6|644019	83.3601	CBWD6|644019	62.1697
CBX1|10951	1836.4958	CBX1|10951	1334.7839999999999
CBX2|84733	52.486000000000004	CBX2|84733	105.9994
CBX3|11335	3537.9173	CBX3|11335	2293.4411
CBX4|8535	685.4055	CBX4|8535	253.3416
CBX5|23468	4850.0675	CBX5|23468	2677.65
CBX6|23466	262.6873	CBX6|23466	523.1582
CBX7|23492	492.6996	CBX7|23492	2343.1769
CBX8|57332	74.8697	CBX8|57332	72.1169
CBY1|25776	401.1166	CBY1|25776	672.7852
CC2D1A|54862	719.1098	CC2D1A|54862	557.0407
CC2D1B|200014	576.5743	CC2D1B|200014	833.0743
CC2D2A|57545	481.379	CC2D2A|57545	625.1166
CC2D2B|387707	9.5195	CC2D2B|387707	7.7712
CCAR1|55749	2176.1111	CCAR1|55749	1125.272
CCBE1|147372	37.0489	CCBE1|147372	206.4035
CCBL1|883	148.4531	CCBL1|883	70.2518
CCBL2|56267	1209.6147	CCBL2|56267	584.2742
CCBP2|1238	60.9764	CCBP2|1238	165.9932
CCDC101|112869	407.7957	CCDC101|112869	234.3799
CCDC102A|92922	61.49100000000001	CCDC102A|92922	137.0842
CCDC102B|79839	65.8648	CCDC102B|79839	93.8763
CCDC103|388389	195.7934	CCDC103|388389	95.1197
CCDC104|112942	1132.3085	CCDC104|112942	803.2328
CCDC106|29903	247.5076	CCDC106|29903	190.8611
CCDC107|203260	164.114	CCDC107|203260	1032.6671
CCDC108|255101	27.0149	removed	removed
CCDC109A|90550	485.4956	CCDC109A|90550	571.0289
CCDC109B|55013	240.5609	CCDC109B|55013	365.2471
CCDC110|256309	179.8418	CCDC110|256309	34.5042
CCDC111|201973	246.9621	CCDC111|201973	300.7181
CCDC112|153733	285.0711	CCDC112|153733	208.5794
CCDC113|29070	548.5303	CCDC113|29070	228.4737
CCDC114|93233	57.3744	CCDC114|93233	8.7038
CCDC115|84317	964.0445	CCDC115|84317	864.7809
removed	removed	CCDC116|164592	5.5953
CCDC117|150275	895.6069	CCDC117|150275	894.0006
CCDC11|220136	152.5696	CCDC11|220136	22.6919
CCDC120|90060	553.4187	CCDC120|90060	156.9786
CCDC121|79635	156.4289	CCDC121|79635	224.1219
CCDC122|160857	58.6608	CCDC122|160857	64.9674
CCDC123|84902	599.7299	CCDC123|84902	342.866
CCDC124|115098	302.0518	CCDC124|115098	401.6164
CCDC125|202243	1506.6572	CCDC125|202243	375.5051
CCDC126|90693	434.8106	CCDC126|90693	206.7143
CCDC127|133957	650.6722	CCDC127|133957	391.6693
removed	removed	CCDC129|223075	13.3665
CCDC12|151903	231.5559	CCDC12|151903	320.4849
CCDC130|81576	306.9402	CCDC130|81576	238.7317
CCDC132|55610	875.5387	CCDC132|55610	671.7439
CCDC134|79879	47.083	CCDC134|79879	43.8297
CCDC136|64753	7.9758	CCDC136|64753	51.9117
CCDC137|339230	161.5746	CCDC137|339230	264.843
CCDC138|165055	71.0105	CCDC138|165055	28.9089
removed	removed	CCDC13|152206	11.5014
removed	removed	CCDC141|285025	30.4632
CCDC142|84865	166.463	CCDC142|84865	128.0696
CCDC144A|9720	8.4878	CCDC144A|9720	14.6783
CCDC144B|284047	6.1748	CCDC144B|284047	17.0967
CCDC146|57639	208.1431	CCDC146|57639	195.2129
CCDC147|159686	7.4612	CCDC147|159686	34.815
CCDC148|130940	23.6702	CCDC148|130940	9.6363
CCDC149|91050	621.8563	CCDC149|91050	539.944
CCDC14|64770	1218.756	CCDC14|64770	808.8281
CCDC150|284992	34.7334	CCDC150|284992	10.5689
CCDC151|115948	5.403	removed	removed
CCDC152|100129792	54.606	CCDC152|100129792	304.5601
CCDC153|283152	15.4371	CCDC153|283152	12.1231
CCDC154|645811	5.6603	removed	removed
CCDC157|550631	30.8947	CCDC157|550631	11.8154
CCDC158|339965	18.7818	CCDC158|339965	35.1259
CCDC159|126075	267.0612	CCDC159|126075	116.5682
CCDC15|80071	201.1964	CCDC15|80071	56.8853
CCDC160|347475	253.9397	CCDC160|347475	18.6509
CCDC163P|126661	26.7576	CCDC163P|126661	14.6099
CCDC17|149483	5.6603	CCDC17|149483	20.516
CCDC18|343099	98.2929	CCDC18|343099	108.1753
CCDC19|25790	47.5976	CCDC19|25790	7.4604
CCDC21|64793	528.2048	CCDC21|64793	172.521
CCDC22|28952	506.6418	CCDC22|28952	322.5894
CCDC23|374969	240.3036	CCDC23|374969	436.1206
CCDC24|149473	406.8926	CCDC24|149473	65.2782
CCDC25|55246	1265.5818	CCDC25|55246	1287.8458
CCDC28A|25901	470.5731	CCDC28A|25901	506.0615
CCDC28B|79140	58.1463	CCDC28B|79140	31.3957
CCDC30|728621	181.3855	CCDC30|728621	85.7942
CCDC34|91057	241.8473	CCDC34|91057	222.8785
CCDC36|339834	15.6943	CCDC36|339834	123.7177
CCDC39|339829	42.4519	CCDC39|339829	25.788
CCDC3|83643	175.9825	CCDC3|83643	8302.1449
CCDC40|55036	261.1436	CCDC40|55036	85.4834
CCDC41|51134	356.8534	CCDC41|51134	176.2512
CCDC43|124808	591.4968	CCDC43|124808	414.9829
CCDC45|90799	462.5973	CCDC45|90799	414.9829
CCDC46|201134	65.6075	CCDC46|201134	648.7411
CCDC47|57003	3779.5073	CCDC47|57003	2886.8511
CCDC48|79825	155.1425	CCDC48|79825	53.7768
CCDC50|152137	978.4524	CCDC50|152137	4290.9543
CCDC51|79714	272.9787	CCDC51|79714	236.2449
CCDC52|152185	790.6348	CCDC52|152185	245.5704
CCDC53|51019	514.3114	CCDC53|51019	631.0227
CCDC55|84081	910.5294	CCDC55|84081	973.2669999999999
CCDC56|28958	1282.4493	CCDC56|28958	673.1054
CCDC57|284001	387.7275	CCDC57|284001	215.4181
CCDC58|131076	232.0705	CCDC58|131076	147.0314
CCDC59|29080	354.7951	CCDC59|29080	422.1324
CCDC61|729440	102.9137	CCDC61|729440	90.4569
CCDC64B|146439	455.6506	CCDC64B|146439	133.0432
CCDC64|92558	292.275	CCDC64|92558	34.1933
CCDC65|85478	49.1413	CCDC65|85478	7.7712
CCDC66|285331	561.1501	CCDC66|285331	345.1445
CCDC68|80323	55.5734	CCDC68|80323	180.9139
CCDC69|26112	169.5504	CCDC69|26112	9212.9313
CCDC6|8030	3274.7154	CCDC6|8030	2098.8499
CCDC71|64925	431.2086	CCDC71|64925	319.2415
CCDC72|51372	1013.1858	CCDC72|51372	1096.3631
CCDC73|493860	29.1606	CCDC73|493860	38.968
CCDC74A|90557	79.2436	CCDC74A|90557	91.0786
CCDC74B|91409	86.9621	CCDC74B|91409	33.8825
CCDC75|253635	88.5058	CCDC75|253635	369.2882
CCDC76|54482	257.9121	CCDC76|54482	297.0376
CCDC77|84318	185.502	CCDC77|84318	176.8729
CCDC78|124093	28.044	CCDC78|124093	7.4604
CCDC7|221016	60.6934	CCDC7|221016	47.5443
CCDC80|151887	1910.851	CCDC80|151887	27140.8144
CCDC81|60494	6.9467	CCDC81|60494	5.9061
CCDC82|79780	140.7345	CCDC82|79780	838.6696
CCDC84|338657	133.5306	CCDC84|338657	105.9994
CCDC85A|114800	36.2771	CCDC85A|114800	504.3053
CCDC85B|11007	46.8258	CCDC85B|11007	87.6593
CCDC85C|317762	542.6359	CCDC85C|317762	300.3326
CCDC86|79080	326.4887	CCDC86|79080	404.6876
CCDC87|55231	65.8648	CCDC87|55231	6.2170000000000005
CCDC88A|55704	393.1305	CCDC88A|55704	1507.3049
CCDC88B|283234	47.5976	CCDC88B|283234	119.055
CCDC88C|440193	725.7992	CCDC88C|440193	490.83
CCDC89|220388	9.7768	CCDC89|220388	28.5981
CCDC8|83987	77.6999	CCDC8|83987	499.8446
CCDC90A|63933	343.4746	CCDC90A|63933	558.2841
CCDC90B|60492	643.9467	CCDC90B|60492	837.1091
CCDC91|55297	712.4204	CCDC91|55297	582.8412
CCDC92|80212	813.0186	CCDC92|80212	1288.7784
CCDC93|54520	844.6646	CCDC93|54520	1262.6671
CCDC94|55702	253.6824	CCDC94|55702	236.5558
CCDC96|257236	103.4283	CCDC96|257236	36.0584
CCDC97|90324	1202.8044	CCDC97|90324	709.3565
CCDC99|54908	282.7555	CCDC99|54908	141.747
CCDC9|26093	173.4097	CCDC9|26093	263.2888
CCHCR1|54535	250.8523	CCHCR1|54535	214.7964
CCIN|881	13.8934	CCIN|881	10.8797
CCL11|6356	16.7235	removed	removed
removed	removed	CCL13|6357	225.0544
CCL14|6358	50.1705	CCL14|6358	4132.9873
removed	removed	CCL16|6360	8.0821
removed	removed	CCL17|6361	10.258
CCL18|6362	6.1748	CCL18|6362	420.5782
removed	removed	CCL19|6363	116.8791
removed	removed	CCL21|6366	1081.1315
CCL22|6367	29.0731	CCL22|6367	65.8999
removed	removed	CCL23|6368	16.475
CCL26|10344	5.403	CCL26|10344	9.3255
CCL28|56477	624.1719	CCL28|56477	615.1694
CCL2|6347	85.6757	CCL2|6347	296.8604
CCL3L1|6349	19.7183	removed	removed
CCL3L3|414062	7.0393	CCL3L3|414062	8.8872
CCL3|6348	55.3161	CCL3|6348	80.8206
CCL4L2|388372	61.49100000000001	CCL4L2|388372	20.2052
CCL4|6351	62.0055	CCL4|6351	58.1287
CCL5|6352	226.6675	CCL5|6352	528.4426
CCL8|6355	27.0149	CCL8|6355	85.7942
CCM2|83605	431.2086	CCM2|83605	1026.1113
removed	removed	CCNA1|8900	5.2844
CCNA2|890	242.9099	CCNA2|890	66.1921
CCNB1IP1|57820	234.9006	CCNB1IP1|57820	503.5748
CCNB1|891	813.0186	CCNB1|891	143.6121
CCNB2|9133	181.9	CCNB2|9133	32.95
CCNB3|85417	24.6993	CCNB3|85417	23.9353
CCNC|892	1419.1805	CCNC|892	1117.8116
CCND1|595	8550.5885	CCND1|595	7564.8337
CCND2|894	632.1477	CCND2|894	1869.1327
CCND3|896	912.0731	CCND3|896	1178.4271
CCNDBP1|23582	1222.1007	CCNDBP1|23582	1768.4178
CCNE1|898	55.8307	CCNE1|898	28.5981
CCNE2|9134	169.6739	CCNE2|9134	39.4778
CCNF|899	442.0145	CCNF|899	125.5828
CCNG1|900	2662.8932	CCNG1|900	3139.2602
CCNG2|901	2804.3996	CCNG2|901	2023.9353
CCNH|902	959.3877	CCNH|902	772.6764
CCNI2|645121	16.0391	removed	removed
CCNI|10983	6160.9314	CCNI|10983	6732.6702
CCNJL|79616	66.3794	CCNJL|79616	49.7358
CCNJ|54619	232.0705	CCNJ|54619	170.0342
CCNK|8812	1137.9456	CCNK|8812	714.8989999999999
CCNL1|57018	907.1847	CCNL1|57018	1083.6183
CCNL2|81669	2155.0138	CCNL2|81669	1884.3643
CCNO|10309	338.0717	CCNO|10309	21.7594
CCNT1|904	217.148	CCNT1|904	249.3006
CCNT2|905	972.0203	CCNT2|905	833.696
CCNYL1|151195	392.3587	CCNYL1|151195	858.8747
CCNY|219771	1524.1526	CCNY|219771	2400.9947
CCPG1|9236	3312.8784	CCPG1|9236	4637.1184
removed	removed	CCR10|2826	8.3929
CCR1|1230	183.4438	CCR1|1230	359.6518
CCR2|729230	17.2381	CCR2|729230	70.8735
CCR4|1233	23.4129	CCR4|1233	10.258
CCR5|1234	115.77799999999999	CCR5|1234	214.4855
CCR6|1235	55.5889	CCR6|1235	21.1439
CCR7|1236	8.4904	CCR7|1236	27.9764
CCRL1|51554	51.9714	CCRL1|51554	322.9717
CCRL2|9034	59.69	CCRL2|9034	188.99599999999998
CCRN4L|25819	211.745	CCRN4L|25819	107.8645
CCS|9973	293.5615	CCS|9973	340.0684
CCT2|10576	2838.8757	CCT2|10576	1915.76
CCT3|7203	7668.875	CCT3|7203	3380.1679
CCT4|10575	3734.4825	CCT4|10575	3038.5452
CCT5|22948	4495.2724	CCT5|22948	3331.6755
CCT6A|908	3323.8567	CCT6A|908	2589.369
CCT6B|10693	126.8412	CCT6B|10693	44.4514
CCT6P1|643253	65.0929	CCT6P1|643253	77.7122
CCT7|10574	4267.833	CCT7|10574	3452.9064
CCT8|10694	4957.6124	CCT8|10694	2575.3808
CD101|9398	33.446999999999996	CD101|9398	14.9207
CD109|135228	271.1777	CD109|135228	2005.5953
CD14|929	632.6622	CD14|929	1400.0622
CD151|977	4100.8555	CD151|977	13657.4448
CD160|11126	13.3788	CD160|11126	13.6773
CD163L1|283316	77.9572	CD163L1|283316	283.1831
CD163|9332	430.1795	CD163|9332	2440.4725
removed	removed	CD164L2|388611	11.8122
CD164|8763	18662.8932	CD164|8763	12701.5853
CD177|57126	116.2925	CD177|57126	5.2844
CD180|4064	73.32600000000001	CD180|4064	139.571
CD1A|909	93.6515	removed	removed
CD1C|911	6.6894	CD1C|911	78.9555
CD1D|912	16.7235	CD1D|912	45.6947
CD1E|913	18.0099	CD1E|913	18.3401
CD200R1|131450	10.5487	CD200R1|131450	104.756
CD200|4345	219.9781	CD200|4345	486.4781
CD207|50489	235.4152	removed	removed
CD209|30835	16.7235	CD209|30835	911.4081
CD226|10666	12.8642	CD226|10666	20.2052
CD22|933	267.83299999999997	CD22|933	52.5334
removed	removed	CD244|51744	18.9618
CD247|919	17.7526	CD247|919	69.0084
CD248|57124	497.0734	CD248|57124	5493.6276
CD24|100133941	41113.5267	CD24|100133941	5761.5791
CD274|29126	18.7818	CD274|29126	19.8943
CD276|80381	1624.2362	CD276|80381	1818.1536
CD27|939	18.3135	CD27|939	30.4072
CD28|940	23.6702	CD28|940	116.5682
CD2AP|23607	2189.7472	CD2AP|23607	1248.368
CD2BP2|10421	992.0885	CD2BP2|10421	1200.1865
CD2|914	70.2386	CD2|914	150.4507
CD300A|11314	127.3558	CD300A|11314	141.747
CD300C|10871	36.2771	CD300C|10871	41.9646
CD300LB|124599	9.2622	CD300LB|124599	94.49799999999999
CD300LF|146722	31.646	CD300LF|146722	8.3929
removed	removed	CD300LG|146894	3350.6372
CD302|9936	1319.3414	CD302|9936	3768.8343
CD320|51293	279.4108	CD320|51293	721.7905
CD33|945	81.3019	CD33|945	167.5474
CD34|947	1599.5369	CD34|947	9241.5294
CD36|948	50.4277	CD36|948	82104.4451
CD37|951	183.1865	CD37|951	228.1629
CD38|952	6.4321	CD38|952	33.5717
CD3D|915	18.2672	CD3D|915	41.6537
CD3EAP|10849	439.7659	CD3EAP|10849	284.6068
CD3E|916	59.69	CD3E|916	170.0342
CD3G|917	6.4321	CD3G|917	26.4221
removed	removed	CD40LG|959	25.1787
CD40|958	158.4872	CD40|958	430.8362
CD44|960	9128.7065	CD44|960	9194.5912
CD46|4179	12418.3444	CD46|4179	7718.682
CD47|961	1327.33	CD47|961	2575.6916
CD48|962	138.6763	CD48|962	147.9639
CD4|920	828.4557	CD4|920	1485.2347
CD52|1043	73.0688	CD52|1043	487.4106
CD53|963	550.8458	CD53|963	745.415
CD55|1604	1788.3836	CD55|1604	1831.2092
CD58|965	220.4927	CD58|965	365.8688
CD59|966	10637.6793	CD59|966	19913.8949
CD5|921	19.8109	CD5|921	40.0995
CD63|967	7630.2824	CD63|967	14279.4529
CD68|968	1829.8064	CD68|968	4554.5539
CD69|969	57.888999999999996	CD69|969	67.4541
CD6|923	32.6751	CD6|923	69.0084
removed	removed	CD70|970	18.9618
CD72|971	40.3936	CD72|971	35.4367
CD74|972	29853.9911	CD74|972	19927.2614
CD79A|973	23.1556	CD79A|973	30.774
CD79B|974	10.0341	CD79B|974	126.2045
CD7|924	10.2914	CD7|924	19.8943
CD80|941	37.5635	removed	removed
CD81|975	8513.2823	CD81|975	18275.7227
CD82|3732	521.7727	CD82|3732	884.3643
CD83|9308	212.5169	CD83|9308	310.5378
CD84|8832	83.1028	CD84|8832	229.0954
CD86|942	200.1672	CD86|942	207.6469
CD8A|925	44.7675	CD8A|925	130.8673
CD8B|926	9.5195	CD8B|926	37.3018
CD93|22918	2322.2487	CD93|22918	5866.9568
CD96|10225	28.3013	CD96|10225	113.7706
CD97|976	269.8913	CD97|976	955.2378
CD99L2|83692	1647.1345	CD99L2|83692	4391.9801
CD99|4267	2294.2047	CD99|4267	4266.3973
CD9|928	11423.4257	CD9|928	3163.5064
CDADC1|81602	176.2398	CDADC1|81602	324.526
CDAN1|146059	345.5329	CDAN1|146059	265.4647
CDA|978	65.6075	CDA|978	43.208
CDC123|8872	1030.7198	CDC123|8872	902.2661
CDC14A|8556	42.4519	CDC14A|8556	179.9813
CDC14B|8555	310.7995	CDC14B|8555	1463.7861
removed	removed	CDC14C|168448	25.8004
CDC16|8881	1319.8688	CDC16|8881	1848.9276
CDC20B|166979	22.3837	removed	removed
CDC20|991	232.0705	CDC20|991	37.9235
CDC23|8697	1293.8831	CDC23|8697	849.8601
CDC25A|993	71.2678	CDC25A|993	25.4896
CDC25B|994	489.6121	CDC25B|994	561.7035
CDC25C|995	85.1611	removed	removed
CDC26|246184	85.4982	CDC26|246184	133.7302
CDC27|996	2010.6773	CDC27|996	2466.2729
CDC34|997	352.7369	CDC34|997	460.056
CDC37L1|55664	642.4391	CDC37L1|55664	565.4336
CDC37|11140	1570.4638	CDC37|11140	2788.9338
CDC40|51362	756.416	CDC40|51362	764.9984
CDC42BPA|8476	970.9912	CDC42BPA|8476	3019.8943
CDC42BPB|9578	3382.2602	CDC42BPB|9578	4990.3637
CDC42BPG|55561	258.3135	CDC42BPG|55561	152.3158
CDC42EP1|11135	432.2377	CDC42EP1|11135	1006.217
CDC42EP2|10435	142.02100000000002	CDC42EP2|10435	734.2244
CDC42EP3|10602	529.4912	CDC42EP3|10602	699.0985
CDC42EP4|23580	1039.4288	CDC42EP4|23580	2102.8909
CDC42EP5|148170	13.1215	CDC42EP5|148170	78.3339
CDC42SE1|56882	3941.81	CDC42SE1|56882	1874.3332
CDC42SE2|56990	1090.8857	CDC42SE2|56990	1238.11
CDC42|998	6950.2798	CDC42|998	5457.5692
CDC45|8318	61.2337	CDC45|8318	7.7712
CDC5L|988	1383.9326	CDC5L|988	1077.0905
CDC6|990	190.905	CDC6|990	29.5306
CDC73|79577	1513.6039	CDC73|79577	1264.2213
CDC7|8317	272.7214	CDC7|8317	43.208
CDCA2|157313	109.8604	CDCA2|157313	13.0556
CDCA3|83461	102.4429	CDCA3|83461	13.5748
CDCA4|55038	213.0315	CDCA4|55038	110.973
CDCA5|113130	206.0848	CDCA5|113130	42.2754
CDCA7L|55536	194.2445	CDCA7L|55536	370.1834
CDCA7|83879	33.7043	CDCA7|83879	43.208
CDCA8|55143	268.3476	CDCA8|55143	43.208
CDCP1|64866	1576.3813	CDCP1|64866	387.6282
removed	removed	CDH10|1008	5.9061
CDH11|1009	2127.4844	CDH11|1009	693.1924
CDH12|1010	5.1457	CDH12|1010	14.299000000000001
CDH13|1012	638.5798	CDH13|1012	1290.3326
CDH18|1016	771.8531	CDH18|1016	5.5953
removed	removed	CDH19|28513	16.1641
CDH1|999	14615.2956	CDH1|999	2487.4106
removed	removed	CDH20|28316	24.8679
removed	removed	CDH22|64405	8.7038
CDH23|64072	24.1847	CDH23|64072	1067.1122
CDH24|64403	102.3992	CDH24|64403	102.2692
removed	removed	CDH26|60437	17.4075
CDH2|1000	58.1463	CDH2|1000	18.3401
CDH3|1001	86.4475	CDH3|1001	671.1222
removed	removed	CDH4|1002	5.9061
CDH5|1003	1065.1573	CDH5|1003	4856.0771
CDH6|1004	156.6862	CDH6|1004	92.9437
CDH7|1005	7.9758	removed	removed
CDH8|1006	7.204	CDH8|1006	10.258
removed	removed	CDHR1|92211	10.258
CDHR3|222256	241.5051	CDHR3|222256	57.0376
CDIPT|10423	1916.2539	CDIPT|10423	2117.5008
CDK10|8558	276.5807	CDK10|8558	355.9217
CDK11A|728642	205.5187	CDK11A|728642	351.8029
CDK11B|984	495.5811	CDK11B|984	571.4175
CDK12|51755	1484.2735	CDK12|51755	1198.9431
CDK13|8621	1282.3053	CDK13|8621	1021.1377
CDK14|5218	413.7133	CDK14|5218	548.337
