gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
FAM105A|54491	474.0809	FAM105A|54491	239.6594
FAM105B|90268	310.3328	FAM105B|90268	563.6659
lowly_expressed	lowly_expressed	FAM106A|80039	17.4371
lowly_expressed	lowly_expressed	FAM106C|100129396	9.3268
FAM107A|11170	83.9615	FAM107A|11170	430.2514
FAM107B|83641	2863.9685	FAM107B|83641	1272.1006
FAM108A1|81926	654.0647	FAM108A1|81926	260.7461
FAM108B1|51104	166.9952	FAM108B1|51104	483.7794
FAM108C1|58489	603.9661	FAM108C1|58489	583.1306
FAM109A|144717	520.4685	FAM109A|144717	255.4745
FAM109B|150368	698.5968	FAM109B|150368	216.545
FAM10A4|145165	154.4706	FAM10A4|145165	496.3504
FAM110A|83541	895.7439	FAM110A|83541	227.4939
FAM110B|90362	369.7089	FAM110B|90362	255.88
FAM110C|642273	6.0304	FAM110C|642273	20.2758
FAM111A|63901	958.3672	FAM111A|63901	1158.9619
FAM111B|374393	224.05200000000002	FAM111B|374393	132.1979
FAM113A|64773	379.9142	FAM113A|64773	478.5077
FAM113B|91523	141.4821	FAM113B|91523	239.2539
FAM114A1|92689	728.7487	FAM114A1|92689	431.468
FAM114A2|10827	492.63599999999997	FAM114A2|10827	475.6691
FAM115A|9747	244.9264	FAM115A|9747	705.5961
FAM115C|285966	263.6391	FAM115C|285966	1165.1014
FAM116A|201627	421.1991	FAM116A|201627	1525.1419
FAM116B|414918	400.7886	FAM116B|414918	193.8362
FAM117A|81558	651.7453	FAM117A|81558	778.5888
FAM117B|150864	508.8716	FAM117B|150864	522.7088
FAM118A|55007	181.8393	FAM118A|55007	459.4485
FAM118B|79607	223.5881	FAM118B|79607	168.2887
FAM119A|151194	220.8048	FAM119A|151194	187.3479
FAM119B|25895	251.8845	FAM119B|25895	695.0527
FAM120AOS|158293	1608.8136	FAM120AOS|158293	1030.7502
FAM120A|23196	4823.2866	FAM120A|23196	4084.8216
FAM120B|84498	530.6738	FAM120B|84498	1147.6075
FAM120C|54954	326.5685	FAM120C|54954	405.515
FAM122A|116224	494.0276	FAM122A|116224	1637.8751
FAM122B|159090	849.8202	FAM122B|159090	716.545
FAM122C|159091	28.2964	FAM122C|159091	38.1184
FAM123B|139285	130.8129	lowly_expressed	lowly_expressed
FAM123C|205147	5.5665	lowly_expressed	lowly_expressed
FAM124A|220108	19.9467	FAM124A|220108	42.9846
FAM124B|79843	49.1708	FAM124B|79843	67.3155
FAM125A|93343	821.06	FAM125A|93343	431.468
FAM125B|89853	387.8001	FAM125B|89853	491.4842
FAM126A|84668	310.7967	FAM126A|84668	2424.9797
FAM126B|285172	354.401	FAM126B|285172	647.2019
FAM127A|8933	1937.6087	FAM127A|8933	722.2222
FAM127B|26071	1377.7108	FAM127B|26071	642.3358
FAM127C|441518	402.6441	FAM127C|441518	390.9165
FAM128A|653784	1195.8715	FAM128A|653784	257.502
FAM128B|80097	3659.5152	FAM128B|80097	674.7769999999999
FAM129A|116496	2997.1008	FAM129A|116496	5600.5677
FAM129B|64855	4465.7312	FAM129B|64855	2919.3025
FAM129C|199786	12.0608	lowly_expressed	lowly_expressed
FAM131A|131408	293.6333	FAM131A|131408	384.4282
FAM131B|9715	56.5928	FAM131B|9715	60.0162
lowly_expressed	lowly_expressed	FAM131C|348487	15.0041
FAM133A|286499	15.3079	FAM133A|286499	10.9489
FAM133B|257415	110.8663	FAM133B|257415	190.9976
FAM134A|79137	3393.7145	FAM134A|79137	2675.9935
FAM134B|54463	3599.2114	FAM134B|54463	595.7015
FAM134C|162427	4412.8494	FAM134C|162427	1815.0852
FAM135A|57579	112.7218	FAM135A|57579	473.6415
FAM135B|51059	6.4943	lowly_expressed	lowly_expressed
FAM136A|84908	948.1619	FAM136A|84908	800.0811
FAM13AOS|285512	14.8719	FAM13AOS|285512	91.0219
FAM13A|10144	165.1119	FAM13A|10144	1780.8354
FAM13B|51306	632.9908	FAM13B|51306	2268.9538
FAM13C|220965	81.5818	FAM13C|220965	302.3885
FAM149A|25854	32.4713	FAM149A|25854	83.5361
FAM149B1|317662	393.8305	FAM149B1|317662	610.7056
lowly_expressed	lowly_expressed	FAM150B|285016	299.6756
FAM151B|167555	26.4409	FAM151B|167555	16.6261
FAM154B|283726	18.555	FAM154B|283726	36.4964
FAM155A|728215	132.2046	FAM155A|728215	6.8938
FAM155B|27112	49.6347	FAM155B|27112	27.575
FAM156A|29057	285.7474	FAM156A|29057	716.1395
lowly_expressed	lowly_expressed	FAM157A|728262	121.6545
FAM158A|51016	242.1431	FAM158A|51016	63.2603
FAM159A|348378	14.3801	lowly_expressed	lowly_expressed
FAM160A1|729830	34.3268	FAM160A1|729830	316.7072
FAM160A2|84067	671.692	FAM160A2|84067	1192.6196
FAM160B1|57700	640.1484	FAM160B1|57700	909.5702
FAM160B2|64760	1119.3319999999999	FAM160B2|64760	1200.7299
FAM161A|84140	35.2546	FAM161A|84140	149.635
FAM161B|145483	61.6955	FAM161B|145483	394.0511
FAM162A|26355	1433.8397	FAM162A|26355	458.23199999999997
FAM162B|221303	30.1519	FAM162B|221303	13.7875
FAM164A|51101	110.4024	FAM164A|51101	868.2076
FAM164C|79696	66.7981	FAM164C|79696	79.8865
FAM165B|54065	433.7238	FAM165B|54065	364.1525
FAM166B|730112	27.8325	FAM166B|730112	31.6302
FAM167A|83648	88.6003	FAM167A|83648	223.8443
FAM167B|84734	96.95	FAM167B|84734	36.4964
FAM168A|23201	112.7218	FAM168A|23201	362.1249
FAM168B|130074	1510.8431	FAM168B|130074	3877.94
FAM169A|26049	41.2849	FAM169A|26049	204.3796
FAM171A1|221061	356.7204	lowly_expressed	lowly_expressed
FAM171A2|284069	112.2579	FAM171A2|284069	15.0041
FAM171B|165215	165.1397	FAM171B|165215	409.1646
FAM172A|83989	374.3477	FAM172A|83989	953.7713
FAM173A|65990	257.9149	FAM173A|65990	45.4177
FAM173B|134145	198.5388	lowly_expressed	lowly_expressed
FAM174A|345757	449.4955	FAM174A|345757	265.2068
FAM174B|400451	2484.0543	FAM174B|400451	949.7161
FAM175A|84142	188.0598	FAM175A|84142	490.3082
FAM175B|23172	489.8527	FAM175B|23172	630.9813
FAM176A|84141	129.8852	FAM176A|84141	115.9773
FAM176B|55194	627.2759	FAM176B|55194	59.1484
FAM177A1|283635	1335.9620000000002	FAM177A1|283635	806.5693
FAM178A|55719	721.3267	FAM178A|55719	1087.1857
FAM178B|51252	5.1026	FAM178B|51252	9.3268
FAM179B|23116	323.3213	FAM179B|23116	1139.4972
FAM180A|389558	51.9541	FAM180A|389558	125.3041
FAM180B|399888	5.1026	lowly_expressed	lowly_expressed
FAM181B|220382	6.9581	FAM181B|220382	22.7088
FAM182B|728882	37.5739	FAM182B|728882	46.2287
FAM183A|440585	21.3383	lowly_expressed	lowly_expressed
FAM184A|79632	11.133	FAM184A|79632	234.7932
FAM184B|27146	15.1038	FAM184B|27146	95.7705
FAM185A|222234	92.3113	FAM185A|222234	150.0406
lowly_expressed	lowly_expressed	FAM186A|121006	8.5158
FAM186B|84070	12.9885	FAM186B|84070	35.6853
FAM188A|80013	415.1687	FAM188A|80013	598.9457
FAM188B|84182	47.7792	FAM188B|84182	352.6075
FAM189A1|23359	93.23899999999999	lowly_expressed	lowly_expressed
FAM189A2|9413	64.9426	FAM189A2|9413	2297.2425
FAM189B|10712	718.0796	FAM189B|10712	540.146
FAM18A|780776	19.1998	FAM18A|780776	28.9659
FAM18B2|201158	184.9055	FAM18B2|201158	343.5929
FAM18B|51030	523.2518	FAM18B|51030	717.7616
FAM190A|401145	29.688000000000002	FAM190A|401145	173.5604
FAM190B|54462	930.9985	FAM190B|54462	2145.1744
FAM192A|80011	2504.4648	FAM192A|80011	1238.0373
FAM193A|8603	827.5542	FAM193A|8603	1302.9197
FAM193B|54540	603.9661	FAM193B|54540	1230.738
FAM195A|84331	569.1755	FAM195A|84331	137.4696
FAM195B|348262	1623.101	FAM195B|348262	879.9676
FAM196A|642938	110.8663	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FAM196B|100131897	991.4842
FAM198A|729085	170.7063	FAM198A|729085	166.2612
FAM198B|51313	5967.7606	FAM198B|51313	7726.2774
FAM199X|139231	447.1762	FAM199X|139231	603.0008
FAM19A2|338811	14.3801	FAM19A2|338811	19.0592
FAM19A3|284467	6.0304	FAM19A3|284467	15.4096
FAM19A5|25817	647.5705	FAM19A5|25817	54.7445
FAM200A|221786	287.6029	FAM200A|221786	279.3998
FAM200B|285550	509.7994	FAM200B|285550	547.4453
FAM20A|54757	181.3754	FAM20A|54757	161.395
FAM20B|9917	1457.0335	FAM20B|9917	2158.5564
FAM20C|56975	1288.6466	FAM20C|56975	710.8678
FAM21A|387680	238.896	FAM21A|387680	479.3187
FAM21B|55747	688.8554	FAM21B|55747	818.3293
FAM21C|253725	1143.9174	FAM21C|253725	1969.5864
FAM22A|728118	115.9689	FAM22A|728118	65.6934
FAM22D|728130	113.1857	FAM22D|728130	130.9813
FAM24B|196792	41.271	FAM24B|196792	46.8289
FAM26E|254228	280.1809	FAM26E|254228	34.8743
FAM26F|441168	188.7974	FAM26F|441168	47.0397
lowly_expressed	lowly_expressed	FAM27A|548321	7.2993
lowly_expressed	lowly_expressed	FAM27B|100133121	5.2717
lowly_expressed	lowly_expressed	FAM27C|100132948	19.8702
FAM32A|26017	2266.0327	FAM32A|26017	1167.8832
FAM35A|54537	717.1518	FAM35A|54537	762.7737
FAM35B2|439965	60.7677	FAM35B2|439965	70.1541
FAM35B|414241	206.4247	lowly_expressed	lowly_expressed
FAM36A|116228	1399.2764	FAM36A|116228	696.2206
FAM38A|9780	3243.3863	FAM38A|9780	1993.8686
FAM38B|63895	982.9526	FAM38B|63895	13.382
FAM3A|60343	718.5434	FAM3A|60343	435.5231
FAM3B|54097	43.6043	FAM3B|54097	1004.4607
FAM3C|10447	1129.0734	FAM3C|10447	912.4088
lowly_expressed	lowly_expressed	FAM3D|131177	453.7713
FAM40A|85369	613.2437	FAM40A|85369	821.9789
FAM40B|57464	23.6577	FAM40B|57464	16.6261
FAM41C|284593	13.4524	FAM41C|284593	19.4647
FAM43A|131583	155.3984	FAM43A|131583	151.6626
FAM43B|163933	45.9237	lowly_expressed	lowly_expressed
FAM45A|404636	375.2754	FAM45A|404636	389.2944
FAM45B|55855	85.81700000000001	FAM45B|55855	178.8321
FAM46A|55603	703.6994	FAM46A|55603	319.1403
FAM46B|115572	159.5732	FAM46B|115572	2457.0154
FAM46C|54855	493.0998	FAM46C|54855	513.7875
FAM47E|100129583	57.7154	FAM47E|100129583	241.253
FAM48A|55578	826.8398	FAM48A|55578	1465.1784
FAM49A|81553	49.6347	FAM49A|81553	161.395
FAM49B|51571	1263.1335	FAM49B|51571	707.6237
FAM50A|9130	2039.6614	FAM50A|9130	360.5028
FAM50B|26240	155.3984	FAM50B|26240	173.5604
FAM53A|152877	34.7907	FAM53A|152877	33.2522
FAM53B|9679	1028.9366	FAM53B|9679	622.3723
FAM53C|51307	1115.1571	FAM53C|51307	1839.8216
FAM54A|113115	22.266	FAM54A|113115	10.9489
FAM54B|56181	1060.3734	FAM54B|56181	986.2409
FAM55C|91775	1593.4129999999998	FAM55C|91775	530.8191
FAM57A|79850	333.5266	FAM57A|79850	217.7616
FAM57B|83723	14.844000000000001	lowly_expressed	lowly_expressed
FAM58A|92002	437.8986	FAM58A|92002	169.5053
FAM59A|64762	21.3383	FAM59A|64762	187.7534
FAM5B|57795	64.9426	FAM5B|57795	20.2758
lowly_expressed	lowly_expressed	FAM5C|339479	8.5158
FAM60A|58516	742.665	FAM60A|58516	2412.8143
FAM63A|55793	1296.5325	FAM63A|55793	761.5572
FAM63B|54629	89.52799999999999	FAM63B|54629	575.0203
FAM64A|54478	53.3457	FAM64A|54478	19.8702
FAM65A|79567	1433.8397	FAM65A|79567	941.6058
FAM65B|9750	133.1323	FAM65B|9750	191.8086
FAM65C|140876	114.5773	FAM65C|140876	20.2758
lowly_expressed	lowly_expressed	FAM66A|100133172	15.4096
FAM66C|440078	30.1519	FAM66C|440078	73.8037
FAM66D|100132923	7.4406	FAM66D|100132923	14.5985
FAM69A|388650	422.1269	FAM69A|388650	239.2539
FAM69B|138311	390.8616	FAM69B|138311	226.3585
FAM69C|125704	25.976999999999997	FAM69C|125704	15.4096
FAM70A|55026	57.5206	FAM70A|55026	384.8337
FAM70B|348013	64.0148	FAM70B|348013	16.2206
FAM71D|161142	30.6158	FAM71D|161142	19.8702
FAM71E1|112703	137.1495	FAM71E1|112703	55.3771
FAM71F2|346653	8.3498	FAM71F2|346653	8.1103
FAM72A|729533	11.133	lowly_expressed	lowly_expressed
FAM72B|653820	64.4787	FAM72B|653820	12.9765
FAM72D|728833	34.7907	FAM72D|728833	6.0827
FAM73A|374986	513.9743	lowly_expressed	lowly_expressed
FAM73B|84895	326.5685	FAM73B|84895	394.5661
FAM76A|199870	262.5536	FAM76A|199870	364.9635
FAM76B|143684	280.1809	FAM76B|143684	563.6659
FAM78A|286336	228.2268	FAM78A|286336	92.8629
FAM78B|149297	13.9163	FAM78B|149297	25.5474
lowly_expressed	lowly_expressed	FAM7A2|100288380	8.9213
FAM7A3|89837	6.9581	FAM7A3|89837	16.2206
FAM81A|145773	20.8744	FAM81A|145773	67.721
FAM81B|153643	42.6766	lowly_expressed	lowly_expressed
FAM82A1|151393	70.0452	FAM82A1|151393	137.4696
FAM82A2|55177	947.698	FAM82A2|55177	867.8021
FAM82B|51115	661.4867	FAM82B|51115	810.2189999999999
lowly_expressed	lowly_expressed	FAM83A|84985	7.2993
FAM83B|222584	66.3342	FAM83B|222584	241.2814
FAM83D|81610	80.2505	FAM83D|81610	30.8191
FAM83E|54854	249.5651	FAM83E|54854	28.7916
FAM83F|113828	107.6192	FAM83F|113828	244.5255
FAM83G|644815	36.9291	FAM83G|644815	147.1857
FAM83H|286077	2947.4661	FAM83H|286077	1270.884
FAM84A|151354	73.2924	FAM84A|151354	336.5775
FAM84B|157638	1399.0491	FAM84B|157638	2200.7299
FAM86A|196483	689.3193	FAM86A|196483	286.0949
FAM86B1|85002	96.4861	FAM86B1|85002	259.5296
lowly_expressed	lowly_expressed	FAM86B2|653333	49.8783
FAM86C|55199	218.0216	FAM86C|55199	149.635
FAM86D|692099	138.6988	FAM86D|692099	415.6529
FAM89A|375061	98.3416	FAM89A|375061	85.1582
FAM89B|23625	1628.6675	FAM89B|23625	516.6261
FAM8A1|51439	1435.6952	FAM8A1|51439	1784.6715
FAM90A1|55138	27.3687	FAM90A1|55138	12.9765
FAM91A1|157769	816.4212	FAM91A1|157769	1133.82
FAM92A1|137392	58.4483	FAM92A1|137392	111.1111
FAM95B1|100133036	9.7414	FAM95B1|100133036	45.0122
FAM96A|84191	928.6791	FAM96A|84191	414.8418
FAM96B|51647	932.8539999999999	FAM96B|51647	347.9319
FAM98A|25940	1072.0167	FAM98A|25940	621.249
FAM98B|283742	411.9216	FAM98B|283742	361.3139
FAM98C|147965	398.4692	FAM98C|147965	277.7778
FANCA|2175	94.6909	FANCA|2175	151.0422
FANCB|2187	12.5246	FANCB|2187	24.7364
FANCC|2176	268.1201	FANCC|2176	319.5458
FANCD2|2177	80.2505	FANCD2|2177	319.1322
FANCE|2178	45.9237	FANCE|2178	217.356
FANCF|2188	880.436	FANCF|2188	441.6058
FANCG|2189	302.9108	FANCG|2189	303.7307
FANCI|55215	705.643	FANCI|55215	378.3414
FANCL|55120	396.3354	FANCL|55120	536.399
FANCM|57697	125.2464	FANCM|57697	404.2985
FANK1|92565	227.763	FANK1|92565	103.0008
FAP|2191	2015.5398	FAP|2191	57.1776
FAR1|84188	982.0248	FAR1|84188	1378.751
FAR2|55711	88.6003	FAR2|55711	26.3585
FARP1|10160	3094.9785	FARP1|10160	2568.532
FARP2|9855	327.4962	FARP2|9855	452.5547
FARS2|10667	236.1127	FARS2|10667	243.7145
FARSA|2193	1593.4129999999998	FARSA|2193	886.4558
FARSB|10056	1017.2794	FARSB|10056	1166.2612
FASLG|356	19.9467	lowly_expressed	lowly_expressed
FASN|2194	7844.1378	FASN|2194	6265.6123
FASTKD1|79675	338.1654	FASTKD1|79675	329.6837
FASTKD2|22868	846.5731	FASTKD2|22868	1441.2003
FASTKD3|79072	160.0371	FASTKD3|79072	174.77700000000002
FASTKD5|60493	377.5948	FASTKD5|60493	435.7015
FASTK|10922	1518.2651	FASTK|10922	727.4939
FAS|355	359.9675	FAS|355	468.7753
FAT1|2195	2060.5358	FAT1|2195	8633.0089
FAT2|2196	67.7258	FAT2|2196	4412.0032
FAT3|120114	38.5017	FAT3|120114	60.8273
FAT4|79633	232.4017	FAT4|79633	403.0819
FAU|2197	9566.0443	FAU|2197	6745.3366
FBF1|85302	121.5354	FBF1|85302	164.9959
FBLIM1|54751	1631.4508	FBLIM1|54751	1300.8921
FBLL1|345630	43.1404	FBLL1|345630	9.7324
FBLN1|2192	6386.1765	FBLN1|2192	1187.7534
FBLN2|2199	7007.7699	FBLN2|2199	467.5588
FBLN5|10516	1755.3056	FBLN5|10516	846.7153
FBLN7|129804	366.4618	FBLN7|129804	127.7372
FBL|2091	3007.3059999999996	FBL|2091	5559.2052
FBN1|2200	12470.8338	FBN1|2200	1009.3268
FBN2|2201	36.1823	FBN2|2201	20.2758
lowly_expressed	lowly_expressed	FBN3|84467	29.1971
FBP1|2203	3605.2418	FBP1|2203	461.0706
FBRSL1|57666	697.2051	FBRSL1|57666	613.5442
FBRS|64319	2284.5877	FBRS|64319	1346.3098
FBXL12|54850	308.0135	FBXL12|54850	428.6294
FBXL13|222235	9.7414	FBXL13|222235	16.2206
FBXL14|144699	740.8095	FBXL14|144699	650.0406
FBXL15|79176	219.8771	FBXL15|79176	79.0754
FBXL16|146330	610.4604	FBXL16|146330	231.1436
FBXL17|64839	391.5111	FBXL17|64839	759.1241
FBXL18|80028	183.2309	FBXL18|80028	245.7421
FBXL19|54620	538.0958	FBXL19|54620	304.9473
FBXL20|84961	104.8359	FBXL20|84961	219.3836
FBXL22|283807	40.6077	FBXL22|283807	202.5385
FBXL2|25827	202.2498	FBXL2|25827	257.502
FBXL3|26224	840.5427	FBXL3|26224	1997.5669
FBXL4|26235	98.3416	FBXL4|26235	519.4647
FBXL5|26234	2580.0765	FBXL5|26234	3001.6221
FBXL6|26233	459.4086	FBXL6|26233	201.1354
FBXL7|23194	584.0195	FBXL7|23194	369.0187
FBXL8|55336	210.0522	FBXL8|55336	71.10300000000001
FBXO10|26267	158.6919	FBXO10|26267	197.5101
FBXO11|80204	1689.4352	FBXO11|80204	1856.0422
FBXO15|201456	24.1215	lowly_expressed	lowly_expressed
FBXO16|157574	175.8089	FBXO16|157574	47.8508
FBXO17|115290	120.6077	FBXO17|115290	225.4663
FBXO18|84893	1377.7108	FBXO18|84893	1572.2141
FBXO21|23014	1207.0045	FBXO21|23014	1625.3041
FBXO22OS|692224	131.5737	FBXO22OS|692224	37.9643
FBXO22|26263	537.7989	FBXO22|26263	425.5393
FBXO24|26261	11.3835	FBXO24|26261	14.6067
FBXO25|26260	605.8216	FBXO25|26260	495.5393
FBXO27|126433	38.5017	FBXO27|126433	134.631
FBXO28|23219	807.1437	FBXO28|23219	1471.6139
FBXO2|26232	290.3862	FBXO2|26232	374.2903
FBXO30|84085	247.2457	FBXO30|84085	630.5758
FBXO31|79791	611.852	FBXO31|79791	929.8459
FBXO32|114907	523.2518	FBXO32|114907	4279.8054
FBXO33|254170	266.7285	FBXO33|254170	224.6553
FBXO34|55030	631.3348	FBXO34|55030	1138.2806
FBXO36|130888	253.74	FBXO36|130888	195.0527
FBXO38|81545	627.6238	FBXO38|81545	1084.3471
FBXO39|162517	11.133	FBXO39|162517	6.4882
FBXO3|26273	644.7872	FBXO3|26273	984.9959
FBXO41|150726	146.1208	FBXO41|150726	203.97400000000002
FBXO42|54455	447.64	FBXO42|54455	678.0211
FBXO43|286151	19.9467	lowly_expressed	lowly_expressed
FBXO44|93611	373.8838	FBXO44|93611	523.9254
FBXO45|200933	525.5711	FBXO45|200933	417.2749
FBXO46|23403	834.0485	FBXO46|23403	486.61800000000005
FBXO48|554251	20.8744	FBXO48|554251	40.957
FBXO4|26272	328.8879	FBXO4|26272	245.7421
FBXO5|26271	108.083	FBXO5|26271	210.0568
FBXO6|26270	668.4449	FBXO6|26270	146.7964
FBXO7|25793	1608.7209	FBXO7|25793	2108.2725
FBXO8|26269	528.3544	FBXO8|26269	498.8889
FBXO9|26268	787.197	FBXO9|26268	1226.2774
FBXW11|23291	786.2693	FBXW11|23291	1555.5556
FBXW2|26190	1430.1287	FBXW2|26190	1572.1817
FBXW4|6468	2584.7153	FBXW4|6468	1480.1298
FBXW5|54461	1746.0281	FBXW5|54461	963.0981
FBXW7|55294	330.2795	FBXW7|55294	1372.6683
FBXW8|26259	502.8412	FBXW8|26259	825.2230000000001
FBXW9|84261	247.6447	FBXW9|84261	307.8143
FCER1A|2205	43.6043	FCER1A|2205	38.1184
FCER1G|2207	834.0485	FCER1G|2207	116.7883
FCER2|2208	8.3498	FCER2|2208	10.1379
FCF1|51077	581.7001	FCF1|51077	985.807
FCGBP|8857	65.4065	FCGBP|8857	311.03
FCGR1A|2209	223.5742	FCGR1A|2209	21.2855
FCGR1B|2210	167.923	FCGR1B|2210	27.575
FCGR1C|100132417	68.6536	lowly_expressed	lowly_expressed
FCGR2A|2212	733.8513	lowly_expressed	lowly_expressed
FCGR2B|2213	75.6117	FCGR2B|2213	13.7875
FCGR2C|9103	26.4409	FCGR2C|9103	13.382
FCGR3A|2214	2287.8349	FCGR3A|2214	593.2685
FCGR3B|2215	7.422000000000001	lowly_expressed	lowly_expressed
FCGRT|2217	2190.4210000000003	FCGRT|2217	2188.159
FCHO1|23149	37.1101	FCHO1|23149	115.1663
FCHO2|115548	524.6434	FCHO2|115548	1173.5604
FCHSD1|89848	300.3178	FCHSD1|89848	465.9813
FCHSD2|9873	581.8671	FCHSD2|9873	878.9173
FCN1|2219	23.6577	lowly_expressed	lowly_expressed
FCN2|2220	31.5435	lowly_expressed	lowly_expressed
FCN3|8547	38.5017	FCN3|8547	23.1144
lowly_expressed	lowly_expressed	FCRL2|79368	5.2717
FCRL3|115352	18.555	FCRL3|115352	7.2993
FCRL4|83417	5.1026	lowly_expressed	lowly_expressed
FCRL5|83416	17.6273	FCRL5|83416	53.528
FCRL6|343413	15.7718	FCRL6|343413	57.1776
FCRLA|84824	19.4828	FCRLA|84824	7.2993
FCRLB|127943	66.3342	FCRLB|127943	8.9213
FDFT1|2222	2595.8483	FDFT1|2222	2414.8418
FDPS|2224	1571.5876	FDPS|2224	1194.4444
FDX1L|112812	283.7156	FDX1L|112812	134.6148
FDX1|2230	379.4503	FDX1|2230	313.8686
FDXACB1|91893	104.3952	FDXACB1|91893	81.9343
FDXR|2232	394.2943	FDXR|2232	136.253
FECH|2235	645.2511	FECH|2235	746.5531
FEM1A|55527	1370.2888	FEM1A|55527	1273.7226
FEM1B|10116	2624.1447	FEM1B|10116	4341.4436
FEM1C|56929	871.1585	FEM1C|56929	1181.2652
FEN1|2237	761.22	FEN1|2237	382.8062
FER1L4|80307	5.5665	FER1L4|80307	50.6894
lowly_expressed	lowly_expressed	FER1L5|90342	15.0041
FERMT1|55612	32.4713	FERMT1|55612	547.8508
FERMT2|10979	1091.4995	FERMT2|10979	1691.4031
FERMT3|83706	413.3132	FERMT3|83706	144.7689
FER|2241	24.1215	FER|2241	120.8435
FES|2242	201.7859	FES|2242	293.9984
lowly_expressed	lowly_expressed	FETUB|26998	6.0827
FEZ1|9638	166.9952	FEZ1|9638	150.0406
FEZ2|9637	738.954	FEZ2|9637	710.0568
lowly_expressed	lowly_expressed	FEZF2|55079	28.3861
FFAR2|2867	344.6596	lowly_expressed	lowly_expressed
FGD1|2245	527.4266	FGD1|2245	362.9359
FGD2|221472	91.8474	FGD2|221472	51.5004
FGD3|89846	853.9951	FGD3|89846	186.1314
FGD4|121512	207.3524	FGD4|121512	639.4972
FGD5|152273	512.5826	FGD5|152273	450.9327
FGD6|55785	1723.2982	FGD6|55785	627.3317
lowly_expressed	lowly_expressed	FGF10|2255	9.7324
FGF11|2256	68.6536	FGF11|2256	120.0324
FGF12|2257	26.9048	FGF12|2257	77.0479
FGF13|2258	281.1087	FGF13|2258	132.6034
FGF14|2259	354.401	FGF14|2259	431.8735
lowly_expressed	lowly_expressed	FGF17|8822	6.4882
FGF18|8817	24.5854	lowly_expressed	lowly_expressed
FGF1|2246	448.1039	FGF1|2246	3125.7097
FGF2|2247	104.5112	FGF2|2247	829.6837
FGF7|2252	103.4443	FGF7|2252	168.6942
lowly_expressed	lowly_expressed	FGF9|2254	20.6813
lowly_expressed	lowly_expressed	FGFBP1|9982	68.532
lowly_expressed	lowly_expressed	FGFBP2|83888	12.9765
FGFBP3|143282	70.5091	FGFBP3|143282	70.9651
FGFR1OP2|26127	430.4766	FGFR1OP2|26127	718.9781
FGFR1OP|11116	218.6849	FGFR1OP|11116	173.7348
FGFR1|2260	2381.5377	FGFR1|2260	4772.5061
FGFR2|2263	1174.0693	FGFR2|2263	3592.8629
FGFR3|2261	1062.7392	FGFR3|2261	81.914
FGFR4|2264	144.7292	FGFR4|2264	64.0714
FGFRL1|53834	518.613	FGFRL1|53834	387.6723
FGGY|55277	133.5962	FGGY|55277	182.4818
FGL2|10875	968.1085	FGL2|10875	704.3796
FGR|2268	117.8244	FGR|2268	72.1817
FHAD1|114827	47.3153	FHAD1|114827	21.8978
FHDC1|85462	342.3403	FHDC1|85462	358.4753
FHIT|2272	23.1938	FHIT|2272	120.43799999999999
FHL1|2273	860.4894	FHL1|2273	971.6139
FHL2|2274	622.985	FHL2|2274	1446.4720000000002
FHL3|2275	599.7913	FHL3|2275	565.6934
FHL5|9457	51.4902	FHL5|9457	43.3901
FHOD1|29109	709.7298	FHOD1|29109	347.1208
FHOD3|80206	375.7393	FHOD3|80206	1286.6991
FH|2271	1316.4792	FH|2271	1010.1379
FIBCD1|84929	10.6691	lowly_expressed	lowly_expressed
FIBIN|387758	1306.7378	FIBIN|387758	345.0933
FIBP|9158	1482.0828	FIBP|9158	665.8556
FICD|11153	77.0034	FICD|11153	38.9294
FIG4|9896	261.16200000000003	FIG4|9896	476.0746
FIGF|2277	10.2053	FIGF|2277	209.6513
FIGNL1|63979	239.3599	FIGNL1|63979	547.0397
FIGNL2|401720	25.976999999999997	FIGNL2|401720	36.0908
FIGN|55137	5.5665	FIGN|55137	85.1582
FILIP1L|11259	1304.4184	FILIP1L|11259	389.2944
FILIP1|27145	96.4861	FILIP1|27145	53.9335
FIP1L1|81608	932.4736	FIP1L1|81608	1034.8905
FIS1|51024	1892.5989	FIS1|51024	976.6018
FITM1|161247	19.0189	FITM1|161247	7.2993
FITM2|128486	28.2964	FITM2|128486	51.9059
FIZ1|84922	654.0647	FIZ1|84922	285.077
FJX1|24147	461.0924	FJX1|24147	300.4866
FKBP10|60681	4054.2735	FKBP10|60681	1211.6788
FKBP11|51303	1322.5096	FKBP11|51303	482.5629
FKBP14|55033	308.9412	FKBP14|55033	221.4112
FKBP15|23307	1133.4246	lowly_expressed	lowly_expressed
FKBP1AP1|2282	13.4524	FKBP1AP1|2282	8.5158
FKBP1A|2280	5921.9854	FKBP1A|2280	2535.4542
FKBP1B|2281	49.1708	FKBP1B|2281	58.7997
FKBP2|2286	2843.5579	FKBP2|2286	407.9481
FKBP3|2287	2613.0117	FKBP3|2287	749.3917
FKBP4|2288	15357.0683	FKBP4|2288	4096.1071
FKBP5|2289	1080.8303	FKBP5|2289	896.5937
FKBP7|51661	581.7001	FKBP7|51661	313.4631
FKBP8|23770	8229.6185	FKBP8|23770	3157.7453
